Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1385)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1240.7","180.727","1167.61"
2,0,"1239.22","179.89","1167.42"
3,0,"1237.77","178.867","1167.32"
4,0,"1236.23","177.832","1167.14"
5,0,"1234.83","176.638","1167.07"
6,0,"1233.35","175.441","1166.89"
7,0,"1232.38","175.714","1166.1"
8,0,"1231.02","174.269","1165.99"
9,0,"1229.74","172.714","1165.9"
10,0,"1228.47","171.031","1165.76"
11,0,"1227.23","169.247","1165.5"
12,0,"1226.09","167.268","1165.23"
13,0,"1224.98","165.233","1164.86"
14,0,"1223.94","163.077","1164.44"
15,0,"1222.92","160.882","1163.87"
16,0,"1221.99","158.555","1163.31"
17,0,"1221.09","156.317","1162.64"
18,0,"1220.25","154.124","1161.99"
19,0,"1219.48","151.951","1161.42"
20,0,"1218.7","149.905","1160.8"
21,0,"1217.97","147.772","1160.33"
22,0,"1217.22","145.671","1159.88"
23,0,"1216.41","143.472","1159.57"
24,0,"1215.57","141.162","1159.38"
25,0,"1214.68","138.794","1159.17"
26,0,"1213.79","136.361","1159.05"
27,0,"1212.92","133.969","1158.89"
28,0,"1212.09","131.573","1158.68"
29,0,"1211.32","129.223","1158.46"
30,0,"1210.6","126.943","1158.18"
31,0,"1209.94","124.627","1157.96"
32,0,"1209.28","122.459","1157.65"
33,0,"1208.67","120.329","1157.4"
34,0,"1208.08","118.216","1157.15"
35,0,"1207.49","116.169","1156.88"
36,0,"1206.96","114.176","1156.6"
37,0,"1206.46","112.205","1156.36"
38,0,"1206.03","110.287","1156.07"
39,0,"1205.64","108.452","1155.76"
40,0,"1205.34","106.591","1155.57"
41,0,"1205.05","104.885","1155.29"
42,0,"1204.83","103.15","1155.19"
43,0,"1204.65","101.59","1155.01"
44,0,"1204.49","100.035","1154.91"
45,0,"1204.38","98.5959","1154.88"
46,0,"1204.24","97.2362","1154.79"
47,0,"1204.06","95.9437","1154.76"
48,0,"1203.9","94.697","1154.69"
49,0,"1203.74","93.4138","1154.72"
50,0,"1203.57","92.1622","1154.65"
51,0,"1203.41","90.8862","1154.56"
52,0,"1203.25","89.642","1154.38"
53,0,"1203.12","88.3987","1154.19"
54,0,"1203.01","87.1975","1153.96"
55,0,"1202.97","85.9333","1153.73"
56,0,"1202.94","84.7421","1153.46"
57,0,"1202.93","83.5954","1153.2"
58,0,"1202.96","82.4045","1152.98"
59,0,"1202.98","81.3195","1152.74"
60,0,"1203","80.2314","1152.5"
61,0,"1203.03","79.1806","1152.2"
62,0,"1203.1","78.1468","1151.97"
63,0,"1203.15","77.2242","1151.63"
64,0,"1203.26","76.2748","1151.39"
65,0,"1203.36","75.4028","1151.06"
66,0,"1203.48","74.6188","1150.8"
67,0,"1203.62","73.8386","1150.52"
68,0,"1203.75","73.1711","1150.28"
69,0,"1203.88","72.5224","1150.01"
70,0,"1204.02","71.9624","1149.74"
71,0,"1204.14","71.4041","1149.56"
72,0,"1204.29","70.9088","1149.35"
73,0,"1204.43","70.434","1149.12"
74,0,"1204.57","69.9729","1148.97"
75,0,"1204.74","69.4949","1148.79"
76,0,"1204.89","69.0516","1148.57"
77,0,"1205.01","68.6954","1148.37"
78,0,"1205.15","68.3154","1148.17"
79,0,"1205.31","67.9648","1147.97"
80,0,"1205.47","67.6626","1147.83"
81,0,"1205.62","67.3984","1147.7"
82,0,"1205.74","67.1773","1147.58"
83,0,"1205.85","66.9957","1147.48"
84,0,"1205.96","66.8284","1147.4"
85,0,"1206.06","66.6526","1147.37"
86,0,"1206.18","66.4976","1147.34"
87,0,"1206.3","66.3122","1147.32"
88,0,"1206.4","66.1584","1147.29"
89,0,"1206.54","66.0049","1147.28"
90,0,"1206.71","65.8747","1147.25"
91,0,"1206.88","65.771","1147.24"
92,0,"1207.07","65.7062","1147.24"
93,0,"1207.26","65.6755","1147.25"
94,0,"1207.47","65.7021","1147.29"
95,0,"1207.67","65.7807","1147.33"
96,0,"1207.88","65.8636","1147.43"
97,0,"1208.11","65.9998","1147.52"
98,0,"1208.33","66.1655","1147.64"
99,0,"1208.54","66.3964","1147.75"
100,0,"1208.77","66.6375","1147.92"
101,0,"1209.03","66.9237","1148.04"
102,0,"1209.29","67.1748","1148.19"
103,0,"1209.54","67.4594","1148.32"
104,0,"1209.83","67.7231","1148.48"
105,0,"1210.11","67.9903","1148.67"
106,0,"1210.43","68.2823","1148.85"
107,0,"1210.76","68.5398","1149.08"
108,0,"1211.14","68.7606","1149.39"
109,0,"1211.53","69.0344","1149.67"
110,0,"1211.96","69.3108","1149.92"
111,0,"1212.44","69.598","1150.19"
112,0,"1212.94","69.8905","1150.47"
113,0,"1213.49","70.1805","1150.73"
114,0,"1214.1","70.4576","1150.97"
115,0,"1214.72","70.7569","1151.21"
116,0,"1215.36","71.064","1151.44"
117,0,"1215.97","71.4086","1151.66"
118,0,"1216.59","71.7502","1151.88"
119,0,"1217.17","72.1411","1152.11"
120,0,"1217.74","72.4995","1152.35"
121,0,"1218.31","72.8574","1152.58"
122,0,"1218.83","73.2147","1152.81"
123,0,"1219.35","73.5656","1153.07"
124,0,"1219.79","73.8938","1153.3"
125,0,"1220.25","74.134","1153.57"
126,0,"1220.64","74.4307","1153.77"
127,0,"1221.06","74.6964","1154.04"
128,0,"1221.44","75.0153","1154.26"
129,0,"1221.85","75.3261","1154.5"
130,0,"1222.23","75.6071","1154.81"
131,0,"1222.59","75.9075","1155.1"
132,0,"1222.92","76.2333","1155.36"
133,0,"1223.23","76.5269","1155.68"
134,0,"1223.51","76.7881","1156.05"
135,0,"1223.8","77.0325","1156.34"
136,0,"1224.07","77.3031","1156.59"
137,0,"1224.34","77.5424","1156.85"
138,0,"1224.6","77.7473","1157.11"
139,0,"1224.86","77.9157","1157.38"
140,0,"1225.11","78.0818","1157.59"
141,0,"1225.36","78.2343","1157.82"
