Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1386)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1264.67","71.6828","1506.15"
2,0,"1262.69","69.9722","1506.36"
3,0,"1260.74","68.1183","1506.49"
4,0,"1258.93","66.065","1506.56"
5,0,"1257.18","63.8807","1506.56"
6,0,"1255.48","61.5717","1506.39"
7,0,"1253.93","59.0865","1506.14"
8,0,"1252.47","56.5067","1505.74"
9,0,"1251.07","53.8031","1505.12"
10,0,"1249.75","51.0163","1504.36"
11,0,"1248.52","48.1593","1503.39"
12,0,"1247.38","45.2135","1502.25"
13,0,"1246.3","42.2374","1500.94"
14,0,"1245.27","39.1979","1499.52"
15,0,"1244.35","36.0761","1498.04"
16,0,"1243.42","32.8952","1496.48"
17,0,"1242.58","29.6355","1495"
18,0,"1241.87","26.2033","1493.62"
19,0,"1241.19","22.6719","1492.38"
20,0,"1240.55","19.0652","1491.33"
21,0,"1239.92","15.416","1490.35"
22,0,"1239.34","11.7325","1489.49"
23,0,"1238.8","8.02344","1488.67"
24,0,"1238.23","4.35488","1487.85"
25,0,"1237.7","0.694619","1487.09"
26,0,"1237.13","-2.88524","1486.29"
27,0,"1236.58","-6.44822","1485.47"
28,0,"1236.05","-9.93913","1484.6"
29,0,"1235.52","-13.3784","1483.68"
30,0,"1235.07","-16.7796","1482.67"
31,0,"1234.59","-20.0751","1481.65"
32,0,"1234.13","-23.2976","1480.63"
33,0,"1233.64","-26.463","1479.63"
34,0,"1233.16","-29.5411","1478.72"
35,0,"1232.73","-32.5893","1477.88"
36,0,"1232.29","-35.5515","1477.13"
37,0,"1231.96","-38.5009","1476.48"
38,0,"1231.62","-41.3765","1475.86"
39,0,"1231.32","-44.168","1475.25"
40,0,"1231.07","-46.9151","1474.66"
41,0,"1230.89","-49.5936","1474.1"
42,0,"1230.69","-52.1684","1473.5"
43,0,"1230.56","-54.6788","1472.88"
44,0,"1230.45","-57.0892","1472.19"
45,0,"1230.34","-59.3893","1471.49"
46,0,"1230.28","-61.6178","1470.84"
47,0,"1230.23","-63.7726","1470.2"
48,0,"1230.19","-65.8741","1469.6"
49,0,"1230.13","-67.8788","1469.08"
50,0,"1230.11","-69.8668","1468.65"
51,0,"1230.08","-71.7859","1468.26"
52,0,"1230.1","-73.6978","1467.88"
53,0,"1230.07","-75.5135","1467.47"
54,0,"1230.12","-77.3193","1467.07"
55,0,"1230.13","-79.0317","1466.6"
56,0,"1230.23","-80.7585","1466.15"
57,0,"1230.3","-82.4035","1465.62"
58,0,"1230.4","-84.0056","1465.09"
59,0,"1230.5","-85.5613","1464.52"
60,0,"1230.62","-87.0717","1463.99"
61,0,"1230.74","-88.5473","1463.42"
62,0,"1230.86","-89.9688","1462.84"
63,0,"1230.96","-91.3348","1462.24"
64,0,"1231.1","-92.6492","1461.66"
65,0,"1231.18","-93.9083","1461.03"
66,0,"1231.31","-95.1442","1460.42"
67,0,"1231.48","-96.3393","1459.82"
68,0,"1231.56","-97.4371","1459.18"
69,0,"1231.68","-98.5312","1458.6"
70,0,"1231.75","-99.5618","1457.99"
71,0,"1231.85","-100.566","1457.43"
72,0,"1231.95","-101.539","1456.88"
73,0,"1232.02","-102.474","1456.37"
74,0,"1232.09","-103.375","1455.87"
75,0,"1232.15","-104.231","1455.39"
76,0,"1232.23","-105.071","1454.97"
77,0,"1232.32","-105.895","1454.56"
78,0,"1232.37","-106.645","1454.15"
79,0,"1232.47","-107.392","1453.78"
80,0,"1232.61","-108.101","1453.45"
81,0,"1232.72","-108.749","1453.07"
82,0,"1232.88","-109.359","1452.74"
83,0,"1233.01","-109.938","1452.41"
84,0,"1233.19","-110.442","1452.1"
85,0,"1233.34","-110.884","1451.78"
86,0,"1233.55","-111.302","1451.53"
87,0,"1233.76","-111.649","1451.3"
88,0,"1234.02","-111.948","1451.07"
89,0,"1234.29","-112.151","1450.85"
90,0,"1234.6","-112.3","1450.7"
91,0,"1234.94","-112.373","1450.56"
92,0,"1235.28","-112.374","1450.46"
93,0,"1235.66","-112.301","1450.37"
94,0,"1236.07","-112.162","1450.33"
95,0,"1236.52","-111.986","1450.34"
96,0,"1236.97","-111.733","1450.39"
97,0,"1237.41","-111.433","1450.49"
98,0,"1237.84","-111.059","1450.63"
99,0,"1238.27","-110.651","1450.82"
100,0,"1238.73","-110.194","1451.04"
101,0,"1239.19","-109.698","1451.27"
102,0,"1239.63","-109.132","1451.52"
103,0,"1240.07","-108.549","1451.77"
104,0,"1240.53","-107.926","1452.1"
105,0,"1240.99","-107.272","1452.41"
106,0,"1241.47","-106.592","1452.77"
107,0,"1241.94","-105.886","1453.16"
108,0,"1242.39","-105.13","1453.57"
109,0,"1242.87","-104.366","1454.01"
110,0,"1243.3","-103.538","1454.42"
111,0,"1243.77","-102.712","1454.86"
112,0,"1244.25","-101.873","1455.33"
113,0,"1244.71","-101.016","1455.78"
114,0,"1245.18","-100.151","1456.25"
115,0,"1245.65","-99.2721","1456.73"
116,0,"1246.13","-98.413","1457.28"
117,0,"1246.61","-97.5493","1457.84"
118,0,"1247.05","-96.6743","1458.4"
119,0,"1247.5","-95.7841","1459.01"
120,0,"1247.97","-94.914","1459.66"
121,0,"1248.45","-94.0685","1460.33"
122,0,"1248.93","-93.2277","1461.01"
123,0,"1249.41","-92.3932","1461.67"
124,0,"1249.89","-91.5827","1462.31"
125,0,"1250.38","-90.7866","1462.91"
126,0,"1250.78","-89.9644","1463.46"
127,0,"1251.25","-89.1955","1464.02"
128,0,"1251.71","-88.4466","1464.57"
129,0,"1252.14","-87.6975","1465.07"
130,0,"1252.56","-86.9689","1465.57"
131,0,"1252.98","-86.2614","1466.08"
132,0,"1253.34","-85.5427","1466.59"
133,0,"1253.75","-84.8629","1467.13"
134,0,"1254.06","-84.1661","1467.66"
135,0,"1254.4","-83.5329","1468.23"
