Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1399)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1452.76","70.7185","950.714"
2,0,"1449.69","67.0849","951.554"
3,0,"1446.66","63.5667","952.341"
4,0,"1443.71","60.1876","953.03"
5,0,"1440.84","56.915","953.629"
6,0,"1438.07","53.7204","954.132"
7,0,"1435.39","50.5965","954.519"
8,0,"1432.82","47.5948","954.802"
9,0,"1430.34","44.6605","954.956"
10,0,"1428.01","41.835","954.971"
11,0,"1425.78","39.0839","954.781"
12,0,"1423.68","36.4761","954.389"
13,0,"1421.69","33.9903","953.816"
14,0,"1419.82","31.6694","953.09"
15,0,"1418.12","29.3967","952.175"
16,0,"1416.64","27.3499","951.227"
17,0,"1415.34","25.3866","950.164"
18,0,"1414.23","23.5754","949.045"
19,0,"1413.34","21.9968","947.864"
20,0,"1412.68","20.5505","946.619"
21,0,"1412.26","19.2832","945.386"
22,0,"1412.06","18.2383","944.173"
23,0,"1412.1","17.3676","942.997"
24,0,"1412.36","16.6993","941.849"
25,0,"1412.86","16.2091","940.75"
26,0,"1413.53","15.896","939.648"
27,0,"1414.37","15.6897","938.572"
28,0,"1415.41","15.7015","937.484"
29,0,"1416.64","15.8351","936.424"
30,0,"1418.01","16.0986","935.363"
31,0,"1419.54","16.5069","934.39"
32,0,"1421.22","17.0598","933.416"
33,0,"1422.99","17.8299","932.483"
34,0,"1424.9","18.7141","931.614"
35,0,"1426.92","19.8006","930.724"
36,0,"1429.05","21.1023","929.849"
37,0,"1431.27","22.618","929.026"
38,0,"1433.6","24.3518","928.209"
39,0,"1435.97","26.3093","927.432"
40,0,"1438.41","28.4508","926.708"
41,0,"1440.91","30.7671","926.054"
42,0,"1443.48","33.2198","925.501"
43,0,"1446.09","35.8178","925.051"
44,0,"1448.73","38.5216","924.714"
45,0,"1451.4","41.3763","924.493"
46,0,"1454.07","44.2926","924.41"
47,0,"1456.75","47.3207","924.442"
48,0,"1459.4","50.4232","924.593"
49,0,"1462.01","53.5425","924.815"
50,0,"1464.57","56.7918","925.118"
51,0,"1467.07","60.0516","925.502"
52,0,"1469.51","63.3767","925.973"
53,0,"1471.86","66.6793","926.513"
54,0,"1474.14","70.0306","927.171"
55,0,"1476.34","73.3038","927.89"
56,0,"1478.46","76.536","928.674"
57,0,"1480.52","79.7629","929.532"
58,0,"1482.51","82.9583","930.447"
59,0,"1484.41","86.0872","931.387"
60,0,"1486.23","89.1158","932.348"
61,0,"1487.97","92.0275","933.297"
62,0,"1489.76","95.0919","934.236"
63,0,"1491.31","97.894","935.126"
64,0,"1492.64","100.447","935.958"
65,0,"1493.88","102.886","936.829"
66,0,"1495.05","105.144","937.684"
67,0,"1496.15","107.274","938.521"
68,0,"1497.13","109.286","939.371"
69,0,"1497.97","111.186","940.134"
70,0,"1498.69","112.907","940.894"
71,0,"1499.28","114.543","941.556"
72,0,"1499.76","116.059","942.15"
73,0,"1500.13","117.357","942.679"
74,0,"1500.4","118.515","943.103"
75,0,"1500.54","119.399","943.409"
76,0,"1500.58","120.154","943.661"
77,0,"1500.51","120.645","943.766"
78,0,"1500.34","120.954","943.787"
79,0,"1500.11","121.136","943.668"
80,0,"1499.82","121.095","943.471"
81,0,"1499.43","120.854","943.199"
82,0,"1498.95","120.443","942.775"
83,0,"1498.41","119.91","942.28"
84,0,"1497.75","119.264","941.591"
85,0,"1497.03","118.442","940.866"
86,0,"1496.17","117.504","939.997"
87,0,"1495.21","116.365","939.05"
88,0,"1494.12","115.121","938.007"
89,0,"1493","113.669","936.961"
90,0,"1491.81","112.066","935.911"
91,0,"1490.43","110.272","934.777"
92,0,"1488.8","108.305","933.531"
93,0,"1486.92","106.197","932.149"
94,0,"1485.11","104.241","930.763"
95,0,"1483.19","102.16","929.259"
96,0,"1481.18","99.9751","927.751"
97,0,"1479.09","97.6958","926.27"
98,0,"1476.95","95.235","924.736"
99,0,"1474.73","92.6207","923.209"
100,0,"1472.48","89.817","921.7"
101,0,"1470.16","86.861","920.228"
102,0,"1467.79","83.7157","918.841"
103,0,"1465.33","80.4284","917.499"
104,0,"1462.77","77.0773","916.225"
105,0,"1460.16","73.6094","915.052"
106,0,"1457.57","69.9639","914.027"
107,0,"1454.97","66.1974","913.12"
108,0,"1452.37","62.3456","912.326"
109,0,"1449.75","58.4398","911.634"
110,0,"1447.15","54.4733","911.078"
111,0,"1444.56","50.3987","910.576"
112,0,"1442.05","46.1854","910.174"
113,0,"1439.62","41.8296","909.91"
114,0,"1437.26","37.3362","909.759"
115,0,"1434.93","32.7532","909.692"
116,0,"1432.68","28.099","909.783"
117,0,"1430.5","23.3247","910.031"
118,0,"1428.35","18.4766","910.398"
119,0,"1426.2","13.5226","910.859"
120,0,"1424.08","8.58406","911.484"
121,0,"1421.99","3.56992","912.195"
122,0,"1419.93","-1.47684","913.017"
123,0,"1417.87","-6.5648","913.96"
124,0,"1415.83","-11.7087","915"
125,0,"1413.84","-16.8772","916.123"
126,0,"1411.91","-22.0379","917.387"
127,0,"1410.03","-27.2367","918.721"
128,0,"1408.18","-32.4323","920.177"
129,0,"1406.37","-37.5646","921.753"
130,0,"1404.58","-42.6369","923.415"
131,0,"1402.88","-47.6062","925.169"
132,0,"1401.22","-52.4664","927.011"
133,0,"1399.61","-57.2345","928.896"
134,0,"1398.06","-61.8515","930.837"
135,0,"1396.59","-66.3791","932.798"
136,0,"1395.17","-70.796","934.762"
137,0,"1393.82","-75.0762","936.796"
138,0,"1392.56","-79.2622","938.778"
139,0,"1391.4","-83.314","940.842"
140,0,"1390.32","-87.257","942.867"
141,0,"1389.34","-91.0329","944.883"
142,0,"1388.43","-94.6451","946.886"
143,0,"1387.59","-98.0962","948.828"
144,0,"1386.85","-101.353","950.716"
145,0,"1386.14","-104.425","952.511"
146,0,"1385.54","-107.274","954.229"
