Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1192)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1400.17","227.389","76.9123"
2,0,"1397.76","221.242","76.1389"
3,0,"1394.7","214.919","74.959"
4,0,"1391.24","208.631","73.6824"
5,0,"1387.28","202.593","72.0761"
6,0,"1383.05","196.524","70.6259"
7,0,"1378.63","190.996","68.7937"
8,0,"1374.13","185.997","67.2416"
9,0,"1369.37","181.182","65.9824"
10,0,"1364.62","177.58","64.3479"
11,0,"1359.58","174.937","62.9294"
12,0,"1354.59","173.594","61.8121"
13,0,"1351.35","174.143","61.672"
14,0,"1349.89","176.467","61.0162"
15,0,"1349.92","178.463","60.3383"
16,0,"1350.63","179.327","59.5998"
17,0,"1351.64","178.898","58.9379"
18,0,"1352.56","177.406","58.2854"
19,0,"1353.15","175.988","57.7118"
20,0,"1353.81","175.687","57.5432"
21,0,"1354.44","175.69","57.5907"
22,0,"1354.63","175.436","57.7162"
23,0,"1354.47","175.279","57.8947"
24,0,"1354.15","175.39","58.1416"
25,0,"1353.82","175.668","58.3752"
26,0,"1353.46","175.882","58.4243"
27,0,"1353.2","176.021","58.4096"
28,0,"1353.17","175.987","58.3629"
29,0,"1353.28","175.829","58.3146"
30,0,"1353.44","175.607","58.2659"
31,0,"1353.63","175.386","58.3685"
32,0,"1353.71","175.105","58.3958"
33,0,"1353.76","174.931","58.472"
34,0,"1353.73","174.839","58.5416"
35,0,"1353.66","174.846","58.5983"
36,0,"1353.58","174.885","58.6029"
37,0,"1353.55","174.941","58.6441"
38,0,"1353.52","174.947","58.6213"
39,0,"1353.5","174.929","58.5662"
40,0,"1353.52","174.876","58.5112"
41,0,"1353.54","174.779","58.4142"
42,0,"1353.5","174.694","58.2332"
43,0,"1353.99","174.845","58.8307"
44,0,"1353.79","174.715","58.4515"
45,0,"1353.73","174.639","58.2808"
46,0,"1353.75","174.819","58.384"
47,0,"1353.76","174.831","58.3231"
48,0,"1353.78","174.942","58.2951"
49,0,"1354.16","175.134","58.6986"
50,0,"1353.96","175.068","58.2251"
51,0,"1353.99","175.107","58.1094"
52,0,"1354.02","175.108","57.9849"
53,0,"1354.03","175.129","57.8502"
54,0,"1354.05","175.133","57.7154"
55,0,"1354.06","175.152","57.621"
56,0,"1354.06","175.203","57.5269"
57,0,"1354.11","175.26","57.4156"
58,0,"1354.14","175.349","57.266"
59,0,"1354.22","175.489","57.1153"
60,0,"1354.3","175.652","56.96"
61,0,"1354.39","175.839","56.748"
62,0,"1354.51","176.042","56.4933"
63,0,"1354.64","176.237","56.1975"
64,0,"1354.79","176.402","55.9302"
65,0,"1354.93","176.598","55.6926"
66,0,"1355.03","176.72","55.4549"
67,0,"1355.14","176.791","55.2736"
68,0,"1355.25","176.864","55.1145"
69,0,"1355.38","176.943","55.0079"
70,0,"1355.47","177.039","54.8743"
71,0,"1355.64","177.16","54.8192"
72,0,"1355.79","177.287","54.7056"
73,0,"1355.92","177.398","54.6048"
74,0,"1356.04","177.514","54.59"
75,0,"1356.11","177.55","54.527"
76,0,"1356.15","177.57","54.4769"
77,0,"1356.16","177.55","54.4669"
78,0,"1356.14","177.49","54.4882"
79,0,"1356.07","177.381","54.4788"
80,0,"1356","177.25","54.5349"
81,0,"1355.96","177.116","54.6291"
82,0,"1355.91","177.02","54.7158"
83,0,"1355.86","176.928","54.84"
84,0,"1355.85","176.873","54.9223"
85,0,"1355.88","176.859","55.0447"
86,0,"1355.87","176.849","55.0904"
87,0,"1355.88","176.858","55.0968"
88,0,"1355.89","176.869","55.0863"
89,0,"1355.9","176.893","55.0665"
90,0,"1355.91","176.906","55.0436"
91,0,"1355.92","176.893","55.0242"
92,0,"1355.91","176.913","54.9879"
93,0,"1355.9","176.929","54.9641"
94,0,"1355.88","176.953","54.938"
95,0,"1355.83","176.967","54.8647"
96,0,"1355.83","177.02","54.8506"
97,0,"1355.87","177.105","54.8742"
98,0,"1355.87","177.131","54.803"
99,0,"1355.96","177.297","54.7399"
100,0,"1356.09","177.538","54.5254"
101,0,"1356.14","177.541","54.4919"
102,0,"1356.17","177.586","54.4221"
103,0,"1356.18","177.615","54.2862"
104,0,"1356.21","177.705","54.1664"
105,0,"1356.18","177.631","54.1521"
106,0,"1356.19","177.665","54.1212"
107,0,"1356.22","177.799","54.0384"
108,0,"1356.23","177.856","54.0012"
109,0,"1356.22","177.947","53.9365"
110,0,"1356.21","177.968","53.9084"
111,0,"1356.27","178.165","53.7643"
112,0,"1356.29","178.252","53.6958"
113,0,"1356.33","178.306","53.6166"
114,0,"1356.37","178.326","53.5758"
115,0,"1356.42","178.44","53.426"
116,0,"1356.52","178.73","53.1595"
117,0,"1356.49","178.556","53.2676"
118,0,"1356.78","178.853","53.6827"
119,0,"1356.59","179.082","52.9605"
120,0,"1356.61","178.692","53.4802"
121,0,"1356.67","178.691","53.3436"
122,0,"1356.73","178.774","53.3307"
123,0,"1356.67","178.825","53.2829"
124,0,"1356.71","178.871","53.3155"
125,0,"1356.89","178.984","53.6001"
126,0,"1356.58","179.166","52.7441"
127,0,"1356.8","179.171","52.981"
128,0,"1356.75","178.882","53.1791"
129,0,"1356.77","178.923","53.0914"
130,0,"1356.77","178.936","53.04"
131,0,"1356.77","178.915","53.022"
132,0,"1356.75","178.823","53.08"
133,0,"1356.76","178.843","53.071"
134,0,"1356.76","178.822","53.0481"
135,0,"1356.76","178.858","53.0008"
136,0,"1356.77","178.876","52.9445"
137,0,"1356.74","178.887","52.8945"
138,0,"1356.7","178.739","52.9321"
139,0,"1356.72","178.739","52.8975"
140,0,"1356.8","178.846","52.7782"
141,0,"1356.82","178.84","52.7542"
142,0,"1356.84","178.886","52.716"
143,0,"1356.85","178.891","52.7227"
144,0,"1356.84","178.882","52.7374"
145,0,"1356.79","178.72","52.8596"
146,0,"1356.78","178.726","52.8729"
