Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1390)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1381.87","-144.35","850.978"
2,0,"1378.6","-148.193","852.826"
3,0,"1375.47","-151.871","854.402"
4,0,"1372.41","-155.34","855.64"
5,0,"1369.54","-158.738","856.663"
6,0,"1366.78","-161.935","857.264"
7,0,"1364.23","-165.01","857.636"
8,0,"1361.81","-167.793","857.763"
9,0,"1359.62","-170.649","857.66"
10,0,"1357.52","-173.341","857.11"
11,0,"1355.5","-175.861","856.202"
12,0,"1353.55","-178.475","854.757"
13,0,"1351.74","-180.597","853.115"
14,0,"1350.1","-182.555","851.138"
15,0,"1348.58","-184.295","848.826"
16,0,"1347.24","-185.8","846.206"
17,0,"1346.05","-187.033","843.329"
18,0,"1345.08","-187.997","840.186"
19,0,"1344.24","-188.662","836.733"
20,0,"1343.57","-188.684","833.176"
21,0,"1343.03","-188.627","829.195"
22,0,"1342.61","-188.282","824.899"
23,0,"1342.41","-187.508","820.429"
24,0,"1342.48","-186.313","815.923"
25,0,"1342.77","-184.833","811.281"
26,0,"1343.3","-183.048","806.519"
27,0,"1344.01","-180.903","801.627"
28,0,"1344.91","-178.507","796.679"
29,0,"1345.87","-175.717","791.579"
30,0,"1346.68","-172.001","786.016"
31,0,"1348.24","-168.922","781.105"
32,0,"1350.03","-165.603","776.198"
33,0,"1352.02","-161.96","771.308"
34,0,"1354.26","-158.102","766.519"
35,0,"1356.7","-153.93","761.785"
36,0,"1359.39","-149.5","757.151"
37,0,"1362.25","-144.792","752.581"
38,0,"1365.35","-139.883","748.158"
39,0,"1368.64","-134.649","743.835"
40,0,"1372.16","-129.195","739.632"
41,0,"1375.88","-123.474","735.606"
42,0,"1379.79","-117.55","731.709"
43,0,"1383.94","-111.482","728.072"
44,0,"1388.24","-105.159","724.512"
45,0,"1392.78","-98.8042","721.222"
46,0,"1397.52","-92.3476","718.166"
47,0,"1402.48","-85.7756","715.195"
48,0,"1407.6","-79.1017","712.48"
49,0,"1412.84","-72.4469","709.941"
50,0,"1418.18","-65.8082","707.684"
51,0,"1423.57","-59.2008","705.631"
52,0,"1428.94","-52.5488","703.696"
53,0,"1434.31","-45.9279","701.974"
54,0,"1439.64","-39.3392","700.505"
55,0,"1444.96","-32.838","699.273"
56,0,"1450.15","-26.3194","698.115"
57,0,"1455.23","-19.9742","697.246"
58,0,"1460.15","-13.7047","696.518"
59,0,"1464.94","-7.61914","695.936"
60,0,"1469.59","-1.66143","695.485"
61,0,"1474.11","4.08769","695.245"
62,0,"1478.5","9.68032","695.023"
63,0,"1482.71","15.0562","694.921"
64,0,"1486.71","20.2308","694.892"
65,0,"1490.45","25.1304","694.974"
66,0,"1493.96","29.827","695.058"
67,0,"1497.23","34.2673","695.157"
68,0,"1500.24","38.4112","695.321"
69,0,"1503","42.2422","695.595"
70,0,"1505.48","45.8036","695.931"
71,0,"1507.67","49.1076","696.175"
72,0,"1509.58","52.0541","696.478"
73,0,"1511.2","54.7277","696.732"
74,0,"1512.58","57.055","696.936"
75,0,"1513.69","59.0077","697.195"
76,0,"1514.5","60.7176","697.243"
77,0,"1515.04","62.066","697.222"
78,0,"1515.27","63.0375","697.232"
79,0,"1515.23","63.6618","697.052"
80,0,"1514.88","63.9494","696.746"
81,0,"1514.22","63.851","696.36"
82,0,"1513.3","63.3427","695.902"
83,0,"1512.07","62.488","695.392"
84,0,"1510.61","61.2528","694.874"
85,0,"1508.83","59.7459","694.211"
86,0,"1506.89","57.8604","693.51"
87,0,"1504.74","55.6665","692.805"
88,0,"1502.37","53.1573","692.05"
89,0,"1499.83","50.3406","691.291"
90,0,"1497.11","47.3151","690.391"
91,0,"1494.21","43.932","689.591"
92,0,"1491.13","40.2523","688.822"
93,0,"1487.91","36.3479","688.004"
94,0,"1484.58","32.1512","687.264"
95,0,"1481.09","27.7078","686.574"
96,0,"1477.48","22.9591","685.991"
97,0,"1473.75","17.9138","685.446"
98,0,"1469.88","12.6855","684.944"
99,0,"1465.97","7.07854","684.604"
100,0,"1461.85","1.26915","684.317"
101,0,"1457.65","-4.73788","684.121"
102,0,"1453.35","-10.9875","684.099"
103,0,"1449.03","-17.5595","684.305"
104,0,"1444.66","-24.1954","684.621"
105,0,"1440.31","-31.0893","685.15"
106,0,"1435.92","-38.0636","685.868"
107,0,"1431.54","-45.2149","686.919"
108,0,"1427.17","-52.5614","688.229"
109,0,"1422.79","-59.9496","689.695"
110,0,"1418.42","-67.5335","691.411"
111,0,"1414.05","-75.2065","693.354"
112,0,"1409.69","-83.0542","695.624"
113,0,"1405.35","-90.9502","698.068"
114,0,"1401.01","-98.8792","700.693"
115,0,"1396.73","-106.96","703.6"
116,0,"1392.54","-115.113","706.79"
117,0,"1388.4","-123.21","710.12"
118,0,"1384.41","-131.383","713.731"
119,0,"1380.53","-139.458","717.531"
120,0,"1376.79","-147.638","721.591"
121,0,"1373.13","-155.8","725.796"
122,0,"1369.59","-163.952","730.177"
123,0,"1366.18","-172.144","734.737"
124,0,"1362.87","-180.265","739.413"
125,0,"1359.66","-188.335","744.258"
126,0,"1356.64","-196.571","749.398"
127,0,"1353.76","-204.686","754.629"
128,0,"1350.97","-212.577","759.885"
129,0,"1348.32","-220.358","765.249"
130,0,"1345.82","-227.957","770.679"
131,0,"1343.47","-235.329","776.086"
132,0,"1341.23","-242.527","781.517"
133,0,"1339.08","-249.549","786.963"
134,0,"1337.08","-256.362","792.398"
135,0,"1335.17","-262.962","797.771"
136,0,"1333.44","-269.39","803.128"
137,0,"1331.74","-275.59","808.317"
138,0,"1330.12","-281.557","813.451"
139,0,"1328.62","-287.31","818.487"
140,0,"1327.16","-292.782","823.352"
141,0,"1325.81","-298.06","828.146"
142,0,"1324.52","-303.062","832.688"
143,0,"1323.36","-307.758","837.114"
144,0,"1322.24","-312.156","841.281"
