Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1400)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"nan","nan","nan"
2,0,"1391.62","213.471","898.149"
3,0,"1389.75","212.332","899.551"
4,0,"1388.16","211.106","900.778"
5,0,"1386.64","209.88","901.85"
6,0,"1385.25","208.712","902.738"
7,0,"1384.09","207.58","903.418"
8,0,"1383","206.331","903.893"
9,0,"1381.92","204.814","904.173"
10,0,"1380.85","203.212","904.376"
11,0,"1379.79","201.464","904.257"
12,0,"1378.76","199.526","903.973"
13,0,"1377.74","197.399","903.544"
14,0,"1376.71","195.081","902.925"
15,0,"1375.69","192.754","902.225"
16,0,"1374.65","190.302","901.269"
17,0,"1373.54","187.992","900.257"
18,0,"1372.44","185.68","899.192"
19,0,"1371.26","183.631","898.259"
20,0,"1370.16","181.656","897.676"
21,0,"1369.23","179.809","897.439"
22,0,"1368.49","178.009","897.498"
23,0,"1367.94","176.304","897.993"
24,0,"1367.62","174.629","898.716"
25,0,"1367.45","172.916","899.761"
26,0,"1367.46","171.094","900.639"
27,0,"1367.53","169.242","901.578"
28,0,"1367.66","167.387","902.385"
29,0,"1367.64","165.546","902.741"
30,0,"1367.71","163.726","902.99"
31,0,"1367.68","162.063","902.768"
32,0,"1367.69","160.523","902.228"
33,0,"1367.69","159.155","901.561"
34,0,"1367.84","158","900.977"
35,0,"1368.12","156.605","899.47"
36,0,"1366.2","152.716","899.11"
37,0,"1365.45","150.759","898.964"
38,0,"1364.76","148.846","898.849"
39,0,"1364.32","147.176","898.7"
40,0,"1363.66","145.263","898.754"
41,0,"1363.05","143.497","898.871"
42,0,"1362.65","141.844","898.97"
43,0,"1361.77","139.809","899.47"
44,0,"1361.54","138.501","899.519"
45,0,"1360.87","136.776","899.889"
46,0,"1360.51","135.365","899.872"
47,0,"1359.85","133.69","900.162"
48,0,"1359.59","132.568","900.037"
49,0,"1358.96","131.067","900.138"
50,0,"1358.6","129.713","900.126"
51,0,"1358.2","128.522","900.011"
52,0,"1358.09","127.431","899.831"
53,0,"1357.93","126.328","899.717"
54,0,"1353.06","121.055","903.155"
55,0,"1354.68","121.586","902.017"
56,0,"1355.92","122.076","901.472"
57,0,"1356.61","122.091","901.188"
58,0,"1356.75","121.347","901.157"
59,0,"1356.74","120.625","900.915"
60,0,"1356.72","119.788","900.818"
61,0,"1356.68","119.106","900.931"
62,0,"1356.62","118.373","900.866"
63,0,"1356.55","117.603","900.499"
64,0,"1356.5","116.792","900.281"
65,0,"1356.4","116.233","900.223"
66,0,"1356.31","115.588","900.066"
67,0,"1356.21","114.962","899.675"
68,0,"1356.15","114.292","899.369"
69,0,"1356.11","113.744","899.223"
70,0,"1356.23","112.562","899.437"
71,0,"1356.04","112.677","898.843"
72,0,"1356.02","112.253","898.745"
73,0,"1356.07","111.834","898.664"
74,0,"1356.15","111.432","898.503"
75,0,"1356.28","111.113","898.377"
76,0,"1356.49","110.887","898.266"
77,0,"1356.75","110.705","898.194"
78,0,"1357.12","110.352","898.262"
79,0,"1357.4","110.573","898.177"
80,0,"1357.8","110.622","898.212"
81,0,"1358.23","110.649","898.184"
82,0,"1358.65","110.651","898.226"
83,0,"1359.05","110.737","898.306"
84,0,"1359.29","111.358","897.965"
85,0,"1359.78","110.945","898.47"
86,0,"1360.08","111.014","898.649"
87,0,"1360.28","111.037","898.675"
88,0,"1360.46","111.015","898.681"
89,0,"1360.58","111.066","898.708"
90,0,"1360.63","111.048","898.589"
91,0,"1360.66","111.04","898.51"
92,0,"1360.68","111.057","898.402"
93,0,"1360.67","111.104","898.337"
94,0,"1360.68","111.115","898.258"
95,0,"1360.67","111.179","898.195"
96,0,"1360.49","111.892","897.32"
97,0,"1360.68","111.332","898.077"
98,0,"1360.67","111.415","898.026"
99,0,"1360.66","111.482","897.996"
100,0,"1360.35","111.242","898.065"
101,0,"1359.34","110.006","898.273"
102,0,"1358.04","108.689","898.891"
103,0,"1356","106.962","900.581"
104,0,"1361.58","111.966","896.076"
105,0,"1361.69","112.119","896.081"
106,0,"1361.87","112.327","896.059"
107,0,"1359.85","109.417","898.527"
108,0,"nan","nan","nan"
109,0,"nan","nan","nan"
110,0,"nan","nan","nan"
111,0,"nan","nan","nan"
112,0,"nan","nan","nan"
113,0,"nan","nan","nan"
114,0,"nan","nan","nan"
115,0,"nan","nan","nan"
116,0,"nan","nan","nan"
117,0,"nan","nan","nan"
118,0,"nan","nan","nan"
119,0,"nan","nan","nan"
120,0,"nan","nan","nan"
121,0,"nan","nan","nan"
122,0,"nan","nan","nan"
123,0,"1367.14","116.435","896.133"
124,0,"1366.42","115.453","896.833"
125,0,"1365.83","114.563","897.404"
126,0,"1365.59","113.976","897.674"
127,0,"1365.56","113.638","897.842"
128,0,"1365.72","113.46","897.961"
129,0,"1365.94","113.37","898.044"
130,0,"1366.12","113.252","898.139"
131,0,"1366.3","113.119","898.211"
132,0,"1366.44","112.968","898.275"
133,0,"1366.58","112.847","898.367"
134,0,"1366.7","112.679","898.456"
135,0,"1366.79","112.497","898.524"
136,0,"1366.86","112.267","898.499"
137,0,"1366.92","112.045","898.654"
138,0,"1366.97","111.737","898.704"
139,0,"1366.98","111.443","898.687"
140,0,"1366.96","111.155","898.682"
141,0,"1366.9","110.952","898.76"
142,0,"1366.79","110.665","898.746"
143,0,"1366.65","110.394","898.791"
144,0,"1366.49","110.076","898.776"
145,0,"1366.32","109.767","898.847"
146,0,"1366.16","109.411","898.828"
147,0,"1365.95","109.145","898.937"
148,0,"1365.72","108.756","898.981"
149,0,"1365.53","108.431","898.957"
150,0,"1365.31","108.081","898.934"
151,0,"1365.09","107.719","898.887"
152,0,"1364.87","107.321","898.87"
153,0,"1364.67","106.929","898.808"
154,0,"1364.47","106.612","898.735"
155,0,"1364.31","106.336","898.838"
156,0,"1364.16","105.964","898.912"
