Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1392)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1308.06","94.7153","452.822"
2,0,"1304.96","95.633","454.026"
3,0,"1301.88","97.0884","455.004"
4,0,"1298.89","98.9683","455.757"
5,0,"1296.07","101.22","456.413"
6,0,"1293.41","103.752","456.804"
7,0,"1290.81","106.516","457.051"
8,0,"1288.38","109.425","457.126"
9,0,"1286.22","112.483","457.017"
10,0,"1284.49","115.403","456.725"
11,0,"1283.24","118.245","456.07"
12,0,"1282.44","120.694","455.177"
13,0,"1282.02","122.57","453.989"
14,0,"1281.79","123.968","452.531"
15,0,"1281.58","125.133","450.868"
16,0,"1281.3","126.558","449.018"
17,0,"1281.02","128.147","447.276"
18,0,"1280.95","129.663","445.828"
19,0,"1281.42","130.542","444.823"
20,0,"1282.16","130.316","444.493"
21,0,"1283.18","129.486","444.58"
22,0,"1284.22","128.42","444.873"
23,0,"1285.08","127.358","444.993"
24,0,"1285.67","126.267","445.086"
25,0,"1286.14","125.276","445.138"
26,0,"1286.79","124.291","445.095"
27,0,"1287.5","123.294","445.121"
28,0,"1288.2","122.333","445.001"
29,0,"1288.31","121.841","444.571"
30,0,"1288.53","121.131","444.677"
31,0,"1288.56","120.385","444.533"
32,0,"1288.49","119.721","444.33"
33,0,"1288.88","118.498","444.529"
34,0,"1288.36","118.386","444.014"
35,0,"1288.17","118.065","443.868"
36,0,"1288.12","117.587","443.632"
37,0,"1288.04","117.407","443.424"
38,0,"1287.96","117.254","443.158"
39,0,"1288.44","115.935","444.203"
40,0,"1287.79","116.806","443.215"
41,0,"nan","nan","nan"
42,0,"1289.31","117.929","441.778"
43,0,"1290","118.695","440.002"
44,0,"1286.36","115.118","442.835"
45,0,"1290.39","120.036","439.339"
46,0,"nan","nan","nan"
47,0,"nan","nan","nan"
48,0,"nan","nan","nan"
49,0,"1285.98","114.443","442.462"
50,0,"1291.75","120.033","437.659"
51,0,"1291.14","119.001","437.664"
52,0,"1288.06","116.001","440.363"
53,0,"1289.06","116.852","439.347"
54,0,"1289.33","116.905","438.979"
55,0,"1289.66","117.036","438.695"
56,0,"1290.06","117.225","438.451"
57,0,"1290.54","117.477","438.262"
58,0,"1291.09","117.893","438.046"
59,0,"1291.61","118.419","437.838"
60,0,"1292.14","119.131","437.556"
61,0,"1292.62","119.952","437.231"
62,0,"1293.17","120.907","436.82"
63,0,"1293.68","121.886","436.322"
64,0,"1294.26","122.866","435.793"
65,0,"1294.89","123.918","435.259"
66,0,"1295.5","124.99","434.716"
67,0,"1296.12","126.185","434.163"
68,0,"1296.74","127.446","433.647"
69,0,"1297.41","128.688","433.173"
70,0,"1298.01","129.936","432.771"
71,0,"1298.66","131.077","432.432"
72,0,"1299.29","132.107","432.108"
73,0,"1299.82","132.956","431.905"
74,0,"1300.28","133.701","431.656"
75,0,"1300.54","134.199","431.504"
76,0,"1300.66","134.486","431.37"
77,0,"1300.68","134.601","431.269"
78,0,"1300.64","134.495","431.258"
79,0,"1300.58","134.247","431.29"
80,0,"1300.5","133.93","431.305"
81,0,"1300.42","133.604","431.355"
82,0,"1300.3","133.241","431.418"
83,0,"1300.19","132.938","431.482"
84,0,"1300.1","132.715","431.546"
85,0,"1300.06","132.511","431.631"
86,0,"1300.05","132.343","431.721"
87,0,"1300.05","132.238","431.78"
88,0,"1300.06","132.173","431.796"
89,0,"1300.05","132.135","431.788"
90,0,"1300.04","132.132","431.751"
91,0,"1300.03","132.163","431.682"
92,0,"1300.03","132.208","431.598"
93,0,"1300.04","132.27","431.518"
94,0,"1300.05","132.361","431.458"
95,0,"1300.05","132.505","431.378"
96,0,"1300.06","132.671","431.345"
97,0,"1300.1","132.837","431.325"
98,0,"1300.2","132.993","431.315"
99,0,"1300.31","133.179","431.276"
100,0,"1300.42","133.364","431.25"
101,0,"1300.49","133.533","431.202"
102,0,"1300.54","133.689","431.142"
103,0,"1300.57","133.828","431.082"
104,0,"1300.62","133.933","431.008"
105,0,"1300.65","134.02","430.936"
106,0,"1298.8","131.96","432.245"
107,0,"1303.24","136.212","428.367"
108,0,"1303.29","136.173","428.346"
109,0,"1303.36","136.093","428.345"
110,0,"1303.5","136.058","428.322"
111,0,"1303.63","135.99","428.318"
112,0,"1302.55","134.263","428.776"
113,0,"1303.98","135.984","428.245"
114,0,"1304.91","136.847","427.707"
115,0,"1302.46","134.309","429.968"
116,0,"1302.12","133.854","430.372"
117,0,"1302.31","133.901","430.309"
118,0,"1302.51","133.938","430.264"
119,0,"1302.69","133.941","430.26"
120,0,"1302.86","133.905","430.256"
121,0,"1303.03","133.826","430.275"
122,0,"1303.39","132.906","431.283"
123,0,"1303.43","133.319","430.725"
124,0,"1303.56","133.374","430.616"
125,0,"1303.92","132.469","431.422"
126,0,"1304.05","132.53","431.357"
127,0,"1304.04","133.039","430.689"
128,0,"1304.22","132.946","430.689"
129,0,"1304.41","132.86","430.682"
130,0,"1304.85","132.624","431.224"
131,0,"1304.26","133.566","430.146"
132,0,"1304.43","133.456","430.155"
133,0,"1304.72","133.007","430.053"
134,0,"1305.07","132.769","430.428"
135,0,"1305.48","132.334","430.817"
136,0,"1304.96","132.966","430.153"
137,0,"1305.08","132.817","430.112"
138,0,"1304.97","132.738","429.611"
139,0,"1305.68","132.031","430.21"
140,0,"1305.92","131.762","430.184"
141,0,"1306.1","131.527","430.193"
142,0,"1306.22","131.317","430.208"
143,0,"1306.3","131.133","430.23"
144,0,"1306.34","130.939","430.259"
145,0,"1306.36","130.748","430.278"
146,0,"1306.34","130.558","430.277"
147,0,"1306.29","130.363","430.292"
148,0,"1306.21","130.189","430.275"
149,0,"1306.11","130.013","430.264"
150,0,"1305.97","129.825","430.259"
151,0,"1305.79","129.64","430.235"
152,0,"1305.59","129.437","430.254"
153,0,"1305.39","129.249","430.244"
