Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1388)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1415.08","156.302","1288.22"
2,0,"1412.82","154.126","1288.34"
3,0,"1410.58","151.86","1288.45"
4,0,"1408.41","149.462","1288.6"
5,0,"1406.29","147.018","1288.7"
6,0,"1404.24","144.505","1288.77"
7,0,"1402.29","141.939","1288.84"
8,0,"1400.38","139.342","1288.76"
9,0,"1398.61","136.692","1288.66"
10,0,"1396.92","134","1288.46"
11,0,"1395.37","131.23","1288.23"
12,0,"1393.87","128.437","1287.86"
13,0,"1392.45","125.589","1287.39"
14,0,"1391.07","122.691","1286.77"
15,0,"1389.78","119.713","1286.09"
16,0,"1388.48","116.694","1285.31"
17,0,"1386.76","114.11","1283.83"
18,0,"1385.55","110.851","1283.02"
19,0,"1384.38","107.496","1282.16"
20,0,"1383.26","103.989","1281.32"
21,0,"1382.19","100.375","1280.55"
22,0,"1381.1","96.7122","1279.85"
23,0,"1379.97","93.0782","1279.28"
24,0,"1378.87","89.505","1278.76"
25,0,"1377.77","86.0298","1278.29"
26,0,"1376.72","82.6513","1277.9"
27,0,"1375.75","79.3992","1277.42"
28,0,"1374.82","76.2017","1276.95"
29,0,"1373.96","73.1348","1276.38"
30,0,"1373.2","70.1349","1275.81"
31,0,"1372.46","67.2493","1275.23"
32,0,"1371.8","64.476","1274.64"
33,0,"1371.24","61.8005","1274.06"
34,0,"1370.72","59.213","1273.44"
35,0,"1370.27","56.6723","1272.8"
36,0,"1369.88","54.2158","1272.17"
37,0,"1369.54","51.8262","1271.52"
38,0,"1369.25","49.4955","1270.9"
39,0,"1369.02","47.2252","1270.32"
40,0,"1368.87","45.025","1269.8"
41,0,"1368.8","42.8883","1269.3"
42,0,"1368.76","40.7763","1268.85"
43,0,"1368.8","38.7258","1268.4"
44,0,"1368.88","36.6819","1268.07"
45,0,"1368.97","34.7109","1267.71"
46,0,"1369.07","32.7436","1267.41"
47,0,"1369.19","30.8149","1267.15"
48,0,"1369.29","28.9326","1266.92"
49,0,"1369.37","27.1192","1266.68"
50,0,"1369.44","25.3749","1266.44"
51,0,"1369.51","23.6653","1266.17"
52,0,"1369.58","22.02","1265.86"
53,0,"1369.68","20.4239","1265.54"
54,0,"1369.71","18.9097","1265.19"
55,0,"1369.84","17.4156","1264.89"
56,0,"1369.97","16.005","1264.58"
57,0,"1370.15","14.5853","1264.3"
58,0,"1370.39","13.1816","1264.03"
59,0,"1370.65","11.8162","1263.77"
60,0,"1370.95","10.4452","1263.51"
61,0,"1371.31","9.09114","1263.28"
62,0,"1371.66","7.76592","1263.02"
63,0,"1372.02","6.48099","1262.76"
64,0,"1372.4","5.24438","1262.51"
65,0,"1372.71","4.08577","1262.17"
66,0,"1373.05","2.97676","1261.87"
67,0,"1373.34","1.96786","1261.58"
68,0,"1373.6","1.00854","1261.28"
69,0,"1373.78","0.154037","1260.97"
70,0,"1373.91","-0.685186","1260.65"
71,0,"1374.06","-1.51492","1260.43"
72,0,"1374.12","-2.29909","1260.14"
73,0,"1374.21","-3.06027","1259.93"
74,0,"1374.33","-3.82372","1259.71"
75,0,"1374.45","-4.52479","1259.49"
76,0,"1374.57","-5.21139","1259.25"
77,0,"1374.7","-5.85293","1258.99"
78,0,"1374.85","-6.45798","1258.74"
79,0,"1374.96","-6.98905","1258.47"
80,0,"1375.09","-7.49324","1258.24"
81,0,"1375.15","-7.89772","1258.02"
82,0,"1375.13","-8.22474","1257.77"
83,0,"1375.12","-8.49357","1257.56"
84,0,"1375.08","-8.69267","1257.38"
85,0,"1375.05","-8.84053","1257.2"
86,0,"1375.02","-8.93066","1257.03"
87,0,"1375.03","-8.96962","1256.87"
88,0,"1375.08","-8.96593","1256.72"
89,0,"1375.19","-8.92213","1256.58"
90,0,"1375.34","-8.83402","1256.45"
91,0,"1375.52","-8.70844","1256.33"
92,0,"1375.73","-8.55396","1256.25"
93,0,"1375.98","-8.35872","1256.17"
94,0,"1376.24","-8.11733","1256.11"
95,0,"1376.47","-7.84937","1256.06"
96,0,"1376.69","-7.55497","1256.03"
97,0,"1376.92","-7.2198","1255.98"
98,0,"1377.12","-6.84795","1255.93"
99,0,"1377.27","-6.42509","1255.87"
100,0,"1377.37","-5.97917","1255.81"
101,0,"1377.44","-5.47521","1255.77"
102,0,"1377.53","-4.96873","1255.77"
103,0,"1377.59","-4.40508","1255.77"
104,0,"1377.68","-3.83674","1255.85"
105,0,"1377.78","-3.24567","1255.96"
106,0,"1377.93","-2.63126","1256.07"
107,0,"1378.15","-2.04915","1256.29"
108,0,"1378.33","-1.45062","1256.57"
109,0,"1378.57","-0.887674","1256.99"
110,0,"1378.78","-0.293952","1257.39"
111,0,"1379","0.25166","1257.85"
112,0,"1379.2","0.758464","1258.32"
113,0,"1379.43","1.22599","1258.79"
114,0,"1379.69","1.65102","1259.27"
115,0,"1379.92","2.06615","1259.77"
116,0,"1380.15","2.4369","1260.32"
117,0,"1380.37","2.80477","1260.9"
118,0,"1380.56","3.17994","1261.48"
119,0,"1380.78","3.54425","1262.14"
120,0,"1380.95","3.94431","1262.71"
121,0,"1381.11","4.33257","1263.35"
122,0,"1381.21","4.7568","1263.87"
123,0,"1381.34","5.13112","1264.5"
124,0,"1381.4","5.51317","1265.04"
125,0,"1381.45","5.87556","1265.6"
126,0,"1381.46","6.19429","1266.14"
127,0,"1381.43","6.53235","1266.64"
128,0,"1381.39","6.80344","1267.19"
129,0,"1381.34","7.06836","1267.76"
130,0,"1381.28","7.27879","1268.35"
131,0,"1381.2","7.47019","1268.97"
132,0,"1381.13","7.61659","1269.6"
133,0,"1381.06","7.72464","1270.27"
134,0,"1380.96","7.81319","1270.92"
135,0,"1380.89","7.8619","1271.61"
136,0,"1380.79","7.90386","1272.27"
137,0,"1380.68","7.93009","1272.87"
138,0,"1380.6","7.94539","1273.53"
