Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1371)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1050.54","377.708","941.774"
2,0,"1049.78","375.954","941.755"
3,0,"1049.24","374.298","941.883"
4,0,"1048.82","372.62","942.098"
5,0,"1048.55","371.06","942.349"
6,0,"1048.42","369.504","942.654"
7,0,"1048.31","368.082","942.969"
8,0,"1048.29","366.824","943.34"
9,0,"1048.26","365.534","943.687"
10,0,"1048.28","364.341","944.069"
11,0,"1048.13","363.188","944.389"
12,0,"1047.89","362.183","944.731"
13,0,"1047.48","361.251","945.005"
14,0,"1046.87","360.307","945.323"
15,0,"1046.11","359.621","945.666"
16,0,"1045.36","358.781","945.926"
17,0,"1044.57","358.048","946.224"
18,0,"1043.76","357.406","946.51"
19,0,"1042.98","356.826","946.862"
20,0,"1042.47","356.267","947.266"
21,0,"1042.01","355.913","947.774"
22,0,"1041.73","355.688","948.431"
23,0,"1041.65","355.655","949.193"
24,0,"1041.77","355.806","950.076"
25,0,"1042.21","356.18","951.019"
26,0,"1042.84","356.681","952.029"
27,0,"1043.67","357.411","953.004"
28,0,"1044.68","358.362","954.015"
29,0,"1045.76","359.493","955.069"
30,0,"1046.95","360.683","956.117"
31,0,"1048.19","362.132","957.24"
32,0,"1049.37","363.606","958.387"
33,0,"1050.54","365.253","959.659"
34,0,"1051.57","367.102","961.069"
35,0,"1052.59","368.986","962.443"
36,0,"1053.72","370.957","964.001"
37,0,"1054.68","373.129","965.529"
38,0,"1055.97","375.179","967.058"
39,0,"1057.11","377.467","968.682"
40,0,"1058.52","379.506","970.299"
41,0,"1059.97","381.591","971.967"
42,0,"1061.55","383.604","973.659"
43,0,"1063.17","385.544","975.426"
44,0,"1064.8","387.416","977.146"
45,0,"1066.4","389.32","978.995"
46,0,"1068","391.156","980.943"
47,0,"1069.59","393.343","983.105"
48,0,"1071.28","395.285","985.256"
49,0,"1072.82","397.11","987.142"
50,0,"1074.45","399.117","989.249"
51,0,"1075.98","401.03","991.244"
52,0,"1077.45","402.985","993.226"
53,0,"1078.89","404.895","995.096"
54,0,"1080.34","406.887","997.07"
55,0,"1081.83","408.807","999.04"
56,0,"1083.21","410.639","1000.94"
57,0,"1084.88","413.317","1003.19"
58,0,"1085.98","414.323","1004.84"
59,0,"1087.09","415.666","1006.69"
60,0,"1088.15","416.906","1008.64"
61,0,"1089.07","418.02","1010.46"
62,0,"1090.01","418.921","1012.31"
63,0,"1090.96","419.637","1014.12"
64,0,"1091.9","420.202","1015.81"
65,0,"1092.81","420.592","1017.39"
66,0,"1093.74","420.809","1018.92"
67,0,"1094.73","420.851","1020.42"
68,0,"1095.65","420.788","1021.81"
69,0,"1096.57","420.6","1023.12"
70,0,"1097.45","420.377","1024.32"
71,0,"1098.37","420.1","1025.54"
72,0,"1099.12","419.829","1026.56"
73,0,"1099.78","419.554","1027.58"
74,0,"1100.27","419.316","1028.53"
75,0,"1100.55","419.144","1029.42"
76,0,"1100.7","418.986","1030.27"
77,0,"1100.72","418.824","1031.04"
78,0,"1100.61","418.654","1031.73"
79,0,"1100.42","418.452","1032.35"
80,0,"1100.17","418.13","1032.9"
81,0,"1099.83","417.709","1033.25"
82,0,"1099.49","417.132","1033.47"
83,0,"1099.14","416.404","1033.45"
84,0,"1098.75","415.556","1033.21"
85,0,"1098.45","414.518","1032.83"
86,0,"1098.15","413.371","1032.18"
87,0,"1097.92","412.098","1031.33"
88,0,"1097.77","410.688","1030.29"
89,0,"1097.59","409.198","1028.99"
90,0,"1097.47","407.542","1027.58"
91,0,"1097.31","405.808","1025.95"
92,0,"1097.18","403.903","1024.19"
93,0,"1097","401.873","1022.29"
94,0,"1096.82","399.709","1020.27"
95,0,"1096.67","397.358","1018.2"
96,0,"1096.52","394.935","1015.98"
97,0,"1096.41","392.469","1013.72"
98,0,"1096.42","390.439","1011.58"
99,0,"1096.46","388.301","1009.33"
100,0,"1096.09","384.051","1006.4"
101,0,"1095.99","381.19","1003.88"
102,0,"1095.8","378.301","1001.34"
103,0,"1095.57","375.371","998.829"
104,0,"1095.21","372.496","996.305"
105,0,"1094.84","369.606","993.911"
106,0,"1094.35","366.743","991.503"
107,0,"1093.81","363.914","989.217"
108,0,"1093.21","361.138","986.96"
109,0,"1092.53","358.417","984.768"
110,0,"1091.84","355.743","982.689"
111,0,"1091.12","353.139","980.666"
112,0,"1090.39","350.588","978.677"
113,0,"1089.57","348.076","976.74"
114,0,"1088.82","345.849","975.125"
115,0,"1087.97","343.749","973.64"
116,0,"1086.81","340.849","971.511"
117,0,"1085.95","338.607","970.121"
118,0,"1084.53","335.901","968.225"
119,0,"1083.38","333.515","966.8"
120,0,"1082.18","331.42","965.574"
121,0,"1080.83","329.213","964.284"
122,0,"1079.58","326.928","963.174"
123,0,"1078.4","324.576","962.079"
124,0,"1077.21","322.135","960.926"
125,0,"1076.13","319.68","959.857"
126,0,"1075.12","317.032","958.752"
127,0,"1074.23","314.307","957.697"
128,0,"1073.3","311.626","956.67"
129,0,"1072.58","308.644","955.625"
130,0,"1071.97","305.659","954.593"
131,0,"1071.43","302.648","953.639"
132,0,"1070.91","299.978","952.961"
133,0,"1070.52","296.501","951.886"
134,0,"1070.13","293.421","951.125"
135,0,"1069.67","290.38","950.35"
136,0,"1069.31","287.307","949.698"
137,0,"1068.95","284.239","949.12"
138,0,"1068.64","281.23","948.563"
139,0,"1068.34","278.203","948.039"
140,0,"1068.07","275.251","947.574"
141,0,"1067.85","272.53","947.362"
142,0,"1067.62","269.361","946.879"
143,0,"1067.38","266.555","946.573"
144,0,"1067.23","263.877","946.358"
145,0,"1067.08","261.349","946.254"
146,0,"1066.9","258.793","946.043"
147,0,"1066.76","256.384","945.959"
148,0,"1066.59","254.105","945.92"
149,0,"1066.46","252.007","945.942"
150,0,"1066.26","250.047","946.005"
