Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1383)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1239.77","472.874","39.845"
2,0,"1239.91","472.518","40.1158"
3,0,"1240.02","472.615","40.1882"
4,0,"1240.06","472.498","40.3999"
5,0,"1240.13","472.171","40.7397"
6,0,"1240.26","471.77","41.0536"
7,0,"1240.36","471.544","41.3724"
8,0,"1240.44","471.361","41.4749"
9,0,"1240.47","471.275","41.5851"
10,0,"1240.49","471.063","41.7666"
11,0,"1240.52","470.729","41.9752"
12,0,"1240.52","470.743","42.1564"
13,0,"1240.51","470.708","42.3067"
14,0,"1240.46","470.38","42.6061"
15,0,"1240.44","470.506","42.7318"
16,0,"1240.39","470.419","43.0499"
17,0,"1240.38","470.252","43.2816"
18,0,"1240.4","469.905","43.7831"
19,0,"1240.36","469.771","44.3854"
20,0,"1240.33","469.545","44.9006"
21,0,"1240.34","469.363","45.1634"
22,0,"1240.29","468.973","45.6199"
23,0,"1240.22","468.792","46.0169"
24,0,"1240.19","468.824","46.3763"
25,0,"1240.14","468.45","47.0085"
26,0,"1240.14","468.347","47.3475"
27,0,"1240.09","468.064","47.8188"
28,0,"1240.09","467.91","48.2733"
29,0,"1240.1","467.707","48.8462"
30,0,"1240.11","467.263","49.2723"
31,0,"1240.16","467.066","49.8152"
32,0,"1240.19","466.972","50.3748"
33,0,"1240.24","466.615","50.9612"
34,0,"1240.23","466.513","51.3296"
35,0,"1240.18","466.212","51.7773"
36,0,"1240.07","466.101","52.2179"
37,0,"1240.05","466.066","52.6681"
38,0,"1239.97","465.887","53.1709"
39,0,"1239.9","466.009","53.5308"
40,0,"1239.81","465.926","53.8535"
41,0,"1239.79","465.632","54.4139"
42,0,"1239.7","465.534","54.8144"
43,0,"1239.63","465.587","54.9871"
44,0,"1239.59","465.517","55.2787"
45,0,"1239.47","465.031","55.7569"
46,0,"1239.4","464.889","56.2252"
47,0,"1239.34","464.788","56.5816"
48,0,"1239.27","464.578","57.0813"
49,0,"1239.22","464.562","57.577"
50,0,"1239.12","464.303","57.9457"
51,0,"1238.99","464.16","58.1846"
52,0,"1239","463.386","58.1504"
53,0,"1238.99","464.229","58.8002"
54,0,"1238.78","464.15","58.8895"
55,0,"1238.57","463.977","59.2216"
56,0,"1238.44","464.139","59.4668"
57,0,"1238.19","464.351","59.4076"
58,0,"1237.85","464.341","59.5915"
59,0,"1237.59","463.533","59.1846"
60,0,"1237.83","463.093","60.0064"
61,0,"1237.37","463.835","59.9918"
62,0,"1237.43","464.274","60.5537"
63,0,"1237.58","464.268","61.0904"
64,0,"1237.26","464.219","60.5051"
65,0,"1237.35","464.035","60.6288"
66,0,"1237.42","464.199","60.8562"
67,0,"1237.41","464.224","60.8509"
68,0,"1237.43","464.378","60.9951"
69,0,"1237.55","464.19","61.1929"
70,0,"1237.41","464.089","60.8935"
71,0,"1237.5","464.099","60.8744"
72,0,"1237.61","464.149","60.9414"
73,0,"1237.69","464.203","60.9748"
74,0,"1237.8","464.044","61.0412"
75,0,"1237.88","463.885","61.0892"
76,0,"1237.94","463.844","61.0978"
77,0,"1237.98","463.697","61.1731"
78,0,"1237.98","463.671","61.2183"
79,0,"1237.96","463.615","61.2887"
80,0,"1237.9","463.554","61.426"
81,0,"1237.82","463.568","61.522"
82,0,"1237.7","463.556","61.6767"
83,0,"1237.54","463.604","61.8357"
84,0,"1237.41","463.558","62.0559"
85,0,"1237.22","463.801","62.0971"
86,0,"1237.11","463.95","62.1914"
87,0,"1236.99","464.172","62.3501"
88,0,"1236.81","464.465","62.3741"
89,0,"1236.7","464.545","62.3904"
90,0,"1236.6","464.684","62.4322"
91,0,"1236.5","464.859","62.5397"
92,0,"1236.46","464.959","62.5953"
93,0,"1236.44","465.01","62.5921"
94,0,"1236.42","465.087","62.5629"
95,0,"1236.46","465.071","62.5728"
96,0,"1236.49","465.02","62.4537"
97,0,"1236.74","464.948","62.981"
98,0,"1236.51","464.819","61.8633"
99,0,"1236.68","464.188","61.8816"
100,0,"1237.12","464.534","62.9033"
101,0,"1237.16","464.626","62.8521"
102,0,"1237.06","464.74","62.3774"
103,0,"1237.16","464.473","62.4229"
104,0,"1237.02","463.989","61.7529"
105,0,"1237.21","464.416","62.3727"
106,0,"1237.37","463.118","61.7203"
107,0,"1237.2","463.746","61.4171"
108,0,"1237.19","463.941","61.2808"
109,0,"1236.86","464.766","61.1344"
110,0,"1237.2","464.696","61.7063"
111,0,"1237.09","464.886","61.5575"
112,0,"1237.17","464.049","61.1888"
113,0,"1237.17","464.035","61.1468"
114,0,"1237.11","464.738","61.3682"
115,0,"1237.15","464.732","61.2658"
116,0,"1237.16","464.574","61.2699"
117,0,"1237.18","464.536","61.1898"
118,0,"1237.22","464.591","61.08"
119,0,"1237.28","464.704","60.9386"
120,0,"1237.33","464.731","60.8754"
121,0,"1237.39","464.647","60.8873"
122,0,"1237.46","464.695","60.819"
123,0,"1237.51","464.674","60.7572"
124,0,"1237.59","464.535","60.8387"
125,0,"1237.63","464.457","60.7974"
126,0,"1237.66","464.383","60.7411"
127,0,"1237.74","464.374","60.7213"
128,0,"1237.79","464.215","60.6946"
129,0,"1237.84","464.157","60.6993"
130,0,"1237.85","464.033","60.6387"
131,0,"1237.9","463.927","60.7143"
132,0,"1237.95","463.808","60.7004"
133,0,"1237.95","463.887","60.7405"
134,0,"1238","463.807","60.7764"
135,0,"1238.05","463.741","60.7875"
136,0,"1238.09","463.783","60.698"
137,0,"1238.12","463.71","60.7063"
138,0,"1238.17","463.601","60.6334"
139,0,"1238.15","463.51","60.5508"
140,0,"1238.14","463.431","60.4856"
141,0,"1238.15","463.284","60.5214"
142,0,"1238.17","463.226","60.5541"
143,0,"1238.19","463.166","60.6293"
144,0,"1238.17","463.131","60.6457"
145,0,"1238.12","462.878","60.7824"
146,0,"1238.13","462.749","60.907"
