Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1380)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1015.21","182.579","807.27"
2,0,"1015.49","179.581","808.782"
3,0,"1015.82","176.761","810.242"
4,0,"1016.15","174.135","811.703"
5,0,"1016.48","171.714","813.071"
6,0,"1016.8","169.489","814.365"
7,0,"1017.04","167.458","815.488"
8,0,"1017.23","165.594","816.509"
9,0,"1017.42","163.847","817.433"
10,0,"1017.66","162.214","818.269"
11,0,"1017.91","160.725","818.954"
12,0,"1018.19","159.458","819.434"
13,0,"1018.25","158.2","819.776"
14,0,"1018.2","157.073","819.834"
15,0,"1018.2","156.343","819.618"
16,0,"1018.69","156.716","818.698"
17,0,"1018.84","156.45","818.005"
18,0,"1019.06","156.346","817.143"
19,0,"1019.35","156.522","816.194"
20,0,"1019.36","157.031","815.017"
21,0,"1019.23","158.013","813.521"
22,0,"1019.02","159.27","811.791"
23,0,"1018.82","160.989","809.996"
24,0,"1018.64","163.298","808.019"
25,0,"1018.17","165.843","806.057"
26,0,"1017.75","168.875","803.917"
27,0,"1017.23","172.295","801.728"
28,0,"1016.61","176.104","799.516"
29,0,"1015.97","180.255","797.286"
30,0,"1015.48","184.8","795.111"
31,0,"1015.11","189.639","792.977"
32,0,"1014.85","194.901","790.802"
33,0,"1014.55","200.518","788.606"
34,0,"1014.25","206.523","786.402"
35,0,"1013.91","212.865","784.277"
36,0,"1013.57","219.357","782.354"
37,0,"1013.27","225.856","780.695"
38,0,"1013.2","232.435","779.274"
39,0,"1013.23","239.023","778.019"
40,0,"1013.41","245.739","776.938"
41,0,"1013.6","252.53","775.903"
42,0,"1013.7","259.447","774.892"
43,0,"1013.88","266.414","774.014"
44,0,"1014.18","273.413","773.284"
45,0,"1014.44","280.634","772.623"
46,0,"1014.66","288.036","772.103"
47,0,"1014.88","295.575","771.783"
48,0,"1015.07","303.196","771.653"
49,0,"1015.32","310.75","771.717"
50,0,"1015.57","318.277","771.935"
51,0,"1015.78","325.76","772.355"
52,0,"1015.88","333.28","772.888"
53,0,"1015.96","340.778","773.597"
54,0,"1015.85","348.323","774.485"
55,0,"1015.6","355.837","775.482"
56,0,"1015.31","363.341","776.652"
57,0,"1014.97","370.829","778.003"
58,0,"1014.57","378.335","779.467"
59,0,"1014.13","385.812","781.101"
60,0,"1013.66","393.298","782.912"
61,0,"1013.08","400.738","784.857"
62,0,"1012.49","408.045","786.939"
63,0,"1011.86","415.225","789.217"
64,0,"1011.1","422.239","791.617"
65,0,"1009.91","428.472","794.061"
66,0,"1008.27","433.015","797.701"
67,0,"1008.93","441.684","799.222"
68,0,"1008.15","447.625","802.075"
69,0,"1007.4","453.217","805.056"
70,0,"1006.62","458.276","807.947"
71,0,"1005.87","462.93","810.819"
72,0,"1005.21","467.016","813.565"
73,0,"1004.68","470.673","816.12"
74,0,"1004.19","473.746","818.431"
75,0,"1003.76","476.294","820.442"
76,0,"1003.32","478.332","822.181"
77,0,"1002.9","479.852","823.669"
78,0,"1002.49","480.866","824.804"
79,0,"1002.08","481.376","825.708"
80,0,"1001.67","481.496","826.357"
81,0,"1001.33","481.192","826.76"
82,0,"1000.98","480.53","826.851"
83,0,"1000.73","479.531","826.678"
84,0,"1000.51","478.165","826.232"
85,0,"1000.38","476.532","825.508"
86,0,"1000.26","474.505","824.564"
87,0,"1000.21","472.162","823.323"
88,0,"1000.13","469.417","821.849"
89,0,"1000.18","466.321","820.057"
90,0,"1000.13","462.767","818.03"
91,0,"1000.18","458.856","815.784"
92,0,"1000.23","454.509","813.294"
93,0,"1000.3","449.78","810.646"
94,0,"1000.38","444.614","807.81"
95,0,"1000.58","439.117","804.917"
96,0,"1000.08","432.539","802.073"
97,0,"1000.91","426.962","799.039"
98,0,"1001.26","420.379","795.873"
99,0,"1001.57","413.335","792.656"
100,0,"1001.99","405.882","789.432"
101,0,"1002.36","398.092","786.188"
102,0,"1002.82","389.992","783.008"
103,0,"1003.32","381.592","779.888"
104,0,"1003.85","372.943","776.851"
105,0,"1004.42","364.091","773.962"
106,0,"1005.08","355.052","771.244"
107,0,"1005.8","345.839","768.773"
108,0,"1006.58","336.57","766.54"
109,0,"1007.4","327.163","764.514"
110,0,"1008.28","317.725","762.817"
111,0,"1009.19","308.251","761.355"
112,0,"1010.13","298.776","760.183"
113,0,"1011.12","289.311","759.283"
114,0,"1012.16","279.886","758.675"
115,0,"1013.25","270.487","758.356"
116,0,"1014.37","261.222","758.33"
117,0,"1015.53","252.026","758.607"
118,0,"1016.74","242.941","759.178"
119,0,"1018.02","233.976","760.042"
120,0,"1019.31","225.117","761.202"
121,0,"1020.6","216.363","762.636"
122,0,"1021.94","207.729","764.328"
123,0,"1023.16","199.215","766.248"
124,0,"1024.36","190.806","768.37"
125,0,"1025.54","182.583","770.648"
126,0,"1026.72","174.49","773.082"
127,0,"1027.83","166.542","775.635"
128,0,"1028.89","158.719","778.298"
129,0,"1029.88","151.1","781.04"
130,0,"1030.84","143.581","783.927"
131,0,"1031.71","136.272","786.861"
132,0,"1032.56","129.069","789.953"
133,0,"1033.41","122.01","793.168"
134,0,"1034.28","115.086","796.507"
135,0,"1035.14","108.309","799.899"
136,0,"1035.92","101.757","803.316"
137,0,"1036.57","95.3954","806.724"
138,0,"1037.16","89.251","810.173"
139,0,"1037.68","83.3641","813.533"
140,0,"1038.16","77.7567","816.79"
141,0,"1038.51","72.435","819.947"
142,0,"1038.76","67.3777","822.978"
143,0,"1038.99","62.6086","825.901"
144,0,"1039.13","58.0591","828.717"
145,0,"1039.27","53.7542","831.416"
146,0,"1039.41","49.6442","834.032"
147,0,"1039.48","45.8606","836.409"
148,0,"1039.44","42.3361","838.582"
149,0,"1039.41","39.0628","840.636"
150,0,"1039.35","36.1225","842.49"
151,0,"1039.24","33.4473","844.204"
152,0,"1039.04","31.133","845.666"
