Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1381)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1142.46","353.672","925.103"
2,0,"1141.99","354.504","925.249"
3,0,"1141.59","355.224","925.351"
4,0,"1141.23","355.911","925.539"
5,0,"1140.94","356.513","925.682"
6,0,"nan","nan","nan"
7,0,"1140.52","357.263","925.897"
8,0,"1140.36","357.539","926.069"
9,0,"1140.24","357.627","926.242"
10,0,"1140.17","357.525","926.394"
11,0,"1140.11","357.251","926.526"
12,0,"1140.11","356.784","926.58"
13,0,"1140.2","356.051","926.583"
14,0,"1140.32","355.256","926.633"
15,0,"1140.53","354.286","926.66"
16,0,"1140.7","353.166","926.753"
17,0,"1140.82","352.094","927.083"
18,0,"1140.87","351","927.567"
19,0,"1140.75","349.984","928.289"
20,0,"1140.48","348.897","929.065"
21,0,"1140.11","347.721","929.81"
22,0,"1139.78","346.517","930.416"
23,0,"1139.39","345.246","930.858"
24,0,"1139.11","343.786","931.05"
25,0,"1138.84","342.266","931.156"
26,0,"1138.68","340.488","931.092"
27,0,"1138.63","338.656","931.019"
28,0,"1138.63","336.839","930.984"
29,0,"1138.72","334.91","930.896"
30,0,"1138.85","333.14","930.982"
31,0,"1139.03","331.482","931.211"
32,0,"1139.2","329.98","931.583"
33,0,"1139.61","327.101","931.338"
34,0,"1139.58","326.158","932.038"
35,0,"1139.48","325.479","932.797"
36,0,"1139.32","324.803","933.438"
37,0,"1139.2","323.968","933.896"
38,0,"1139.07","322.951","934.23"
39,0,"1138.93","321.819","934.496"
40,0,"1138.76","320.66","934.771"
41,0,"1138.55","319.435","935.014"
42,0,"1138.33","318.069","935.15"
43,0,"1138.09","316.815","935.362"
44,0,"1137.84","315.462","935.53"
45,0,"1137.58","314.145","935.746"
46,0,"1137.34","312.935","935.999"
47,0,"1137.08","311.755","936.224"
48,0,"1136.86","310.617","936.478"
49,0,"1136.73","309.516","936.761"
50,0,"1136.65","308.564","937.063"
51,0,"1136.84","307.757","937.17"
52,0,"1137.26","307.075","937.256"
53,0,"1137.65","306.378","937.281"
54,0,"1137.95","305.631","937.298"
55,0,"1138.29","304.907","937.212"
56,0,"1138.17","304.18","936.931"
57,0,"1136.3","302.037","937.456"
58,0,"1136.23","301.051","937.452"
59,0,"1136","299.955","937.519"
60,0,"1135.9","299.08","937.481"
61,0,"1135.76","298.221","937.427"
62,0,"1135.59","297.303","937.408"
63,0,"1135.42","296.48","937.386"
64,0,"1135.34","295.72","937.322"
65,0,"1135.3","295.06","937.196"
66,0,"1135.11","294.29","937.27"
67,0,"1135.11","293.681","937.184"
68,0,"1135.14","293.182","937.056"
69,0,"1135.12","292.687","936.986"
70,0,"1135.14","292.192","936.9"
71,0,"1135.04","291.579","936.931"
72,0,"1135.07","291.173","936.869"
73,0,"1135.13","290.762","936.791"
74,0,"1135.17","290.339","936.749"
75,0,"1135.17","289.939","936.777"
76,0,"1135.23","289.526","936.764"
77,0,"1135.29","289.11","936.746"
78,0,"1135.33","288.667","936.742"
79,0,"1135.48","288.376","936.668"
80,0,"1135.61","288.057","936.643"
81,0,"1135.78","287.764","936.623"
82,0,"1135.85","287.364","936.719"
83,0,"1136.02","287.119","936.754"
84,0,"1136.25","286.96","936.793"
85,0,"1136.4","286.786","936.903"
86,0,"1136.56","286.638","937.06"
87,0,"1136.73","286.57","937.204"
88,0,"1136.91","286.568","937.361"
89,0,"1137.05","286.594","937.526"
90,0,"1137.19","286.644","937.683"
91,0,"1137.26","286.7","937.871"
92,0,"1137.43","286.877","937.972"
93,0,"1137.59","287.077","938.048"
94,0,"1137.75","287.286","938.097"
95,0,"1137.95","287.557","938.124"
96,0,"1138.1","287.77","938.212"
97,0,"1138.28","288.038","938.274"
98,0,"1138.44","288.263","938.36"
99,0,"1138.55","288.464","938.48"
100,0,"1140.35","289.888","937.948"
101,0,"1140.82","290.105","938.154"
102,0,"1140.94","290.26","938.283"
103,0,"1140.95","290.379","938.376"
104,0,"1141.02","290.489","938.496"
105,0,"1141.05","290.57","938.598"
106,0,"1141.03","290.627","938.701"
107,0,"1140.99","290.698","938.783"
108,0,"1140.97","290.729","938.888"
109,0,"1140.94","290.729","939.03"
110,0,"1140.88","290.661","939.201"
111,0,"1140.79","290.529","939.347"
112,0,"1140.69","290.375","939.511"
113,0,"1140.64","290.164","939.627"
114,0,"1140.72","289.684","939.583"
115,0,"1140.91","289.087","939.371"
116,0,"1141.15","288.641","939.156"
117,0,"1141.43","288.141","938.943"
118,0,"1141.27","289.773","939.659"
119,0,"1141.44","289.763","939.569"
120,0,"1141.63","289.755","939.488"
121,0,"1141.85","289.687","939.408"
122,0,"1142.09","289.552","939.321"
123,0,"1142.35","289.355","939.222"
124,0,"1142.63","289.075","939.091"
125,0,"1142.95","288.759","938.92"
126,0,"1143.27","288.426","938.738"
127,0,"1143.62","287.894","938.382"
128,0,"1144.01","287.163","937.892"
129,0,"1144.41","286.542","937.527"
130,0,"1144.84","286.062","937.291"
131,0,"1145.33","285.583","937.089"
132,0,"1145.66","285.192","936.854"
133,0,"1146","284.838","936.653"
134,0,"1146.19","284.463","936.31"
135,0,"nan","nan","nan"
136,0,"nan","nan","nan"
137,0,"nan","nan","nan"
138,0,"nan","nan","nan"
139,0,"nan","nan","nan"
140,0,"nan","nan","nan"
141,0,"nan","nan","nan"
142,0,"nan","nan","nan"
143,0,"nan","nan","nan"
144,0,"nan","nan","nan"
145,0,"nan","nan","nan"
146,0,"nan","nan","nan"
147,0,"nan","nan","nan"
148,0,"nan","nan","nan"
149,0,"nan","nan","nan"
150,0,"nan","nan","nan"
151,0,"nan","nan","nan"
152,0,"nan","nan","nan"
153,0,"nan","nan","nan"
154,0,"nan","nan","nan"
155,0,"nan","nan","nan"
156,0,"nan","nan","nan"
157,0,"nan","nan","nan"
158,0,"nan","nan","nan"
