Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1382)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1188.06","371.813","415.439"
2,0,"1188.29","372.348","415.331"
3,0,"1188.34","372.581","415.226"
4,0,"1188.29","372.589","415.175"
5,0,"1188.08","372.454","415.188"
6,0,"1187.82","372.269","415.259"
7,0,"1187.32","372.065","415.298"
8,0,"1187.02","371.806","415.382"
9,0,"1186.62","371.53","415.421"
10,0,"1186.18","371.169","415.416"
11,0,"1185.87","370.771","415.385"
12,0,"1185.49","370.322","415.241"
13,0,"1185.11","369.774","415.065"
14,0,"1184.74","369.22","414.91"
15,0,"1184.53","368.586","414.758"
16,0,"1184.5","367.684","414.627"
17,0,"1184.53","366.803","414.53"
18,0,"1184.58","365.711","414.422"
19,0,"1184.75","364.654","414.451"
20,0,"1184.9","363.568","414.555"
21,0,"1185.08","362.488","414.671"
22,0,"1185.12","361.457","414.842"
23,0,"1185.25","360.361","415.094"
24,0,"1185.19","359.335","415.255"
25,0,"1185.27","358.267","415.429"
26,0,"1185.23","357.252","415.626"
27,0,"1185.19","356.168","415.785"
28,0,"1185.06","355.128","415.952"
29,0,"1184.9","354.163","416.188"
30,0,"1184.61","353.296","416.43"
31,0,"1184.49","352.438","416.76"
32,0,"1184.33","351.677","417.083"
33,0,"1184.19","351.013","417.376"
34,0,"1184.03","350.327","417.71"
35,0,"1183.97","349.672","418.04"
36,0,"1183.86","348.952","418.385"
37,0,"1183.74","348.266","418.654"
38,0,"1183.53","347.609","418.883"
39,0,"1183.39","346.939","419.101"
40,0,"1183.17","346.225","419.269"
41,0,"1182.87","345.526","419.464"
42,0,"1182.56","344.871","419.638"
43,0,"1182.2","344.233","419.805"
44,0,"1181.66","343.502","420.017"
45,0,"1180.57","342.903","420.064"
46,0,"1180.19","342.078","420.275"
47,0,"1179.79","341.344","420.469"
48,0,"1179.39","340.569","420.684"
49,0,"1179.07","339.871","420.899"
50,0,"1179.37","339.131","421.345"
51,0,"1178.9","338.511","421.408"
52,0,"1178.61","337.917","421.597"
53,0,"1178.27","337.381","421.662"
54,0,"1178.14","336.924","421.912"
55,0,"1177.85","336.462","422.068"
56,0,"1177.66","335.984","422.206"
57,0,"1177.33","335.575","422.312"
58,0,"1177","335.246","422.416"
59,0,"1176.73","334.864","422.531"
60,0,"1176.41","334.512","422.605"
61,0,"1176.13","334.19","422.6"
62,0,"1175.93","333.888","422.604"
63,0,"1175.72","333.584","422.599"
64,0,"1175.47","333.269","422.555"
65,0,"1175.16","332.954","422.504"
66,0,"1175.01","332.631","422.451"
67,0,"1174.93","332.371","422.371"
68,0,"1174.86","332.101","422.296"
69,0,"1174.85","331.887","422.241"
70,0,"1174.9","331.684","422.21"
71,0,"1174.89","331.457","422.23"
72,0,"1174.97","331.268","422.26"
73,0,"1175.01","331.134","422.261"
74,0,"1175.09","330.992","422.276"
75,0,"1175.28","330.882","422.286"
76,0,"1175.4","330.771","422.282"
77,0,"1175.55","330.67","422.282"
78,0,"1175.73","330.58","422.331"
79,0,"1175.83","330.468","422.422"
80,0,"1175.95","330.399","422.519"
81,0,"1176.07","330.371","422.677"
82,0,"1176.07","330.377","422.808"
83,0,"1176.09","330.434","422.939"
84,0,"1176.07","330.521","423.086"
85,0,"1175.99","330.617","423.216"
86,0,"1175.97","330.76","423.372"
87,0,"1175.9","330.937","423.544"
88,0,"1175.89","331.093","423.72"
89,0,"1175.85","331.242","423.835"
90,0,"1175.86","331.337","423.933"
91,0,"1175.79","331.399","424.004"
92,0,"1175.72","331.466","424.053"
93,0,"1175.59","331.488","424.074"
94,0,"1175.45","331.497","424.094"
95,0,"1175.25","331.485","424.098"
96,0,"1175.12","331.484","424.12"
97,0,"1174.95","331.46","424.108"
98,0,"1174.76","331.429","424.09"
99,0,"1174.62","331.369","424.088"
100,0,"1174.46","331.31","424.056"
101,0,"1174.34","331.241","424.016"
102,0,"1174.12","331.157","423.938"
103,0,"1173.97","331.076","423.847"
104,0,"1173.9","330.996","423.792"
105,0,"1173.83","330.957","423.727"
106,0,"1173.78","330.94","423.662"
107,0,"1173.77","330.921","423.601"
108,0,"1173.76","330.905","423.572"
109,0,"1174.1","330.404","423.855"
110,0,"1173.9","330.773","423.564"
111,0,"1173.83","330.855","423.436"
112,0,"1173.96","330.711","423.435"
113,0,"1173.95","330.77","423.331"
114,0,"1174","330.675","423.28"
115,0,"1174.02","330.615","423.203"
116,0,"1174.2","330.539","423.171"
117,0,"1173.21","330.605","422.784"
118,0,"1173.21","330.515","422.684"
119,0,"1173.15","330.401","422.586"
120,0,"1173.07","330.278","422.518"
121,0,"1173.42","330.055","422.595"
122,0,"1173.34","329.863","422.562"
123,0,"1173.19","329.643","422.471"
124,0,"1173.1","329.387","422.385"
125,0,"1172.9","329.129","422.318"
126,0,"1172.75","328.826","422.257"
127,0,"1172.57","328.468","422.165"
128,0,"1172.43","328.122","422.055"
129,0,"1172.31","327.766","421.935"
130,0,"1172.12","327.409","421.8"
131,0,"1171.91","327.061","421.746"
132,0,"1171.66","326.685","421.72"
133,0,"1171.49","326.335","421.676"
134,0,"1171.26","325.999","421.624"
135,0,"1171.03","325.577","421.533"
136,0,"1170.73","325.187","421.47"
137,0,"1170.48","324.751","421.445"
138,0,"1170.08","324.298","421.313"
139,0,"1169.64","323.812","421.281"
140,0,"1169.28","323.345","421.273"
141,0,"1168.76","322.93","421.22"
142,0,"1168.3","322.485","421.247"
143,0,"1167.72","322.077","421.198"
144,0,"1167.16","321.663","421.184"
145,0,"1166.68","321.37","421.142"
146,0,"1166.23","321.063","421.157"
147,0,"1165.87","320.804","421.226"
148,0,"1165.44","320.602","421.283"
149,0,"1165.05","320.388","421.393"
150,0,"1164.57","320.146","421.497"
151,0,"1164.25","319.959","421.592"
152,0,"1163.83","319.779","421.681"
153,0,"1163.51","319.626","421.791"
