Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1358)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"1114.63","316.905","1302.89"
2,0,"1113.63","316.099","1303.03"
3,0,"1112.59","315.076","1303.33"
4,0,"1111.49","313.815","1303.7"
5,0,"1110.4","312.311","1304.11"
6,0,"1109.32","310.621","1304.59"
7,0,"1108.26","308.763","1305.11"
8,0,"1107.3","306.762","1305.61"
9,0,"1106.4","304.693","1306.1"
10,0,"1105.62","302.589","1306.57"
11,0,"1105.05","300.628","1306.98"
12,0,"1104.93","299.158","1307.41"
13,0,"1104.41","297.021","1307.51"
14,0,"1104","294.882","1307.59"
15,0,"1103.67","292.734","1307.48"
16,0,"1103.45","290.598","1307.28"
17,0,"1103.34","288.437","1306.99"
18,0,"1103.32","286.314","1306.71"
19,0,"1103.41","284.2","1306.42"
20,0,"1103.5","282.068","1306.21"
21,0,"1103.58","279.923","1306.08"
22,0,"1103.64","277.769","1306.08"
23,0,"1103.61","275.589","1306.14"
24,0,"1103.53","273.375","1306.39"
25,0,"1103.35","271.179","1306.7"
26,0,"1103.12","268.959","1307.1"
27,0,"1102.81","266.719","1307.51"
28,0,"1102.49","264.428","1307.92"
29,0,"1102.13","262.09","1308.3"
30,0,"1101.76","259.718","1308.63"
31,0,"1101.59","258.148","1309.18"
32,0,"1101.21","255.663","1309.41"
33,0,"1100.94","253.299","1309.55"
34,0,"1100.67","250.965","1309.7"
35,0,"1100.39","248.6","1309.8"
36,0,"1100.16","246.326","1309.83"
37,0,"1099.98","244.169","1309.88"
38,0,"1099.81","242.128","1309.9"
39,0,"1099.66","240.181","1309.95"
40,0,"1099.52","238.407","1310.06"
41,0,"1099.37","236.544","1310.12"
42,0,"1099.3","234.886","1310.27"
43,0,"1099.24","233.36","1310.45"
44,0,"1099.17","231.841","1310.69"
45,0,"1099.1","230.408","1310.93"
46,0,"1099.06","229.009","1311.19"
47,0,"1099.04","227.663","1311.44"
48,0,"1099.02","226.35","1311.7"
49,0,"1099","225.061","1311.94"
50,0,"1098.93","223.754","1312.19"
51,0,"1098.91","222.497","1312.36"
52,0,"1098.84","221.205","1312.48"
53,0,"1098.76","219.918","1312.54"
54,0,"1098.64","218.632","1312.55"
55,0,"1098.49","217.326","1312.54"
56,0,"1098.34","216.032","1312.53"
57,0,"1098.14","214.757","1312.46"
58,0,"1097.93","213.484","1312.4"
59,0,"1097.72","212.21","1312.35"
60,0,"1097.53","210.975","1312.3"
61,0,"1097.32","209.723","1312.23"
62,0,"1097.12","208.501","1312.16"
63,0,"1096.93","207.275","1312.1"
64,0,"1096.75","206.049","1312.04"
65,0,"1096.55","204.827","1311.99"
66,0,"1096.36","203.64","1311.95"
67,0,"1096.15","202.473","1311.91"
68,0,"1095.97","201.344","1311.88"
69,0,"1095.78","200.222","1311.89"
70,0,"1095.6","199.125","1311.84"
71,0,"1095.42","198.043","1311.88"
72,0,"1095.25","196.979","1311.92"
73,0,"1095.08","195.911","1312.01"
74,0,"1094.93","194.908","1312.1"
75,0,"1094.81","193.943","1312.26"
76,0,"1094.7","193","1312.38"
77,0,"1094.6","192.1","1312.55"
78,0,"1094.5","191.257","1312.7"
79,0,"1094.44","190.448","1312.92"
80,0,"1094.39","189.695","1313.09"
81,0,"1094.37","188.979","1313.26"
82,0,"1094.36","188.323","1313.42"
83,0,"1094.39","187.717","1313.55"
84,0,"1094.48","187.158","1313.65"
85,0,"1094.57","186.641","1313.73"
86,0,"1094.72","186.193","1313.78"
87,0,"1094.9","185.782","1313.78"
88,0,"1095.13","185.444","1313.78"
89,0,"1095.4","185.173","1313.75"
90,0,"1095.7","184.966","1313.7"
91,0,"1096.03","184.814","1313.63"
92,0,"1096.4","184.73","1313.59"
93,0,"1096.81","184.726","1313.53"
94,0,"1097.22","184.768","1313.52"
95,0,"1097.66","184.903","1313.5"
96,0,"1098.14","185.057","1313.5"
97,0,"1098.63","185.267","1313.51"
98,0,"1099.16","185.541","1313.52"
99,0,"1099.71","185.837","1313.49"
100,0,"1100.32","186.192","1313.44"
101,0,"1100.93","186.57","1313.31"
102,0,"1101.55","186.976","1313.16"
103,0,"1102.2","187.388","1312.97"
104,0,"1102.88","187.831","1312.72"
105,0,"1103.56","188.248","1312.54"
106,0,"1104.25","188.662","1312.37"
107,0,"1104.97","189.104","1312.19"
108,0,"1105.63","189.558","1312.07"
109,0,"1106.28","190.077","1311.95"
110,0,"1106.89","190.604","1311.88"
111,0,"1107.51","191.139","1311.83"
112,0,"1108.13","191.658","1311.79"
113,0,"1108.7","192.14","1311.75"
114,0,"1109.26","192.587","1311.68"
115,0,"1109.81","193.017","1311.6"
116,0,"1110.36","193.446","1311.56"
117,0,"1110.85","193.846","1311.53"
118,0,"1111.35","194.267","1311.48"
119,0,"1111.78","194.657","1311.47"
120,0,"1112.24","195.081","1311.49"
121,0,"1112.67","195.491","1311.52"
122,0,"1113.09","195.882","1311.54"
123,0,"1113.53","196.277","1311.6"
124,0,"1113.95","196.648","1311.68"
125,0,"1114.4","197.068","1311.75"
126,0,"1114.85","197.459","1311.85"
127,0,"1115.35","197.893","1311.91"
128,0,"1115.81","198.293","1312"
129,0,"1116.32","198.752","1312.08"
130,0,"1116.84","199.221","1312.21"
131,0,"1117.39","199.708","1312.38"
132,0,"1117.93","200.217","1312.49"
133,0,"1118.47","200.73","1312.59"
134,0,"1118.97","201.214","1312.71"
135,0,"1119.5","201.7","1312.87"
136,0,"1119.99","202.15","1312.97"
137,0,"1120.45","202.55","1313.09"
138,0,"1120.9","202.926","1313.2"
139,0,"1121.35","203.322","1313.31"
140,0,"1121.78","203.709","1313.45"
141,0,"1122.23","204.089","1313.57"
142,0,"1122.66","204.45","1313.65"
143,0,"1123.07","204.812","1313.75"
144,0,"1123.48","205.183","1313.83"
145,0,"1123.87","205.517","1313.95"
