Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (769)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"594.418","-11.3321","1235.59"
2,0,"594.366","-11.2704","1235.59"
3,0,"594.311","-11.2259","1235.61"
4,0,"594.255","-11.1799","1235.63"
5,0,"594.208","-11.1434","1235.65"
6,0,"594.161","-11.1073","1235.68"
7,0,"594.122","-11.0867","1235.7"
8,0,"594.083","-11.0772","1235.72"
9,0,"594.063","-11.0755","1235.72"
10,0,"594.051","-11.0851","1235.69"
11,0,"594.037","-11.0946","1235.68"
12,0,"594.009","-11.1013","1235.66"
13,0,"593.987","-11.1157","1235.65"
14,0,"593.957","-11.1333","1235.64"
15,0,"593.924","-11.1584","1235.64"
16,0,"593.891","-11.1744","1235.65"
17,0,"593.847","-11.1764","1235.65"
18,0,"593.814","-11.1638","1235.66"
19,0,"593.796","-11.144","1235.65"
20,0,"593.768","-11.1056","1235.64"
21,0,"593.759","-11.0954","1235.62"
22,0,"593.769","-11.1032","1235.61"
23,0,"593.778","-11.1236","1235.58"
24,0,"593.808","-11.1244","1235.54"
25,0,"593.844","-11.1154","1235.49"
26,0,"593.884","-11.1017","1235.43"
27,0,"593.937","-11.0677","1235.37"
28,0,"593.98","-11.0202","1235.32"
29,0,"594.017","-10.972","1235.28"
30,0,"594.056","-10.9285","1235.27"
31,0,"594.093","-10.8943","1235.27"
32,0,"594.122","-10.8511","1235.27"
33,0,"594.143","-10.8202","1235.29"
34,0,"594.153","-10.7865","1235.3"
35,0,"594.153","-10.7782","1235.3"
36,0,"594.135","-10.7728","1235.28"
37,0,"594.121","-10.7758","1235.24"
38,0,"594.085","-10.7632","1235.19"
39,0,"594.045","-10.7508","1235.1"
40,0,"593.973","-10.7251","1234.99"
41,0,"593.876","-10.7162","1234.87"
42,0,"593.716","-10.7159","1234.74"
43,0,"593.501","-10.7232","1234.61"
44,0,"593.23","-10.719","1234.5"
45,0,"592.906","-10.7301","1234.4"
46,0,"592.547","-10.756","1234.33"
47,0,"592.126","-10.7924","1234.3"
48,0,"591.641","-10.82","1234.28"
49,0,"591.068","-10.8709","1234.27"
50,0,"590.417","-10.9297","1234.26"
51,0,"589.671","-10.966","1234.24"
52,0,"588.82","-11.0372","1234.21"
53,0,"587.884","-11.1272","1234.17"
54,0,"586.786","-11.203","1234.11"
55,0,"585.58","-11.3079","1234.05"
56,0,"584.242","-11.392","1233.98"
57,0,"582.793","-11.483","1233.9"
58,0,"581.196","-11.5605","1233.81"
59,0,"579.472","-11.6234","1233.72"
60,0,"577.643","-11.6872","1233.66"
61,0,"575.683","-11.765","1233.56"
62,0,"573.613","-11.838","1233.47"
63,0,"571.446","-11.9506","1233.4"
64,0,"569.135","-12.094","1233.31"
65,0,"566.715","-12.2158","1233.22"
66,0,"564.17","-12.3472","1233.13"
67,0,"561.506","-12.4954","1233.03"
68,0,"558.715","-12.6308","1232.95"
69,0,"555.796","-12.7789","1232.85"
70,0,"552.741","-12.9445","1232.73"
71,0,"549.584","-13.1326","1232.6"
72,0,"546.307","-13.3236","1232.46"
73,0,"542.938","-13.5154","1232.29"
74,0,"539.469","-13.7079","1232.14"
75,0,"535.942","-13.9246","1231.98"
76,0,"532.344","-14.1234","1231.85"
77,0,"528.713","-14.3648","1231.73"
78,0,"525.068","-14.6009","1231.63"
79,0,"521.413","-14.8948","1231.57"
80,0,"517.797","-15.1964","1231.5"
81,0,"514.185","-15.5651","1231.47"
82,0,"510.486","-16.0272","1231.51"
83,0,"506.808","-16.5811","1231.51"
84,0,"504.344","-16.5254","1230.88"
85,0,"501.176","-16.9503","1230.56"
86,0,"498.103","-17.3992","1230.17"
87,0,"495.206","-17.871","1229.65"
88,0,"492.459","-18.3463","1229.03"
89,0,"489.859","-18.8872","1228.33"
90,0,"487.424","-19.5004","1227.54"
91,0,"485.099","-20.1814","1226.7"
92,0,"482.852","-20.9414","1225.85"
93,0,"480.74","-21.7691","1224.98"
94,0,"478.742","-22.6753","1224.1"
95,0,"476.895","-23.5066","1223.48"
96,0,"474.917","-24.8461","1222.3"
97,0,"473.243","-25.9927","1221.36"
98,0,"471.674","-27.2375","1220.42"
99,0,"470.203","-28.5906","1219.48"
100,0,"468.817","-30.0239","1218.58"
101,0,"467.549","-31.5885","1217.7"
102,0,"466.356","-33.2538","1216.81"
103,0,"465.307","-35.059","1215.96"
104,0,"464.332","-36.9756","1215.1"
105,0,"463.473","-39.0823","1214.25"
106,0,"462.697","-41.3591","1213.41"
107,0,"462.013","-43.789","1212.49"
108,0,"461.503","-46.3908","1211.41"
109,0,"461.069","-49.2512","1210.27"
110,0,"460.852","-51.4647","1208.76"
111,0,"460.592","-54.2796","1207.35"
112,0,"460.423","-57.2062","1205.83"
113,0,"460.344","-60.2697","1204.23"
114,0,"460.323","-63.4123","1202.53"
115,0,"460.394","-66.6759","1200.77"
116,0,"460.575","-70.0347","1198.92"
117,0,"460.81","-73.4453","1196.95"
118,0,"461.158","-76.9638","1194.93"
119,0,"461.533","-80.5892","1192.82"
120,0,"461.941","-84.2981","1190.66"
121,0,"462.345","-88.0937","1188.43"
122,0,"462.766","-91.9805","1186.13"
123,0,"463.223","-95.9394","1183.77"
124,0,"463.738","-99.9561","1181.38"
125,0,"464.322","-104.083","1178.93"
126,0,"464.976","-108.298","1176.46"
127,0,"465.745","-112.63","1173.94"
128,0,"466.619","-117.033","1171.46"
129,0,"467.615","-121.527","1168.97"
130,0,"468.816","-126.161","1166.53"
131,0,"470.123","-130.849","1164.11"
132,0,"471.303","-136.076","1161.91"
133,0,"472.876","-141.015","1159.53"
134,0,"474.512","-146.111","1157.14"
135,0,"476.25","-151.257","1154.75"
136,0,"477.993","-156.45","1152.37"
137,0,"479.815","-161.632","1149.96"
138,0,"481.667","-166.735","1147.54"
139,0,"483.519","-171.8","1145.18"
140,0,"485.312","-176.757","1142.85"
