Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (765)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"587.69","-18.3477","1566.85"
2,0,"587.554","-18.3176","1566.82"
3,0,"587.408","-18.2739","1566.81"
4,0,"587.262","-18.2207","1566.8"
5,0,"587.127","-18.1747","1566.8"
6,0,"586.987","-18.121","1566.82"
7,0,"586.863","-18.0694","1566.83"
8,0,"586.742","-18.026","1566.85"
9,0,"586.627","-17.9858","1566.88"
10,0,"586.525","-17.9522","1566.92"
11,0,"586.432","-17.9177","1566.96"
12,0,"586.334","-17.8925","1567.02"
13,0,"586.242","-17.8705","1567.07"
14,0,"586.156","-17.8546","1567.12"
15,0,"586.065","-17.8503","1567.17"
16,0,"585.974","-17.8592","1567.2"
17,0,"585.882","-17.8764","1567.24"
18,0,"585.795","-17.8932","1567.26"
19,0,"585.71","-17.9293","1567.27"
20,0,"585.625","-17.9682","1567.26"
21,0,"585.538","-18.0242","1567.24"
22,0,"585.461","-18.0871","1567.2"
23,0,"585.389","-18.1607","1567.15"
24,0,"585.313","-18.2448","1567.09"
25,0,"585.251","-18.3354","1567.03"
26,0,"585.194","-18.425","1566.97"
27,0,"585.141","-18.5214","1566.91"
28,0,"585.09","-18.6165","1566.85"
29,0,"585.038","-18.7127","1566.79"
30,0,"584.994","-18.8062","1566.71"
31,0,"584.962","-18.9059","1566.65"
32,0,"584.93","-19.0057","1566.57"
33,0,"584.896","-19.0992","1566.49"
34,0,"584.852","-19.1838","1566.39"
35,0,"584.801","-19.2738","1566.29"
36,0,"584.748","-19.3555","1566.18"
37,0,"584.67","-19.4249","1566.07"
38,0,"584.571","-19.4969","1565.95"
39,0,"584.441","-19.5676","1565.85"
40,0,"584.269","-19.6276","1565.76"
41,0,"584.06","-19.692","1565.67"
42,0,"583.789","-19.7543","1565.56"
43,0,"583.472","-19.8363","1565.45"
44,0,"583.122","-19.9201","1565.33"
45,0,"582.694","-20.0136","1565.2"
46,0,"582.194","-20.1209","1565.06"
47,0,"581.614","-20.2444","1564.91"
48,0,"580.94","-20.3725","1564.78"
49,0,"580.173","-20.5057","1564.64"
50,0,"579.306","-20.6338","1564.51"
51,0,"578.333","-20.7897","1564.4"
52,0,"577.272","-20.9459","1564.29"
53,0,"576.096","-21.1017","1564.14"
54,0,"574.816","-21.2866","1563.98"
55,0,"573.376","-21.4661","1563.75"
56,0,"571.838","-21.6673","1563.51"
57,0,"570.166","-21.868","1563.24"
58,0,"568.359","-22.0989","1562.91"
59,0,"566.43","-22.3417","1562.57"
60,0,"564.387","-22.5958","1562.2"
61,0,"562.223","-22.8588","1561.81"
62,0,"559.956","-23.1396","1561.38"
63,0,"557.603","-23.4538","1560.97"
64,0,"555.133","-23.7772","1560.5"
65,0,"552.577","-24.1252","1560.04"
66,0,"549.914","-24.5153","1559.55"
67,0,"547.186","-24.9374","1559.06"
68,0,"544.383","-25.4069","1558.55"
69,0,"541.49","-25.9204","1558"
70,0,"538.525","-26.5004","1557.45"
71,0,"535.515","-27.1199","1556.91"
72,0,"532.437","-27.8091","1556.32"
73,0,"529.313","-28.5551","1555.72"
74,0,"526.174","-29.3524","1555.11"
75,0,"522.988","-30.2152","1554.48"
76,0,"519.78","-31.1474","1553.87"
77,0,"516.578","-32.1521","1553.26"
78,0,"513.385","-33.2081","1552.65"
79,0,"510.195","-34.3188","1551.99"
80,0,"507.049","-35.5107","1551.34"
81,0,"503.96","-36.7865","1550.65"
82,0,"500.916","-38.1141","1549.9"
83,0,"497.918","-39.5104","1549.08"
84,0,"494.994","-40.9997","1548.19"
85,0,"492.122","-42.537","1547.25"
86,0,"489.357","-44.1678","1546.27"
87,0,"486.66","-45.884","1545.27"
88,0,"484.076","-47.6935","1544.31"
89,0,"481.616","-49.6105","1543.4"
90,0,"479.244","-51.6236","1542.53"
91,0,"477.024","-53.7561","1541.68"
92,0,"474.904","-55.9858","1540.81"
93,0,"472.885","-58.3524","1539.89"
94,0,"471.022","-60.831","1538.97"
95,0,"469.254","-63.4294","1538.02"
96,0,"467.65","-66.1666","1537.06"
97,0,"466.152","-69.0303","1536.07"
98,0,"464.8","-72.035","1535.09"
99,0,"463.59","-75.1989","1534.13"
100,0,"462.479","-78.4956","1533.16"
101,0,"461.505","-81.9633","1532.2"
102,0,"460.659","-85.5803","1531.28"
103,0,"459.914","-89.3561","1530.34"
104,0,"459.241","-93.2809","1529.38"
105,0,"458.704","-97.3623","1528.43"
106,0,"458.217","-101.576","1527.43"
107,0,"457.852","-105.963","1526.43"
108,0,"457.569","-110.483","1525.38"
109,0,"457.398","-115.172","1524.29"
110,0,"457.313","-120","1523.14"
111,0,"457.347","-124.956","1521.92"
112,0,"457.484","-130.061","1520.64"
113,0,"457.692","-135.327","1519.3"
114,0,"458.014","-140.729","1517.9"
115,0,"458.421","-146.3","1516.47"
116,0,"458.941","-152.042","1515.01"
117,0,"459.573","-157.936","1513.53"
118,0,"460.315","-164.013","1511.97"
119,0,"461.196","-170.247","1510.36"
120,0,"462.198","-176.628","1508.65"
121,0,"463.356","-183.196","1506.85"
122,0,"464.601","-189.893","1504.9"
123,0,"465.991","-196.753","1502.84"
124,0,"467.506","-203.773","1500.67"
125,0,"469.091","-210.951","1498.37"
126,0,"470.76","-218.299","1495.99"
127,0,"472.499","-225.83","1493.54"
128,0,"474.282","-233.522","1490.99"
129,0,"476.08","-241.366","1488.36"
130,0,"477.927","-249.39","1485.69"
131,0,"479.769","-257.564","1482.99"
132,0,"481.656","-265.92","1480.31"
133,0,"483.572","-274.45","1477.67"
134,0,"485.505","-283.101","1475.06"
135,0,"487.478","-291.861","1472.48"
136,0,"489.469","-300.666","1469.86"
137,0,"491.478","-309.476","1467.14"
138,0,"493.465","-318.232","1464.3"
139,0,"495.423","-326.888","1461.36"
140,0,"497.386","-335.439","1458.35"
