Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (721)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"793.072","200.588","985.044"
2,0,"793.057","200.538","984.992"
3,0,"793.016","200.523","984.946"
4,0,"792.955","200.531","984.919"
5,0,"792.88","200.562","984.902"
6,0,"792.776","200.623","984.891"
7,0,"792.676","200.72","984.9"
8,0,"792.551","200.835","984.896"
9,0,"792.424","200.977","984.9"
10,0,"792.303","201.139","984.929"
11,0,"792.173","201.342","984.939"
12,0,"792.068","201.56","984.998"
13,0,"791.945","201.804","985.052"
14,0,"791.859","202.065","985.109"
15,0,"791.828","202.293","985.247"
16,0,"791.789","202.573","985.31"
17,0,"791.78","202.889","985.374"
18,0,"791.79","203.215","985.42"
19,0,"791.818","203.545","985.463"
20,0,"791.888","203.86","985.529"
21,0,"792.004","204.134","985.655"
22,0,"792.111","204.387","985.738"
23,0,"792.193","204.675","985.789"
24,0,"792.276","204.972","985.809"
25,0,"792.345","205.263","985.825"
26,0,"792.429","205.516","985.889"
27,0,"792.513","205.764","985.987"
28,0,"792.593","205.984","986.097"
29,0,"792.63","206.236","986.16"
30,0,"792.644","206.47","986.212"
31,0,"792.646","206.714","986.263"
32,0,"792.621","206.926","986.319"
33,0,"792.557","207.154","986.32"
34,0,"792.484","207.337","986.366"
35,0,"792.391","207.523","986.402"
36,0,"792.311","207.694","986.462"
37,0,"792.226","207.857","986.5"
38,0,"792.141","207.987","986.524"
39,0,"792.101","208.064","986.618"
40,0,"792.044","208.149","986.659"
41,0,"792.009","208.21","986.688"
42,0,"791.99","208.213","986.72"
43,0,"791.989","208.179","986.768"
44,0,"791.961","208.115","986.759"
45,0,"792.026","207.943","986.885"
46,0,"792.098","207.685","987.029"
47,0,"792.362","207.365","987.384"
48,0,"792.361","206.864","987.536"
49,0,"792.478","206.332","987.747"
50,0,"792.57","205.729","987.964"
51,0,"792.685","204.983","988.196"
52,0,"792.822","204.144","988.434"
53,0,"793.012","203.185","988.732"
54,0,"793.22","202.05","989.044"
55,0,"793.466","200.765","989.354"
56,0,"793.76","199.287","989.738"
57,0,"794.049","197.638","990.061"
58,0,"794.367","195.743","990.418"
59,0,"794.73","193.634","990.785"
60,0,"795.211","191.214","991.253"
61,0,"795.659","188.56","991.607"
62,0,"796.081","185.677","991.869"
63,0,"796.568","182.492","992.194"
64,0,"796.978","179.087","992.397"
65,0,"797.392","175.421","992.612"
66,0,"797.76","171.522","992.817"
67,0,"798.092","167.374","993.034"
68,0,"798.349","163.025","993.256"
69,0,"798.532","158.479","993.492"
70,0,"798.601","153.756","993.746"
71,0,"798.59","148.864","994.016"
72,0,"798.448","143.775","994.291"
73,0,"798.251","138.508","994.625"
74,0,"797.95","133.103","994.946"
75,0,"797.628","127.502","995.344"
76,0,"797.209","121.743","995.759"
77,0,"796.753","115.832","996.26"
78,0,"796.2","109.832","996.722"
79,0,"795.532","103.741","997.223"
80,0,"794.737","97.5728","997.715"
81,0,"793.81","91.3441","998.163"
82,0,"792.777","85.0848","998.591"
83,0,"791.66","78.7773","998.989"
84,0,"790.474","72.4407","999.351"
85,0,"789.254","66.115","999.659"
86,0,"788.046","59.7664","999.967"
87,0,"786.766","53.4581","1000.19"
88,0,"785.472","47.1415","1000.41"
89,0,"784.104","40.8423","1000.58"
90,0,"782.698","34.5774","1000.73"
91,0,"781.244","28.3621","1000.84"
92,0,"779.752","22.2216","1000.93"
93,0,"778.233","16.1527","1000.98"
94,0,"776.7","10.1545","1001"
95,0,"775.148","4.21612","1000.99"
96,0,"773.57","-1.71698","1000.92"
97,0,"771.919","-7.60476","1000.81"
98,0,"770.252","-13.4906","1000.67"
99,0,"768.515","-19.3367","1000.46"
100,0,"766.71","-25.1715","1000.21"
101,0,"764.805","-31.0023","999.942"
102,0,"762.755","-36.8413","999.549"
103,0,"760.486","-42.6188","999.003"
104,0,"758.064","-48.3848","998.318"
105,0,"755.464","-54.1932","997.51"
106,0,"752.692","-60.0423","996.529"
107,0,"749.799","-65.9663","995.418"
108,0,"746.833","-72.0054","994.223"
109,0,"743.828","-78.2132","992.987"
110,0,"740.783","-84.6359","991.661"
111,0,"737.644","-91.1356","990.299"
112,0,"734.488","-97.83","988.913"
113,0,"731.158","-104.584","987.32"
114,0,"728.257","-111.748","986.179"
115,0,"725.525","-119.069","984.981"
116,0,"722.712","-126.485","983.698"
117,0,"719.807","-133.886","982.275"
118,0,"716.831","-141.189","980.651"
119,0,"713.816","-148.148","978.728"
120,0,"710.859","-154.622","976.447"
121,0,"708.016","-160.498","973.738"
122,0,"705.368","-165.875","970.57"
123,0,"703.033","-170.912","967.102"
124,0,"701.03","-175.834","963.416"
125,0,"699.459","-180.728","959.608"
126,0,"698.327","-185.596","955.607"
127,0,"697.55","-190.322","951.544"
128,0,"697.22","-195.011","947.361"
129,0,"697.254","-199.708","943.015"
130,0,"697.652","-204.462","938.618"
131,0,"698.328","-209.239","934.144"
132,0,"699.231","-213.969","929.649"
133,0,"700.332","-218.577","925.181"
134,0,"701.572","-223.053","920.77"
135,0,"702.903","-227.364","916.449"
136,0,"704.294","-231.492","912.23"
137,0,"705.782","-235.443","908.134"
138,0,"707.276","-239.286","904.145"
139,0,"708.73","-243.098","900.312"
140,0,"710.123","-246.935","896.59"
141,0,"711.336","-250.741","892.935"
142,0,"712.322","-254.523","889.266"
143,0,"713.124","-258.345","885.597"
144,0,"713.748","-262.273","881.913"
145,0,"714.161","-266.378","878.232"
146,0,"714.4","-270.664","874.592"
147,0,"714.447","-275","871.07"
148,0,"714.379","-279.242","867.699"
149,0,"714.193","-283.255","864.54"
150,0,"713.904","-286.908","861.624"
151,0,"713.495","-290.095","859.025"
152,0,"712.984","-292.798","856.623"
153,0,"712.35","-295.07","854.438"
154,0,"711.599","-296.972","852.372"
155,0,"710.805","-298.7","850.434"
156,0,"709.991","-300.272","848.623"
