Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (761)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"810.188","183.236","81.0317"
2,0,"810.174","183.209","81.039"
3,0,"810.113","183.234","81.0535"
4,0,"810.094","183.225","81.0648"
5,0,"810.096","183.219","81.0656"
6,0,"810.075","183.222","81.0714"
7,0,"810.074","183.225","81.0704"
8,0,"810.079","183.202","81.0884"
9,0,"810.081","183.189","81.1097"
10,0,"810.072","183.183","81.1317"
11,0,"810.066","183.179","81.1374"
12,0,"810.052","183.171","81.1493"
13,0,"810.061","183.147","81.1509"
14,0,"810.029","183.151","81.1549"
15,0,"809.997","183.163","81.1424"
16,0,"810.038","183.114","81.1918"
17,0,"810.012","183.14","81.2123"
18,0,"810.002","183.163","81.2312"
19,0,"810.031","183.148","81.2414"
20,0,"810.02","183.175","81.2343"
21,0,"809.976","183.221","81.2166"
22,0,"809.976","183.232","81.202"
23,0,"809.981","183.232","81.194"
24,0,"809.976","183.252","81.1625"
25,0,"809.978","183.267","81.1585"
26,0,"809.964","183.275","81.1392"
27,0,"809.971","183.29","81.1296"
28,0,"809.967","183.3","81.0972"
29,0,"809.991","183.29","81.0881"
30,0,"810","183.293","81.0661"
31,0,"810.005","183.314","81.0314"
32,0,"810.01","183.332","80.9978"
33,0,"810.043","183.336","80.9698"
34,0,"810.074","183.345","80.9302"
35,0,"810.108","183.379","80.8888"
36,0,"810.097","183.441","80.8512"
37,0,"810.132","183.485","80.7795"
38,0,"810.166","183.536","80.7161"
39,0,"810.232","183.605","80.6355"
40,0,"810.317","183.697","80.5286"
41,0,"810.388","183.826","80.3642"
42,0,"810.51","183.945","80.2681"
43,0,"810.622","184.066","80.1452"
44,0,"810.722","184.181","80.053"
45,0,"810.781","184.302","79.9597"
46,0,"810.836","184.387","79.8785"
47,0,"810.917","184.411","79.8129"
48,0,"810.96","184.479","79.7516"
49,0,"810.995","184.529","79.7196"
50,0,"811.014","184.576","79.6919"
51,0,"811.055","184.606","79.6854"
52,0,"811.093","184.629","79.6831"
53,0,"811.172","184.633","79.6898"
54,0,"811.195","184.693","79.6761"
55,0,"811.24","184.735","79.6674"
56,0,"811.276","184.756","79.6493"
57,0,"811.284","184.802","79.6575"
58,0,"811.299","184.843","79.6558"
59,0,"811.306","184.894","79.6618"
60,0,"811.277","184.965","79.6509"
61,0,"811.303","185.007","79.651"
62,0,"811.34","185.04","79.6358"
63,0,"811.326","185.104","79.6514"
64,0,"811.274","185.22","79.6519"
65,0,"811.199","185.329","79.6883"
66,0,"811.102","185.446","79.7291"
67,0,"811.073","185.503","79.8059"
68,0,"811.057","185.466","79.909"
69,0,"811.03","185.409","80.0311"
70,0,"810.912","185.344","80.1761"
71,0,"810.863","185.206","80.3467"
72,0,"810.799","185.031","80.5249"
73,0,"810.79","184.761","80.7397"
74,0,"810.72","184.475","80.9952"
75,0,"810.618","184.242","81.252"
76,0,"810.565","183.909","81.609"
77,0,"810.484","183.53","82.0558"
78,0,"810.383","183.032","82.6355"
79,0,"810.204","182.555","83.2173"
80,0,"809.952","181.905","84.0235"
81,0,"809.541","181.122","84.9815"
82,0,"808.938","180.287","86.176"
83,0,"808.08","179.27","87.5757"
84,0,"806.952","178.072","89.0353"
85,0,"805.41","176.914","90.691"
86,0,"803.646","175.766","92.4995"
87,0,"801.717","174.643","94.6195"
88,0,"799.626","173.445","96.9382"
89,0,"797.058","172.052","99.4521"
90,0,"794.565","170.183","102.39"
91,0,"791.934","168.042","105.434"
92,0,"789.165","165.568","108.56"
93,0,"786.281","162.647","111.748"
94,0,"783.443","159.049","114.904"
95,0,"780.74","155.002","117.667"
96,0,"778.213","150.297","120.101"
97,0,"775.878","144.801","121.993"
98,0,"773.717","138.466","123.321"
99,0,"771.584","131.663","124.15"
100,0,"769.583","124.264","124.616"
101,0,"767.714","116.412","124.566"
102,0,"765.827","108.042","123.892"
103,0,"764.035","99.0608","122.92"
104,0,"762.096","89.84","121.476"
105,0,"760.249","80.1385","119.807"
106,0,"758.394","70.096","117.983"
107,0,"756.67","59.6884","116.114"
108,0,"754.917","48.9864","114.068"
109,0,"753.378","37.8995","112.188"
110,0,"751.735","26.7154","110.163"
111,0,"749.992","15.3921","108.012"
112,0,"748.414","4.02499","106.132"
113,0,"746.403","-7.42536","104.465"
114,0,"744.028","-19.23","102.073"
115,0,"741.968","-30.6032","100.461"
116,0,"739.805","-41.8236","98.9377"
117,0,"737.438","-52.7052","97.4747"
118,0,"735.537","-63.3556","96.4618"
119,0,"732.495","-72.9951","94.8244"
120,0,"729.88","-82.0352","93.4506"
121,0,"727.13","-90.1826","92.1278"
122,0,"724.375","-97.5364","90.7764"
123,0,"721.569","-103.923","89.3646"
124,0,"718.872","-109.055","87.8977"
125,0,"716.35","-112.989","86.2913"
126,0,"713.956","-115.887","84.6453"
127,0,"711.828","-117.946","83.1398"
128,0,"710.231","-119.085","81.7906"
129,0,"709.11","-119.021","80.6109"
130,0,"708.422","-117.983","79.6151"
131,0,"707.87","-116.901","78.9526"
132,0,"707.145","-117.256","78.5508"
133,0,"706.163","-118.908","78.188"
134,0,"705.773","-120.073","78.0961"
135,0,"705.998","-120.092","78.1428"
136,0,"706.371","-120.02","78.3031"
137,0,"706.651","-120.437","78.4497"
138,0,"706.832","-120.947","78.3938"
139,0,"707.009","-121.239","78.3014"
140,0,"707.182","-121.473","78.2141"
141,0,"707.31","-121.682","78.0272"
142,0,"707.365","-121.778","77.7867"
143,0,"707.351","-121.765","77.5939"
144,0,"707.322","-121.694","77.4626"
145,0,"707.294","-121.676","77.3477"
146,0,"707.261","-121.703","77.2446"
147,0,"707.23","-121.748","77.1906"
148,0,"707.199","-121.826","77.2084"
149,0,"707.151","-121.9","77.2626"
150,0,"707.074","-121.96","77.3466"
151,0,"706.968","-122.062","77.4481"
152,0,"706.855","-122.145","77.5337"
