Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (767)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"739.519","-51.0271","1050.57"
2,0,"739.563","-51.0326","1050.31"
3,0,"739.626","-51.0314","1050"
4,0,"739.698","-50.9974","1049.67"
5,0,"739.813","-50.9558","1049.37"
6,0,"739.961","-50.8811","1049.07"
7,0,"740.126","-50.7799","1048.8"
8,0,"740.303","-50.6781","1048.54"
9,0,"740.526","-50.6024","1048.26"
10,0,"740.799","-50.5391","1047.94"
11,0,"741.161","-50.4607","1047.61"
12,0,"741.58","-50.4085","1047.28"
13,0,"742.019","-50.3455","1046.93"
14,0,"742.513","-50.2757","1046.58"
15,0,"743.042","-50.2137","1046.22"
16,0,"743.582","-50.1387","1045.9"
17,0,"744.158","-50.0369","1045.6"
18,0,"744.712","-49.9245","1045.36"
19,0,"745.265","-49.7791","1045.15"
20,0,"745.754","-49.6267","1044.96"
21,0,"746.202","-49.4597","1044.81"
22,0,"746.615","-49.2758","1044.72"
23,0,"746.943","-49.0781","1044.62"
24,0,"747.238","-48.8786","1044.54"
25,0,"747.465","-48.6676","1044.48"
26,0,"747.614","-48.4454","1044.42"
27,0,"747.701","-48.2083","1044.39"
28,0,"747.724","-47.9713","1044.36"
29,0,"747.696","-47.7347","1044.34"
30,0,"747.63","-47.4917","1044.33"
31,0,"747.527","-47.2373","1044.34"
32,0,"747.415","-47.009","1044.39"
33,0,"747.282","-46.7916","1044.45"
34,0,"747.132","-46.5809","1044.53"
35,0,"746.994","-46.3725","1044.64"
36,0,"746.83","-46.174","1044.72"
37,0,"746.66","-46.0066","1044.8"
38,0,"746.493","-45.8584","1044.89"
39,0,"746.314","-45.7392","1044.97"
40,0,"746.114","-45.6312","1045.07"
41,0,"745.892","-45.5293","1045.21"
42,0,"745.652","-45.4478","1045.35"
43,0,"745.41","-45.4041","1045.49"
44,0,"745.108","-45.418","1045.62"
45,0,"744.739","-45.4851","1045.72"
46,0,"744.298","-45.6105","1045.8"
47,0,"743.797","-45.806","1045.93"
48,0,"743.249","-46.0792","1046.1"
49,0,"742.607","-46.4363","1046.33"
50,0,"741.936","-46.847","1046.65"
51,0,"741.216","-47.3517","1047.06"
52,0,"740.46","-47.9143","1047.6"
53,0,"739.659","-48.5825","1048.24"
54,0,"738.841","-49.3359","1049"
55,0,"737.974","-50.2036","1049.82"
56,0,"737.029","-51.2337","1050.65"
57,0,"736.031","-52.4082","1051.5"
58,0,"734.939","-53.7679","1052.37"
59,0,"733.775","-55.3452","1053.32"
60,0,"732.549","-57.0792","1054.34"
61,0,"731.217","-59.0115","1055.48"
62,0,"729.818","-61.1072","1056.76"
63,0,"728.325","-63.3735","1058.2"
64,0,"726.708","-65.8114","1059.82"
65,0,"725.01","-68.3828","1061.59"
66,0,"723.187","-71.1259","1063.43"
67,0,"721.232","-74.0668","1065.28"
68,0,"719.2","-77.141","1067.15"
69,0,"717","-80.3841","1068.98"
70,0,"714.662","-83.7437","1070.83"
71,0,"712.208","-87.1912","1072.71"
72,0,"709.591","-90.7095","1074.56"
73,0,"706.769","-94.3366","1076.41"
74,0,"703.767","-98.0899","1078.09"
75,0,"700.573","-101.813","1079.75"
76,0,"697.162","-105.516","1081.27"
77,0,"693.544","-109.213","1082.6"
78,0,"690.011","-112.809","1084.06"
79,0,"687.159","-116.656","1086.01"
80,0,"683.068","-120.654","1086.73"
81,0,"678.842","-124.764","1087.17"
82,0,"674.622","-129.063","1087.35"
83,0,"670.554","-133.501","1087.36"
84,0,"666.497","-138.158","1087.07"
85,0,"662.319","-143.062","1086.28"
86,0,"658.034","-148.229","1084.95"
87,0,"653.807","-153.51","1083.16"
88,0,"649.651","-158.906","1080.85"
89,0,"645.469","-164.499","1077.94"
90,0,"641.311","-170.354","1074.28"
91,0,"637.145","-176.37","1069.89"
92,0,"632.925","-182.419","1064.86"
93,0,"628.879","-188.614","1059.28"
94,0,"625.082","-194.944","1053.29"
95,0,"621.521","-201.358","1046.67"
96,0,"617.821","-207.854","1039.6"
97,0,"614.141","-214.12","1032.1"
98,0,"611.028","-220.25","1024.12"
99,0,"608.065","-226.43","1015.52"
100,0,"605.196","-232.649","1006.42"
101,0,"602.468","-238.792","996.77"
102,0,"600.197","-244.936","986.751"
103,0,"597.937","-250.934","976.327"
104,0,"596.217","-256.933","965.713"
105,0,"594.635","-262.878","954.978"
106,0,"592.59","-268.086","943.165"
107,0,"591.343","-273.422","931.506"
108,0,"590.556","-278.76","919.334"
109,0,"589.937","-283.514","907.012"
110,0,"589.081","-287.156","894.125"
111,0,"588.722","-290.506","880.584"
112,0,"588.625","-293.044","866.81"
113,0,"588.811","-294.972","853.445"
114,0,"589.367","-295.346","839.063"
115,0,"590.191","-295.062","825.43"
116,0,"591.281","-294.145","812.432"
117,0,"592.479","-292.645","800.009"
118,0,"593.697","-290.941","788.47"
119,0,"594.758","-289.212","777.951"
120,0,"595.496","-287.686","768.482"
121,0,"595.883","-286.427","759.979"
122,0,"595.886","-285.412","752.265"
123,0,"595.506","-284.583","745.234"
124,0,"594.693","-284.008","738.7"
125,0,"593.326","-283.394","732.639"
126,0,"591.328","-282.849","727.029"
127,0,"588.921","-282.881","721.943"
128,0,"586.02","-283.458","717.364"
129,0,"582.508","-284.516","713.393"
130,0,"578.433","-286.089","709.97"
131,0,"573.911","-288.174","707.19"
132,0,"568.944","-290.86","705.251"
133,0,"563.684","-294.211","704.156"
134,0,"558.279","-297.808","703.682"
135,0,"552.923","-301.971","703.856"
136,0,"547.703","-306.443","704.646"
137,0,"542.726","-311.118","705.936"
138,0,"538.099","-315.927","707.638"
139,0,"533.872","-320.729","709.56"
140,0,"529.954","-325.538","711.745"
141,0,"526.242","-330.253","714.081"
142,0,"522.898","-335.652","716.838"
143,0,"519.343","-340.141","719.715"
144,0,"515.738","-344.568","722.798"
