Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (768)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"725.141","52.7683","942.395"
2,0,"725.112","52.73","942.367"
3,0,"725.067","52.6961","942.369"
4,0,"725.033","52.6625","942.368"
5,0,"724.981","52.6213","942.401"
6,0,"724.945","52.595","942.428"
7,0,"724.899","52.5673","942.459"
8,0,"724.846","52.5466","942.488"
9,0,"724.789","52.5305","942.524"
10,0,"724.736","52.5282","942.538"
11,0,"724.701","52.518","942.575"
12,0,"724.678","52.5212","942.598"
13,0,"724.658","52.5343","942.607"
14,0,"724.641","52.5448","942.633"
15,0,"724.635","52.5721","942.646"
16,0,"724.612","52.5971","942.657"
17,0,"724.599","52.6276","942.678"
18,0,"724.58","52.6593","942.691"
19,0,"724.574","52.6888","942.701"
20,0,"724.577","52.7216","942.691"
21,0,"724.564","52.7634","942.689"
22,0,"724.563","52.8144","942.679"
23,0,"724.56","52.8737","942.673"
24,0,"724.582","52.9339","942.651"
25,0,"724.61","52.9938","942.623"
26,0,"724.61","53.0607","942.622"
27,0,"724.631","53.1647","942.584"
28,0,"724.643","53.2627","942.588"
29,0,"724.628","53.3553","942.607"
30,0,"724.653","53.4621","942.613"
31,0,"724.658","53.5564","942.656"
32,0,"724.666","53.6361","942.694"
33,0,"724.691","53.7155","942.722"
34,0,"724.691","53.7778","942.776"
35,0,"724.737","53.8237","942.806"
36,0,"724.763","53.8623","942.856"
37,0,"724.812","53.9042","942.879"
38,0,"724.846","53.9511","942.904"
39,0,"724.89","53.9807","942.914"
40,0,"724.921","54.0083","942.918"
41,0,"724.92","54.0208","942.933"
42,0,"724.918","54.0285","942.933"
43,0,"724.871","54.018","942.939"
44,0,"724.767","53.9872","942.954"
45,0,"724.633","53.9138","942.977"
46,0,"724.456","53.8119","943.007"
47,0,"724.211","53.677","943.038"
48,0,"723.891","53.533","943.095"
49,0,"723.472","53.3329","943.199"
50,0,"723.017","53.1458","943.272"
51,0,"722.486","52.9192","943.348"
52,0,"721.859","52.6708","943.431"
53,0,"721.201","52.4051","943.526"
54,0,"720.404","52.1158","943.675"
55,0,"719.621","51.8034","943.735"
56,0,"718.733","51.4133","943.815"
57,0,"717.953","51.0504","943.671"
58,0,"716.83","50.622","943.745"
59,0,"715.85","50.2447","943.584"
60,0,"714.791","49.8492","943.418"
61,0,"713.667","49.4376","943.208"
62,0,"712.49","48.9214","942.973"
63,0,"711.189","48.3649","942.681"
64,0,"709.845","47.7505","942.419"
65,0,"708.338","47.119","942.068"
66,0,"706.767","46.3951","941.675"
67,0,"705.055","45.594","941.205"
68,0,"703.255","44.7518","940.688"
69,0,"701.424","43.8075","940.147"
70,0,"699.452","42.8242","939.652"
71,0,"697.328","41.7801","939.286"
72,0,"695.001","40.6959","939.073"
73,0,"692.603","39.4485","938.867"
74,0,"690.128","38.1615","938.696"
75,0,"687.644","36.7484","938.428"
76,0,"685.192","35.2444","938.097"
77,0,"682.683","33.8109","937.716"
78,0,"680.124","32.4927","937.44"
79,0,"677.191","31.8198","936.565"
80,0,"674.831","30.5352","936.531"
81,0,"672.511","29.3216","936.842"
82,0,"669.675","28.7833","937.191"
83,0,"667.111","28.4495","937.323"
84,0,"664.908","27.9657","937.445"
85,0,"662.941","27.421","937.509"
86,0,"661.196","26.8827","937.512"
87,0,"659.604","26.2143","937.568"
88,0,"657.964","25.6714","937.563"
89,0,"656.07","25.2105","937.304"
90,0,"654.368","24.8841","937.143"
91,0,"653.965","23.7181","937.448"
92,0,"652.763","22.9714","937.255"
93,0,"651.879","22.0655","936.843"
94,0,"651.589","20.5434","936.169"
95,0,"nan","nan","nan"
96,0,"651.752","16.8336","935.142"
97,0,"nan","nan","nan"
98,0,"655.559","25.6557","928.724"
99,0,"nan","nan","nan"
100,0,"nan","nan","nan"
101,0,"644.365","14.4933","933.133"
102,0,"643.516","11.4206","933.449"
103,0,"643.036","9.77899","933.229"
104,0,"642.703","8.18915","932.98"
105,0,"642.432","6.52122","932.727"
106,0,"642.223","4.83475","932.474"
107,0,"642.009","3.07615","932.139"
108,0,"641.908","1.25255","931.8"
109,0,"641.843","-0.638478","931.369"
110,0,"641.788","-2.53798","930.858"
111,0,"641.787","-4.49929","930.259"
112,0,"641.872","-6.62444","929.517"
113,0,"641.962","-8.88893","928.641"
114,0,"642.094","-11.2321","927.692"
115,0,"642.819","-13.2523","926.428"
116,0,"642.392","-16.3202","925.309"
117,0,"642.489","-19.1254","923.925"
118,0,"642.661","-21.9955","922.405"
119,0,"642.78","-24.9349","920.762"
120,0,"642.891","-28.0416","919.063"
121,0,"642.97","-31.2448","917.365"
122,0,"643.076","-34.6567","915.633"
123,0,"643.112","-38.1468","913.928"
124,0,"643.215","-41.8568","912.32"
125,0,"643.323","-45.72","910.805"
126,0,"643.451","-49.842","909.382"
127,0,"643.596","-54.2176","908.06"
128,0,"643.722","-58.7533","906.784"
129,0,"643.844","-63.4139","905.528"
130,0,"643.989","-68.1151","904.173"
131,0,"644.151","-72.7055","902.734"
132,0,"644.399","-77.1444","901.181"
133,0,"644.729","-81.3467","899.508"
134,0,"645.163","-85.1775","897.812"
135,0,"645.776","-88.7456","896.158"
136,0,"646.497","-91.8138","894.618"
137,0,"647.506","-94.8991","893.276"
138,0,"648.658","-97.586","892.2"
139,0,"650.022","-100.24","891.381"
140,0,"651.576","-103.055","890.825"
141,0,"653.101","-105.306","890.394"
142,0,"655.013","-108.801","890.153"
143,0,"656.735","-111.175","889.77"
144,0,"658.632","-113.929","889.245"
145,0,"660.614","-116.467","888.47"
146,0,"662.525","-118.796","887.492"
147,0,"664.398","-120.912","886.405"
148,0,"666.114","-122.81","885.276"
149,0,"667.664","-124.557","884.099"
150,0,"668.984","-126.142","882.955"
151,0,"670.146","-127.491","881.84"
152,0,"671.31","-128.84","880.641"
153,0,"672.398","-129.824","879.479"
