Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (770)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"726.63","78.5913","429.898"
2,0,"726.563","78.566","429.871"
3,0,"726.514","78.5353","429.857"
4,0,"726.472","78.5161","429.858"
5,0,"726.434","78.5092","429.87"
6,0,"726.409","78.5102","429.884"
7,0,"726.364","78.5293","429.874"
8,0,"726.331","78.5667","429.869"
9,0,"726.294","78.6072","429.853"
10,0,"726.252","78.6545","429.839"
11,0,"726.217","78.6993","429.818"
12,0,"726.171","78.7578","429.801"
13,0,"726.135","78.8119","429.768"
14,0,"726.095","78.8898","429.751"
15,0,"726.077","78.9683","429.74"
16,0,"726.057","79.0486","429.742"
17,0,"726.043","79.1222","429.743"
18,0,"726.031","79.2043","429.784"
19,0,"726.027","79.277","429.812"
20,0,"726.02","79.3243","429.823"
21,0,"726.02","79.3481","429.82"
22,0,"726.027","79.3661","429.801"
23,0,"726.053","79.3673","429.776"
24,0,"726.079","79.3517","429.773"
25,0,"726.109","79.3238","429.759"
26,0,"726.141","79.2925","429.76"
27,0,"726.165","79.2477","429.768"
28,0,"726.196","79.2075","429.773"
29,0,"726.231","79.1582","429.78"
30,0,"726.255","79.101","429.775"
31,0,"726.281","79.0398","429.786"
32,0,"726.304","78.9732","429.79"
33,0,"726.32","78.9138","429.802"
34,0,"726.355","78.8353","429.784"
35,0,"726.424","78.7509","429.767"
36,0,"726.505","78.7003","429.741"
37,0,"726.602","78.6304","429.705"
38,0,"726.699","78.5617","429.655"
39,0,"726.8","78.4767","429.604"
40,0,"726.913","78.3917","429.588"
41,0,"727.076","78.3416","429.512"
42,0,"727.289","78.334","429.425"
43,0,"727.537","78.3076","429.357"
44,0,"727.772","78.2775","429.291"
45,0,"727.966","78.2384","429.198"
46,0,"728.13","78.1963","429.097"
47,0,"728.245","78.1658","429.014"
48,0,"728.319","78.1297","428.894"
49,0,"728.323","78.0825","428.836"
50,0,"728.283","78.0128","428.805"
51,0,"728.215","77.9269","428.779"
52,0,"728.148","77.839","428.77"
53,0,"728.092","77.7394","428.754"
54,0,"728.026","77.6696","428.702"
55,0,"727.96","77.6002","428.661"
56,0,"727.812","77.5464","428.59"
57,0,"727.571","77.4945","428.497"
58,0,"727.275","77.4287","428.404"
59,0,"726.991","77.3217","428.278"
60,0,"726.67","77.2031","428.108"
61,0,"726.317","77.0558","427.991"
62,0,"725.859","76.8473","427.87"
63,0,"725.333","76.6098","427.713"
64,0,"724.715","76.3321","427.562"
65,0,"724.041","75.8794","427.349"
66,0,"723.356","75.4164","427.154"
67,0,"722.634","74.7325","426.994"
68,0,"721.878","73.9697","426.817"
69,0,"721.068","73.0055","426.62"
70,0,"720.399","71.6151","426.718"
71,0,"719.48","70.3653","426.25"
72,0,"718.532","68.9937","425.819"
73,0,"717.43","67.0546","425.961"
74,0,"716.584","64.759","425.746"
75,0,"715.394","62.2541","425.652"
76,0,"714.316","59.1619","425.572"
77,0,"713.186","55.5521","425.446"
78,0,"712.235","51.1257","425.567"
79,0,"710.906","46.4609","425.435"
80,0,"709.71","40.9969","425.553"
81,0,"708.51","35.0179","425.774"
82,0,"707.252","28.5216","426.105"
83,0,"705.918","21.6135","426.506"
84,0,"704.397","14.4227","427.022"
85,0,"702.832","6.89832","427.695"
86,0,"701.227","-0.756545","428.589"
87,0,"699.648","-8.50863","429.785"
88,0,"698.113","-16.7985","431.659"
89,0,"696.139","-24.2748","432.6"
90,0,"693.891","-31.7415","433.261"
91,0,"691.369","-38.9036","433.675"
92,0,"688.468","-46.0042","434.197"
93,0,"685.476","-53.2296","435.212"
94,0,"682.303","-60.2611","436.574"
95,0,"679.096","-67.0185","438.053"
96,0,"675.845","-73.4419","439.604"
97,0,"672.547","-79.4988","441.089"
98,0,"669.233","-85.164","442.595"
99,0,"665.895","-90.5177","444.194"
100,0,"662.59","-95.5602","445.77"
101,0,"659.26","-100.256","447.344"
102,0,"655.951","-104.681","448.897"
103,0,"652.632","-108.766","450.446"
104,0,"649.327","-112.556","451.929"
105,0,"645.927","-116.049","453.36"
106,0,"642.466","-119.295","454.735"
107,0,"638.823","-122.222","456.056"
108,0,"635.022","-124.9","457.274"
109,0,"631.064","-127.282","458.324"
110,0,"627.166","-129.369","459.422"
111,0,"623.281","-131.315","460.196"
112,0,"619.232","-132.82","460.873"
113,0,"615.445","-134.229","461.411"
114,0,"611.631","-135.264","461.803"
115,0,"608.112","-136.244","462.046"
116,0,"604.488","-136.793","461.677"
117,0,"602.261","-137.955","463.038"
118,0,"598.868","-138.585","461.985"
119,0,"596.488","-139.254","462.082"
120,0,"593.907","-139.609","461.203"
121,0,"591.615","-140.511","460.892"
122,0,"589.77","-141.202","460.549"
123,0,"588.18","-141.777","460.288"
124,0,"587.038","-142.11","460.093"
125,0,"586.052","-142.697","459.942"
126,0,"585.467","-143.44","459.482"
127,0,"585.402","-144.275","458.465"
128,0,"585.691","-145.098","456.801"
129,0,"586.279","-145.997","454.78"
130,0,"586.858","-147.098","452.796"
131,0,"587.11","-148.689","451.584"
132,0,"587.676","-149.976","450.783"
133,0,"588.364","-151.534","450.67"
134,0,"589.263","-153.768","451.197"
135,0,"590.427","-156.435","452.049"
136,0,"592.112","-159.374","452.865"
137,0,"594.267","-162.454","453.483"
138,0,"596.783","-165.49","453.917"
139,0,"599.577","-168.702","454.311"
140,0,"603.308","-172.012","455.036"
141,0,"605.216","-173.954","455.101"
142,0,"607.328","-175.795","454.95"
143,0,"608.389","-176.529","454.561"
144,0,"609.915","-177.419","454.415"
145,0,"610.685","-177.791","454.102"
146,0,"610.857","-177.677","453.916"
147,0,"611.332","-177.755","453.866"
148,0,"611.914","-177.811","453.87"
149,0,"612.56","-177.893","453.93"
150,0,"613.123","-177.998","454.064"
151,0,"613.5","-178.087","454.214"
152,0,"613.678","-178.077","454.341"
