Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (718)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"764.196","93.4523","1350.04"
2,0,"764.142","93.5023","1350.03"
3,0,"764.089","93.5467","1350.03"
4,0,"764.036","93.5888","1350.04"
5,0,"763.986","93.6406","1350.05"
6,0,"763.921","93.6842","1350.06"
7,0,"763.869","93.7287","1350.07"
8,0,"763.817","93.7732","1350.1"
9,0,"763.781","93.7999","1350.11"
10,0,"763.754","93.8219","1350.12"
11,0,"763.719","93.8403","1350.14"
12,0,"763.685","93.8589","1350.15"
13,0,"763.65","93.8853","1350.16"
14,0,"763.613","93.9028","1350.18"
15,0,"763.572","93.9362","1350.19"
16,0,"763.525","93.963","1350.2"
17,0,"763.49","93.9961","1350.21"
18,0,"763.464","94.0252","1350.2"
19,0,"763.427","94.0638","1350.18"
20,0,"763.398","94.1121","1350.15"
21,0,"763.381","94.1586","1350.14"
22,0,"763.367","94.2246","1350.12"
23,0,"763.373","94.2785","1350.1"
24,0,"763.367","94.3504","1350.07"
25,0,"763.369","94.4098","1350.04"
26,0,"763.355","94.4696","1350.04"
27,0,"763.32","94.5274","1350.02"
28,0,"763.294","94.604","1350.03"
29,0,"763.275","94.6851","1350.05"
30,0,"763.251","94.7874","1350.05"
31,0,"763.223","94.8938","1350.08"
32,0,"763.187","95.0158","1350.09"
33,0,"763.144","95.1497","1350.12"
34,0,"763.089","95.2756","1350.14"
35,0,"763.031","95.397","1350.15"
36,0,"762.965","95.4958","1350.18"
37,0,"762.884","95.5924","1350.19"
38,0,"762.795","95.6528","1350.2"
39,0,"762.687","95.7012","1350.19"
40,0,"762.54","95.7267","1350.17"
41,0,"762.376","95.7302","1350.18"
42,0,"762.137","95.7079","1350.13"
43,0,"761.886","95.6656","1350.16"
44,0,"761.529","95.6095","1350.11"
45,0,"761.156","95.5403","1350.15"
46,0,"760.718","95.4634","1350.22"
47,0,"760.195","95.3434","1350.34"
48,0,"759.622","95.2317","1350.5"
49,0,"758.96","95.0552","1350.68"
50,0,"758.234","94.8397","1350.88"
51,0,"757.429","94.5874","1351.09"
52,0,"756.559","94.2591","1351.32"
53,0,"755.57","93.8788","1351.56"
54,0,"754.512","93.4377","1351.8"
55,0,"753.357","92.936","1352.06"
56,0,"752.096","92.3392","1352.35"
57,0,"750.759","91.6697","1352.67"
58,0,"749.316","90.9216","1353.02"
59,0,"747.734","90.106","1353.37"
60,0,"746.054","89.2489","1353.73"
61,0,"744.239","88.3506","1354.07"
62,0,"742.332","87.4252","1354.4"
63,0,"740.31","86.4567","1354.7"
64,0,"738.216","85.4709","1354.98"
65,0,"736.026","84.4315","1355.26"
66,0,"733.75","83.3394","1355.52"
67,0,"731.363","82.1846","1355.75"
68,0,"728.888","80.9536","1356"
69,0,"726.333","79.6438","1356.24"
70,0,"723.663","78.2502","1356.44"
71,0,"720.937","76.7303","1356.67"
72,0,"718.12","75.1023","1356.88"
73,0,"715.282","73.3509","1357.1"
74,0,"712.332","71.4808","1357.26"
75,0,"709.371","69.4919","1357.42"
76,0,"706.358","67.4084","1357.58"
77,0,"703.291","65.2363","1357.71"
78,0,"700.246","63.0072","1357.88"
79,0,"697.163","60.7493","1358.05"
80,0,"694.134","58.3969","1358.23"
81,0,"691.088","56.0066","1358.4"
82,0,"688.092","53.5723","1358.54"
83,0,"685.124","51.0398","1358.66"
84,0,"682.202","48.4194","1358.76"
85,0,"679.304","45.6494","1358.82"
86,0,"676.451","42.7352","1358.82"
87,0,"673.743","39.8446","1358.73"
88,0,"671.148","36.8646","1358.57"
89,0,"668.627","33.7394","1358.38"
90,0,"666.167","30.5078","1358.13"
91,0,"663.814","27.21","1357.86"
92,0,"661.499","23.8256","1357.59"
93,0,"659.261","20.3826","1357.3"
94,0,"657.061","16.8567","1356.97"
95,0,"654.965","13.2336","1356.6"
96,0,"652.955","9.49575","1356.18"
97,0,"651.009","5.69293","1355.7"
98,0,"649.165","1.77879","1355.17"
99,0,"647.411","-2.2489","1354.59"
100,0,"645.763","-6.37814","1353.94"
101,0,"644.231","-10.6223","1353.26"
102,0,"642.778","-14.985","1352.53"
103,0,"641.437","-19.5183","1351.78"
104,0,"640.172","-24.1361","1350.93"
105,0,"639.007","-28.9268","1350.02"
106,0,"637.937","-33.848","1349.01"
107,0,"636.951","-38.9573","1347.84"
108,0,"636.103","-44.2462","1346.53"
109,0,"635.312","-49.6521","1345.07"
110,0,"634.655","-55.2881","1343.34"
111,0,"633.938","-60.9415","1341.68"
112,0,"633.33","-66.858","1339.78"
113,0,"632.776","-72.9033","1337.71"
114,0,"632.299","-79.1492","1335.54"
115,0,"631.857","-85.5221","1333.19"
116,0,"631.487","-92.0654","1330.72"
117,0,"631.174","-98.7865","1328.1"
118,0,"630.899","-105.724","1325.34"
119,0,"630.628","-112.893","1322.42"
120,0,"630.346","-120.303","1319.33"
121,0,"630.043","-127.95","1316.07"
122,0,"629.687","-135.804","1312.59"
123,0,"629.327","-143.764","1308.9"
124,0,"628.985","-151.742","1305.07"
125,0,"628.751","-159.674","1301.2"
126,0,"628.646","-167.502","1297.29"
127,0,"628.719","-175.191","1293.4"
128,0,"629.082","-182.761","1289.57"
129,0,"629.742","-190.235","1285.77"
130,0,"630.715","-197.655","1282.03"
131,0,"632.033","-205.09","1278.33"
132,0,"633.659","-212.637","1274.66"
133,0,"635.473","-220.257","1271.03"
134,0,"637.385","-227.888","1267.45"
135,0,"639.288","-235.538","1263.95"
136,0,"641.142","-243.124","1260.54"
137,0,"642.88","-250.568","1257.22"
138,0,"644.506","-257.796","1254"
139,0,"645.965","-264.887","1250.88"
140,0,"647.294","-271.706","1247.71"
141,0,"648.549","-278.396","1244.5"
142,0,"649.69","-284.901","1241.22"
143,0,"650.811","-291.209","1237.88"
144,0,"651.888","-297.303","1234.45"
145,0,"652.894","-303.095","1230.9"
