Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (759)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"313.656","122.535","955.731"
2,0,"313.536","122.508","955.708"
3,0,"313.406","122.487","955.64"
4,0,"313.273","122.496","955.577"
5,0,"313.143","122.541","955.526"
6,0,"313.049","122.626","955.465"
7,0,"312.983","122.742","955.407"
8,0,"312.893","122.869","955.321"
9,0,"312.83","123.014","955.255"
10,0,"312.723","123.17","955.213"
11,0,"312.624","123.353","955.203"
12,0,"312.512","123.518","955.192"
13,0,"312.374","123.717","955.178"
14,0,"312.245","123.915","955.188"
15,0,"312.112","124.126","955.237"
16,0,"311.999","124.363","955.294"
17,0,"311.896","124.58","955.325"
18,0,"311.842","124.787","955.358"
19,0,"311.806","124.972","955.42"
20,0,"311.765","125.161","955.468"
21,0,"311.726","125.328","955.549"
22,0,"311.671","125.443","955.564"
23,0,"311.6","125.575","955.6"
24,0,"311.507","125.662","955.638"
25,0,"311.401","125.733","955.686"
26,0,"311.322","125.781","955.677"
27,0,"311.243","125.822","955.697"
28,0,"311.171","125.858","955.706"
29,0,"311.135","125.877","955.708"
30,0,"311.112","125.901","955.707"
31,0,"311.093","125.901","955.685"
32,0,"311.053","125.891","955.679"
33,0,"311.015","125.87","955.683"
34,0,"310.957","125.844","955.703"
35,0,"310.878","125.819","955.733"
36,0,"310.776","125.815","955.777"
37,0,"310.683","125.813","955.784"
38,0,"310.57","125.837","955.762"
39,0,"310.453","125.886","955.722"
40,0,"310.312","125.923","955.681"
41,0,"310.151","125.953","955.577"
42,0,"309.968","125.984","955.478"
43,0,"309.766","126.033","955.401"
44,0,"309.525","126.085","955.322"
45,0,"309.287","126.179","955.224"
46,0,"309.009","126.277","955.096"
47,0,"308.68","126.366","954.927"
48,0,"308.363","126.475","954.724"
49,0,"308.012","126.633","954.531"
50,0,"307.644","126.83","954.261"
51,0,"307.242","127.042","953.897"
52,0,"306.785","127.285","953.555"
53,0,"306.268","127.532","953.165"
54,0,"305.66","127.842","952.757"
55,0,"305.003","128.149","952.316"
56,0,"304.283","128.479","951.808"
57,0,"303.49","128.819","951.212"
58,0,"302.654","129.212","950.632"
59,0,"301.763","129.593","949.945"
60,0,"300.867","130.056","949.248"
61,0,"299.899","130.515","948.46"
62,0,"298.88","131.001","947.634"
63,0,"297.836","131.469","946.754"
64,0,"296.724","131.958","945.847"
65,0,"295.579","132.497","944.93"
66,0,"294.368","133.004","943.978"
67,0,"293.054","133.46","942.978"
68,0,"291.726","133.917","941.982"
69,0,"290.336","134.413","941.067"
70,0,"288.921","134.875","940.077"
71,0,"287.508","135.357","939.072"
72,0,"286.064","135.789","938.093"
73,0,"284.638","136.17","937.054"
74,0,"283.203","136.576","936.017"
75,0,"281.774","137.019","935.095"
76,0,"280.32","137.469","934.242"
77,0,"278.921","137.998","933.432"
78,0,"277.605","138.529","932.606"
79,0,"276.272","139.067","931.886"
80,0,"274.99","139.634","931.15"
81,0,"273.731","140.263","930.526"
82,0,"272.505","140.941","929.979"
83,0,"271.284","141.676","929.512"
84,0,"270.042","142.438","929.048"
85,0,"268.772","143.235","928.752"
86,0,"267.413","144.013","928.488"
87,0,"265.969","144.822","928.289"
88,0,"264.463","145.699","928.249"
89,0,"262.908","146.604","928.233"
90,0,"261.381","147.587","928.292"
91,0,"259.881","148.655","928.466"
92,0,"258.56","149.826","928.727"
93,0,"257.392","151.058","929.02"
94,0,"256.457","152.395","929.417"
95,0,"255.76","153.871","929.885"
96,0,"255.172","155.351","930.454"
97,0,"254.703","156.89","931.129"
98,0,"254.264","158.418","932.004"
99,0,"253.838","159.953","932.984"
100,0,"253.455","161.51","934.126"
101,0,"253.107","163.055","935.302"
102,0,"252.914","164.646","936.593"
103,0,"252.855","166.234","937.976"
104,0,"252.916","167.788","939.372"
105,0,"253.173","169.367","940.814"
106,0,"253.637","170.925","942.266"
107,0,"254.316","172.453","943.738"
108,0,"255.223","174.01","945.244"
109,0,"256.468","175.59","946.775"
110,0,"258.025","177.219","948.317"
111,0,"259.982","178.956","949.949"
112,0,"262.279","180.712","951.587"
113,0,"264.71","182.444","953.282"
114,0,"267.536","184.17","955.061"
115,0,"270.532","185.812","956.836"
116,0,"273.799","187.382","958.632"
117,0,"277.252","188.838","960.429"
118,0,"280.955","190.159","962.26"
119,0,"284.968","191.285","964.145"
120,0,"289.199","192.343","966.137"
121,0,"293.645","193.251","968.173"
122,0,"298.377","194.051","970.294"
123,0,"303.324","194.698","972.451"
124,0,"308.372","195.254","974.75"
125,0,"313.638","195.664","977.085"
126,0,"319.04","195.936","979.448"
127,0,"324.977","196.319","982.137"
128,0,"330.566","196.594","984.747"
129,0,"336.191","196.859","987.497"
130,0,"341.87","197.1","990.347"
131,0,"347.607","197.822","993.508"
132,0,"354.599","198.339","996.458"
133,0,"360.205","198.127","999.471"
134,0,"365.844","197.77","1002.89"
135,0,"371.872","197.316","1006.76"
136,0,"378.01","196.755","1010.79"
137,0,"384.076","195.952","1015.03"
138,0,"390.017","194.842","1019.45"
139,0,"395.8","193.437","1023.96"
140,0,"401.379","191.765","1028.52"
141,0,"406.729","189.849","1033.07"
142,0,"411.786","187.739","1037.59"
143,0,"416.577","185.397","1042.04"
144,0,"421.037","182.886","1046.4"
145,0,"425.202","180.259","1050.7"
146,0,"429.06","177.552","1054.9"
147,0,"432.665","174.795","1059"
148,0,"436.004","172.024","1063.01"
149,0,"439.15","169.225","1066.94"
150,0,"442.103","166.429","1070.8"
151,0,"444.911","163.634","1074.47"
152,0,"447.707","160.916","1078.2"
153,0,"450.265","158.255","1081.67"
154,0,"452.708","155.684","1085.05"
155,0,"454.97","153.213","1088.31"
156,0,"457.088","150.867","1091.49"
157,0,"459.049","148.636","1094.55"
158,0,"460.915","146.497","1097.52"
159,0,"462.692","144.473","1100.33"
160,0,"464.416","142.529","1102.95"
