Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (764)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"379.074","180.723","86.082"
2,0,"379.077","180.719","86.0719"
3,0,"379.082","180.733","86.0747"
4,0,"379.087","180.74","86.0745"
5,0,"379.092","180.755","86.0722"
6,0,"379.097","180.776","86.0708"
7,0,"379.095","180.769","86.0875"
8,0,"379.095","180.765","86.104"
9,0,"379.096","180.755","86.1244"
10,0,"379.09","180.753","86.1469"
11,0,"379.078","180.743","86.1616"
12,0,"379.08","180.738","86.1739"
13,0,"379.082","180.735","86.1846"
14,0,"379.092","180.727","86.1949"
15,0,"379.085","180.721","86.1975"
16,0,"379.075","180.711","86.1976"
17,0,"379.067","180.714","86.2038"
18,0,"379.053","180.709","86.2157"
19,0,"379.047","180.7","86.2271"
20,0,"379.04","180.706","86.2162"
21,0,"379.03","180.703","86.207"
22,0,"379.019","180.699","86.193"
23,0,"379.01","180.68","86.1779"
24,0,"379.01","180.681","86.1732"
25,0,"379.008","180.674","86.1591"
26,0,"379.004","180.668","86.1575"
27,0,"379.009","180.669","86.1388"
28,0,"379.009","180.677","86.121"
29,0,"379.012","180.68","86.1115"
30,0,"378.992","180.683","86.0927"
31,0,"378.978","180.681","86.0733"
32,0,"378.974","180.706","86.0605"
33,0,"378.974","180.715","86.0479"
34,0,"378.973","180.732","86.031"
35,0,"378.962","180.778","86.0033"
36,0,"378.944","180.798","85.9732"
37,0,"378.953","180.854","85.9319"
38,0,"378.946","180.892","85.8937"
39,0,"378.943","180.942","85.8632"
40,0,"378.949","180.965","85.8366"
41,0,"378.957","180.977","85.8388"
42,0,"378.981","180.983","85.8491"
43,0,"379.009","180.973","85.8684"
44,0,"379.052","180.962","85.8969"
45,0,"379.081","180.923","85.9373"
46,0,"379.119","180.859","85.9931"
47,0,"379.18","180.754","86.1015"
48,0,"379.23","180.546","86.2186"
49,0,"379.239","180.226","86.3865"
50,0,"379.328","179.858","86.5231"
51,0,"379.415","179.462","86.7074"
52,0,"379.469","179.056","86.9066"
53,0,"379.555","178.732","87.0786"
54,0,"379.572","178.385","87.2508"
55,0,"379.516","177.976","87.3965"
56,0,"379.491","177.689","87.4907"
57,0,"379.409","177.461","87.5581"
58,0,"379.334","177.294","87.5596"
59,0,"379.25","177.178","87.5332"
60,0,"379.152","177.088","87.4528"
61,0,"379.065","177.031","87.3235"
62,0,"378.957","176.988","87.166"
63,0,"378.848","176.977","87.0128"
64,0,"378.705","176.943","86.8432"
65,0,"378.545","176.944","86.7176"
66,0,"378.402","176.965","86.5819"
67,0,"378.186","176.942","86.4041"
68,0,"377.942","176.87","86.1858"
69,0,"377.686","176.757","85.9609"
70,0,"377.446","176.692","85.7251"
71,0,"377.175","176.693","85.5032"
72,0,"376.892","176.691","85.2687"
73,0,"376.563","176.705","85.0244"
74,0,"376.269","176.781","84.7602"
75,0,"375.995","176.927","84.4868"
76,0,"375.644","177.121","84.2164"
77,0,"375.273","177.27","83.91"
78,0,"374.991","177.443","83.6042"
79,0,"374.755","177.698","83.3243"
80,0,"374.465","177.947","83.0194"
81,0,"374.14","178.172","82.784"
82,0,"373.912","178.392","82.514"
83,0,"373.731","178.627","82.2425"
84,0,"373.566","178.89","81.9747"
85,0,"373.369","179.093","81.7442"
86,0,"373.198","179.264","81.5572"
87,0,"373.031","179.399","81.3985"
88,0,"372.963","179.504","81.2899"
89,0,"372.92","179.505","81.2262"
90,0,"372.903","179.46","81.1694"
91,0,"372.924","179.454","81.1309"
92,0,"372.98","179.49","81.1167"
93,0,"373.011","179.532","81.116"
94,0,"373.04","179.565","81.1244"
95,0,"373.052","179.61","81.1111"
96,0,"373.058","179.654","81.0903"
97,0,"373.086","179.702","81.0823"
98,0,"373.105","179.753","81.0682"
99,0,"373.094","179.852","81.0535"
100,0,"373.094","179.98","81.0443"
101,0,"373.079","180.093","81.0566"
102,0,"373.095","180.175","81.0848"
103,0,"373.116","180.251","81.1143"
104,0,"373.167","180.341","81.1455"
105,0,"373.251","180.462","81.2"
106,0,"373.316","180.553","81.2632"
107,0,"373.444","180.692","81.3128"
108,0,"373.572","180.821","81.3363"
109,0,"373.735","180.951","81.3403"
110,0,"373.898","181.079","81.3351"
111,0,"374.064","181.243","81.317"
112,0,"374.195","181.395","81.315"
113,0,"374.355","181.508","81.3251"
114,0,"374.521","181.643","81.3646"
115,0,"374.717","181.811","81.404"
116,0,"374.876","181.935","81.4125"
117,0,"375.071","182.056","81.4427"
118,0,"375.341","182.229","81.4881"
119,0,"375.636","182.43","81.5353"
120,0,"375.919","182.578","81.5665"
121,0,"376.174","182.707","81.6249"
122,0,"376.412","182.819","81.6518"
123,0,"376.639","182.898","81.6838"
124,0,"376.783","183.002","81.7891"
125,0,"nan","nan","nan"
126,0,"377.126","183.152","81.9981"
127,0,"377.57","183.261","82.1714"
128,0,"377.398","183.25","82.2641"
129,0,"nan","nan","nan"
130,0,"378.143","183.388","82.6207"
131,0,"378.165","183.915","82.7778"
132,0,"378.852","182.947","83.4617"
133,0,"378.991","182.881","83.6934"
134,0,"379.279","182.943","84.1413"
135,0,"379.942","183.285","84.4167"
136,0,"380.259","183.235","84.9046"
137,0,"380.929","182.365","86.0866"
138,0,"381.811","182.868","86.6141"
139,0,"382.744","182.673","87.5574"
140,0,"383.555","183.522","87.8714"
141,0,"384.925","184.544","88.5368"
142,0,"386.431","185.994","89.2921"
143,0,"389.166","189.221","89.5979"
144,0,"391.394","191.095","90.4952"
145,0,"394.844","194.083","91.1185"
146,0,"398.907","197.361","91.8933"
147,0,"403.457","200.848","92.9613"
148,0,"408.163","204.58","94.371"
149,0,"412.693","208.497","95.7876"
150,0,"417.186","212.246","97.6357"
151,0,"421.987","216.277","99.8954"
152,0,"426.974","220.688","101.916"
153,0,"431.958","225.011","103.798"
154,0,"436.838","229.247","105.751"
