Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (763)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"430.168","-90.0177","861.935"
2,0,"430.319","-90.48","861.554"
3,0,"430.53","-90.8883","861.226"
4,0,"430.779","-91.2906","860.958"
5,0,"431.027","-91.644","860.751"
6,0,"431.257","-91.9171","860.657"
7,0,"431.486","-92.0893","860.602"
8,0,"431.482","-92.4439","860.92"
9,0,"431.75","-92.3696","860.94"
10,0,"431.984","-92.3421","861.076"
11,0,"432.215","-92.2811","861.264"
12,0,"432.467","-92.1884","861.465"
13,0,"432.749","-92.0506","861.64"
14,0,"433.025","-91.8927","861.812"
15,0,"433.277","-91.7443","861.978"
16,0,"433.529","-91.5795","862.108"
17,0,"433.774","-91.4108","862.198"
18,0,"434.008","-91.2272","862.295"
19,0,"434.207","-91.0051","862.358"
20,0,"434.385","-90.7619","862.362"
21,0,"434.546","-90.4845","862.339"
22,0,"434.701","-90.2089","862.322"
23,0,"434.863","-89.9283","862.264"
24,0,"435.013","-89.6839","862.188"
25,0,"435.17","-89.4659","862.086"
26,0,"435.325","-89.2516","861.981"
27,0,"435.455","-89.0639","861.856"
28,0,"435.575","-88.8672","861.706"
29,0,"435.677","-88.7033","861.556"
30,0,"435.764","-88.5286","861.374"
31,0,"435.848","-88.3358","861.197"
32,0,"435.918","-88.1761","861.03"
33,0,"435.976","-87.9946","860.875"
34,0,"436.007","-87.8569","860.742"
35,0,"436.015","-87.6971","860.588"
36,0,"435.986","-87.5788","860.469"
37,0,"435.948","-87.4783","860.36"
38,0,"435.885","-87.3796","860.267"
39,0,"435.795","-87.3202","860.195"
40,0,"435.673","-87.271","860.158"
41,0,"435.513","-87.2241","860.094"
42,0,"435.309","-87.1952","859.982"
43,0,"435.054","-87.1988","859.883"
44,0,"434.782","-87.2502","859.833"
45,0,"434.501","-87.2825","859.819"
46,0,"434.215","-87.3494","859.832"
47,0,"433.819","-87.4601","859.937"
48,0,"433.392","-87.5789","860.055"
49,0,"432.896","-87.7362","860.201"
50,0,"432.29","-87.9926","860.393"
51,0,"431.603","-88.2762","860.654"
52,0,"431.002","-88.5038","860.824"
53,0,"430.212","-88.899","861.202"
54,0,"429.659","-89.0468","861.292"
55,0,"428.765","-89.5058","861.793"
56,0,"427.803","-90.005","862.408"
57,0,"426.737","-90.5047","863.165"
58,0,"425.597","-91.0512","864.015"
59,0,"424.384","-91.6243","864.959"
60,0,"423.101","-92.2774","866.055"
61,0,"421.698","-92.9944","867.207"
62,0,"420.194","-93.7781","868.491"
63,0,"418.558","-94.6616","869.866"
64,0,"416.827","-95.5757","871.358"
65,0,"415.006","-96.4843","873.05"
66,0,"413.059","-97.3744","874.867"
67,0,"411.04","-98.2819","876.717"
68,0,"409.045","-99.1755","878.595"
69,0,"406.959","-100.096","880.506"
70,0,"404.739","-101.055","882.502"
71,0,"402.498","-102.064","884.636"
72,0,"400.226","-103.041","886.958"
73,0,"397.859","-104.07","889.23"
74,0,"395.352","-105.138","891.343"
75,0,"392.619","-106.066","893.367"
76,0,"389.914","-107.034","895.24"
77,0,"387.127","-107.936","897.069"
78,0,"384.185","-108.817","898.771"
79,0,"381.201","-109.727","900.28"
80,0,"378.119","-110.616","901.677"
81,0,"374.916","-111.511","902.854"
82,0,"371.565","-112.457","903.671"
83,0,"368.038","-112.782","904.019"
84,0,"364.477","-113.578","904.072"
85,0,"360.761","-114.081","903.767"
86,0,"357.055","-114.218","902.943"
87,0,"353.412","-114.104","901.668"
88,0,"349.721","-113.658","900.086"
89,0,"346.1","-113.062","898.135"
90,0,"342.527","-112.329","895.846"
91,0,"338.957","-111.486","893.271"
92,0,"335.336","-110.537","890.366"
93,0,"331.701","-109.496","887.133"
94,0,"327.983","-108.264","883.55"
95,0,"324.242","-106.816","879.594"
96,0,"320.598","-105.121","875.174"
97,0,"316.722","-103.058","870.723"
98,0,"312.998","-100.77","865.602"
99,0,"309.295","-98.1612","860.136"
100,0,"305.605","-95.2525","854.351"
101,0,"302.033","-91.9777","848.36"
102,0,"298.582","-88.3275","842.152"
103,0,"295.218","-84.32","835.759"
104,0,"292.018","-79.888","829.295"
105,0,"289.03","-75.0984","822.735"
106,0,"286.139","-70.2565","816.244"
107,0,"283.859","-64.2015","809.576"
108,0,"280.872","-58.7623","803.366"
109,0,"278.364","-52.5733","797.122"
110,0,"275.998","-46.0564","791.078"
111,0,"273.704","-39.1922","785.258"
112,0,"271.55","-32.0916","779.769"
113,0,"269.62","-24.7589","774.591"
114,0,"267.945","-17.4227","769.628"
115,0,"266.504","-9.9031","764.936"
116,0,"265.267","-2.16012","760.585"
117,0,"264.296","5.67843","756.48"
118,0,"263.605","13.6806","752.649"
119,0,"263.12","21.952","749.105"
120,0,"262.79","30.5883","745.869"
121,0,"262.736","39.5154","743.028"
122,0,"262.995","48.553","740.514"
123,0,"263.546","57.753","738.381"
124,0,"264.403","67.1849","736.672"
125,0,"265.462","76.8976","735.429"
126,0,"266.707","86.8015","734.638"
127,0,"268.193","96.8682","734.301"
128,0,"269.859","107.108","734.55"
129,0,"271.712","117.474","735.335"
130,0,"273.643","128.014","736.678"
131,0,"275.68","138.605","738.63"
132,0,"277.841","149.216","741.178"
133,0,"280.041","159.822","744.393"
134,0,"281.854","170.124","748.586"
135,0,"284.582","181.127","753.222"
136,0,"287.074","191.697","758.556"
137,0,"289.639","202.241","764.625"
138,0,"292.307","212.674","771.329"
139,0,"295.065","223.04","778.644"
140,0,"297.921","233.228","786.512"
141,0,"300.868","243.207","794.885"
142,0,"303.808","253.076","803.715"
143,0,"306.971","262.605","812.791"
144,0,"309.454","271.435","823.05"
145,0,"312.642","279.933","832.979"
146,0,"316.596","287.934","842.544"
147,0,"319.884","295.422","852.892"
148,0,"322.932","302.31","863.463"
149,0,"326.306","308.492","873.877"
150,0,"329.443","314.059","884.325"
