Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (774)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"430.394","100.521","948.924"
2,0,"430.354","100.562","948.921"
3,0,"430.311","100.578","948.935"
4,0,"430.278","100.597","948.949"
5,0,"430.239","100.62","948.965"
6,0,"430.207","100.638","948.979"
7,0,"430.172","100.639","948.995"
8,0,"430.13","100.619","949.013"
9,0,"430.096","100.594","949.013"
10,0,"430.059","100.549","949.03"
11,0,"430.037","100.488","949.035"
12,0,"430.008","100.434","949.046"
13,0,"429.993","100.371","949.057"
14,0,"429.955","100.305","949.069"
15,0,"429.914","100.245","949.063"
16,0,"429.869","100.173","949.06"
17,0,"429.841","100.118","949.055"
18,0,"429.807","100.064","949.037"
19,0,"429.777","100.018","949.025"
20,0,"429.744","99.9602","949.018"
21,0,"429.707","99.895","949.009"
22,0,"429.691","99.8478","948.985"
23,0,"429.67","99.7997","948.983"
24,0,"429.652","99.7528","948.954"
25,0,"429.641","99.7404","948.927"
26,0,"429.624","99.7233","948.9"
27,0,"429.617","99.7364","948.866"
28,0,"429.607","99.742","948.835"
29,0,"429.599","99.7577","948.798"
30,0,"429.597","99.7508","948.789"
31,0,"429.599","99.7491","948.774"
32,0,"429.604","99.7397","948.771"
33,0,"429.618","99.7123","948.783"
34,0,"429.632","99.6934","948.78"
35,0,"429.643","99.6698","948.766"
36,0,"429.645","99.6431","948.736"
37,0,"429.652","99.6442","948.685"
38,0,"429.642","99.6539","948.624"
39,0,"429.625","99.6643","948.557"
40,0,"429.609","99.7103","948.48"
41,0,"429.569","99.7676","948.412"
42,0,"429.516","99.8772","948.347"
43,0,"429.441","100.02","948.296"
44,0,"429.345","100.203","948.267"
45,0,"429.224","100.413","948.295"
46,0,"429.068","100.641","948.352"
47,0,"428.918","100.883","948.42"
48,0,"428.682","101.147","948.505"
49,0,"428.42","101.436","948.567"
50,0,"428.129","101.72","948.587"
51,0,"427.741","102.079","948.592"
52,0,"427.328","102.378","948.529"
53,0,"426.819","102.709","948.449"
54,0,"426.268","103.021","948.265"
55,0,"425.627","103.305","948.086"
56,0,"424.94","103.512","947.864"
57,0,"424.135","103.763","947.533"
58,0,"423.318","103.915","947.188"
59,0,"422.368","104.006","946.882"
60,0,"421.35","104.077","946.53"
61,0,"420.241","104.066","946.266"
62,0,"419.004","104.078","945.927"
63,0,"417.691","104.069","945.657"
64,0,"416.317","104.114","945.348"
65,0,"414.861","104.19","945.078"
66,0,"413.375","104.376","944.796"
67,0,"411.759","104.597","944.552"
68,0,"410.13","104.972","944.301"
69,0,"408.4","105.378","944.1"
70,0,"406.667","105.965","943.858"
71,0,"404.86","106.52","943.708"
72,0,"403.046","107.204","943.511"
73,0,"401.149","107.88","943.41"
74,0,"399.2","108.626","943.337"
75,0,"397.19","109.411","943.244"
76,0,"395.144","110.177","943.232"
77,0,"393.09","111.009","943.154"
78,0,"391.058","111.821","943.133"
79,0,"389.051","112.714","943.124"
80,0,"387.085","113.602","943.096"
81,0,"385.234","114.513","943.12"
82,0,"383.464","115.545","943.06"
83,0,"381.838","116.586","943.064"
84,0,"380.382","117.714","942.985"
85,0,"379.058","118.92","942.953"
86,0,"377.864","120.273","942.821"
87,0,"376.84","121.665","942.675"
88,0,"375.885","123.106","942.491"
89,0,"375.086","124.644","942.268"
90,0,"374.435","126.154","942.048"
91,0,"373.848","127.725","941.778"
92,0,"373.507","129.23","941.718"
93,0,"373.24","130.773","941.626"
94,0,"373.082","132.211","941.62"
95,0,"373.036","133.667","941.497"
96,0,"373.045","135.064","941.332"
97,0,"373.114","136.384","941.228"
98,0,"373.293","137.702","941.077"
99,0,"373.547","138.965","940.991"
100,0,"373.925","140.118","941.005"
101,0,"374.458","141.203","941.145"
102,0,"375.144","142.21","941.321"
103,0,"375.897","143.139","941.62"
104,0,"376.784","143.995","941.928"
105,0,"377.725","144.804","942.338"
106,0,"378.806","145.543","942.732"
107,0,"379.984","146.206","943.109"
108,0,"381.212","146.758","943.441"
109,0,"382.473","147.298","943.817"
110,0,"383.888","147.707","944.077"
111,0,"385.361","148.063","944.34"
112,0,"386.872","148.316","944.589"
113,0,"388.418","148.459","944.772"
114,0,"390.094","148.506","944.987"
115,0,"391.837","148.504","945.147"
116,0,"393.593","148.394","945.319"
117,0,"395.454","148.225","945.501"
118,0,"397.431","147.941","945.644"
119,0,"399.411","147.508","945.78"
120,0,"401.554","147.067","945.945"
121,0,"403.85","146.53","946.108"
122,0,"406.201","145.862","946.228"
123,0,"408.698","145.117","946.325"
124,0,"411.33","144.321","946.425"
125,0,"414.11","143.4","946.558"
126,0,"416.993","142.458","946.731"
127,0,"420.08","141.42","946.928"
128,0,"423.3","140.255","947.155"
129,0,"426.593","138.977","947.431"
130,0,"429.996","137.685","947.744"
131,0,"433.664","136.617","947.995"
132,0,"437.184","135.282","948.542"
133,0,"440.29","134.76","949.019"
134,0,"443.743","133.007","949.845"
135,0,"447.241","130.972","950.821"
136,0,"450.474","128.836","951.928"
137,0,"453.463","126.739","953.071"
138,0,"456.211","124.492","954.21"
139,0,"458.805","122.131","955.217"
140,0,"461.264","119.619","956.148"
141,0,"463.621","116.955","957.025"
142,0,"465.87","114.291","957.87"
143,0,"468.164","111.565","958.769"
144,0,"469.915","108.135","959.602"
145,0,"472.064","105.395","960.571"
146,0,"474.366","103.05","961.734"
147,0,"476.684","100.92","962.997"
148,0,"478.824","98.803","964.278"
149,0,"480.907","96.8953","965.583"
150,0,"482.867","95.155","966.879"
151,0,"484.851","93.591","968.216"
152,0,"486.751","92.2113","969.651"
153,0,"488.698","91.0419","971.118"
154,0,"490.64","89.9506","972.545"
155,0,"492.564","88.9884","974.057"
156,0,"494.558","88.0366","975.583"
157,0,"496.618","87.1684","977.153"
158,0,"498.592","86.2512","978.567"
159,0,"500.515","85.5105","980.043"
160,0,"502.41","84.783","981.595"
