Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (762)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"460.339","66.0957","419.984"
2,0,"460.302","66.1273","419.978"
3,0,"460.254","66.1469","420.002"
4,0,"460.22","66.1791","420.019"
5,0,"460.192","66.2259","420.027"
6,0,"460.175","66.2689","420.048"
7,0,"460.164","66.3307","420.053"
8,0,"460.146","66.4081","420.044"
9,0,"460.143","66.5002","420.036"
10,0,"460.101","66.5542","420.039"
11,0,"460.086","66.5688","420.072"
12,0,"460.065","66.571","420.112"
13,0,"460.055","66.5847","420.117"
14,0,"460.044","66.5982","420.113"
15,0,"460.024","66.6058","420.116"
16,0,"460.002","66.6054","420.111"
17,0,"460.003","66.5933","420.122"
18,0,"460.01","66.5508","420.138"
19,0,"460.02","66.5176","420.134"
20,0,"460.012","66.474","420.118"
21,0,"459.984","66.3876","420.125"
22,0,"459.955","66.2984","420.12"
23,0,"459.934","66.2143","420.097"
24,0,"459.945","66.1707","420.044"
25,0,"459.956","66.0908","420.024"
26,0,"459.957","65.9761","420.024"
27,0,"459.976","65.8826","420.025"
28,0,"459.965","65.766","420.034"
29,0,"459.977","65.7155","420.017"
30,0,"459.983","65.6416","420.009"
31,0,"459.997","65.5591","420"
32,0,"459.987","65.4467","419.986"
33,0,"460.03","65.3672","419.946"
34,0,"460.055","65.2293","419.904"
35,0,"460.098","64.972","419.903"
36,0,"460.143","64.6702","419.931"
37,0,"460.191","64.3153","420.03"
38,0,"460.277","63.8408","420.179"
39,0,"460.335","63.0962","420.446"
40,0,"460.397","62.3739","420.689"
41,0,"460.397","61.4599","420.942"
42,0,"460.383","60.4399","421.207"
43,0,"460.308","59.2099","421.542"
44,0,"460.287","57.8445","421.875"
45,0,"460.157","56.1493","422.397"
46,0,"460.114","54.2182","423.018"
47,0,"460.119","51.9495","423.83"
48,0,"460.036","49.3169","424.669"
49,0,"459.78","46.6185","425.262"
50,0,"459.193","44.0429","425.537"
51,0,"458.462","41.6081","425.488"
52,0,"458.004","39.3732","425.172"
53,0,"457.784","36.9798","424.962"
54,0,"457.675","34.5879","424.865"
55,0,"457.539","32.3454","424.801"
56,0,"457.287","30.3033","424.641"
57,0,"456.982","28.5472","424.386"
58,0,"456.541","26.8745","424.119"
59,0,"456.141","25.3987","423.877"
60,0,"455.881","24.2243","423.594"
61,0,"455.709","23.0564","423.461"
62,0,"455.522","21.7505","423.562"
63,0,"455.426","20.7399","423.422"
64,0,"455.486","19.3565","423.305"
65,0,"455.422","19.1109","422.911"
66,0,"455.461","18.2986","422.729"
67,0,"455.646","16.9067","422.666"
68,0,"455.5","16.2138","422.529"
69,0,"455.203","15.5778","422.443"
70,0,"454.896","15.2767","422.242"
71,0,"454.489","14.916","422.222"
72,0,"454.072","14.6828","422.245"
73,0,"453.649","14.7532","422.187"
74,0,"452.969","14.9775","422.135"
75,0,"452.15","15.227","422.095"
76,0,"451.054","15.7237","422.034"
77,0,"449.735","16.489","422.096"
78,0,"448.602","17.0717","422.035"
79,0,"447.463","17.6228","422.032"
80,0,"446.248","18.2219","422.043"
81,0,"445.025","18.8235","422.056"
82,0,"443.766","19.3725","422.053"
83,0,"442.505","19.8455","422.018"
84,0,"441.243","20.2327","421.941"
85,0,"440.009","20.4853","421.825"
86,0,"438.839","20.5748","421.74"
87,0,"437.729","20.4679","421.659"
88,0,"436.755","20.2655","421.613"
89,0,"435.863","20.0045","421.596"
90,0,"435.249","19.6197","421.699"
91,0,"434.678","19.3055","421.71"
92,0,"434.174","19.0171","421.695"
93,0,"433.704","18.7796","421.639"
94,0,"433.22","18.606","421.607"
95,0,"432.661","18.4959","421.605"
96,0,"432.098","18.4473","421.644"
97,0,"431.453","18.5975","421.672"
98,0,"430.772","18.7574","421.784"
99,0,"429.995","19.0721","421.886"
100,0,"429.179","19.4103","422.055"
101,0,"428.332","19.928","422.167"
102,0,"427.616","20.3939","422.444"
103,0,"427.007","21.003","422.647"
104,0,"426.557","21.5946","422.933"
105,0,"426.174","22.2409","423.156"
106,0,"425.849","22.8783","423.432"
107,0,"425.693","23.6447","423.602"
108,0,"425.596","24.3509","423.776"
109,0,"425.509","24.9019","424.028"
110,0,"425.523","25.5913","424.149"
111,0,"425.599","26.3573","424.197"
112,0,"425.633","26.9008","424.35"
113,0,"425.764","27.4822","424.462"
114,0,"426.083","28.0997","424.505"
115,0,"426.383","28.5091","424.615"
116,0,"426.783","28.9913","424.62"
117,0,"426.97","29.4144","424.511"
118,0,"428.272","29.4468","424.872"
119,0,"427.856","29.7688","424.334"
120,0,"429.975","29.8272","425.158"
121,0,"429.157","29.8991","424.435"
122,0,"429.468","29.8162","424.348"
123,0,"429.734","29.7014","424.277"
124,0,"429.924","29.4862","424.203"
125,0,"430.164","29.2735","424.096"
126,0,"430.446","28.9496","424.011"
127,0,"430.616","28.1469","423.902"
128,0,"431.589","26.7864","424.602"
129,0,"431.82","27.4596","423.452"
130,0,"432.564","26.8725","423.04"
131,0,"433.563","26.3542","422.736"
132,0,"434.933","27.0247","422.237"
133,0,"435.766","26.3603","423.076"
134,0,"436.746","25.1194","423.912"
135,0,"438.066","24.6094","424.422"
136,0,"439.301","24.2838","425.035"
137,0,"440.421","24.1641","425.732"
138,0,"441.419","24.3714","426.368"
139,0,"442.338","24.8385","426.941"
140,0,"443.15","25.4683","427.539"
141,0,"443.775","26.4017","428.101"
142,0,"444.121","27.55","428.803"
143,0,"444.043","29.0182","429.722"
144,0,"443.48","30.7713","430.597"
145,0,"442.44","32.9333","431.57"
146,0,"440.915","35.4538","432.684"
147,0,"439.198","38.3783","433.854"
148,0,"437.399","41.5929","435.071"
149,0,"435.706","45.0328","436.337"
150,0,"434.442","48.387","437.806"
151,0,"434.029","51.5364","439.337"
152,0,"434.271","54.1428","440.862"
153,0,"434.879","56.5073","442.365"
