Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (758)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"392.941","55.4496","1294.62"
2,0,"392.912","55.5373","1294.57"
3,0,"392.875","55.6002","1294.52"
4,0,"392.838","55.6573","1294.46"
5,0,"392.798","55.7122","1294.39"
6,0,"392.734","55.7466","1294.31"
7,0,"392.695","55.7716","1294.23"
8,0,"392.659","55.7991","1294.15"
9,0,"392.611","55.8226","1294.08"
10,0,"392.562","55.8373","1294.02"
11,0,"392.505","55.8554","1293.97"
12,0,"392.437","55.8675","1293.93"
13,0,"392.373","55.8781","1293.89"
14,0,"392.317","55.879","1293.85"
15,0,"392.265","55.8712","1293.83"
16,0,"392.214","55.8561","1293.82"
17,0,"392.166","55.8411","1293.82"
18,0,"392.122","55.8342","1293.83"
19,0,"392.062","55.8207","1293.86"
20,0,"392.001","55.8093","1293.9"
21,0,"391.956","55.8014","1293.92"
22,0,"391.926","55.7788","1293.92"
23,0,"391.908","55.7353","1293.89"
24,0,"391.905","55.6741","1293.85"
25,0,"391.901","55.5985","1293.82"
26,0,"391.902","55.5045","1293.78"
27,0,"391.916","55.4175","1293.73"
28,0,"391.934","55.3381","1293.68"
29,0,"391.938","55.2591","1293.66"
30,0,"391.938","55.197","1293.65"
31,0,"391.918","55.1516","1293.63"
32,0,"391.909","55.1132","1293.61"
33,0,"391.898","55.0881","1293.57"
34,0,"391.872","55.0679","1293.52"
35,0,"391.855","55.0396","1293.45"
36,0,"391.825","54.9948","1293.38"
37,0,"391.783","54.9436","1293.3"
38,0,"391.721","54.8937","1293.21"
39,0,"391.641","54.8487","1293.09"
40,0,"391.527","54.8257","1292.98"
41,0,"391.37","54.7936","1292.85"
42,0,"391.184","54.7845","1292.72"
43,0,"390.953","54.8037","1292.56"
44,0,"390.679","54.836","1292.38"
45,0,"390.362","54.8992","1292.17"
46,0,"389.964","54.9776","1291.95"
47,0,"389.545","55.0818","1291.73"
48,0,"389.056","55.2048","1291.49"
49,0,"388.488","55.3793","1291.24"
50,0,"387.87","55.596","1290.96"
51,0,"387.158","55.8044","1290.69"
52,0,"386.353","56.0763","1290.37"
53,0,"385.448","56.4182","1290"
54,0,"384.487","56.7859","1289.65"
55,0,"383.417","57.2557","1289.26"
56,0,"382.23","57.782","1288.9"
57,0,"380.885","58.3747","1288.51"
58,0,"379.482","59.0596","1288.08"
59,0,"377.936","59.7681","1287.67"
60,0,"376.28","60.5618","1287.22"
61,0,"374.543","61.3848","1286.74"
62,0,"372.7","62.275","1286.23"
63,0,"370.761","63.1739","1285.72"
64,0,"368.735","64.1414","1285.16"
65,0,"366.625","65.1727","1284.61"
66,0,"364.44","66.2605","1284.03"
67,0,"362.174","67.4211","1283.45"
68,0,"359.81","68.6097","1282.88"
69,0,"357.39","69.9073","1282.31"
70,0,"354.881","71.2115","1281.74"
71,0,"352.355","72.6085","1281.18"
72,0,"349.773","74.0511","1280.62"
73,0,"347.129","75.5403","1280.08"
74,0,"344.475","77.1071","1279.57"
75,0,"341.801","78.7249","1279.1"
76,0,"339.141","80.421","1278.67"
77,0,"336.457","82.1242","1278.32"
78,0,"333.816","83.8316","1277.98"
79,0,"331.164","85.5176","1277.72"
80,0,"328.515","87.33","1277.43"
81,0,"325.76","88.9381","1277.41"
82,0,"323.296","90.479","1277.19"
83,0,"320.884","91.9359","1277.03"
84,0,"318.565","93.2658","1276.88"
85,0,"316.434","94.505","1276.69"
86,0,"314.459","95.6271","1276.47"
87,0,"312.581","96.6094","1276.25"
88,0,"310.917","97.495","1275.98"
89,0,"309.359","98.2477","1275.71"
90,0,"307.929","98.8215","1275.43"
91,0,"306.598","99.2623","1275.16"
92,0,"305.428","99.5641","1274.88"
93,0,"304.328","99.7098","1274.66"
94,0,"303.387","99.7431","1274.45"
95,0,"302.514","99.6516","1274.3"
96,0,"301.737","99.4811","1274.19"
97,0,"301.093","99.2278","1274.11"
98,0,"300.564","98.8362","1274.04"
99,0,"300.212","98.3368","1273.99"
100,0,"299.93","97.6473","1274"
101,0,"299.813","96.8436","1274.03"
102,0,"299.799","95.8626","1274.07"
103,0,"299.904","94.7245","1274.12"
104,0,"300.02","93.3736","1274.16"
105,0,"300.238","91.7508","1274.14"
106,0,"300.61","90.0005","1274.04"
107,0,"301.277","88.279","1274.01"
108,0,"302.199","86.6752","1274.1"
109,0,"302.877","84.5687","1274.16"
110,0,"303.566","82.2337","1274.26"
111,0,"304.37","79.7463","1274.37"
112,0,"305.271","77.0567","1274.47"
113,0,"306.264","74.1942","1274.56"
114,0,"307.395","71.2212","1274.63"
115,0,"308.601","68.1359","1274.68"
116,0,"309.926","64.965","1274.74"
117,0,"311.34","61.7121","1274.79"
118,0,"312.872","58.3713","1274.83"
119,0,"314.541","54.9393","1274.86"
120,0,"316.315","51.4531","1274.9"
121,0,"318.199","47.8773","1274.95"
122,0,"320.278","44.2464","1274.98"
123,0,"322.472","40.5666","1275.04"
124,0,"324.808","36.7809","1275.06"
125,0,"327.256","32.9186","1275.06"
126,0,"329.79","28.8822","1274.99"
127,0,"332.398","24.7441","1274.83"
128,0,"335.114","20.4723","1274.5"
129,0,"337.914","15.9958","1274.03"
130,0,"340.784","11.3432","1273.44"
131,0,"343.7","6.47119","1272.75"
132,0,"346.617","1.35997","1272"
133,0,"349.509","-3.98725","1271.2"
134,0,"352.365","-9.51573","1270.37"
135,0,"355.084","-15.268","1269.6"
136,0,"357.731","-21.1474","1268.9"
137,0,"360.253","-27.1261","1268.31"
138,0,"362.641","-33.1257","1267.84"
139,0,"364.89","-39.1003","1267.47"
140,0,"367.013","-45.0523","1267.18"
141,0,"369.029","-50.9635","1266.99"
142,0,"370.953","-56.7585","1266.78"
143,0,"372.727","-62.5617","1266.65"
144,0,"374.154","-68.1466","1266.75"
145,0,"375.805","-73.8631","1266.51"
