Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (510)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"632.965","-5.02862","1238.39"
2,0,"633.005","-5.01096","1238.4"
3,0,"633.027","-4.99962","1238.41"
4,0,"633.042","-4.97663","1238.43"
5,0,"633.034","-4.94936","1238.44"
6,0,"633.03","-4.91821","1238.48"
7,0,"633.012","-4.89959","1238.53"
8,0,"632.982","-4.88127","1238.61"
9,0,"632.96","-4.87244","1238.67"
10,0,"632.933","-4.85632","1238.74"
11,0,"632.904","-4.82931","1238.8"
12,0,"632.888","-4.81518","1238.87"
13,0,"632.862","-4.7909","1238.93"
14,0,"632.833","-4.76931","1238.97"
15,0,"632.809","-4.74533","1239.01"
16,0,"632.767","-4.72086","1239.04"
17,0,"632.732","-4.69973","1239.08"
18,0,"632.676","-4.68085","1239.11"
19,0,"632.627","-4.66484","1239.16"
20,0,"632.561","-4.64459","1239.2"
21,0,"632.499","-4.62636","1239.24"
22,0,"632.43","-4.62212","1239.29"
23,0,"632.361","-4.60015","1239.34"
24,0,"632.291","-4.59288","1239.39"
25,0,"632.233","-4.58593","1239.44"
26,0,"632.173","-4.58111","1239.49"
27,0,"632.101","-4.57893","1239.54"
28,0,"632.041","-4.56351","1239.59"
29,0,"631.985","-4.57158","1239.64"
30,0,"631.921","-4.5775","1239.68"
31,0,"631.865","-4.58237","1239.73"
32,0,"631.819","-4.58889","1239.78"
33,0,"631.758","-4.60119","1239.83"
34,0,"631.704","-4.61923","1239.88"
35,0,"631.648","-4.62884","1239.93"
36,0,"631.602","-4.63531","1239.98"
37,0,"631.554","-4.64139","1240.02"
38,0,"631.5","-4.65224","1240.07"
39,0,"631.458","-4.67198","1240.12"
40,0,"631.427","-4.71039","1240.16"
41,0,"631.401","-4.74789","1240.19"
42,0,"631.363","-4.77206","1240.21"
43,0,"631.324","-4.7821","1240.22"
44,0,"631.281","-4.77888","1240.21"
45,0,"631.261","-4.77689","1240.22"
46,0,"631.235","-4.78181","1240.23"
47,0,"631.219","-4.81054","1240.25"
48,0,"631.213","-4.84628","1240.28"
49,0,"631.226","-4.88415","1240.31"
50,0,"631.234","-4.92931","1240.34"
51,0,"631.239","-4.96151","1240.35"
52,0,"631.247","-4.99232","1240.38"
53,0,"631.255","-5.00189","1240.39"
54,0,"631.268","-5.02554","1240.41"
55,0,"631.279","-5.04653","1240.43"
56,0,"631.29","-5.07173","1240.46"
57,0,"631.289","-5.09672","1240.48"
58,0,"631.295","-5.12255","1240.5"
59,0,"631.309","-5.14647","1240.52"
60,0,"631.322","-5.16853","1240.53"
61,0,"631.331","-5.18348","1240.53"
62,0,"631.33","-5.19689","1240.52"
63,0,"631.321","-5.20628","1240.51"
64,0,"631.32","-5.2083","1240.51"
65,0,"631.308","-5.1993","1240.48"
66,0,"631.293","-5.18734","1240.45"
67,0,"631.282","-5.18722","1240.42"
68,0,"631.264","-5.1826","1240.4"
69,0,"631.251","-5.17894","1240.37"
70,0,"631.232","-5.1738","1240.34"
71,0,"631.202","-5.17966","1240.33"
72,0,"631.18","-5.18102","1240.33"
73,0,"631.146","-5.17553","1240.33"
74,0,"631.123","-5.1808","1240.34"
75,0,"631.093","-5.17641","1240.35"
76,0,"631.069","-5.17516","1240.36"
77,0,"631.042","-5.17048","1240.37"
78,0,"631.006","-5.16047","1240.38"
79,0,"630.977","-5.15596","1240.39"
80,0,"630.959","-5.14996","1240.4"
81,0,"630.918","-5.13679","1240.4"
82,0,"630.895","-5.13101","1240.42"
83,0,"630.86","-5.11988","1240.43"
84,0,"630.828","-5.10421","1240.44"
85,0,"630.789","-5.07169","1240.45"
86,0,"630.731","-5.0579","1240.48"
87,0,"630.674","-5.04466","1240.51"
88,0,"630.603","-5.04016","1240.54"
89,0,"630.516","-5.04456","1240.57"
90,0,"630.415","-5.03811","1240.59"
91,0,"630.296","-5.0284","1240.61"
92,0,"630.164","-5.00087","1240.62"
93,0,"629.998","-4.97712","1240.61"
94,0,"629.796","-4.9677","1240.6"
95,0,"629.549","-4.97357","1240.61"
96,0,"629.261","-5.00802","1240.62"
97,0,"628.938","-5.03903","1240.62"
98,0,"628.554","-5.06873","1240.62"
99,0,"628.102","-5.10284","1240.63"
100,0,"627.561","-5.14897","1240.65"
101,0,"626.946","-5.18094","1240.67"
102,0,"626.218","-5.21604","1240.72"
103,0,"625.406","-5.24538","1240.77"
104,0,"624.511","-5.28519","1240.85"
105,0,"623.55","-5.30284","1240.94"
106,0,"622.503","-5.33536","1241.03"
107,0,"621.4","-5.36103","1241.14"
108,0,"620.255","-5.38855","1241.24"
109,0,"619.047","-5.39864","1241.32"
110,0,"617.783","-5.43742","1241.39"
111,0,"616.484","-5.46424","1241.44"
112,0,"615.125","-5.49776","1241.46"
113,0,"613.734","-5.5488","1241.46"
114,0,"612.287","-5.59923","1241.46"
115,0,"610.764","-5.66616","1241.44"
116,0,"609.189","-5.77073","1241.41"
117,0,"607.544","-5.84922","1241.37"
118,0,"605.847","-5.97015","1241.35"
119,0,"604.071","-6.10656","1241.32"
120,0,"602.253","-6.2604","1241.33"
121,0,"600.335","-6.44556","1241.32"
122,0,"598.409","-6.64153","1241.34"
123,0,"596.402","-6.87124","1241.38"
124,0,"594.376","-7.0836","1241.38"
125,0,"592.371","-7.26316","1241.4"
126,0,"590.438","-7.38706","1241.33"
127,0,"589.239","-7.05045","1241"
128,0,"587.154","-7.22193","1240.95"
129,0,"585.044","-7.40931","1240.97"
130,0,"582.921","-7.61769","1240.97"
131,0,"580.762","-7.81882","1241.01"
132,0,"578.569","-8.03962","1241.03"
133,0,"576.379","-8.25689","1241.06"
134,0,"574.169","-8.49519","1241.09"
135,0,"571.959","-8.7035","1241.1"
136,0,"569.73","-8.95643","1241.1"
137,0,"567.498","-9.20642","1241.1"
138,0,"565.273","-9.45751","1241.09"
