Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"617.052","-51.1604","1550.53"
2,0,"617.066","-51.0674","1550.57"
3,0,"617.077","-50.9762","1550.59"
4,0,"617.071","-50.886","1550.64"
5,0,"617.07","-50.7969","1550.67"
6,0,"617.061","-50.7089","1550.7"
7,0,"617.047","-50.6144","1550.73"
8,0,"617.033","-50.519","1550.75"
9,0,"617.015","-50.4229","1550.78"
10,0,"616.992","-50.3218","1550.81"
11,0,"616.972","-50.2091","1550.83"
12,0,"616.946","-50.0984","1550.86"
13,0,"616.922","-49.9836","1550.89"
14,0,"616.896","-49.8625","1550.91"
15,0,"616.86","-49.736","1550.93"
16,0,"616.84","-49.6133","1550.96"
17,0,"616.817","-49.4919","1550.99"
18,0,"616.79","-49.3614","1551"
19,0,"616.761","-49.2358","1551.03"
20,0,"616.728","-49.1131","1551.05"
21,0,"616.692","-48.9926","1551.08"
22,0,"616.655","-48.8746","1551.12"
23,0,"616.613","-48.7588","1551.15"
24,0,"616.568","-48.6528","1551.19"
25,0,"616.516","-48.5521","1551.23"
26,0,"616.457","-48.4544","1551.25"
27,0,"616.395","-48.3607","1551.28"
28,0,"616.33","-48.2773","1551.3"
29,0,"616.264","-48.1966","1551.32"
30,0,"616.193","-48.1144","1551.33"
31,0,"616.126","-48.0374","1551.33"
32,0,"616.058","-47.9568","1551.33"
33,0,"615.983","-47.8803","1551.33"
34,0,"615.907","-47.814","1551.34"
35,0,"615.831","-47.7518","1551.35"
36,0,"615.75","-47.6874","1551.36"
37,0,"615.666","-47.6318","1551.39"
38,0,"615.581","-47.5711","1551.42"
39,0,"615.493","-47.5079","1551.44"
40,0,"615.413","-47.4489","1551.47"
41,0,"615.337","-47.3977","1551.5"
42,0,"615.261","-47.3481","1551.51"
43,0,"615.187","-47.3033","1551.52"
44,0,"615.11","-47.267","1551.53"
45,0,"615.037","-47.2294","1551.53"
46,0,"614.971","-47.1968","1551.54"
47,0,"614.907","-47.1734","1551.55"
48,0,"614.859","-47.1498","1551.57"
49,0,"614.807","-47.1265","1551.58"
50,0,"614.751","-47.1077","1551.61"
51,0,"614.706","-47.0971","1551.64"
52,0,"614.659","-47.0894","1551.67"
53,0,"614.614","-47.0838","1551.71"
54,0,"614.576","-47.0733","1551.74"
55,0,"614.551","-47.0691","1551.77"
56,0,"614.523","-47.0614","1551.78"
57,0,"614.5","-47.0608","1551.78"
58,0,"614.484","-47.061","1551.77"
59,0,"614.469","-47.0584","1551.76"
60,0,"614.452","-47.0611","1551.74"
61,0,"614.435","-47.0662","1551.72"
62,0,"614.409","-47.0764","1551.69"
63,0,"614.386","-47.091","1551.68"
64,0,"614.354","-47.1081","1551.67"
65,0,"614.322","-47.1193","1551.66"
66,0,"614.281","-47.1384","1551.66"
67,0,"614.237","-47.1444","1551.65"
68,0,"614.189","-47.1568","1551.64"
69,0,"614.145","-47.1664","1551.62"
70,0,"614.1","-47.1736","1551.6"
71,0,"614.05","-47.1809","1551.57"
72,0,"613.998","-47.186","1551.55"
73,0,"613.943","-47.1936","1551.53"
74,0,"613.89","-47.2003","1551.51"
75,0,"613.835","-47.2105","1551.5"
76,0,"613.789","-47.2064","1551.49"
77,0,"613.751","-47.1979","1551.48"
78,0,"613.715","-47.1881","1551.46"
79,0,"613.684","-47.1748","1551.46"
80,0,"613.665","-47.1561","1551.46"
81,0,"613.631","-47.1287","1551.45"
82,0,"613.611","-47.1008","1551.45"
83,0,"613.588","-47.0723","1551.45"
84,0,"613.564","-47.0448","1551.47"
85,0,"613.532","-47.0082","1551.48"
86,0,"613.483","-46.9667","1551.51"
87,0,"613.419","-46.9225","1551.53"
88,0,"613.336","-46.8681","1551.55"
89,0,"613.238","-46.8055","1551.57"
90,0,"613.125","-46.7321","1551.59"
91,0,"612.98","-46.6563","1551.6"
92,0,"612.806","-46.5724","1551.62"
93,0,"612.593","-46.4788","1551.64"
94,0,"612.328","-46.3641","1551.65"
95,0,"612.008","-46.2448","1551.67"
96,0,"611.626","-46.1098","1551.71"
97,0,"611.201","-45.9757","1551.75"
98,0,"610.718","-45.8247","1551.83"
99,0,"610.124","-45.6465","1551.9"
100,0,"609.494","-45.4801","1552"
101,0,"608.772","-45.2985","1552.1"
102,0,"607.984","-45.1145","1552.22"
103,0,"607.137","-44.9419","1552.35"
104,0,"606.177","-44.7398","1552.48"
105,0,"605.169","-44.5379","1552.62"
106,0,"604.082","-44.3141","1552.76"
107,0,"602.917","-44.0917","1552.9"
108,0,"601.646","-43.8427","1553.02"
109,0,"600.294","-43.5904","1553.14"
110,0,"598.864","-43.3141","1553.26"
111,0,"597.336","-43.0261","1553.37"
112,0,"595.722","-42.7248","1553.47"
113,0,"594.013","-42.4043","1553.57"
114,0,"592.252","-42.1023","1553.71"
115,0,"590.382","-41.7748","1553.83"
116,0,"588.475","-41.4614","1553.99"
117,0,"586.467","-41.143","1554.15"
118,0,"584.431","-40.8168","1554.35"
119,0,"582.311","-40.5144","1554.54"
120,0,"580.124","-40.2101","1554.73"
121,0,"577.892","-39.9253","1554.94"
122,0,"575.611","-39.6329","1555.11"
123,0,"573.271","-39.3499","1555.27"
124,0,"570.89","-39.0685","1555.41"
125,0,"568.49","-38.8045","1555.55"
126,0,"566.06","-38.557","1555.67"
127,0,"563.611","-38.3186","1555.78"
128,0,"561.166","-38.0831","1555.87"
129,0,"558.72","-37.8703","1555.98"
130,0,"556.272","-37.6662","1556.1"
131,0,"553.813","-37.483","1556.21"
132,0,"551.342","-37.3074","1556.34"
133,0,"548.881","-37.1538","1556.47"
134,0,"546.412","-37.0078","1556.58"
135,0,"543.949","-36.8775","1556.7"
136,0,"541.495","-36.7572","1556.8"
137,0,"539.047","-36.6372","1556.87"
138,0,"536.609","-36.549","1556.95"
139,0,"534.198","-36.4829","1557"
