Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (496)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"824.851","232.627","1001.09"
2,0,"824.873","232.669","1001.11"
3,0,"824.894","232.705","1001.12"
4,0,"824.918","232.728","1001.15"
5,0,"824.944","232.765","1001.16"
6,0,"824.969","232.795","1001.18"
7,0,"825.001","232.818","1001.19"
8,0,"825.043","232.823","1001.23"
9,0,"825.074","232.848","1001.23"
10,0,"825.122","232.848","1001.24"
11,0,"825.14","232.868","1001.22"
12,0,"825.177","232.855","1001.21"
13,0,"825.195","232.87","1001.15"
14,0,"825.246","232.803","1001.18"
15,0,"825.261","232.777","1001.15"
16,0,"825.271","232.748","1001.13"
17,0,"825.29","232.707","1001.1"
18,0,"825.293","232.646","1001.1"
19,0,"825.293","232.616","1001.07"
20,0,"825.283","232.576","1001.04"
21,0,"825.281","232.528","1001.03"
22,0,"825.277","232.475","1000.99"
23,0,"825.275","232.417","1000.98"
24,0,"825.273","232.356","1000.98"
25,0,"825.255","232.296","1000.98"
26,0,"825.237","232.262","1000.94"
27,0,"825.237","232.206","1000.95"
28,0,"825.241","232.146","1000.96"
29,0,"825.24","232.079","1000.97"
30,0,"825.261","232.019","1000.99"
31,0,"825.28","231.945","1001.01"
32,0,"825.297","231.896","1001"
33,0,"825.329","231.846","1001.01"
34,0,"825.345","231.817","1000.97"
35,0,"825.39","231.751","1000.99"
36,0,"825.439","231.688","1001.01"
37,0,"825.514","231.582","1001.09"
38,0,"825.568","231.528","1001.12"
39,0,"825.615","231.471","1001.14"
40,0,"825.66","231.389","1001.18"
41,0,"825.709","231.328","1001.19"
42,0,"825.759","231.264","1001.21"
43,0,"825.816","231.202","1001.22"
44,0,"825.857","231.158","1001.23"
45,0,"825.916","231.081","1001.29"
46,0,"825.951","231.039","1001.31"
47,0,"825.982","231","1001.34"
48,0,"826","230.961","1001.37"
49,0,"826.014","230.925","1001.39"
50,0,"826.031","230.895","1001.42"
51,0,"826.06","230.858","1001.45"
52,0,"826.083","230.829","1001.48"
53,0,"826.112","230.786","1001.51"
54,0,"826.161","230.749","1001.55"
55,0,"826.202","230.732","1001.57"
56,0,"826.263","230.711","1001.61"
57,0,"826.319","230.685","1001.65"
58,0,"826.382","230.668","1001.68"
59,0,"826.439","230.67","1001.7"
60,0,"826.52","230.664","1001.73"
61,0,"826.593","230.655","1001.78"
62,0,"826.682","230.619","1001.84"
63,0,"826.753","230.614","1001.87"
64,0,"826.827","230.603","1001.9"
65,0,"826.89","230.603","1001.91"
66,0,"826.916","230.633","1001.88"
67,0,"826.949","230.635","1001.89"
68,0,"826.966","230.642","1001.89"
69,0,"826.964","230.661","1001.89"
70,0,"826.956","230.689","1001.9"
71,0,"826.93","230.723","1001.91"
72,0,"826.879","230.766","1001.92"
73,0,"826.828","230.799","1001.93"
74,0,"826.772","230.821","1001.96"
75,0,"826.69","230.869","1001.94"
76,0,"826.63","230.899","1001.95"
77,0,"826.55","230.95","1001.93"
78,0,"826.486","230.984","1001.93"
79,0,"826.444","230.998","1001.96"
80,0,"826.383","231.028","1001.97"
81,0,"826.333","231.054","1001.97"
82,0,"826.285","231.081","1001.98"
83,0,"826.253","231.101","1002"
84,0,"826.223","231.125","1002.02"
85,0,"826.221","231.138","1002.05"
86,0,"826.21","231.161","1002.08"
87,0,"826.227","231.177","1002.12"
88,0,"826.231","231.206","1002.13"
89,0,"826.267","231.188","1002.17"
90,0,"826.315","231.161","1002.22"
91,0,"826.355","231.15","1002.24"
92,0,"826.416","231.09","1002.28"
93,0,"826.471","231.024","1002.29"
94,0,"826.575","230.889","1002.35"
95,0,"826.701","230.663","1002.46"
96,0,"826.835","230.391","1002.6"
97,0,"826.999","230.019","1002.76"
98,0,"827.114","229.637","1002.84"
99,0,"827.254","229.144","1002.97"
100,0,"827.398","228.592","1003.06"
101,0,"827.518","227.948","1003.16"
102,0,"827.694","227.138","1003.39"
103,0,"827.815","226.277","1003.56"
104,0,"827.902","225.353","1003.71"
105,0,"827.924","224.377","1003.81"
106,0,"827.969","223.291","1004.04"
107,0,"827.946","222.141","1004.21"
108,0,"827.907","220.902","1004.44"
109,0,"827.75","219.726","1004.53"
110,0,"827.602","218.432","1004.69"
111,0,"827.431","217.063","1004.89"
112,0,"827.119","215.788","1004.91"
113,0,"826.885","214.326","1005.11"
114,0,"826.561","212.919","1005.23"
115,0,"826.184","211.489","1005.3"
116,0,"825.804","209.947","1005.47"
117,0,"825.291","208.573","1005.42"
118,0,"824.81","207.07","1005.51"
119,0,"824.256","205.512","1005.57"
120,0,"823.734","203.886","1005.73"
121,0,"823.191","202.199","1005.89"
122,0,"822.585","200.481","1006"
123,0,"821.993","198.657","1006.16"
124,0,"821.429","196.744","1006.35"
125,0,"820.852","194.765","1006.54"
126,0,"820.272","192.666","1006.78"
127,0,"819.693","190.485","1007.01"
128,0,"819.073","188.254","1007.13"
129,0,"818.328","186.005","1007.13"
130,0,"817.867","183.518","1007.53"
131,0,"817.303","180.996","1007.74"
132,0,"816.962","178.241","1008.2"
133,0,"816.396","175.605","1008.45"
134,0,"816.189","172.561","1009.17"
135,0,"815.956","169.464","1009.87"
136,0,"814.99","167.003","1009.56"
137,0,"814.241","164.268","1009.52"
138,0,"813.658","161.32","1009.7"
139,0,"813.141","158.231","1009.98"
140,0,"812.713","155.054","1010.32"
141,0,"812.269","151.793","1010.68"
142,0,"811.881","148.42","1011.07"
143,0,"811.56","144.929","1011.5"
144,0,"811.377","141.256","1012.02"
145,0,"811.241","137.492","1012.56"
146,0,"811.185","133.565","1013.13"
147,0,"811.212","129.493","1013.72"
148,0,"811.322","125.248","1014.37"
149,0,"811.52","120.838","1015.06"
150,0,"811.798","116.287","1015.79"
151,0,"812.178","111.59","1016.57"
152,0,"812.763","106.611","1017.41"
153,0,"813.229","101.623","1018.26"
