Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (552)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"816.718","187.534","80.0993"
2,0,"816.728","187.542","80.1027"
3,0,"816.729","187.548","80.0894"
4,0,"816.725","187.554","80.0792"
5,0,"816.729","187.561","80.0784"
6,0,"816.731","187.56","80.0687"
7,0,"816.728","187.561","80.0709"
8,0,"816.729","187.578","80.0711"
9,0,"816.73","187.585","80.0666"
10,0,"816.72","187.593","80.0721"
11,0,"816.718","187.603","80.0719"
12,0,"816.727","187.6","80.0687"
13,0,"816.723","187.601","80.0656"
14,0,"816.728","187.593","80.0634"
15,0,"816.73","187.604","80.0656"
16,0,"816.719","187.612","80.0502"
17,0,"816.721","187.61","80.0419"
18,0,"816.723","187.616","80.0307"
19,0,"816.713","187.617","80.0339"
20,0,"816.713","187.626","80.0264"
21,0,"816.71","187.621","80.0336"
22,0,"816.707","187.626","80.0557"
23,0,"816.705","187.627","80.0663"
24,0,"816.698","187.628","80.0797"
25,0,"816.692","187.628","80.0822"
26,0,"816.692","187.614","80.0911"
27,0,"816.684","187.601","80.1008"
28,0,"816.684","187.597","80.1033"
29,0,"816.682","187.589","80.1082"
30,0,"816.678","187.582","80.1094"
31,0,"816.679","187.571","80.1133"
32,0,"816.676","187.571","80.1175"
33,0,"816.679","187.56","80.1227"
34,0,"816.685","187.552","80.1286"
35,0,"816.686","187.538","80.1354"
36,0,"816.679","187.546","80.1401"
37,0,"816.686","187.548","80.1468"
38,0,"816.675","187.556","80.1583"
39,0,"816.67","187.554","80.1643"
40,0,"816.665","187.558","80.1619"
41,0,"816.655","187.548","80.161"
42,0,"816.647","187.562","80.1555"
43,0,"816.654","187.541","80.1619"
44,0,"816.665","187.515","80.1664"
45,0,"816.67","187.504","80.1799"
46,0,"816.665","187.503","80.1816"
47,0,"816.657","187.504","80.2004"
48,0,"816.659","187.496","80.2051"
49,0,"816.662","187.495","80.2115"
50,0,"816.665","187.485","80.2218"
51,0,"816.669","187.475","80.2462"
52,0,"816.676","187.477","80.2582"
53,0,"816.673","187.487","80.2701"
54,0,"816.684","187.468","80.2933"
55,0,"816.682","187.48","80.2847"
56,0,"816.669","187.506","80.2539"
57,0,"816.681","187.51","80.2482"
58,0,"816.674","187.515","80.2392"
59,0,"816.672","187.526","80.2209"
60,0,"816.673","187.536","80.2068"
61,0,"816.676","187.543","80.2009"
62,0,"816.675","187.547","80.1786"
63,0,"816.675","187.558","80.1604"
64,0,"816.68","187.553","80.1438"
65,0,"816.687","187.534","80.1307"
66,0,"816.683","187.531","80.1216"
67,0,"816.689","187.531","80.1169"
68,0,"816.691","187.536","80.1212"
69,0,"816.689","187.544","80.1195"
70,0,"816.69","187.546","80.128"
71,0,"816.685","187.552","80.132"
72,0,"816.682","187.55","80.1383"
73,0,"816.671","187.557","80.1512"
74,0,"816.677","187.553","80.145"
75,0,"816.664","187.548","80.1589"
76,0,"816.661","187.555","80.161"
77,0,"816.652","187.561","80.1582"
78,0,"816.649","187.559","80.1541"
79,0,"816.646","187.564","80.1501"
80,0,"816.643","187.554","80.1462"
81,0,"816.639","187.552","80.1436"
82,0,"816.649","187.557","80.1321"
83,0,"816.642","187.568","80.1196"
84,0,"816.649","187.585","80.1002"
85,0,"816.641","187.621","80.0753"
86,0,"816.633","187.634","80.0454"
87,0,"816.628","187.657","80.0269"
88,0,"816.626","187.677","79.9999"
89,0,"816.617","187.7","79.983"
90,0,"816.627","187.723","79.9611"
91,0,"816.654","187.737","79.9512"
92,0,"816.669","187.837","79.8775"
93,0,"816.7","187.949","79.7883"
94,0,"816.744","188.039","79.71"
95,0,"816.768","188.15","79.6393"
96,0,"816.805","188.251","79.546"
97,0,"816.835","188.356","79.4732"
98,0,"816.897","188.464","79.3978"
99,0,"816.937","188.549","79.3321"
100,0,"816.955","188.627","79.2979"
101,0,"816.978","188.677","79.2938"
102,0,"816.993","188.706","79.3045"
103,0,"816.995","188.737","79.3274"
104,0,"816.986","188.758","79.3633"
105,0,"816.962","188.787","79.4108"
106,0,"816.939","188.802","79.4686"
107,0,"816.904","188.804","79.5386"
108,0,"816.863","188.807","79.6096"
109,0,"816.833","188.762","79.6852"
110,0,"816.817","188.737","79.7555"
111,0,"816.801","188.722","79.8088"
112,0,"816.798","188.683","79.8915"
113,0,"816.79","188.616","79.9756"
114,0,"816.815","188.548","80.0762"
115,0,"816.84","188.501","80.1631"
116,0,"816.86","188.463","80.2222"
117,0,"816.896","188.419","80.2964"
118,0,"816.914","188.396","80.3728"
119,0,"816.923","188.379","80.4351"
120,0,"816.909","188.393","80.4961"
121,0,"816.881","188.412","80.5767"
122,0,"816.829","188.423","80.6519"
123,0,"816.778","188.428","80.7425"
124,0,"816.712","188.438","80.8252"
125,0,"816.636","188.444","80.9122"
126,0,"816.547","188.448","81.013"
127,0,"816.462","188.407","81.1473"
128,0,"816.365","188.399","81.2809"
129,0,"816.298","188.352","81.4328"
130,0,"816.228","188.336","81.5785"
131,0,"816.163","188.303","81.7448"
132,0,"816.081","188.319","81.8767"
133,0,"816.008","188.284","82.0532"
134,0,"815.909","188.282","82.206"
135,0,"815.822","188.259","82.3977"
136,0,"815.701","188.237","82.5643"
137,0,"815.603","188.228","82.7168"
138,0,"815.506","188.194","82.9143"
139,0,"815.403","188.111","83.1468"
140,0,"815.285","188.095","83.3593"
141,0,"815.196","188.042","83.587"
142,0,"815.119","187.936","83.8455"
143,0,"815.098","187.794","84.1542"
144,0,"815.089","187.759","84.3952"
145,0,"815.129","187.736","84.6351"
146,0,"815.238","187.688","84.8217"
147,0,"815.373","187.69","84.9922"
148,0,"815.531","187.749","85.1476"
149,0,"815.701","187.849","85.3289"
150,0,"815.81","187.983","85.5331"
151,0,"815.84","188.143","85.7218"
152,0,"815.811","188.241","85.9686"
153,0,"815.729","188.2","86.3084"
