Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (577)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"755.989","-15.751","1047.31"
2,0,"755.986","-15.7048","1047.37"
3,0,"755.968","-15.6619","1047.41"
4,0,"755.941","-15.6123","1047.44"
5,0,"755.91","-15.5704","1047.45"
6,0,"755.875","-15.5257","1047.46"
7,0,"755.848","-15.4907","1047.47"
8,0,"755.791","-15.4487","1047.49"
9,0,"755.756","-15.4071","1047.51"
10,0,"755.665","-15.3891","1047.56"
11,0,"755.611","-15.3617","1047.58"
12,0,"755.555","-15.3576","1047.6"
13,0,"755.522","-15.3592","1047.63"
14,0,"755.464","-15.3702","1047.65"
15,0,"755.403","-15.3816","1047.65"
16,0,"755.353","-15.3908","1047.66"
17,0,"755.308","-15.4108","1047.69"
18,0,"755.244","-15.4304","1047.73"
19,0,"755.193","-15.452","1047.75"
20,0,"755.119","-15.4751","1047.77"
21,0,"755.068","-15.5001","1047.8"
22,0,"754.981","-15.5415","1047.84"
23,0,"754.895","-15.5727","1047.87"
24,0,"754.812","-15.6157","1047.91"
25,0,"754.747","-15.6603","1047.93"
26,0,"754.667","-15.703","1047.95"
27,0,"754.604","-15.7467","1048"
28,0,"754.54","-15.7911","1048.03"
29,0,"754.458","-15.8278","1048.08"
30,0,"754.383","-15.8587","1048.12"
31,0,"754.31","-15.902","1048.16"
32,0,"754.261","-15.9379","1048.21"
33,0,"754.208","-15.9789","1048.28"
34,0,"754.171","-16.0221","1048.35"
35,0,"754.108","-16.0673","1048.42"
36,0,"754.082","-16.1082","1048.47"
37,0,"754.05","-16.1479","1048.53"
38,0,"754.004","-16.1939","1048.57"
39,0,"753.987","-16.2335","1048.64"
40,0,"753.945","-16.2676","1048.69"
41,0,"753.903","-16.3073","1048.71"
42,0,"753.871","-16.3504","1048.74"
43,0,"753.839","-16.4053","1048.78"
44,0,"753.809","-16.4504","1048.82"
45,0,"753.801","-16.4999","1048.85"
46,0,"753.793","-16.548","1048.88"
47,0,"753.777","-16.5977","1048.9"
48,0,"753.768","-16.6436","1048.93"
49,0,"753.754","-16.6796","1048.95"
50,0,"753.732","-16.71","1048.98"
51,0,"753.72","-16.7344","1049.01"
52,0,"753.697","-16.7525","1049.02"
53,0,"753.689","-16.7715","1049.04"
54,0,"753.689","-16.7927","1049.06"
55,0,"753.701","-16.8077","1049.07"
56,0,"753.713","-16.8162","1049.09"
57,0,"753.735","-16.8234","1049.12"
58,0,"753.751","-16.8271","1049.14"
59,0,"753.773","-16.8316","1049.18"
60,0,"753.789","-16.8294","1049.21"
61,0,"753.831","-16.8253","1049.25"
62,0,"753.854","-16.8182","1049.27"
63,0,"753.892","-16.8195","1049.29"
64,0,"753.921","-16.8221","1049.3"
65,0,"753.952","-16.8254","1049.3"
66,0,"753.96","-16.8202","1049.29"
67,0,"753.965","-16.8143","1049.28"
68,0,"753.957","-16.8024","1049.27"
69,0,"753.938","-16.7849","1049.26"
70,0,"753.906","-16.7557","1049.25"
71,0,"753.856","-16.7331","1049.24"
72,0,"753.812","-16.697","1049.22"
73,0,"753.768","-16.6554","1049.21"
74,0,"753.73","-16.6254","1049.2"
75,0,"753.677","-16.5995","1049.17"
76,0,"753.632","-16.5784","1049.15"
77,0,"753.589","-16.5579","1049.12"
78,0,"753.541","-16.5327","1049.11"
79,0,"753.494","-16.5098","1049.12"
80,0,"753.446","-16.4702","1049.13"
81,0,"753.398","-16.4378","1049.18"
82,0,"753.343","-16.4059","1049.22"
83,0,"753.298","-16.3699","1049.27"
84,0,"753.258","-16.3411","1049.33"
85,0,"753.223","-16.3152","1049.39"
86,0,"753.198","-16.2963","1049.44"
87,0,"753.159","-16.2708","1049.49"
88,0,"753.111","-16.2488","1049.54"
89,0,"753.063","-16.2411","1049.59"
90,0,"752.996","-16.2353","1049.63"
91,0,"752.916","-16.2304","1049.67"
92,0,"752.824","-16.2343","1049.73"
93,0,"752.71","-16.2553","1049.8"
94,0,"752.58","-16.2982","1049.87"
95,0,"752.402","-16.3748","1049.94"
96,0,"752.18","-16.4934","1050.02"
97,0,"751.916","-16.6618","1050.09"
98,0,"751.6","-16.8804","1050.19"
99,0,"751.204","-17.1586","1050.29"
100,0,"750.747","-17.496","1050.44"
101,0,"750.215","-17.9031","1050.62"
102,0,"749.625","-18.3645","1050.86"
103,0,"748.944","-18.9082","1051.13"
104,0,"748.21","-19.48","1051.41"
105,0,"747.379","-20.1154","1051.72"
106,0,"746.479","-20.8078","1052.06"
107,0,"745.501","-21.5413","1052.45"
108,0,"744.442","-22.3054","1052.88"
109,0,"743.337","-23.1037","1053.34"
110,0,"742.176","-23.9426","1053.83"
111,0,"740.975","-24.8124","1054.37"
112,0,"739.699","-25.7098","1054.93"
113,0,"738.386","-26.6269","1055.5"
114,0,"737.045","-27.579","1056.11"
115,0,"735.666","-28.5195","1056.74"
116,0,"734.233","-29.4924","1057.37"
117,0,"732.729","-30.4848","1058"
118,0,"731.22","-31.4888","1058.65"
119,0,"729.645","-32.5504","1059.34"
120,0,"728.036","-33.6333","1060.02"
121,0,"726.327","-34.7743","1060.71"
122,0,"724.594","-35.9347","1061.45"
123,0,"722.825","-37.1662","1062.25"
124,0,"720.961","-38.4443","1063.06"
125,0,"719.085","-39.7539","1063.93"
126,0,"717.112","-41.0768","1064.78"
127,0,"714.926","-42.3553","1065.53"
128,0,"711.8","-43.1046","1065.59"
129,0,"nan","nan","nan"
130,0,"706.449","-45.4939","1066.66"
131,0,"704.196","-47.0155","1067.55"
132,0,"701.924","-48.5799","1068.47"
133,0,"nan","nan","nan"
134,0,"nan","nan","nan"
135,0,"nan","nan","nan"
136,0,"692.632","-55.1335","1072.45"
137,0,"690.366","-56.8693","1073.59"
138,0,"688.058","-58.6419","1074.71"
139,0,"685.758","-60.4613","1075.85"
140,0,"683.47","-62.3325","1077.01"
