Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (578)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"766.031","80.8936","944.288"
2,0,"765.943","80.9625","944.224"
3,0,"765.897","81.0296","944.202"
4,0,"765.853","81.0883","944.196"
5,0,"765.832","81.1439","944.214"
6,0,"765.808","81.2004","944.215"
7,0,"765.772","81.2657","944.213"
8,0,"765.829","81.3105","944.285"
9,0,"765.769","81.3668","944.252"
10,0,"765.777","81.402","944.279"
11,0,"765.763","81.4243","944.286"
12,0,"765.778","81.4465","944.312"
13,0,"765.771","81.4614","944.311"
14,0,"765.759","81.478","944.287"
15,0,"765.788","81.4967","944.311"
16,0,"765.786","81.5043","944.309"
17,0,"765.802","81.516","944.329"
18,0,"765.775","81.5214","944.319"
19,0,"765.726","81.5251","944.299"
20,0,"765.715","81.521","944.317"
21,0,"765.716","81.5171","944.33"
22,0,"765.716","81.5233","944.335"
23,0,"765.747","81.5222","944.372"
24,0,"765.745","81.5281","944.382"
25,0,"765.71","81.5461","944.358"
26,0,"765.743","81.5482","944.395"
27,0,"765.759","81.5576","944.433"
28,0,"765.721","81.5626","944.416"
29,0,"765.723","81.5631","944.441"
30,0,"765.767","81.561","944.509"
31,0,"765.731","81.5466","944.506"
32,0,"765.747","81.5385","944.551"
33,0,"765.737","81.5186","944.578"
34,0,"765.73","81.4948","944.602"
35,0,"765.744","81.4687","944.637"
36,0,"765.681","81.4552","944.598"
37,0,"765.667","81.426","944.601"
38,0,"765.658","81.406","944.601"
39,0,"765.666","81.3845","944.621"
40,0,"765.678","81.3562","944.639"
41,0,"765.689","81.3259","944.657"
42,0,"765.695","81.2969","944.67"
43,0,"765.694","81.2666","944.667"
44,0,"765.702","81.2416","944.655"
45,0,"765.709","81.2263","944.648"
46,0,"765.729","81.2022","944.659"
47,0,"765.749","81.1738","944.691"
48,0,"765.756","81.1463","944.708"
49,0,"765.797","81.1245","944.751"
50,0,"765.808","81.1177","944.77"
51,0,"765.822","81.1092","944.787"
52,0,"765.852","81.1065","944.824"
53,0,"765.856","81.1139","944.825"
54,0,"765.887","81.1172","944.854"
55,0,"765.903","81.125","944.858"
56,0,"765.925","81.1254","944.873"
57,0,"765.961","81.1311","944.894"
58,0,"765.943","81.1493","944.86"
59,0,"765.933","81.1597","944.844"
60,0,"765.948","81.1707","944.85"
61,0,"765.946","81.1881","944.834"
62,0,"765.934","81.2176","944.8"
63,0,"765.858","81.2423","944.709"
64,0,"765.864","81.265","944.698"
65,0,"765.825","81.2839","944.65"
66,0,"765.802","81.3141","944.626"
67,0,"765.761","81.3382","944.584"
68,0,"765.736","81.3683","944.577"
69,0,"765.708","81.391","944.568"
70,0,"765.691","81.4175","944.575"
71,0,"765.682","81.4474","944.585"
72,0,"765.673","81.4753","944.603"
73,0,"765.665","81.502","944.632"
74,0,"765.687","81.5224","944.685"
75,0,"765.709","81.5459","944.738"
76,0,"765.667","81.5828","944.73"
77,0,"765.662","81.6233","944.753"
78,0,"765.659","81.6593","944.764"
79,0,"765.633","81.7079","944.775"
80,0,"765.612","81.7493","944.787"
81,0,"765.596","81.7898","944.806"
82,0,"765.561","81.8354","944.804"
83,0,"765.517","81.8697","944.791"
84,0,"765.486","81.9125","944.789"
85,0,"765.456","81.9416","944.78"
86,0,"765.398","81.9711","944.746"
87,0,"765.375","81.9812","944.755"
88,0,"765.362","81.9852","944.789"
89,0,"765.365","81.9634","944.837"
90,0,"765.382","81.9328","944.888"
91,0,"765.46","81.8763","945.001"
92,0,"765.464","81.8033","945.049"
93,0,"765.433","81.7147","945.085"
94,0,"765.344","81.6174","945.073"
95,0,"765.191","81.5008","945.024"
96,0,"765.069","81.3477","945.001"
97,0,"764.947","81.1521","945.018"
98,0,"764.673","80.9445","944.909"
99,0,"764.415","80.7049","944.842"
100,0,"764.101","80.4383","944.774"
101,0,"763.704","80.1352","944.694"
102,0,"763.355","79.8106","944.712"
103,0,"762.853","79.4627","944.641"
104,0,"762.377","79.0882","944.607"
105,0,"761.933","78.6883","944.617"
106,0,"761.471","78.2736","944.652"
107,0,"761.051","77.8343","944.755"
108,0,"760.575","77.3821","944.831"
109,0,"760.033","76.9353","944.863"
110,0,"759.423","76.4829","944.83"
111,0,"758.838","76.0231","944.796"
112,0,"758.157","75.5666","944.748"
113,0,"757.405","75.0799","944.677"
114,0,"756.601","74.5789","944.631"
115,0,"755.713","74.0614","944.59"
116,0,"754.782","73.5245","944.552"
117,0,"753.811","72.9545","944.532"
118,0,"752.798","72.3378","944.528"
119,0,"751.787","71.6916","944.502"
120,0,"750.808","71.0137","944.51"
121,0,"749.788","70.3222","944.512"
122,0,"748.737","69.6784","944.414"
123,0,"747.624","69.1551","944.188"
124,0,"746.402","68.8007","943.822"
125,0,"745.005","68.5799","943.373"
126,0,"743.59","68.3486","943.005"
127,0,"742.292","68.013","942.738"
128,0,"741.044","67.6473","942.459"
129,0,"739.832","67.243","942.188"
130,0,"738.716","66.7652","941.91"
131,0,"737.582","66.1527","941.728"
132,0,"737.029","64.8791","942.035"
133,0,"735.918","63.9318","942.212"
134,0,"734.579","62.9447","942.519"
135,0,"733.258","62.012","942.605"
136,0,"731.917","61.1083","942.69"
137,0,"730.519","60.3087","942.745"
138,0,"729.156","59.5912","942.823"
139,0,"727.709","58.9441","942.843"
140,0,"726.217","58.3536","942.831"
141,0,"724.661","57.8265","942.803"
142,0,"723.069","57.3289","942.764"
143,0,"721.435","56.8412","942.724"
144,0,"719.791","56.5302","942.376"
145,0,"717.935","56.1298","942.379"
146,0,"716.198","55.7736","942.206"
147,0,"714.561","55.1289","942.415"
148,0,"713.026","54.3558","942.748"
149,0,"711.49","53.7281","943.008"
150,0,"709.912","53.1589","943.157"
151,0,"708.356","52.569","943.375"
152,0,"706.791","51.9667","943.6"
153,0,"705.288","51.3234","943.856"
