Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (573)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"750.291","78.3293","430.761"
2,0,"750.186","78.6118","430.408"
3,0,"750.181","78.6409","430.378"
4,0,"750.218","78.3939","430.806"
5,0,"750.207","78.3977","430.775"
6,0,"750.2","78.3819","430.806"
7,0,"750.215","78.3366","430.853"
8,0,"750.233","78.369","430.803"
9,0,"750.25","78.3205","430.862"
10,0,"750.248","78.3376","430.814"
11,0,"750.245","78.3132","430.829"
12,0,"750.279","78.2236","430.923"
13,0,"750.263","78.2889","430.826"
14,0,"750.298","78.1931","430.929"
15,0,"750.305","78.2064","430.879"
16,0,"750.274","78.2534","430.849"
17,0,"750.35","78.1713","430.912"
18,0,"750.349","78.1822","430.893"
19,0,"750.348","78.1888","430.896"
20,0,"750.367","78.162","430.923"
21,0,"750.364","78.156","430.92"
22,0,"750.352","78.1809","430.894"
23,0,"750.314","78.214","430.85"
24,0,"750.341","78.141","430.907"
25,0,"750.336","78.123","430.913"
26,0,"750.473","78.1134","430.712"
27,0,"750.22","78.3451","430.556"
28,0,"750.223","78.1547","430.869"
29,0,"750.471","78.0419","430.717"
30,0,"750.474","78.0106","430.742"
31,0,"750.468","78.0067","430.714"
32,0,"750.475","77.9763","430.738"
33,0,"750.475","77.9658","430.73"
34,0,"750.468","77.9561","430.729"
35,0,"750.468","77.9569","430.723"
36,0,"750.478","77.9461","430.729"
37,0,"750.48","77.9356","430.755"
38,0,"750.199","78.0372","430.902"
39,0,"750.451","77.9449","430.737"
40,0,"750.445","77.9508","430.748"
41,0,"750.182","78.0649","430.861"
42,0,"750.443","77.947","430.733"
43,0,"750.453","77.9406","430.743"
44,0,"750.192","78.0529","430.872"
45,0,"750.459","77.9437","430.739"
46,0,"750.485","77.9119","430.806"
47,0,"750.473","77.9471","430.782"
48,0,"750.461","77.974","430.791"
49,0,"750.185","78.1053","430.902"
50,0,"750.445","78.0146","430.815"
51,0,"750.176","78.1565","430.964"
52,0,"749.963","78.4081","430.862"
53,0,"750.173","78.2239","431.023"
54,0,"750.175","78.2739","431.008"
55,0,"750.179","78.3144","431.014"
56,0,"750.209","78.3325","431.034"
57,0,"750.182","78.5592","430.719"
58,0,"750.2","78.3924","431.072"
59,0,"750.21","78.4872","430.921"
60,0,"749.955","78.7615","430.796"
61,0,"749.951","78.7991","430.787"
62,0,"749.956","78.8189","430.758"
63,0,"750.23","78.5742","430.929"
64,0,"749.946","78.8893","430.732"
65,0,"749.943","78.9135","430.72"
66,0,"749.926","78.9425","430.721"
67,0,"749.919","78.9712","430.728"
68,0,"749.914","78.9911","430.741"
69,0,"749.909","79.0071","430.738"
70,0,"749.898","79.0284","430.732"
71,0,"749.888","79.0305","430.734"
72,0,"749.879","79.0315","430.737"
73,0,"749.871","79.0253","430.748"
74,0,"749.857","79.0088","430.756"
75,0,"749.848","78.9975","430.771"
76,0,"749.848","79.1978","430.318"
77,0,"749.844","78.9385","430.782"
78,0,"749.993","78.9005","430.633"
79,0,"749.834","78.8948","430.774"
80,0,"749.823","78.8844","430.768"
81,0,"749.973","78.8343","430.635"
82,0,"749.817","78.861","430.746"
83,0,"749.823","78.8473","430.744"
84,0,"749.807","79.012","430.409"
85,0,"749.834","78.8409","430.731"
86,0,"749.842","78.8391","430.716"
87,0,"749.861","78.8591","430.711"
88,0,"749.87","78.8669","430.695"
89,0,"749.878","78.8819","430.67"
90,0,"749.922","78.9045","430.659"
91,0,"750.025","78.9424","430.628"
92,0,"750.393","78.9043","430.54"
93,0,"751.02","78.734","430.55"
94,0,"751.353","78.8305","430.475"
95,0,"751.714","78.8789","430.497"
96,0,"752.005","78.9643","430.494"
97,0,"752.251","79.0493","430.44"
98,0,"752.513","79.1405","430.364"
99,0,"752.729","79.2425","430.294"
100,0,"752.837","79.3521","430.259"
101,0,"752.858","79.4118","430.23"
102,0,"752.772","79.4714","430.236"
103,0,"752.706","79.4772","430.223"
104,0,"752.484","79.5556","430.249"
105,0,"752.241","79.6125","430.254"
106,0,"751.96","79.616","430.289"
107,0,"751.705","79.5317","430.296"
108,0,"751.364","79.4599","430.265"
109,0,"750.93","79.3679","430.264"
110,0,"750.471","79.1677","430.23"
111,0,"749.953","78.9974","430.143"
112,0,"749.45","78.7798","430.063"
113,0,"748.817","78.539","429.972"
114,0,"748.21","78.2733","429.866"
115,0,"747.485","78.0214","429.82"
116,0,"746.781","77.7671","429.706"
117,0,"746.109","77.4925","429.666"
118,0,"745.36","77.2519","429.572"
119,0,"744.804","77.059","429.501"
120,0,"744.194","76.8966","429.418"
121,0,"743.76","76.6783","429.393"
122,0,"743.188","76.5547","429.355"
123,0,"742.601","76.3524","429.336"
124,0,"742.053","76.1685","429.278"
125,0,"741.489","75.9567","429.243"
126,0,"740.86","75.7955","429.16"
127,0,"740.209","75.6374","429.101"
128,0,"739.619","75.4289","429.072"
129,0,"738.993","75.2434","429.041"
130,0,"738.348","75.13","429.057"
131,0,"737.74","74.986","429.049"
132,0,"737.252","74.816","429.1"
133,0,"736.683","74.6242","429.181"
134,0,"736.077","74.4705","429.21"
135,0,"735.53","74.3165","429.201"
136,0,"734.919","74.0964","429.173"
137,0,"734.36","73.8274","429.199"
138,0,"733.74","73.5461","429.205"
139,0,"733.036","73.3139","429.191"
140,0,"732.488","72.9921","429.209"
141,0,"731.972","72.5518","429.277"
142,0,"731.451","72.0921","429.315"
143,0,"730.946","71.4562","429.382"
144,0,"730.451","70.7701","429.464"
145,0,"729.979","69.8724","429.626"
146,0,"729.596","68.73","429.833"
147,0,"729.096","67.3616","429.945"
148,0,"728.666","65.7029","430.12"
149,0,"728.295","63.819","430.198"
150,0,"727.981","61.5476","430.324"
151,0,"727.69","58.9175","430.602"
152,0,"727.484","55.7514","431.125"
153,0,"727.239","52.0538","431.831"
154,0,"727.126","47.8022","432.724"
