Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"799.598","108.504","1351.38"
2,0,"799.62","108.525","1351.4"
3,0,"799.635","108.553","1351.4"
4,0,"799.647","108.568","1351.43"
5,0,"799.638","108.598","1351.45"
6,0,"799.633","108.635","1351.46"
7,0,"799.624","108.678","1351.48"
8,0,"799.613","108.736","1351.5"
9,0,"799.596","108.807","1351.52"
10,0,"799.572","108.878","1351.53"
11,0,"799.541","108.947","1351.54"
12,0,"799.517","109.024","1351.55"
13,0,"799.499","109.095","1351.58"
14,0,"799.472","109.154","1351.58"
15,0,"799.44","109.212","1351.59"
16,0,"799.401","109.261","1351.59"
17,0,"799.355","109.316","1351.59"
18,0,"799.306","109.361","1351.58"
19,0,"799.251","109.41","1351.58"
20,0,"799.196","109.447","1351.58"
21,0,"799.143","109.496","1351.59"
22,0,"799.076","109.539","1351.59"
23,0,"799.022","109.577","1351.61"
24,0,"798.975","109.616","1351.64"
25,0,"798.931","109.645","1351.66"
26,0,"798.876","109.68","1351.69"
27,0,"798.836","109.698","1351.73"
28,0,"798.772","109.719","1351.76"
29,0,"798.714","109.731","1351.8"
30,0,"798.653","109.744","1351.85"
31,0,"798.593","109.749","1351.88"
32,0,"798.528","109.76","1351.92"
33,0,"798.485","109.773","1351.95"
34,0,"798.431","109.784","1351.98"
35,0,"798.383","109.789","1352.02"
36,0,"798.34","109.782","1352.05"
37,0,"798.289","109.786","1352.09"
38,0,"798.25","109.79","1352.13"
39,0,"798.212","109.788","1352.16"
40,0,"798.172","109.764","1352.2"
41,0,"798.125","109.75","1352.21"
42,0,"798.093","109.733","1352.23"
43,0,"798.068","109.708","1352.24"
44,0,"798.041","109.69","1352.25"
45,0,"798.025","109.669","1352.27"
46,0,"798.006","109.641","1352.28"
47,0,"798.004","109.628","1352.32"
48,0,"797.993","109.608","1352.36"
49,0,"797.987","109.599","1352.4"
50,0,"797.987","109.572","1352.43"
51,0,"797.982","109.543","1352.46"
52,0,"797.989","109.503","1352.49"
53,0,"797.985","109.464","1352.53"
54,0,"797.984","109.437","1352.56"
55,0,"797.99","109.404","1352.59"
56,0,"797.99","109.371","1352.6"
57,0,"798","109.351","1352.63"
58,0,"798.004","109.326","1352.66"
59,0,"798.005","109.3","1352.69"
60,0,"798.016","109.261","1352.72"
61,0,"798.008","109.234","1352.74"
62,0,"798.002","109.198","1352.76"
63,0,"797.989","109.172","1352.77"
64,0,"797.985","109.135","1352.78"
65,0,"797.964","109.11","1352.77"
66,0,"797.949","109.093","1352.78"
67,0,"797.932","109.069","1352.77"
68,0,"797.913","109.048","1352.77"
69,0,"797.89","109.027","1352.76"
70,0,"797.866","109.015","1352.76"
71,0,"797.837","109.012","1352.75"
72,0,"797.816","109.007","1352.74"
73,0,"797.795","109.017","1352.75"
74,0,"797.773","109.031","1352.74"
75,0,"797.751","109.049","1352.73"
76,0,"797.734","109.077","1352.73"
77,0,"797.702","109.11","1352.73"
78,0,"797.676","109.139","1352.73"
79,0,"797.643","109.17","1352.73"
80,0,"797.597","109.197","1352.74"
81,0,"797.561","109.236","1352.74"
82,0,"797.519","109.268","1352.75"
83,0,"797.48","109.303","1352.77"
84,0,"797.441","109.337","1352.78"
85,0,"797.378","109.375","1352.79"
86,0,"797.313","109.411","1352.81"
87,0,"797.246","109.445","1352.84"
88,0,"797.173","109.469","1352.88"
89,0,"797.078","109.481","1352.91"
90,0,"796.968","109.486","1352.94"
91,0,"796.844","109.471","1352.97"
92,0,"796.696","109.465","1353.01"
93,0,"796.521","109.444","1353.04"
94,0,"796.314","109.406","1353.08"
95,0,"796.076","109.35","1353.13"
96,0,"795.787","109.264","1353.17"
97,0,"795.454","109.148","1353.24"
98,0,"795.081","108.979","1353.34"
99,0,"794.638","108.77","1353.44"
100,0,"794.133","108.5","1353.56"
101,0,"793.549","108.163","1353.69"
102,0,"792.916","107.766","1353.85"
103,0,"792.208","107.344","1354.01"
104,0,"791.426","106.891","1354.2"
105,0,"790.6","106.409","1354.41"
106,0,"789.722","105.924","1354.65"
107,0,"788.769","105.446","1354.91"
108,0,"787.718","104.932","1355.17"
109,0,"786.645","104.426","1355.45"
110,0,"785.494","103.903","1355.72"
111,0,"784.288","103.37","1355.96"
112,0,"783.208","102.624","1356.2"
113,0,"781.918","102.058","1356.38"
114,0,"780.578","101.511","1356.54"
115,0,"779.159","100.987","1356.64"
116,0,"777.72","100.428","1356.73"
117,0,"776.2","99.8836","1356.79"
118,0,"774.635","99.3094","1356.82"
119,0,"773.093","98.7078","1356.93"
120,0,"771.487","98.0706","1357.06"
121,0,"769.859","97.3908","1357.24"
122,0,"768.127","96.6508","1357.41"
123,0,"766.324","95.8594","1357.62"
124,0,"764.493","95.0221","1357.82"
125,0,"762.606","94.1389","1358.06"
126,0,"760.696","93.2541","1358.28"
127,0,"758.709","92.3414","1358.5"
128,0,"756.72","91.4398","1358.73"
129,0,"754.683","90.5262","1358.98"
130,0,"752.607","89.6179","1359.23"
131,0,"750.531","88.7099","1359.48"
132,0,"748.412","87.7887","1359.74"
133,0,"746.273","86.8757","1360.01"
134,0,"744.16","85.9423","1360.32"
135,0,"742.004","85.0281","1360.6"
136,0,"739.811","84.0779","1360.88"
137,0,"737.645","83.0996","1361.14"
138,0,"735.443","82.1111","1361.36"
139,0,"733.236","81.0778","1361.58"
140,0,"730.992","80.0062","1361.79"
141,0,"728.764","78.8921","1361.97"
142,0,"726.512","77.7535","1362.19"
143,0,"724.277","76.5948","1362.39"
144,0,"722.014","75.4048","1362.61"
145,0,"719.798","74.1873","1362.84"
146,0,"717.579","72.9198","1363.07"
147,0,"715.382","71.6046","1363.28"
148,0,"713.207","70.2427","1363.51"
149,0,"711.045","68.8311","1363.71"
150,0,"708.898","67.3525","1363.91"
151,0,"706.778","65.8191","1364.13"
