Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (467)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"338.201","177.632","978.764"
2,0,"338.177","177.632","978.771"
3,0,"338.13","177.635","978.8"
4,0,"338.101","177.643","978.837"
5,0,"338.073","177.667","978.896"
6,0,"338.031","177.703","978.945"
7,0,"337.991","177.731","978.986"
8,0,"337.939","177.752","979.034"
9,0,"337.887","177.8","979.093"
10,0,"337.817","177.849","979.146"
11,0,"337.745","177.884","979.203"
12,0,"337.66","177.92","979.248"
13,0,"337.552","177.948","979.28"
14,0,"337.455","177.979","979.336"
15,0,"337.347","178.015","979.393"
16,0,"337.249","178.045","979.435"
17,0,"337.138","178.062","979.461"
18,0,"337.046","178.095","979.512"
19,0,"336.922","178.103","979.547"
20,0,"336.788","178.116","979.566"
21,0,"336.662","178.118","979.597"
22,0,"336.553","178.123","979.615"
23,0,"336.439","178.129","979.63"
24,0,"336.337","178.11","979.645"
25,0,"336.238","178.117","979.655"
26,0,"336.16","178.101","979.676"
27,0,"336.091","178.105","979.679"
28,0,"336.026","178.107","979.675"
29,0,"335.954","178.099","979.674"
30,0,"335.879","178.074","979.659"
31,0,"335.816","178.062","979.663"
32,0,"335.751","178.048","979.673"
33,0,"335.693","178.027","979.658"
34,0,"335.632","177.994","979.653"
35,0,"335.576","177.967","979.645"
36,0,"335.526","177.938","979.637"
37,0,"335.478","177.91","979.619"
38,0,"335.433","177.883","979.622"
39,0,"335.402","177.848","979.598"
40,0,"335.376","177.821","979.594"
41,0,"335.362","177.797","979.586"
42,0,"335.333","177.754","979.568"
43,0,"335.322","177.727","979.554"
44,0,"335.323","177.692","979.533"
45,0,"335.312","177.662","979.515"
46,0,"335.32","177.645","979.52"
47,0,"335.331","177.623","979.5"
48,0,"335.345","177.595","979.498"
49,0,"335.336","177.581","979.488"
50,0,"335.343","177.564","979.489"
51,0,"335.354","177.567","979.496"
52,0,"335.352","177.539","979.489"
53,0,"335.392","177.563","979.495"
54,0,"335.412","177.555","979.517"
55,0,"335.444","177.58","979.52"
56,0,"335.451","177.595","979.542"
57,0,"335.463","177.599","979.545"
58,0,"335.469","177.617","979.571"
59,0,"335.457","177.635","979.604"
60,0,"335.446","177.65","979.61"
61,0,"335.449","177.661","979.624"
62,0,"335.443","177.683","979.631"
63,0,"335.434","177.71","979.638"
64,0,"335.412","177.721","979.611"
65,0,"335.421","177.752","979.607"
66,0,"335.428","177.767","979.575"
67,0,"335.425","177.805","979.544"
68,0,"335.44","177.834","979.513"
69,0,"335.467","177.869","979.479"
70,0,"335.49","177.895","979.443"
71,0,"335.527","177.94","979.423"
72,0,"335.55","177.972","979.396"
73,0,"335.572","178.01","979.376"
74,0,"335.576","178.038","979.349"
75,0,"335.583","178.077","979.333"
76,0,"335.573","178.105","979.316"
77,0,"335.581","178.146","979.311"
78,0,"335.581","178.183","979.315"
79,0,"335.572","178.232","979.32"
80,0,"335.54","178.282","979.337"
81,0,"335.511","178.336","979.338"
82,0,"335.482","178.39","979.337"
83,0,"335.427","178.446","979.353"
84,0,"335.373","178.508","979.373"
85,0,"335.302","178.545","979.385"
86,0,"335.248","178.604","979.398"
87,0,"335.194","178.651","979.409"
88,0,"335.151","178.695","979.395"
89,0,"335.098","178.749","979.387"
90,0,"335.042","178.778","979.353"
91,0,"334.989","178.808","979.333"
92,0,"334.958","178.858","979.287"
93,0,"334.91","178.896","979.232"
94,0,"334.859","178.934","979.146"
95,0,"334.767","178.968","979.042"
96,0,"334.665","178.997","978.936"
97,0,"334.551","179.046","978.815"
98,0,"334.389","179.069","978.631"
99,0,"334.2","179.102","978.468"
100,0,"333.974","179.135","978.236"
101,0,"333.737","179.162","977.983"
102,0,"333.518","179.238","977.738"
103,0,"333.292","179.349","977.444"
104,0,"333.044","179.451","977.08"
105,0,"332.758","179.575","976.707"
106,0,"332.488","179.774","976.356"
107,0,"332.199","179.966","975.953"
108,0,"331.822","180.196","975.552"
109,0,"331.449","180.473","975.128"
110,0,"331.009","180.738","974.64"
111,0,"330.549","181.063","974.172"
112,0,"330.064","181.418","973.708"
113,0,"329.46","181.759","973.13"
114,0,"328.875","182.115","972.616"
115,0,"328.235","182.479","972.025"
116,0,"327.561","182.8","971.427"
117,0,"326.816","183.12","970.83"
118,0,"326.064","183.414","970.241"
119,0,"325.241","183.669","969.62"
120,0,"324.458","183.929","969.065"
121,0,"323.589","184.167","968.482"
122,0,"322.706","184.347","967.898"
123,0,"321.848","184.59","967.337"
124,0,"320.972","184.805","966.777"
125,0,"320.074","185.045","966.204"
126,0,"319.154","185.239","965.606"
127,0,"318.231","185.481","965.027"
128,0,"317.266","185.686","964.453"
129,0,"316.254","185.847","963.849"
130,0,"315.226","185.966","963.216"
131,0,"314.233","186.129","962.624"
132,0,"313.155","186.216","962.032"
133,0,"312.102","186.338","961.449"
134,0,"311.037","186.422","960.893"
135,0,"310.003","186.504","960.34"
136,0,"308.967","186.586","959.732"
137,0,"307.912","186.641","959.161"
138,0,"306.869","186.691","958.569"
139,0,"305.853","186.737","957.981"
140,0,"304.823","186.721","957.353"
141,0,"303.801","186.717","956.739"
142,0,"302.703","186.622","956.115"
143,0,"301.573","186.578","955.571"
144,0,"300.362","186.493","954.997"
145,0,"299.217","186.438","954.488"
146,0,"298.008","186.357","953.982"
147,0,"296.812","186.289","953.464"
148,0,"295.622","186.2","952.934"
149,0,"294.434","186.152","952.481"
150,0,"293.286","186.121","952.022"
151,0,"292.121","186.106","951.609"
152,0,"291.005","186.088","951.26"
153,0,"289.895","186.113","950.916"
154,0,"288.914","186.143","950.716"
155,0,"287.93","186.254","950.465"
156,0,"287.07","186.435","950.318"
157,0,"286.224","186.684","950.26"
158,0,"285.404","186.978","950.246"
159,0,"284.563","187.269","950.341"
160,0,"283.736","187.601","950.508"
161,0,"282.868","187.963","950.806"
