Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (583)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"418.311","196.632","85.2623"
2,0,"418.31","196.634","85.2552"
3,0,"418.311","196.655","85.2405"
4,0,"418.313","196.64","85.243"
5,0,"418.314","196.652","85.2324"
6,0,"418.317","196.651","85.2203"
7,0,"418.323","196.667","85.2163"
8,0,"418.328","196.671","85.2095"
9,0,"418.333","196.668","85.2222"
10,0,"418.329","196.673","85.2256"
11,0,"418.324","196.683","85.2173"
12,0,"418.308","196.67","85.2241"
13,0,"418.301","196.676","85.2206"
14,0,"418.301","196.684","85.2074"
15,0,"418.29","196.703","85.1973"
16,0,"418.281","196.7","85.189"
17,0,"418.293","196.785","85.1303"
18,0,"418.293","196.77","85.1305"
19,0,"418.303","196.786","85.1239"
20,0,"418.3","196.795","85.1157"
21,0,"418.309","196.773","85.1205"
22,0,"418.298","196.769","85.1293"
23,0,"418.306","196.771","85.1351"
24,0,"418.312","196.759","85.1389"
25,0,"418.305","196.686","85.1797"
26,0,"418.311","196.666","85.2012"
27,0,"418.32","196.66","85.1943"
28,0,"418.32","196.648","85.2057"
29,0,"418.319","196.651","85.1952"
30,0,"418.318","196.626","85.2232"
31,0,"418.321","196.62","85.2161"
32,0,"418.32","196.602","85.2195"
33,0,"418.312","196.603","85.2138"
34,0,"418.309","196.635","85.1931"
35,0,"418.304","196.618","85.2056"
36,0,"418.305","196.621","85.2102"
37,0,"418.309","196.608","85.2362"
38,0,"418.315","196.605","85.2425"
39,0,"418.312","196.634","85.2292"
40,0,"418.327","196.602","85.2487"
41,0,"418.327","196.595","85.2478"
42,0,"418.339","196.595","85.2482"
43,0,"418.342","196.603","85.2527"
44,0,"418.345","196.583","85.2734"
45,0,"418.343","196.561","85.283"
46,0,"418.339","196.507","85.3232"
47,0,"418.339","196.501","85.3331"
48,0,"418.333","196.501","85.3325"
49,0,"418.324","196.491","85.3452"
50,0,"418.331","196.467","85.3655"
51,0,"418.338","196.443","85.3916"
52,0,"418.343","196.457","85.3959"
53,0,"418.347","196.452","85.4061"
54,0,"418.355","196.428","85.425"
55,0,"418.361","196.437","85.4223"
56,0,"418.352","196.43","85.4184"
57,0,"418.353","196.429","85.4192"
58,0,"418.342","196.416","85.4246"
59,0,"418.347","196.425","85.4236"
60,0,"418.346","196.417","85.4233"
61,0,"418.34","196.45","85.4074"
62,0,"418.346","196.443","85.4082"
63,0,"418.343","196.453","85.4026"
64,0,"418.343","196.449","85.396"
65,0,"418.347","196.451","85.3926"
66,0,"418.356","196.455","85.3975"
67,0,"418.354","196.469","85.3923"
68,0,"418.358","196.481","85.3845"
69,0,"418.35","196.472","85.39"
70,0,"418.344","196.474","85.3742"
71,0,"418.342","196.505","85.3501"
72,0,"418.342","196.502","85.357"
73,0,"418.339","196.519","85.3512"
74,0,"418.332","196.521","85.3448"
75,0,"418.325","196.587","85.3027"
76,0,"418.321","196.573","85.312"
77,0,"418.305","196.584","85.3055"
78,0,"418.308","196.584","85.3003"
79,0,"418.302","196.583","85.2935"
80,0,"418.305","196.576","85.3027"
81,0,"418.308","196.549","85.3156"
82,0,"418.311","196.545","85.3069"
83,0,"418.31","196.585","85.2783"
84,0,"418.307","196.563","85.2669"
85,0,"418.303","196.596","85.2453"
86,0,"418.298","196.566","85.2533"
87,0,"418.292","196.575","85.2506"
88,0,"418.301","196.598","85.2492"
89,0,"418.294","196.601","85.2527"
90,0,"418.3","196.617","85.25"
91,0,"418.308","196.625","85.2641"
92,0,"418.317","196.643","85.2605"
93,0,"418.344","196.688","85.2494"
94,0,"418.386","196.704","85.2486"
95,0,"418.419","196.752","85.2389"
96,0,"418.456","196.796","85.2288"
97,0,"418.493","196.818","85.2278"
98,0,"418.537","196.767","85.2592"
99,0,"418.591","196.741","85.291"
100,0,"418.595","196.666","85.3467"
101,0,"418.607","196.567","85.4203"
102,0,"418.596","196.427","85.4843"
103,0,"418.549","196.173","85.5765"
104,0,"418.498","195.911","85.678"
105,0,"418.47","195.724","85.7812"
106,0,"418.439","195.657","85.7947"
107,0,"418.382","195.54","85.8261"
108,0,"418.308","195.447","85.8454"
109,0,"418.227","195.368","85.8495"
110,0,"418.157","195.323","85.8334"
111,0,"418.067","195.282","85.8117"
112,0,"417.983","195.222","85.7794"
113,0,"417.918","195.2","85.6971"
114,0,"417.857","195.203","85.6213"
115,0,"417.788","195.175","85.5647"
116,0,"417.705","195.159","85.4803"
117,0,"417.585","195.071","85.4386"
118,0,"417.445","195.006","85.3921"
119,0,"417.27","194.909","85.3524"
120,0,"417.088","194.915","85.2501"
121,0,"416.913","194.886","85.1667"
122,0,"416.734","194.87","85.0686"
123,0,"416.571","194.851","84.9878"
124,0,"416.442","194.903","84.8825"
125,0,"416.344","194.959","84.7825"
126,0,"416.282","195.002","84.6948"
127,0,"416.219","195.027","84.6174"
128,0,"416.154","195.066","84.5123"
129,0,"416.078","195.075","84.415"
130,0,"415.982","195.111","84.3181"
131,0,"415.877","195.161","84.2093"
132,0,"415.756","195.192","84.1002"
133,0,"415.617","195.255","83.9735"
134,0,"415.495","195.351","83.831"
135,0,"415.331","195.401","83.7359"
136,0,"415.157","195.396","83.6758"
137,0,"414.988","195.325","83.6151"
138,0,"414.779","195.437","83.448"
139,0,"414.579","195.465","83.3311"
140,0,"414.368","195.433","83.2341"
141,0,"414.138","195.408","83.1129"
142,0,"413.862","195.486","82.9157"
143,0,"413.548","195.66","82.683"
144,0,"413.276","195.558","82.5917"
145,0,"412.997","195.634","82.4196"
146,0,"412.739","195.82","82.1724"
147,0,"412.456","195.92","81.9578"
148,0,"412.17","196.039","81.727"
149,0,"411.876","196.061","81.5302"
150,0,"411.604","196.021","81.3371"
151,0,"411.338","195.943","81.2235"
152,0,"411.081","195.782","81.1877"
153,0,"410.811","195.93","80.9765"
154,0,"410.545","196.2","80.7504"
