Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (539)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"452.669","-57.6579","885.895"
2,0,"452.709","-57.6007","885.911"
3,0,"452.741","-57.5516","885.923"
4,0,"452.752","-57.4959","885.924"
5,0,"452.764","-57.4432","885.929"
6,0,"452.753","-57.3768","885.934"
7,0,"452.731","-57.3177","885.939"
8,0,"452.694","-57.265","885.949"
9,0,"452.65","-57.2038","885.968"
10,0,"452.591","-57.1305","885.995"
11,0,"452.517","-57.072","886.03"
12,0,"452.459","-57.0179","886.053"
13,0,"452.38","-56.9627","886.063"
14,0,"452.306","-56.908","886.093"
15,0,"452.208","-56.8468","886.119"
16,0,"452.112","-56.8067","886.141"
17,0,"452.006","-56.7638","886.165"
18,0,"451.911","-56.7357","886.202"
19,0,"451.801","-56.7101","886.238"
20,0,"451.695","-56.6919","886.28"
21,0,"451.596","-56.6862","886.315"
22,0,"451.491","-56.6868","886.361"
23,0,"451.396","-56.6897","886.387"
24,0,"451.296","-56.6932","886.424"
25,0,"451.201","-56.7084","886.447"
26,0,"451.106","-56.7281","886.469"
27,0,"451.013","-56.7521","886.478"
28,0,"450.927","-56.7675","886.494"
29,0,"450.85","-56.7939","886.508"
30,0,"450.781","-56.8234","886.531"
31,0,"450.717","-56.848","886.552"
32,0,"450.665","-56.875","886.581"
33,0,"450.614","-56.9127","886.623"
34,0,"450.578","-56.9382","886.652"
35,0,"450.542","-56.9683","886.695"
36,0,"450.51","-56.9912","886.734"
37,0,"450.485","-57.0214","886.78"
38,0,"450.472","-57.054","886.81"
39,0,"450.465","-57.0876","886.853"
40,0,"450.454","-57.1269","886.89"
41,0,"450.446","-57.1623","886.924"
42,0,"450.444","-57.2","886.945"
43,0,"450.434","-57.24","886.959"
44,0,"450.427","-57.2768","886.969"
45,0,"450.415","-57.321","886.976"
46,0,"450.4","-57.3625","886.982"
47,0,"450.389","-57.3989","886.982"
48,0,"450.388","-57.4354","886.997"
49,0,"450.384","-57.457","887.018"
50,0,"450.37","-57.4777","887.029"
51,0,"450.347","-57.4905","887.025"
52,0,"450.33","-57.4931","887.02"
53,0,"450.33","-57.4954","887.018"
54,0,"450.339","-57.4934","887.013"
55,0,"450.345","-57.4816","887.006"
56,0,"450.353","-57.466","887.002"
57,0,"450.361","-57.4466","886.979"
58,0,"450.382","-57.4241","886.976"
59,0,"450.408","-57.3918","886.987"
60,0,"450.428","-57.3576","886.984"
61,0,"450.447","-57.323","886.983"
62,0,"450.47","-57.2836","886.983"
63,0,"450.498","-57.2482","886.98"
64,0,"450.525","-57.2053","886.968"
65,0,"450.555","-57.1661","886.956"
66,0,"450.58","-57.1249","886.938"
67,0,"450.605","-57.0874","886.903"
68,0,"450.623","-57.051","886.853"
69,0,"450.646","-57.0161","886.799"
70,0,"450.657","-56.9721","886.737"
71,0,"450.666","-56.9433","886.676"
72,0,"450.66","-56.9044","886.614"
73,0,"450.65","-56.8608","886.543"
74,0,"450.655","-56.8165","886.477"
75,0,"450.653","-56.7632","886.419"
76,0,"450.668","-56.6951","886.363"
77,0,"450.674","-56.6257","886.304"
78,0,"450.668","-56.5491","886.261"
79,0,"450.653","-56.4654","886.232"
80,0,"450.655","-56.3907","886.203"
81,0,"450.636","-56.3208","886.195"
82,0,"450.626","-56.2533","886.195"
83,0,"450.601","-56.1813","886.206"
84,0,"450.568","-56.1067","886.212"
85,0,"450.524","-56.0418","886.22"
86,0,"450.48","-55.9825","886.236"
87,0,"450.423","-55.9198","886.247"
88,0,"450.373","-55.8794","886.268"
89,0,"450.328","-55.8365","886.291"
90,0,"450.279","-55.8028","886.304"
91,0,"450.218","-55.7878","886.314"
92,0,"450.159","-55.7702","886.324"
93,0,"450.093","-55.7616","886.33"
94,0,"450.012","-55.7576","886.33"
95,0,"449.928","-55.7702","886.341"
96,0,"449.815","-55.7896","886.348"
97,0,"449.698","-55.8076","886.364"
98,0,"449.554","-55.8396","886.397"
99,0,"449.344","-55.8844","886.419"
100,0,"449.072","-55.9685","886.46"
101,0,"448.767","-56.0727","886.548"
102,0,"448.393","-56.2068","886.62"
103,0,"447.961","-56.3902","886.71"
104,0,"447.441","-56.6107","886.809"
105,0,"446.88","-56.8366","886.918"
106,0,"446.219","-57.1037","887.016"
107,0,"445.482","-57.3631","887.182"
108,0,"444.655","-57.5439","887.33"
109,0,"443.741","-57.7507","887.474"
110,0,"442.766","-57.938","887.634"
111,0,"441.709","-58.0676","887.78"
112,0,"440.553","-58.1779","887.939"
113,0,"439.372","-58.3286","888.05"
114,0,"438.161","-58.2836","888.1"
115,0,"436.787","-58.5781","888.342"
116,0,"435.641","-58.2242","888.082"
117,0,"434.254","-58.3449","888.131"
118,0,"432.857","-58.4814","888.181"
119,0,"431.444","-58.6055","888.2"
120,0,"429.987","-58.7366","888.239"
121,0,"428.5","-58.8705","888.254"
122,0,"426.971","-59.0449","888.297"
123,0,"425.408","-59.2918","888.349"
124,0,"423.788","-59.5398","888.361"
125,0,"422.148","-59.8243","888.417"
126,0,"420.465","-60.0629","888.524"
127,0,"418.79","-60.4101","888.63"
128,0,"417.038","-60.7086","888.762"
129,0,"415.325","-61.0584","888.935"
130,0,"413.577","-61.3842","889.136"
131,0,"411.829","-61.8025","889.345"
132,0,"410.016","-62.1831","889.609"
133,0,"408.183","-62.6271","889.886"
134,0,"406.321","-63.0182","890.196"
135,0,"404.482","-63.5141","890.506"
136,0,"402.574","-63.9905","890.862"
137,0,"400.655","-64.5099","891.252"
138,0,"398.699","-65.0143","891.69"
139,0,"396.747","-65.5872","892.173"
140,0,"394.829","-66.1507","892.713"
141,0,"392.96","-66.7341","893.328"
142,0,"391.102","-67.2654","893.977"
143,0,"389.255","-67.7981","894.627"
144,0,"387.388","-68.2538","895.268"
145,0,"385.559","-68.7209","895.879"
146,0,"383.675","-69.1398","896.488"
