Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (579)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"469.514","22.6357","930.008"
2,0,"469.497","22.7093","930.038"
3,0,"469.486","22.787","930.057"
4,0,"469.449","22.8857","930.062"
5,0,"469.417","22.9437","930.074"
6,0,"469.39","22.9937","930.093"
7,0,"469.373","23.0195","930.114"
8,0,"469.365","23.0509","930.126"
9,0,"469.371","23.0651","930.155"
10,0,"469.374","23.0626","930.183"
11,0,"469.379","23.0673","930.212"
12,0,"469.383","23.0587","930.263"
13,0,"469.398","23.0613","930.287"
14,0,"469.401","23.042","930.336"
15,0,"469.409","23.032","930.367"
16,0,"469.405","23.0303","930.398"
17,0,"469.406","23.0083","930.413"
18,0,"469.398","22.9739","930.42"
19,0,"469.397","22.9346","930.419"
20,0,"469.389","22.9099","930.433"
21,0,"469.373","22.8985","930.446"
22,0,"469.362","22.8729","930.461"
23,0,"469.36","22.8648","930.46"
24,0,"469.362","22.8459","930.459"
25,0,"469.359","22.8212","930.47"
26,0,"469.362","22.8042","930.473"
27,0,"469.364","22.7936","930.482"
28,0,"469.362","22.7902","930.492"
29,0,"469.359","22.7876","930.507"
30,0,"469.364","22.7828","930.521"
31,0,"469.365","22.7665","930.525"
32,0,"469.361","22.7615","930.536"
33,0,"469.369","22.739","930.542"
34,0,"469.364","22.7159","930.548"
35,0,"469.37","22.6925","930.572"
36,0,"469.365","22.653","930.579"
37,0,"469.368","22.6238","930.592"
38,0,"469.378","22.5932","930.603"
39,0,"469.397","22.5633","930.596"
40,0,"469.409","22.5276","930.6"
41,0,"469.404","22.5001","930.601"
42,0,"469.404","22.4992","930.604"
43,0,"469.389","22.4985","930.595"
44,0,"469.378","22.4984","930.612"
45,0,"469.373","22.4829","930.609"
46,0,"469.378","22.4779","930.607"
47,0,"469.404","22.4758","930.624"
48,0,"469.428","22.4976","930.626"
49,0,"469.463","22.503","930.637"
50,0,"469.476","22.5085","930.657"
51,0,"469.502","22.525","930.661"
52,0,"469.523","22.5252","930.678"
53,0,"469.538","22.5325","930.674"
54,0,"469.55","22.5232","930.675"
55,0,"469.581","22.528","930.671"
56,0,"469.607","22.5376","930.673"
57,0,"469.632","22.5531","930.679"
58,0,"469.664","22.5721","930.708"
59,0,"469.693","22.5937","930.718"
60,0,"469.701","22.6299","930.734"
61,0,"469.714","22.6563","930.759"
62,0,"469.718","22.6866","930.759"
63,0,"469.733","22.6953","930.77"
64,0,"469.734","22.7149","930.763"
65,0,"469.734","22.7223","930.749"
66,0,"469.731","22.7397","930.727"
67,0,"469.722","22.7555","930.705"
68,0,"469.702","22.7777","930.691"
69,0,"469.681","22.7986","930.686"
70,0,"469.655","22.8331","930.665"
71,0,"469.628","22.8605","930.655"
72,0,"469.59","22.8758","930.661"
73,0,"469.547","22.8785","930.662"
74,0,"469.506","22.8887","930.685"
75,0,"469.479","22.9156","930.68"
76,0,"469.463","22.938","930.68"
77,0,"469.445","22.9791","930.679"
78,0,"469.428","23.0197","930.682"
79,0,"469.404","23.0695","930.681"
80,0,"469.389","23.1096","930.695"
81,0,"469.365","23.1476","930.703"
82,0,"469.344","23.1807","930.71"
83,0,"469.312","23.2024","930.722"
84,0,"469.284","23.2236","930.71"
85,0,"469.258","23.2357","930.707"
86,0,"469.24","23.2468","930.699"
87,0,"469.22","23.2401","930.697"
88,0,"469.186","23.2307","930.692"
89,0,"469.148","23.2244","930.681"
90,0,"469.101","23.2215","930.65"
91,0,"469.053","23.2097","930.613"
92,0,"468.976","23.204","930.569"
93,0,"468.879","23.1987","930.509"
94,0,"468.741","23.2145","930.45"
95,0,"468.545","23.2617","930.395"
96,0,"468.307","23.2994","930.355"
97,0,"467.999","23.3588","930.304"
98,0,"467.618","23.4761","930.244"
99,0,"467.187","23.6192","930.197"
100,0,"466.723","23.7426","930.154"
101,0,"466.224","23.9324","930.142"
102,0,"465.67","24.1747","930.104"
103,0,"465.003","24.3778","930.121"
104,0,"464.327","24.5768","930.117"
105,0,"463.587","24.7834","930.107"
106,0,"462.848","24.8994","930.133"
107,0,"462.066","25.0773","930.107"
108,0,"461.275","25.2159","930.081"
109,0,"460.485","25.2658","930.042"
110,0,"459.648","25.3936","929.954"
111,0,"458.784","25.3826","929.837"
112,0,"457.911","25.3672","929.718"
113,0,"456.942","25.3132","929.56"
114,0,"455.979","25.2539","929.397"
115,0,"454.947","25.1331","929.232"
116,0,"453.87","25.0777","929.049"
117,0,"452.721","25.0503","928.867"
118,0,"451.532","25.0729","928.658"
119,0,"450.322","25.1388","928.423"
120,0,"449.089","25.1565","928.227"
121,0,"447.807","25.27","927.985"
122,0,"446.495","25.3968","927.719"
123,0,"445.147","25.4651","927.52"
124,0,"443.767","25.6055","927.299"
125,0,"442.343","25.8229","927.001"
126,0,"440.949","25.9092","926.823"
127,0,"439.53","26.0654","926.568"
128,0,"438.1","26.2354","926.349"
129,0,"436.684","26.3072","926.157"
130,0,"435.208","26.4044","925.901"
131,0,"433.626","26.3776","925.854"
132,0,"431.768","26.0622","926.058"
133,0,"429.785","25.6831","926.224"
134,0,"427.79","25.3201","926.399"
135,0,"425.804","24.9497","926.467"
136,0,"425.236","26.1833","925.666"
137,0,"423.682","26.3848","925.302"
138,0,"422.099","26.5708","924.934"
139,0,"420.592","27.0082","924.352"
140,0,"420.13","29.3557","922.267"
141,0,"418.499","29.4885","922.078"
142,0,"nan","nan","nan"
143,0,"nan","nan","nan"
144,0,"nan","nan","nan"
145,0,"410.951","28.1626","923.564"
146,0,"410.172","30.0165","921.519"
147,0,"408.378","29.9329","921.497"
148,0,"406.573","29.8402","921.474"
149,0,"nan","nan","nan"
150,0,"nan","nan","nan"
151,0,"401.037","29.6357","921.673"
152,0,"399.241","29.5883","921.71"
153,0,"397.494","29.6065","921.672"
154,0,"395.726","29.5775","921.605"
