Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (538)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"480.386","72.9166","423.252"
2,0,"480.373","72.9185","423.257"
3,0,"480.359","72.9298","423.269"
4,0,"480.386","72.9461","423.282"
5,0,"480.358","72.9498","423.27"
6,0,"480.332","72.964","423.257"
7,0,"480.329","72.9747","423.293"
8,0,"480.293","72.9944","423.291"
9,0,"480.246","73.0127","423.336"
10,0,"480.188","73.0062","423.343"
11,0,"480.123","73.0083","423.339"
12,0,"480.089","73.0009","423.361"
13,0,"480.033","73.0216","423.375"
14,0,"479.985","73.0546","423.355"
15,0,"479.936","73.0742","423.318"
16,0,"479.918","73.075","423.297"
17,0,"479.929","73.0884","423.296"
18,0,"479.946","73.1001","423.256"
19,0,"479.949","73.0767","423.241"
20,0,"479.965","73.091","423.254"
21,0,"479.98","73.0862","423.249"
22,0,"479.976","73.0497","423.274"
23,0,"479.999","73.0252","423.347"
24,0,"479.996","72.9266","423.372"
25,0,"479.988","72.8736","423.374"
26,0,"479.924","72.7676","423.335"
27,0,"479.971","72.7446","423.365"
28,0,"479.903","72.6315","423.314"
29,0,"479.909","72.5535","423.309"
30,0,"479.909","72.514","423.289"
31,0,"479.901","72.4853","423.31"
32,0,"479.926","72.4825","423.327"
33,0,"479.947","72.4803","423.348"
34,0,"479.935","72.467","423.341"
35,0,"479.919","72.4435","423.326"
36,0,"479.913","72.4222","423.336"
37,0,"479.907","72.4173","423.33"
38,0,"479.899","72.3884","423.326"
39,0,"479.915","72.3776","423.336"
40,0,"479.896","72.3557","423.301"
41,0,"479.881","72.347","423.325"
42,0,"479.877","72.3174","423.306"
43,0,"479.871","72.3022","423.307"
44,0,"479.866","72.2949","423.309"
45,0,"479.877","72.2603","423.353"
46,0,"479.906","72.2286","423.44"
47,0,"479.924","72.2041","423.448"
48,0,"479.933","72.1945","423.465"
49,0,"479.954","72.1789","423.472"
50,0,"479.967","72.1668","423.477"
51,0,"479.997","72.1443","423.476"
52,0,"479.997","72.1285","423.448"
53,0,"480.012","72.1151","423.435"
54,0,"480.009","72.0406","423.441"
55,0,"480.038","72.0306","423.434"
56,0,"480.065","72.0128","423.455"
57,0,"480.094","71.9959","423.453"
58,0,"480.058","71.9101","423.42"
59,0,"480.105","71.9565","423.423"
60,0,"480.115","71.9327","423.405"
61,0,"480.089","71.8788","423.374"
62,0,"480.149","71.9606","423.391"
63,0,"480.148","71.9519","423.364"
64,0,"480.193","72.0187","423.374"
65,0,"480.212","72.0276","423.37"
66,0,"480.228","72.0574","423.375"
67,0,"480.22","72.0804","423.379"
68,0,"480.216","72.1352","423.429"
69,0,"480.186","72.1749","423.442"
70,0,"480.145","72.1905","423.419"
71,0,"480.131","72.2328","423.427"
72,0,"480.119","72.2685","423.427"
73,0,"480.089","72.2962","423.421"
74,0,"480.057","72.3327","423.435"
75,0,"479.963","72.2973","423.426"
76,0,"479.911","72.2861","423.446"
77,0,"479.865","72.2644","423.464"
78,0,"479.861","72.2674","423.491"
79,0,"479.857","72.2044","423.535"
80,0,"479.883","72.1864","423.538"
81,0,"479.87","72.1474","423.529"
82,0,"479.833","72.1154","423.48"
83,0,"479.793","72.1061","423.45"
84,0,"479.787","72.0669","423.45"
85,0,"479.778","72.0516","423.467"
86,0,"479.761","72.0183","423.465"
87,0,"479.787","71.9833","423.531"
88,0,"479.794","71.906","423.573"
89,0,"479.78","71.8297","423.62"
90,0,"479.736","71.6374","423.674"
91,0,"479.788","71.5194","423.887"
92,0,"479.727","71.274","423.928"
93,0,"479.622","70.8378","424.046"
94,0,"479.703","70.5177","424.363"
95,0,"479.732","70.0534","424.687"
96,0,"479.684","69.2965","425.151"
97,0,"479.523","68.4089","425.596"
98,0,"479.461","67.3446","426.254"
99,0,"479.357","66.2085","426.953"
100,0,"479.14","64.6602","427.756"
101,0,"478.994","63.1579","428.659"
102,0,"478.58","61.6645","429.285"
103,0,"477.863","60.3832","429.525"
104,0,"477.172","59.1879","429.686"
105,0,"476.609","58.1388","429.726"
106,0,"476.239","57.1128","429.81"
107,0,"475.812","56.1786","429.838"
108,0,"475.414","55.5279","429.755"
109,0,"474.917","54.8683","429.693"
110,0,"474.485","54.3932","429.585"
111,0,"474.151","54.015","429.519"
112,0,"473.788","53.6841","429.384"
113,0,"473.54","53.3768","429.304"
114,0,"473.207","53.0953","429.106"
115,0,"472.977","52.8853","428.914"
116,0,"472.701","52.5807","428.796"
117,0,"472.485","52.3298","428.71"
118,0,"472.31","52.0028","428.749"
119,0,"472.009","51.6991","428.681"
120,0,"471.796","51.4249","428.692"
121,0,"471.549","51.189","428.645"
122,0,"471.364","51.0337","428.637"
123,0,"471.052","50.9514","428.536"
124,0,"470.741","50.8816","428.499"
125,0,"470.303","50.858","428.434"
126,0,"469.853","50.8592","428.422"
127,0,"469.406","50.9052","428.357"
128,0,"468.742","50.9686","428.196"
129,0,"467.993","50.9486","428.205"
130,0,"467.199","51.0189","428.17"
131,0,"466.31","51.049","428.188"
132,0,"465.35","51.1023","428.169"
133,0,"464.524","51.0877","428.293"
134,0,"463.76","51.1601","428.342"
135,0,"462.855","51.1127","428.326"
136,0,"462.119","51.2442","428.249"
137,0,"461.612","51.3717","428.285"
138,0,"460.897","51.4183","428.215"
139,0,"460.163","51.4124","428.092"
140,0,"459.634","51.3282","428.135"
141,0,"459.354","51.2799","428.19"
142,0,"459.131","51.0859","428.336"
143,0,"458.748","50.7924","428.32"
144,0,"458.366","50.5018","428.185"
145,0,"458.224","50.2887","428.079"
146,0,"457.97","50.0047","427.85"
147,0,"457.767","49.5237","427.754"
148,0,"457.553","49.1352","427.543"
149,0,"457.527","48.8666","427.38"
150,0,"457.356","48.4947","427.255"
151,0,"457.212","48.0381","427.274"
152,0,"457.057","47.817","427.13"
153,0,"456.749","47.6315","426.946"
