Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (529)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"422.743","71.2056","1311.77"
2,0,"422.766","71.2051","1311.79"
3,0,"422.786","71.2189","1311.82"
4,0,"422.788","71.2408","1311.85"
5,0,"422.791","71.2723","1311.89"
6,0,"422.79","71.31","1311.93"
7,0,"422.778","71.3393","1311.99"
8,0,"422.759","71.3778","1312.05"
9,0,"422.732","71.4101","1312.11"
10,0,"422.705","71.4505","1312.16"
11,0,"422.674","71.4807","1312.22"
12,0,"422.631","71.527","1312.28"
13,0,"422.594","71.5739","1312.31"
14,0,"422.55","71.6163","1312.36"
15,0,"422.503","71.6674","1312.39"
16,0,"422.469","71.7087","1312.42"
17,0,"422.422","71.7621","1312.44"
18,0,"422.374","71.8032","1312.47"
19,0,"422.326","71.8576","1312.48"
20,0,"422.278","71.8943","1312.5"
21,0,"422.23","71.9372","1312.51"
22,0,"422.181","71.9822","1312.52"
23,0,"422.133","72.0386","1312.54"
24,0,"422.069","72.0918","1312.56"
25,0,"422.005","72.155","1312.58"
26,0,"421.946","72.2148","1312.61"
27,0,"421.873","72.2731","1312.63"
28,0,"421.798","72.3239","1312.64"
29,0,"421.743","72.3709","1312.64"
30,0,"421.685","72.4124","1312.64"
31,0,"421.63","72.4566","1312.64"
32,0,"421.575","72.4971","1312.64"
33,0,"421.535","72.5359","1312.63"
34,0,"421.485","72.5615","1312.65"
35,0,"421.432","72.6022","1312.66"
36,0,"421.385","72.6396","1312.67"
37,0,"421.338","72.6826","1312.69"
38,0,"421.291","72.7161","1312.7"
39,0,"421.247","72.7553","1312.71"
40,0,"421.215","72.7779","1312.71"
41,0,"421.19","72.795","1312.71"
42,0,"421.167","72.8047","1312.71"
43,0,"421.15","72.8047","1312.71"
44,0,"421.129","72.8152","1312.7"
45,0,"421.116","72.8265","1312.7"
46,0,"421.093","72.8496","1312.71"
47,0,"421.069","72.8639","1312.7"
48,0,"421.068","72.87","1312.69"
49,0,"421.059","72.8702","1312.69"
50,0,"421.067","72.8752","1312.68"
51,0,"421.073","72.8727","1312.68"
52,0,"421.084","72.8574","1312.68"
53,0,"421.083","72.8361","1312.69"
54,0,"421.082","72.8279","1312.71"
55,0,"421.084","72.8116","1312.73"
56,0,"421.092","72.7867","1312.75"
57,0,"421.095","72.7814","1312.76"
58,0,"421.095","72.777","1312.77"
59,0,"421.097","72.771","1312.77"
60,0,"421.099","72.76","1312.77"
61,0,"421.112","72.7503","1312.77"
62,0,"421.11","72.7474","1312.75"
63,0,"421.113","72.7452","1312.74"
64,0,"421.11","72.7442","1312.71"
65,0,"421.105","72.7387","1312.69"
66,0,"421.102","72.7276","1312.67"
67,0,"421.092","72.7144","1312.64"
68,0,"421.075","72.7029","1312.61"
69,0,"421.058","72.6926","1312.58"
70,0,"421.048","72.69","1312.55"
71,0,"421.021","72.6953","1312.54"
72,0,"421.004","72.7028","1312.51"
73,0,"420.977","72.7059","1312.49"
74,0,"420.947","72.7124","1312.48"
75,0,"420.911","72.7214","1312.48"
76,0,"420.878","72.7401","1312.46"
77,0,"420.847","72.7516","1312.46"
78,0,"420.807","72.7671","1312.46"
79,0,"420.771","72.7754","1312.45"
80,0,"420.736","72.7882","1312.44"
81,0,"420.702","72.7842","1312.44"
82,0,"420.672","72.7973","1312.44"
83,0,"420.634","72.8123","1312.44"
84,0,"420.602","72.8266","1312.44"
85,0,"420.552","72.8598","1312.45"
86,0,"420.488","72.8971","1312.45"
87,0,"420.424","72.9568","1312.45"
88,0,"420.337","73.0198","1312.45"
89,0,"420.238","73.0771","1312.45"
90,0,"420.13","73.1356","1312.44"
91,0,"420.015","73.217","1312.44"
92,0,"419.891","73.2889","1312.42"
93,0,"419.734","73.3808","1312.39"
94,0,"419.539","73.4872","1312.36"
95,0,"419.315","73.6038","1312.3"
96,0,"419.032","73.7149","1312.23"
97,0,"418.716","73.847","1312.16"
98,0,"418.363","74.0141","1312.06"
99,0,"417.968","74.2171","1311.93"
100,0,"417.482","74.4391","1311.84"
101,0,"416.934","74.7056","1311.74"
102,0,"416.315","75.0223","1311.63"
103,0,"415.632","75.3618","1311.54"
104,0,"414.895","75.7653","1311.44"
105,0,"414.117","76.2289","1311.31"
106,0,"413.195","76.709","1311.2"
107,0,"412.252","77.2358","1311.06"
108,0,"411.259","77.7713","1310.87"
109,0,"410.192","78.3042","1310.69"
110,0,"409.082","78.8829","1310.46"
111,0,"407.916","79.4498","1310.22"
112,0,"406.71","80.0236","1309.94"
113,0,"405.466","80.582","1309.65"
114,0,"404.164","81.1599","1309.32"
115,0,"402.846","81.7219","1308.96"
116,0,"401.475","82.287","1308.61"
117,0,"400.072","82.824","1308.25"
118,0,"398.631","83.3976","1307.88"
119,0,"397.147","83.938","1307.54"
120,0,"395.617","84.4998","1307.2"
121,0,"394.041","85.0457","1306.87"
122,0,"392.423","85.5864","1306.55"
123,0,"390.777","86.1065","1306.23"
124,0,"389.062","86.5873","1305.92"
125,0,"387.336","87.096","1305.6"
126,0,"385.553","87.5635","1305.29"
127,0,"383.753","88.0708","1304.97"
128,0,"381.897","88.5397","1304.65"
129,0,"380.066","89.0407","1304.32"
130,0,"378.199","89.5544","1303.99"
131,0,"376.307","90.07","1303.69"
132,0,"374.402","90.6017","1303.39"
133,0,"372.465","91.1304","1303.11"
134,0,"370.525","91.671","1302.85"
135,0,"368.539","92.1838","1302.58"
136,0,"366.559","92.7019","1302.31"
137,0,"364.578","93.1831","1302.05"
138,0,"362.601","93.6438","1301.75"
139,0,"360.641","94.0871","1301.47"
140,0,"358.671","94.5158","1301.17"
141,0,"356.723","94.9174","1300.85"
142,0,"354.803","95.3115","1300.55"
143,0,"352.865","95.709","1300.27"
144,0,"350.956","96.1001","1299.98"
145,0,"349.086","96.5293","1299.69"
146,0,"347.241","96.9943","1299.41"
