Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (719)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"636.869","-27.7654","1240.13"
2,0,"636.768","-27.8162","1240.11"
3,0,"636.709","-27.8469","1240.06"
4,0,"636.543","-27.9225","1240.05"
5,0,"636.111","-28.1503","1240.15"
6,0,"635.932","-28.2545","1240.14"
7,0,"636.004","-28.2283","1240.04"
8,0,"635.851","-28.3036","1240.01"
9,0,"635.655","-28.411","1240"
10,0,"635.424","-28.5414","1240.01"
11,0,"634.844","-28.8548","1240.15"
12,0,"634.714","-28.9148","1240.11"
13,0,"634.652","-28.9686","1240.04"
14,0,"634.448","-29.0925","1240.04"
15,0,"634.394","-29.1386","1239.95"
16,0,"634.164","-29.294","1239.91"
17,0,"633.937","-29.431","1239.89"
18,0,"633.478","-29.7012","1239.95"
19,0,"633.281","-29.804","1239.88"
20,0,"633.218","-29.8278","1239.78"
21,0,"633.096","-29.8868","1239.71"
22,0,"632.972","-29.9473","1239.66"
23,0,"632.407","-30.2504","1239.77"
24,0,"632.15","-30.3802","1239.78"
25,0,"632.239","-30.3541","1239.67"
26,0,"632.113","-30.4056","1239.61"
27,0,"631.807","-30.5578","1239.63"
28,0,"631.589","-30.6607","1239.6"
29,0,"631.14","-30.8962","1239.69"
30,0,"631.195","-30.8621","1239.57"
31,0,"631.157","-30.8819","1239.48"
32,0,"631.195","-30.8548","1239.39"
33,0,"631.198","-30.8592","1239.33"
34,0,"631.045","-30.9513","1239.31"
35,0,"630.889","-31.0429","1239.32"
36,0,"630.797","-31.1028","1239.29"
37,0,"630.689","-31.1787","1239.28"
38,0,"630.604","-31.2491","1239.25"
39,0,"630.556","-31.3044","1239.24"
40,0,"630.512","-31.3698","1239.21"
41,0,"630.479","-31.416","1239.18"
42,0,"630.455","-31.4783","1239.16"
43,0,"630.435","-31.524","1239.14"
44,0,"630.41","-31.5679","1239.13"
45,0,"630.395","-31.6147","1239.13"
46,0,"630.386","-31.6528","1239.12"
47,0,"630.373","-31.7002","1239.11"
48,0,"630.35","-31.7568","1239.11"
49,0,"630.323","-31.8149","1239.09"
50,0,"630.304","-31.8719","1239.08"
51,0,"630.283","-31.9263","1239.04"
52,0,"630.258","-31.9724","1239.01"
53,0,"630.249","-32.017","1238.97"
54,0,"630.242","-32.0611","1238.93"
55,0,"630.237","-32.1076","1238.91"
56,0,"630.225","-32.1647","1238.91"
57,0,"630.201","-32.2301","1238.9"
58,0,"630.192","-32.295","1238.9"
59,0,"630.154","-32.3473","1238.89"
60,0,"630.109","-32.4081","1238.87"
61,0,"630.052","-32.4686","1238.86"
62,0,"629.98","-32.5378","1238.85"
63,0,"629.903","-32.6208","1238.84"
64,0,"629.813","-32.7274","1238.83"
65,0,"629.722","-32.8397","1238.82"
66,0,"629.614","-32.9559","1238.79"
67,0,"629.495","-33.0592","1238.78"
68,0,"629.351","-33.1677","1238.76"
69,0,"629.179","-33.2846","1238.75"
70,0,"628.969","-33.4084","1238.74"
71,0,"628.721","-33.5583","1238.72"
72,0,"628.41","-33.6949","1238.67"
73,0,"628.063","-33.8361","1238.63"
74,0,"627.652","-33.9748","1238.56"
75,0,"627.18","-34.1201","1238.49"
76,0,"626.665","-34.2575","1238.38"
77,0,"626.056","-34.3891","1238.24"
78,0,"625.345","-34.524","1238.08"
79,0,"624.557","-34.6447","1237.9"
80,0,"623.652","-34.7458","1237.74"
81,0,"622.646","-34.8405","1237.59"
82,0,"621.51","-34.9111","1237.45"
83,0,"620.25","-34.9719","1237.3"
84,0,"618.88","-35.0478","1237.13"
85,0,"617.4","-35.1143","1236.95"
86,0,"615.812","-35.1853","1236.72"
87,0,"614.119","-35.2447","1236.47"
88,0,"612.291","-35.2961","1236.2"
89,0,"610.327","-35.3457","1235.9"
90,0,"608.222","-35.3702","1235.58"
91,0,"606.01","-35.3967","1235.26"
92,0,"603.633","-35.4185","1234.94"
93,0,"601.118","-35.444","1234.61"
94,0,"598.464","-35.4673","1234.28"
95,0,"596.239","-35.2365","1233.66"
96,0,"593.114","-35.3611","1233.5"
97,0,"589.69","-35.586","1233.42"
98,0,"586.555","-35.6322","1233.18"
99,0,"583.367","-35.6839","1232.87"
100,0,"579.875","-35.8212","1232.73"
101,0,"576.424","-35.8583","1232.7"
102,0,"572.959","-35.9157","1232.69"
103,0,"569.368","-36.1139","1232.63"
104,0,"566.162","-36.1868","1232.41"
105,0,"562.679","-36.3925","1232.44"
106,0,"559.254","-36.6381","1232.52"
107,0,"555.877","-36.9344","1232.56"
108,0,"552.802","-37.187","1232.47"
109,0,"549.255","-37.7899","1232.55"
110,0,"546.153","-38.2383","1232.39"
111,0,"543.171","-38.7031","1232.14"
112,0,"540.301","-39.2444","1231.83"
113,0,"537.58","-39.824","1231.44"
114,0,"534.932","-40.489","1230.99"
115,0,"532.426","-41.2417","1230.49"
116,0,"530.02","-42.0666","1229.95"
117,0,"527.719","-42.9767","1229.39"
118,0,"525.571","-43.9566","1228.83"
119,0,"523.554","-45.0323","1228.26"
120,0,"521.66","-46.1868","1227.63"
121,0,"519.902","-47.452","1226.99"
122,0,"518.301","-48.8002","1226.29"
123,0,"516.831","-50.2486","1225.59"
124,0,"515.454","-51.8134","1224.87"
125,0,"514.129","-53.4966","1224.16"
126,0,"512.831","-55.2675","1223.45"
127,0,"511.588","-57.1508","1222.78"
128,0,"510.368","-59.1426","1222.13"
129,0,"509.23","-61.282","1221.46"
130,0,"508.144","-63.5488","1220.75"
131,0,"507.086","-65.9891","1219.95"
132,0,"506.019","-68.6588","1219.14"
133,0,"504.986","-71.4961","1218.25"
134,0,"504.041","-74.5116","1217.26"
135,0,"503.196","-77.6634","1216.09"
136,0,"502.389","-80.7435","1214.79"
137,0,"501.943","-83.0411","1212.85"
138,0,"501.221","-86.2585","1211.29"
139,0,"500.565","-89.5474","1209.61"
