Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (712)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"618.415","-56.2578","1556.34"
2,0,"618.303","-56.3017","1556.35"
3,0,"618.194","-56.3458","1556.35"
4,0,"618.074","-56.3945","1556.36"
5,0,"617.964","-56.4508","1556.37"
6,0,"617.848","-56.5061","1556.38"
7,0,"617.729","-56.5719","1556.39"
8,0,"617.606","-56.6494","1556.4"
9,0,"617.478","-56.7262","1556.41"
10,0,"617.338","-56.815","1556.4"
11,0,"617.181","-56.9146","1556.39"
12,0,"617.021","-57.0203","1556.39"
13,0,"616.854","-57.1449","1556.39"
14,0,"616.684","-57.2654","1556.38"
15,0,"616.502","-57.4032","1556.38"
16,0,"616.32","-57.5393","1556.38"
17,0,"616.115","-57.6887","1556.38"
18,0,"615.894","-57.845","1556.37"
19,0,"615.662","-58.0004","1556.36"
20,0,"615.411","-58.1641","1556.36"
21,0,"615.166","-58.3288","1556.35"
22,0,"614.904","-58.5037","1556.34"
23,0,"614.652","-58.6829","1556.32"
24,0,"614.406","-58.8483","1556.3"
25,0,"614.159","-59.0191","1556.28"
26,0,"613.909","-59.1892","1556.25"
27,0,"613.658","-59.3544","1556.22"
28,0,"613.423","-59.5137","1556.17"
29,0,"613.201","-59.6862","1556.14"
30,0,"612.975","-59.8477","1556.11"
31,0,"612.75","-60.007","1556.08"
32,0,"612.521","-60.1649","1556.04"
33,0,"612.29","-60.3197","1556"
34,0,"612.083","-60.47","1555.96"
35,0,"611.887","-60.6304","1555.94"
36,0,"611.696","-60.7772","1555.89"
37,0,"611.506","-60.9309","1555.85"
38,0,"611.327","-61.0793","1555.8"
39,0,"611.167","-61.2197","1555.75"
40,0,"610.997","-61.3508","1555.69"
41,0,"610.834","-61.4789","1555.64"
42,0,"610.66","-61.6028","1555.59"
43,0,"610.493","-61.7123","1555.55"
44,0,"610.319","-61.8263","1555.51"
45,0,"610.161","-61.9268","1555.46"
46,0,"610.01","-62.023","1555.43"
47,0,"609.858","-62.1073","1555.39"
48,0,"609.712","-62.1905","1555.36"
49,0,"609.564","-62.2709","1555.34"
50,0,"609.427","-62.3363","1555.31"
51,0,"609.294","-62.392","1555.29"
52,0,"609.161","-62.4381","1555.27"
53,0,"609.036","-62.4734","1555.26"
54,0,"608.913","-62.5057","1555.28"
55,0,"608.785","-62.5305","1555.29"
56,0,"608.66","-62.5453","1555.32"
57,0,"608.537","-62.5615","1555.35"
58,0,"608.413","-62.5776","1555.38"
59,0,"608.283","-62.5957","1555.42"
60,0,"608.157","-62.6135","1555.45"
61,0,"608.007","-62.6361","1555.48"
62,0,"607.844","-62.6503","1555.52"
63,0,"607.647","-62.674","1555.55"
64,0,"607.433","-62.6924","1555.58"
65,0,"607.189","-62.7039","1555.62"
66,0,"606.918","-62.7298","1555.67"
67,0,"606.606","-62.757","1555.73"
68,0,"606.224","-62.7824","1555.78"
69,0,"605.793","-62.8065","1555.83"
70,0,"605.349","-62.8322","1555.89"
71,0,"604.842","-62.8665","1555.93"
72,0,"604.276","-62.895","1555.95"
73,0,"603.704","-62.9154","1555.96"
74,0,"603.053","-62.9394","1555.96"
75,0,"602.407","-62.9731","1555.97"
76,0,"601.656","-62.9888","1555.95"
77,0,"600.863","-63.0031","1555.94"
78,0,"599.996","-63.0199","1555.92"
79,0,"599.028","-63.0117","1555.89"
80,0,"597.966","-62.9979","1555.85"
81,0,"596.816","-62.9804","1555.78"
82,0,"595.549","-62.9336","1555.7"
83,0,"594.188","-62.8895","1555.59"
84,0,"592.704","-62.8173","1555.45"
85,0,"591.113","-62.7418","1555.28"
86,0,"589.401","-62.6536","1555.05"
87,0,"587.598","-62.5388","1554.81"
88,0,"585.69","-62.4259","1554.55"
89,0,"583.667","-62.2983","1554.27"
90,0,"581.547","-62.1657","1553.99"
91,0,"579.342","-62.0336","1553.72"
92,0,"577.047","-61.9105","1553.42"
93,0,"574.672","-61.7993","1553.14"
94,0,"572.233","-61.7059","1552.85"
95,0,"569.714","-61.6266","1552.54"
96,0,"567.165","-61.5576","1552.23"
97,0,"564.553","-61.5302","1551.9"
98,0,"561.904","-61.5362","1551.55"
99,0,"559.22","-61.5818","1551.16"
100,0,"556.547","-61.6643","1550.8"
101,0,"553.846","-61.7918","1550.41"
102,0,"551.136","-61.9815","1550.04"
103,0,"548.439","-62.2281","1549.67"
104,0,"545.764","-62.502","1549.34"
105,0,"543.1","-62.8496","1549.03"
106,0,"540.476","-63.2623","1548.73"
107,0,"537.864","-63.7296","1548.42"
108,0,"535.298","-64.2742","1548.11"
109,0,"532.784","-64.9026","1547.76"
110,0,"530.335","-65.6043","1547.42"
111,0,"527.927","-66.3929","1547.03"
112,0,"525.59","-67.2934","1546.69"
113,0,"523.323","-68.2918","1546.4"
114,0,"521.152","-69.3999","1546.16"
115,0,"519.075","-70.6462","1546"
116,0,"517.077","-71.9957","1545.86"
117,0,"515.162","-73.4818","1545.76"
118,0,"513.316","-75.1194","1545.64"
119,0,"511.559","-76.8763","1545.5"
120,0,"509.906","-78.7953","1545.37"
121,0,"508.306","-80.8524","1545.18"
122,0,"506.808","-83.0974","1544.97"
123,0,"505.426","-85.4922","1544.75"
124,0,"504.135","-88.0778","1544.51"
125,0,"502.959","-90.8481","1544.27"
126,0,"501.902","-93.7944","1544.03"
127,0,"500.955","-96.9264","1543.76"
128,0,"500.077","-100.229","1543.45"
129,0,"499.328","-103.732","1543.13"
130,0,"498.65","-107.433","1542.75"
131,0,"498.021","-111.301","1542.33"
132,0,"497.482","-115.362","1541.86"
133,0,"496.994","-119.599","1541.33"
134,0,"496.592","-124.034","1540.74"
135,0,"496.252","-128.659","1540.11"
136,0,"495.959","-133.478","1539.38"
137,0,"495.745","-138.512","1538.54"
138,0,"495.584","-143.726","1537.63"
139,0,"495.482","-149.135","1536.59"
