Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (721)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"860.468","185.366","1003.68"
2,0,"860.288","185.307","1003.67"
3,0,"860.112","185.249","1003.67"
4,0,"859.958","185.164","1003.73"
5,0,"859.702","185.134","1003.66"
6,0,"859.498","185.071","1003.68"
7,0,"859.306","185.001","1003.7"
8,0,"859.09","184.944","1003.7"
9,0,"858.858","184.897","1003.7"
10,0,"858.623","184.853","1003.69"
11,0,"858.382","184.812","1003.69"
12,0,"858.139","184.771","1003.7"
13,0,"857.902","184.737","1003.71"
14,0,"857.672","184.715","1003.72"
15,0,"857.402","184.698","1003.69"
16,0,"857.136","184.682","1003.67"
17,0,"856.859","184.657","1003.67"
18,0,"856.583","184.62","1003.68"
19,0,"856.321","184.574","1003.72"
20,0,"856.054","184.537","1003.73"
21,0,"855.805","184.492","1003.77"
22,0,"855.539","184.457","1003.78"
23,0,"855.264","184.408","1003.83"
24,0,"854.955","184.379","1003.8"
25,0,"854.675","184.34","1003.81"
26,0,"854.409","184.291","1003.84"
27,0,"854.096","184.257","1003.83"
28,0,"853.765","184.219","1003.8"
29,0,"853.473","184.135","1003.85"
30,0,"853.172","184.083","1003.84"
31,0,"852.898","184.012","1003.87"
32,0,"852.572","183.969","1003.86"
33,0,"852.274","183.909","1003.89"
34,0,"851.975","183.853","1003.91"
35,0,"851.68","183.822","1003.88"
36,0,"851.428","183.759","1003.9"
37,0,"851.163","183.726","1003.87"
38,0,"850.917","183.693","1003.81"
39,0,"850.703","183.661","1003.77"
40,0,"850.482","183.653","1003.7"
41,0,"850.328","183.627","1003.68"
42,0,"850.209","183.61","1003.67"
43,0,"850.146","183.581","1003.69"
44,0,"850.071","183.574","1003.67"
45,0,"850.084","183.543","1003.73"
46,0,"850.083","183.532","1003.75"
47,0,"850.116","183.517","1003.79"
48,0,"850.185","183.494","1003.84"
49,0,"850.324","183.437","1003.97"
50,0,"850.446","183.396","1004.03"
51,0,"850.586","183.349","1004.08"
52,0,"850.741","183.302","1004.13"
53,0,"850.934","183.225","1004.22"
54,0,"851.135","183.126","1004.32"
55,0,"851.311","183.035","1004.4"
56,0,"851.497","182.923","1004.48"
57,0,"851.676","182.803","1004.57"
58,0,"851.893","182.638","1004.72"
59,0,"852.116","182.457","1004.88"
60,0,"852.295","182.291","1004.96"
61,0,"852.459","182.104","1005.03"
62,0,"852.63","181.908","1005.1"
63,0,"852.794","181.667","1005.18"
64,0,"852.967","181.406","1005.29"
65,0,"853.077","181.135","1005.34"
66,0,"853.256","180.776","1005.52"
67,0,"853.4","180.38","1005.68"
68,0,"853.553","179.952","1005.83"
69,0,"853.742","179.433","1006.01"
70,0,"853.957","178.847","1006.18"
71,0,"854.195","178.154","1006.34"
72,0,"854.479","177.367","1006.53"
73,0,"854.784","176.477","1006.7"
74,0,"855.154","175.455","1006.89"
75,0,"855.544","174.273","1007.11"
76,0,"856.003","172.909","1007.38"
77,0,"856.54","171.316","1007.7"
78,0,"857.133","169.48","1008.05"
79,0,"857.771","167.413","1008.4"
80,0,"858.521","165.057","1008.81"
81,0,"859.342","162.444","1009.23"
82,0,"860.167","159.54","1009.64"
83,0,"861.123","156.335","1010.11"
84,0,"862.087","152.81","1010.55"
85,0,"863.106","148.991","1011.03"
86,0,"864.129","144.862","1011.51"
87,0,"865.151","140.424","1011.99"
88,0,"866.12","135.708","1012.5"
89,0,"867.075","130.656","1013.03"
90,0,"867.95","125.292","1013.61"
91,0,"868.764","119.635","1014.22"
92,0,"869.458","113.659","1014.86"
93,0,"870.029","107.399","1015.56"
94,0,"870.485","100.898","1016.31"
95,0,"870.739","94.1648","1017.08"
96,0,"870.817","87.1842","1017.9"
97,0,"870.736","79.999","1018.77"
98,0,"870.433","72.6434","1019.71"
99,0,"869.932","65.1444","1020.69"
100,0,"869.392","57.4078","1021.78"
101,0,"868.482","49.6981","1022.86"
102,0,"867.602","41.9719","1024.32"
103,0,"866.162","34.1397","1025.38"
104,0,"864.652","26.373","1026.68"
105,0,"863.013","18.6471","1028.01"
106,0,"861.054","10.9441","1029.18"
107,0,"858.937","3.37089","1030.36"
108,0,"856.642","-4.11364","1031.43"
109,0,"854.38","-11.4888","1032.64"
110,0,"852.046","-18.7829","1033.77"
111,0,"849.475","-25.9181","1034.68"
112,0,"846.891","-32.8961","1035.58"
113,0,"844.338","-39.7053","1036.53"
114,0,"841.446","-46.3445","1037.1"
115,0,"838.772","-52.8494","1037.82"
116,0,"835.837","-59.0547","1038.36"
117,0,"832.946","-65.2017","1038.77"
118,0,"830.017","-71.0763","1039.17"
119,0,"826.418","-76.6878","1038.98"
120,0,"823.504","-82.2714","1039.2"
121,0,"820.382","-87.6251","1039.2"
122,0,"817.096","-92.8368","1038.95"
123,0,"813.868","-97.9276","1038.67"
124,0,"810.473","-102.887","1038.18"
125,0,"806.986","-107.731","1037.54"
126,0,"803.61","-112.588","1036.89"
127,0,"800.166","-117.43","1036.16"
128,0,"796.671","-122.316","1035.41"
129,0,"793.095","-127.24","1034.62"
130,0,"789.464","-132.293","1033.8"
131,0,"785.868","-137.384","1033.03"
132,0,"782.24","-142.547","1032.15"
133,0,"777.77","-148.4","1030.34"
134,0,"775.933","-152.855","1030.71"
135,0,"772.691","-158.106","1029.7"
136,0,"769.513","-163.415","1028.53"
137,0,"767.899","-167.931","1028.22"
138,0,"763.05","-174.271","1025.37"
139,0,"760.05","-179.721","1023.51"
140,0,"757.071","-185.117","1021.39"
141,0,"754.592","-190.42","1019.28"
142,0,"751.914","-195.636","1016.64"
143,0,"748.926","-200.686","1013.46"
144,0,"745.745","-205.549","1009.97"
145,0,"742.374","-210.206","1006.18"
146,0,"738.85","-214.588","1002.07"
147,0,"735.205","-218.596","997.639"
148,0,"731.54","-222.246","992.895"
149,0,"727.928","-225.629","987.867"
