Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (715)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"858.991","171.645","81.047"
2,0,"858.977","171.654","81.0588"
3,0,"858.969","171.661","81.0645"
4,0,"858.955","171.674","81.0665"
5,0,"858.937","171.692","81.0771"
6,0,"858.931","171.704","81.1112"
7,0,"858.921","171.724","81.1428"
8,0,"858.904","171.728","81.1629"
9,0,"858.891","171.739","81.1879"
10,0,"858.878","171.723","81.2104"
11,0,"858.87","171.731","81.225"
12,0,"858.849","171.749","81.2332"
13,0,"858.846","171.744","81.2482"
14,0,"858.838","171.766","81.2611"
15,0,"858.835","171.78","81.2673"
16,0,"858.839","171.791","81.2703"
17,0,"858.839","171.805","81.2781"
18,0,"858.833","171.819","81.3043"
19,0,"858.807","171.806","81.3499"
20,0,"858.798","171.801","81.4136"
21,0,"858.778","171.776","81.4801"
22,0,"858.756","171.775","81.5251"
23,0,"858.728","171.758","81.5764"
24,0,"858.701","171.753","81.605"
25,0,"858.674","171.743","81.6385"
26,0,"858.644","171.723","81.6773"
27,0,"858.62","171.703","81.7226"
28,0,"858.577","171.682","81.7715"
29,0,"858.539","171.639","81.8516"
30,0,"858.483","171.627","81.9131"
31,0,"858.439","171.603","81.9659"
32,0,"858.403","171.583","82.0279"
33,0,"858.361","171.574","82.0671"
34,0,"858.333","171.576","82.1238"
35,0,"858.302","171.607","82.1311"
36,0,"858.279","171.597","82.1667"
37,0,"858.262","171.593","82.1888"
38,0,"858.264","171.556","82.2005"
39,0,"858.258","171.541","82.2194"
40,0,"858.249","171.527","82.2284"
41,0,"858.253","171.523","82.2397"
42,0,"858.25","171.519","82.255"
43,0,"858.253","171.521","82.2674"
44,0,"858.255","171.527","82.2606"
45,0,"858.272","171.533","82.2496"
46,0,"858.3","171.545","82.2355"
47,0,"858.33","171.571","82.1995"
48,0,"858.365","171.589","82.1721"
49,0,"858.417","171.612","82.146"
50,0,"858.465","171.621","82.1166"
51,0,"858.529","171.64","82.1056"
52,0,"858.565","171.654","82.0949"
53,0,"858.608","171.674","82.0962"
54,0,"858.649","171.67","82.12"
55,0,"858.684","171.683","82.1531"
56,0,"858.71","171.723","82.1541"
57,0,"858.721","171.785","82.136"
58,0,"858.746","171.812","82.1258"
59,0,"858.76","171.858","82.1135"
60,0,"858.776","171.914","82.0787"
61,0,"858.776","171.952","82.0376"
62,0,"858.791","171.977","81.9969"
63,0,"858.815","172.006","81.9519"
64,0,"858.855","172.029","81.9153"
65,0,"858.887","172.052","81.8704"
66,0,"858.92","172.098","81.8259"
67,0,"858.966","172.146","81.7856"
68,0,"859.009","172.227","81.7356"
69,0,"859.04","172.303","81.6995"
70,0,"859.098","172.392","81.628"
71,0,"859.152","172.523","81.5286"
72,0,"859.223","172.635","81.452"
73,0,"859.286","172.748","81.3752"
74,0,"859.348","172.852","81.3135"
75,0,"859.414","172.907","81.2952"
76,0,"859.452","172.993","81.2671"
77,0,"859.501","173.108","81.2253"
78,0,"859.56","173.222","81.1924"
79,0,"859.605","173.344","81.1706"
80,0,"859.638","173.469","81.1525"
81,0,"859.668","173.582","81.1651"
82,0,"859.676","173.705","81.1722"
83,0,"859.69","173.82","81.1822"
84,0,"859.696","173.956","81.2003"
85,0,"859.703","174.088","81.2415"
86,0,"859.74","174.208","81.2831"
87,0,"859.778","174.31","81.324"
88,0,"859.819","174.349","81.4098"
89,0,"859.841","174.433","81.4664"
90,0,"859.828","174.497","81.5222"
91,0,"859.814","174.507","81.6475"
92,0,"859.779","174.562","81.7648"
93,0,"859.754","174.602","81.934"
94,0,"859.772","174.509","82.1839"
95,0,"859.78","174.462","82.3913"
96,0,"859.749","174.461","82.5851"
97,0,"859.734","174.498","82.8121"
98,0,"859.719","174.492","83.059"
99,0,"859.704","174.45","83.3831"
100,0,"859.668","174.375","83.722"
101,0,"859.644","174.195","84.1411"
102,0,"859.576","174.096","84.5177"
103,0,"859.45","173.766","85.0454"
104,0,"859.244","173.273","85.6688"
105,0,"858.818","172.472","86.4793"
106,0,"858.182","171.552","87.4581"
107,0,"857.253","170.441","88.5841"
108,0,"856.021","169.21","89.7771"
109,0,"854.463","167.814","91.0894"
110,0,"852.689","166.375","92.621"
111,0,"850.562","164.926","94.3522"
112,0,"847.969","163.392","96.2353"
113,0,"844.986","161.766","98.4103"
114,0,"841.573","159.77","100.905"
115,0,"837.83","157.553","103.679"
116,0,"833.915","155.089","106.689"
117,0,"829.935","152.196","109.809"
118,0,"826.093","149.285","112.917"
119,0,"822.202","145.519","115.371"
120,0,"818.578","141.239","117.911"
121,0,"815.11","136.195","120.193"
122,0,"811.806","130.608","121.934"
123,0,"808.636","124.279","123.285"
124,0,"805.658","117.295","124.168"
125,0,"802.858","109.902","124.554"
126,0,"800.043","102.021","124.446"
127,0,"797.264","93.6767","123.827"
128,0,"794.529","84.7638","122.853"
129,0,"791.826","75.2861","121.486"
130,0,"789.185","65.3374","119.836"
131,0,"786.879","54.5624","118.009"
132,0,"784.192","43.8349","115.934"
133,0,"781.387","33.0622","113.855"
134,0,"778.556","22.1106","111.822"
135,0,"775.703","10.9915","109.727"
136,0,"772.951","-0.220169","107.768"
137,0,"770.206","-11.5931","105.869"
138,0,"767.325","-22.9726","103.862"
139,0,"764.526","-34.2695","102.103"
140,0,"761.665","-45.2207","100.756"
141,0,"757.966","-56.8233","98.447"
142,0,"754.94","-67.8592","97.2135"
143,0,"751.654","-78.5636","95.8604"
144,0,"748.393","-88.8287","94.6184"
145,0,"744.358","-98.1994","93.0379"
146,0,"741.864","-107.477","92.5241"
147,0,"738.583","-115.653","91.3819"
148,0,"735.377","-122.979","90.3267"
149,0,"732.238","-129.386","89.3099"
150,0,"729.253","-134.877","88.2559"
151,0,"726.397","-139.508","87.0493"
152,0,"723.632","-143.309","85.867"
153,0,"720.952","-146.213","84.7161"
