Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (713)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"779.403","-53.6449","1070.52"
2,0,"779.27","-53.7103","1070.52"
3,0,"779.122","-53.7683","1070.53"
4,0,"778.964","-53.8288","1070.55"
5,0,"778.805","-53.8875","1070.59"
6,0,"778.628","-53.9308","1070.64"
7,0,"778.424","-53.978","1070.67"
8,0,"778.21","-54.0214","1070.7"
9,0,"777.997","-54.0526","1070.72"
10,0,"777.773","-54.0963","1070.73"
11,0,"777.552","-54.143","1070.76"
12,0,"777.322","-54.1835","1070.78"
13,0,"777.105","-54.2302","1070.81"
14,0,"776.861","-54.2734","1070.82"
15,0,"776.622","-54.3108","1070.82"
16,0,"776.38","-54.3419","1070.81"
17,0,"776.134","-54.3745","1070.81"
18,0,"775.871","-54.4152","1070.81"
19,0,"775.598","-54.4724","1070.8"
20,0,"775.316","-54.527","1070.8"
21,0,"775.052","-54.5819","1070.8"
22,0,"774.772","-54.6345","1070.77"
23,0,"774.498","-54.6911","1070.76"
24,0,"774.208","-54.7506","1070.72"
25,0,"773.917","-54.81","1070.68"
26,0,"773.645","-54.873","1070.64"
27,0,"773.381","-54.9436","1070.6"
28,0,"773.139","-55.0247","1070.59"
29,0,"772.902","-55.1014","1070.6"
30,0,"772.67","-55.1841","1070.61"
31,0,"772.445","-55.2717","1070.64"
32,0,"772.229","-55.3456","1070.66"
33,0,"772.021","-55.4205","1070.68"
34,0,"771.819","-55.4927","1070.69"
35,0,"771.615","-55.5595","1070.69"
36,0,"771.431","-55.6259","1070.7"
37,0,"771.247","-55.6855","1070.69"
38,0,"771.089","-55.7503","1070.7"
39,0,"770.952","-55.8001","1070.69"
40,0,"770.838","-55.8438","1070.7"
41,0,"770.742","-55.8805","1070.73"
42,0,"770.664","-55.9097","1070.75"
43,0,"770.598","-55.9242","1070.77"
44,0,"770.542","-55.9348","1070.78"
45,0,"770.504","-55.9389","1070.8"
46,0,"770.473","-55.9452","1070.79"
47,0,"770.449","-55.9524","1070.79"
48,0,"770.435","-55.952","1070.78"
49,0,"770.449","-55.9601","1070.78"
50,0,"770.479","-55.9753","1070.81"
51,0,"770.506","-55.9999","1070.83"
52,0,"770.558","-56.0328","1070.86"
53,0,"770.61","-56.0846","1070.9"
54,0,"770.665","-56.1466","1070.95"
55,0,"770.733","-56.2239","1071"
56,0,"770.782","-56.3132","1071.05"
57,0,"770.819","-56.4102","1071.1"
58,0,"770.866","-56.5116","1071.15"
59,0,"770.911","-56.6251","1071.23"
60,0,"770.952","-56.7401","1071.31"
61,0,"770.987","-56.8678","1071.39"
62,0,"771.009","-57.0012","1071.47"
63,0,"771.031","-57.1518","1071.57"
64,0,"771.038","-57.3202","1071.7"
65,0,"771.015","-57.523","1071.83"
66,0,"770.963","-57.7358","1071.98"
67,0,"770.888","-57.9885","1072.17"
68,0,"770.775","-58.2832","1072.39"
69,0,"770.615","-58.6236","1072.64"
70,0,"770.402","-58.999","1072.89"
71,0,"770.171","-59.4494","1073.18"
72,0,"769.9","-59.9344","1073.51"
73,0,"769.584","-60.4883","1073.86"
74,0,"769.22","-61.1015","1074.23"
75,0,"768.772","-61.8224","1074.62"
76,0,"768.268","-62.6848","1075.07"
77,0,"767.703","-63.6868","1075.6"
78,0,"767.083","-64.8675","1076.23"
79,0,"766.413","-66.244","1076.95"
80,0,"765.717","-67.7766","1077.81"
81,0,"764.944","-69.5262","1078.77"
82,0,"764.092","-71.4487","1079.83"
83,0,"763.192","-73.5646","1081.04"
84,0,"762.218","-75.899","1082.36"
85,0,"761.179","-78.4353","1083.82"
86,0,"760.085","-81.2019","1085.45"
87,0,"758.931","-84.2178","1087.22"
88,0,"757.696","-87.4868","1089.12"
89,0,"756.389","-90.997","1091.16"
90,0,"754.984","-94.7478","1093.34"
91,0,"753.478","-98.7143","1095.66"
92,0,"751.914","-102.87","1098.12"
93,0,"750.226","-107.261","1100.69"
94,0,"748.452","-111.857","1103.43"
95,0,"746.624","-116.614","1106.3"
96,0,"744.638","-121.515","1109.24"
97,0,"742.519","-126.553","1112.25"
98,0,"740.262","-131.709","1115.35"
99,0,"737.921","-136.987","1118.59"
100,0,"735.432","-142.425","1121.78"
101,0,"732.757","-148.097","1124.83"
102,0,"729.965","-153.935","1127.69"
103,0,"727.059","-159.953","1130.27"
104,0,"724.062","-166.19","1132.6"
105,0,"720.997","-172.632","1134.59"
106,0,"718.218","-179.285","1136.56"
107,0,"715.065","-186.238","1137.76"
108,0,"711.867","-193.333","1138.58"
109,0,"708.677","-200.539","1139.12"
110,0,"705.382","-207.875","1139.24"
111,0,"701.789","-215.523","1138.87"
112,0,"698.283","-222.914","1137.7"
113,0,"694.671","-230.523","1135.93"
114,0,"690.999","-238.295","1133.63"
115,0,"687.354","-246.146","1130.79"
116,0,"683.981","-254.025","1127.65"
117,0,"680.558","-261.827","1124.01"
118,0,"677.049","-269.676","1119.72"
119,0,"673.746","-277.463","1115.03"
120,0,"670.647","-285.363","1109.65"
121,0,"667.318","-293.232","1103.59"
122,0,"664.212","-300.994","1097.18"
123,0,"661.23","-308.882","1090.15"
124,0,"658.471","-316.632","1082.79"
125,0,"655.975","-324.485","1074.96"
126,0,"653.697","-332.278","1066.61"
127,0,"651.675","-340.022","1057.67"
128,0,"649.787","-347.664","1047.84"
129,0,"648.272","-355.082","1037.32"
130,0,"646.875","-362.335","1025.52"
131,0,"645.519","-369.151","1012.79"
132,0,"644.166","-375.321","999.279"
133,0,"642.749","-380.494","985.105"
134,0,"641.511","-384.759","970.565"
135,0,"641.037","-388.172","956.303"
136,0,"639.479","-390.035","941.479"
137,0,"637.983","-390.788","926.817"
138,0,"637.066","-391.357","912.63"
139,0,"636.237","-391.351","898.809"
140,0,"635.447","-390.736","885.313"
141,0,"634.751","-389.688","872.228"
142,0,"634.184","-388.302","859.552"
