Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (729)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"771.144","16.9814","943.713"
2,0,"770.938","16.9809","943.687"
3,0,"770.737","16.9738","943.657"
4,0,"770.537","16.9719","943.63"
5,0,"770.342","16.9751","943.589"
6,0,"770.155","16.9563","943.551"
7,0,"769.955","16.944","943.517"
8,0,"769.732","16.9345","943.486"
9,0,"769.495","16.943","943.457"
10,0,"769.273","16.9357","943.439"
11,0,"769.074","16.9226","943.419"
12,0,"768.877","16.8917","943.398"
13,0,"768.671","16.8468","943.364"
14,0,"768.46","16.8046","943.339"
15,0,"768.225","16.7604","943.308"
16,0,"768","16.7168","943.301"
17,0,"767.773","16.6733","943.289"
18,0,"767.543","16.6511","943.307"
19,0,"767.34","16.6008","943.301"
20,0,"767.123","16.5483","943.287"
21,0,"766.883","16.5289","943.265"
22,0,"766.629","16.4996","943.251"
23,0,"766.401","16.4651","943.26"
24,0,"766.197","16.4417","943.258"
25,0,"766.003","16.3956","943.245"
26,0,"765.829","16.3588","943.219"
27,0,"765.662","16.323","943.205"
28,0,"765.526","16.276","943.175"
29,0,"765.393","16.259","943.16"
30,0,"765.258","16.2343","943.163"
31,0,"765.121","16.2205","943.178"
32,0,"765.007","16.2009","943.185"
33,0,"764.886","16.1483","943.207"
34,0,"764.778","16.1256","943.231"
35,0,"764.692","16.0895","943.26"
36,0,"764.607","16.0657","943.287"
37,0,"764.52","16.041","943.322"
38,0,"764.462","16.0074","943.345"
39,0,"764.421","15.9655","943.371"
40,0,"764.394","15.9274","943.39"
41,0,"764.397","15.8844","943.421"
42,0,"764.407","15.8491","943.442"
43,0,"764.434","15.8101","943.465"
44,0,"764.467","15.7897","943.497"
45,0,"764.505","15.7515","943.521"
46,0,"764.561","15.6973","943.552"
47,0,"764.614","15.6472","943.571"
48,0,"764.676","15.6222","943.598"
49,0,"764.745","15.557","943.613"
50,0,"764.813","15.4891","943.616"
51,0,"764.894","15.4042","943.624"
52,0,"764.975","15.2847","943.628"
53,0,"765.036","15.1716","943.65"
54,0,"765.1","15.0449","943.684"
55,0,"765.133","14.9181","943.71"
56,0,"765.162","14.7692","943.763"
57,0,"765.18","14.6366","943.81"
58,0,"765.211","14.4912","943.858"
59,0,"765.218","14.3653","943.907"
60,0,"765.229","14.2457","943.95"
61,0,"765.251","14.1493","943.978"
62,0,"765.271","14.0537","943.972"
63,0,"765.308","13.9792","943.964"
64,0,"765.356","13.9029","943.937"
65,0,"765.389","13.847","943.878"
66,0,"765.42","13.7997","943.823"
67,0,"765.454","13.7493","943.785"
68,0,"765.452","13.6787","943.777"
69,0,"765.432","13.5756","943.793"
70,0,"765.384","13.4555","943.82"
71,0,"765.289","13.3187","943.839"
72,0,"765.144","13.1305","943.843"
73,0,"764.917","12.9568","943.83"
74,0,"764.625","12.7742","943.756"
75,0,"764.213","12.5985","943.661"
76,0,"763.726","12.3542","943.519"
77,0,"763.051","12.1755","943.458"
78,0,"762.023","12.1013","943.437"
79,0,"761.35","11.8301","943.344"
80,0,"760.604","11.5798","943.319"
81,0,"759.787","11.3284","943.256"
82,0,"758.869","11.0949","943.186"
83,0,"757.928","10.8902","943.09"
84,0,"756.919","10.6325","942.923"
85,0,"755.84","10.416","942.641"
86,0,"754.661","10.1857","942.303"
87,0,"753.395","9.89825","941.902"
88,0,"751.901","9.61874","941.307"
89,0,"750.617","9.03865","940.732"
90,0,"749.034","8.58764","940.11"
91,0,"747.287","8.1107","939.464"
92,0,"745.523","7.44933","938.734"
93,0,"743.559","6.81184","938.023"
94,0,"741.442","6.21469","937.373"
95,0,"739.056","5.79779","936.433"
96,0,"736.869","4.79366","936.197"
97,0,"734.437","3.99508","935.597"
98,0,"731.883","3.23279","935.002"
99,0,"729.278","2.42558","934.432"
100,0,"726.624","1.61782","933.947"
101,0,"723.917","0.801647","933.496"
102,0,"721.182","-0.0116588","933.144"
103,0,"718.497","-0.910819","932.753"
104,0,"715.712","-1.67292","932.496"
105,0,"712.754","-2.0682","932.529"
106,0,"710.101","-2.64121","932.406"
107,0,"707.529","-3.02209","932.381"
108,0,"705.05","-3.08438","932.567"
109,0,"702.704","-3.23029","932.574"
110,0,"700.33","-3.07897","932.785"
111,0,"698.287","-3.39219","932.743"
112,0,"696.389","-3.7412","932.65"
113,0,"694.566","-3.91833","932.64"
114,0,"692.871","-4.09095","932.615"
115,0,"691.478","-3.79488","932.335"
116,0,"689.842","-4.3444","932.463"
117,0,"688.373","-4.85557","932.555"
118,0,"687.083","-5.32019","932.625"
119,0,"685.741","-5.76914","932.709"
120,0,"684.161","-6.26794","932.62"
121,0,"683.414","-7.20712","932.987"
122,0,"682.285","-8.08703","933.173"
123,0,"681.079","-9.0488","933.299"
124,0,"679.948","-10.1266","933.462"
125,0,"677.654","-10.5383","933.128"
126,0,"676.996","-11.8852","933.287"
127,0,"676.312","-13.2101","933.301"
128,0,"675.638","-14.4333","933.24"
129,0,"674.634","-15.3499","933.107"
130,0,"674.05","-16.7509","933.06"
131,0,"673.602","-18.2518","932.798"
132,0,"673.465","-19.4697","932.823"
133,0,"672.983","-20.9885","933.011"
134,0,"673.197","-22.0426","932.936"
135,0,"672.024","-24.4901","932.417"
136,0,"671.947","-26.1362","931.814"
137,0,"672.123","-27.6464","931.304"
138,0,"671.875","-29.6395","930.637"
139,0,"671.661","-31.7093","929.952"
140,0,"671.392","-33.8674","929.247"
141,0,"671.092","-36.1819","928.464"
142,0,"670.77","-38.6403","927.656"
143,0,"670.399","-41.2356","926.795"
144,0,"670.018","-43.9564","925.898"
145,0,"669.622","-46.8329","924.92"
146,0,"669.165","-49.808","923.883"
147,0,"668.669","-52.9203","922.779"
148,0,"668.179","-56.1893","921.613"
149,0,"667.695","-59.5651","920.426"
150,0,"667.237","-63.0663","919.23"
151,0,"666.851","-66.6468","918.004"
