Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (714)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"786.309","47.6461","427.973"
2,0,"786.243","47.6247","427.96"
3,0,"786.168","47.6099","427.945"
4,0,"786.078","47.5871","427.936"
5,0,"785.952","47.589","427.915"
6,0,"785.896","47.577","427.907"
7,0,"785.831","47.5655","427.919"
8,0,"785.743","47.5546","427.935"
9,0,"785.67","47.5344","427.943"
10,0,"785.591","47.5141","427.943"
11,0,"785.496","47.5012","427.926"
12,0,"785.448","47.477","427.913"
13,0,"785.375","47.4391","427.907"
14,0,"785.238","47.421","427.879"
15,0,"785.128","47.4121","427.826"
16,0,"785.034","47.3872","427.814"
17,0,"784.943","47.3568","427.806"
18,0,"784.859","47.3365","427.793"
19,0,"784.768","47.3109","427.792"
20,0,"784.679","47.2808","427.807"
21,0,"784.584","47.2546","427.821"
22,0,"784.536","47.1935","427.876"
23,0,"784.453","47.1525","427.905"
24,0,"784.351","47.1401","427.918"
25,0,"784.275","47.118","427.905"
26,0,"784.18","47.0834","427.903"
27,0,"784.046","47.0406","427.9"
28,0,"783.935","46.9906","427.907"
29,0,"783.852","46.9469","427.921"
30,0,"783.803","46.8686","427.977"
31,0,"783.719","46.8178","428.011"
32,0,"783.638","46.7726","428.038"
33,0,"783.597","46.7278","428.054"
34,0,"783.562","46.6723","428.082"
35,0,"783.561","46.6025","428.108"
36,0,"783.541","46.5463","428.121"
37,0,"783.529","46.4765","428.131"
38,0,"783.565","46.3691","428.166"
39,0,"783.557","46.2854","428.173"
40,0,"783.561","46.1985","428.166"
41,0,"783.559","46.119","428.157"
42,0,"783.591","46.031","428.166"
43,0,"783.691","45.9052","428.207"
44,0,"783.727","45.8281","428.217"
45,0,"783.774","45.7626","428.232"
46,0,"783.818","45.7216","428.219"
47,0,"783.884","45.6842","428.196"
48,0,"783.988","45.6511","428.203"
49,0,"784.067","45.659","428.173"
50,0,"784.137","45.6993","428.13"
51,0,"784.217","45.7438","428.123"
52,0,"784.316","45.8181","428.107"
53,0,"784.385","45.9041","428.1"
54,0,"784.495","45.9862","428.105"
55,0,"784.568","46.097","428.119"
56,0,"784.632","46.2225","428.13"
57,0,"784.656","46.3578","428.127"
58,0,"784.693","46.4716","428.149"
59,0,"784.726","46.5661","428.163"
60,0,"784.726","46.6359","428.152"
61,0,"784.729","46.6871","428.1"
62,0,"784.715","46.7147","428.044"
63,0,"784.685","46.727","427.959"
64,0,"784.684","46.7219","427.891"
65,0,"784.68","46.7385","427.804"
66,0,"784.727","46.75","427.745"
67,0,"784.805","46.7716","427.691"
68,0,"784.904","46.8028","427.686"
69,0,"785.005","46.8816","427.654"
70,0,"785.151","46.9648","427.642"
71,0,"785.328","47.0763","427.6"
72,0,"785.535","47.2042","427.551"
73,0,"785.7","47.3772","427.475"
74,0,"785.818","47.5133","427.459"
75,0,"785.877","47.6402","427.447"
76,0,"785.795","47.7962","427.389"
77,0,"785.748","47.9368","427.324"
78,0,"785.763","48.0886","427.263"
79,0,"785.797","48.2716","427.206"
80,0,"785.786","48.4446","427.185"
81,0,"785.709","48.5866","427.177"
82,0,"785.56","48.6912","427.175"
83,0,"785.332","48.7573","427.182"
84,0,"785.088","48.8234","427.166"
85,0,"784.878","48.8527","427.123"
86,0,"784.654","48.8235","427.112"
87,0,"784.408","48.7386","427.096"
88,0,"784.003","48.5988","427.03"
89,0,"783.521","48.3787","426.989"
90,0,"782.955","48.1494","426.896"
91,0,"782.333","47.8351","426.826"
92,0,"781.711","47.4276","426.76"
93,0,"781.099","46.9167","426.723"
94,0,"780.414","46.334","426.643"
95,0,"779.738","45.5505","426.667"
96,0,"779.01","44.6593","426.674"
97,0,"778.241","43.4849","426.686"
98,0,"777.44","42.0755","426.63"
99,0,"776.683","40.302","426.618"
100,0,"775.847","38.2145","426.528"
101,0,"775.154","35.5992","426.551"
102,0,"774.459","32.4484","426.593"
103,0,"773.836","28.6883","426.717"
104,0,"773.222","24.2713","426.918"
105,0,"772.602","19.2259","427.235"
106,0,"771.826","13.5814","427.638"
107,0,"770.859","7.42075","428.061"
108,0,"769.689","0.885795","428.497"
109,0,"768.215","-5.99665","428.917"
110,0,"766.595","-13.3163","429.532"
111,0,"764.701","-21.0252","430.244"
112,0,"762.76","-28.6283","431.306"
113,0,"760.621","-36.2297","432.414"
114,0,"758.374","-44.2136","433.559"
115,0,"755.772","-51.5693","434.261"
116,0,"752.915","-58.7165","434.705"
117,0,"749.691","-65.7994","435.35"
118,0,"746.057","-72.8494","436.34"
119,0,"742.369","-79.9234","437.658"
120,0,"738.67","-86.7301","439.25"
121,0,"734.723","-93.0747","440.844"
122,0,"731.302","-99.387","442.463"
123,0,"727.322","-105.386","444.353"
124,0,"723.44","-111.086","446.073"
125,0,"719.521","-116.492","447.743"
126,0,"715.491","-121.591","449.39"
127,0,"711.45","-126.358","451.073"
128,0,"707.252","-130.821","452.659"
129,0,"703.061","-135.027","454.225"
130,0,"698.8","-138.914","455.779"
131,0,"694.49","-142.553","457.233"
132,0,"690.159","-145.976","458.63"
133,0,"685.693","-149.179","459.984"
134,0,"681.127","-152.14","461.221"
135,0,"676.511","-154.88","462.356"
136,0,"672.738","-157.629","464.249"
137,0,"667.224","-159.69","464.35"
138,0,"662.192","-161.417","464.709"
139,0,"657.595","-163.223","465.506"
140,0,"652.816","-164.801","465.806"
141,0,"647.988","-165.518","465.493"
142,0,"644.233","-167.1","466.095"
143,0,"641.929","-169.13","467.761"
144,0,"637.483","-169.792","466.648"
145,0,"634.563","-170.785","466.736"
146,0,"631.54","-171.819","466.383"
147,0,"629.364","-173.204","466.937"
148,0,"626.016","-173.859","465.811"
149,0,"623.286","-175.217","465.677"
150,0,"620.915","-176.457","465.754"
151,0,"618.725","-177.587","465.665"
152,0,"616.821","-178.775","465.288"
153,0,"615.281","-179.985","464.563"
