Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (718)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"804.744","87.8061","1357.77"
2,0,"804.586","87.7527","1357.75"
3,0,"804.432","87.6867","1357.74"
4,0,"804.255","87.6111","1357.71"
5,0,"804.087","87.5493","1357.69"
6,0,"803.902","87.4799","1357.67"
7,0,"803.704","87.4082","1357.64"
8,0,"803.51","87.328","1357.64"
9,0,"803.292","87.2433","1357.63"
10,0,"803.086","87.1613","1357.63"
11,0,"802.862","87.0834","1357.62"
12,0,"802.642","87.0089","1357.61"
13,0,"802.413","86.9318","1357.61"
14,0,"802.171","86.8311","1357.59"
15,0,"801.943","86.7407","1357.59"
16,0,"801.704","86.6365","1357.57"
17,0,"801.47","86.5158","1357.57"
18,0,"801.218","86.3979","1357.55"
19,0,"800.965","86.2714","1357.55"
20,0,"800.7","86.1588","1357.56"
21,0,"800.427","86.0427","1357.58"
22,0,"800.173","85.9438","1357.59"
23,0,"799.913","85.8527","1357.6"
24,0,"799.658","85.7532","1357.63"
25,0,"799.384","85.6695","1357.63"
26,0,"799.113","85.5961","1357.64"
27,0,"798.847","85.5218","1357.64"
28,0,"798.59","85.4566","1357.64"
29,0,"798.339","85.3932","1357.64"
30,0,"798.096","85.3168","1357.65"
31,0,"797.87","85.2516","1357.66"
32,0,"797.651","85.1993","1357.69"
33,0,"797.429","85.145","1357.71"
34,0,"797.224","85.1138","1357.73"
35,0,"797.024","85.0794","1357.75"
36,0,"796.834","85.0544","1357.75"
37,0,"796.671","85.0351","1357.75"
38,0,"796.527","85.0219","1357.75"
39,0,"796.405","85.0134","1357.76"
40,0,"796.296","85.0228","1357.76"
41,0,"796.189","85.0317","1357.76"
42,0,"796.098","85.0238","1357.76"
43,0,"796.019","85.0183","1357.77"
44,0,"795.949","85.0147","1357.77"
45,0,"795.869","85.0229","1357.78"
46,0,"795.806","85.013","1357.79"
47,0,"795.748","85.0032","1357.82"
48,0,"795.676","84.9892","1357.83"
49,0,"795.631","84.9547","1357.86"
50,0,"795.571","84.9015","1357.88"
51,0,"795.505","84.84","1357.9"
52,0,"795.445","84.777","1357.92"
53,0,"795.394","84.6932","1357.95"
54,0,"795.333","84.6187","1358"
55,0,"795.27","84.5427","1358.06"
56,0,"795.214","84.4631","1358.13"
57,0,"795.135","84.398","1358.2"
58,0,"795.047","84.3253","1358.27"
59,0,"794.962","84.2476","1358.35"
60,0,"794.864","84.1617","1358.4"
61,0,"794.762","84.0701","1358.45"
62,0,"794.662","83.9846","1358.5"
63,0,"794.536","83.8825","1358.56"
64,0,"794.408","83.7633","1358.62"
65,0,"794.259","83.6396","1358.7"
66,0,"794.103","83.4936","1358.79"
67,0,"793.934","83.3263","1358.92"
68,0,"793.715","83.1244","1359.05"
69,0,"793.467","82.9079","1359.19"
70,0,"793.175","82.667","1359.35"
71,0,"792.842","82.4081","1359.48"
72,0,"792.449","82.1257","1359.61"
73,0,"792.021","81.808","1359.74"
74,0,"791.544","81.4613","1359.87"
75,0,"791.004","81.0638","1360.05"
76,0,"790.417","80.6104","1360.27"
77,0,"789.727","80.0828","1360.54"
78,0,"788.945","79.4908","1360.85"
79,0,"788.047","78.8386","1361.16"
80,0,"787.05","78.0949","1361.5"
81,0,"785.964","77.2759","1361.87"
82,0,"784.937","76.1893","1362.27"
83,0,"783.66","75.2366","1362.59"
84,0,"782.28","74.2641","1362.91"
85,0,"780.773","73.2762","1363.19"
86,0,"779.16","72.2603","1363.47"
87,0,"777.499","71.1706","1363.81"
88,0,"775.65","70.0454","1363.99"
89,0,"773.775","68.8697","1364.23"
90,0,"771.789","67.6078","1364.48"
91,0,"769.715","66.2897","1364.72"
92,0,"767.526","64.8991","1364.93"
93,0,"765.283","63.4482","1365.11"
94,0,"762.905","61.9422","1365.24"
95,0,"760.414","60.3623","1365.35"
96,0,"757.841","58.7207","1365.42"
97,0,"755.206","56.9986","1365.49"
98,0,"752.441","55.2207","1365.56"
99,0,"749.617","53.3772","1365.64"
100,0,"746.702","51.495","1365.74"
101,0,"743.75","49.5844","1365.87"
102,0,"740.757","47.6422","1366.05"
103,0,"737.714","45.6355","1366.24"
104,0,"734.709","43.6185","1366.45"
105,0,"731.698","41.5568","1366.66"
106,0,"728.752","39.511","1366.87"
107,0,"725.809","37.3517","1367.1"
108,0,"722.912","35.085","1367.34"
109,0,"719.87","32.4067","1367.63"
110,0,"717.045","29.9426","1367.72"
111,0,"714.26","27.3393","1367.76"
112,0,"711.535","24.6101","1367.75"
113,0,"708.909","21.7644","1367.68"
114,0,"706.357","18.7637","1367.57"
115,0,"703.885","15.643","1367.41"
116,0,"701.454","12.3956","1367.22"
117,0,"699.089","9.0419","1367.04"
118,0,"696.774","5.61718","1366.82"
119,0,"694.526","2.08782","1366.61"
120,0,"692.379","-1.50731","1366.36"
121,0,"690.366","-5.18561","1366.08"
122,0,"688.432","-8.95395","1365.71"
123,0,"686.627","-12.8006","1365.28"
124,0,"684.885","-16.7533","1364.75"
125,0,"683.223","-20.8279","1364.2"
126,0,"681.635","-25.005","1363.58"
127,0,"680.101","-29.2795","1362.87"
128,0,"678.639","-33.6501","1362.09"
129,0,"677.244","-38.1449","1361.2"
130,0,"675.921","-42.7773","1360.25"
131,0,"674.674","-47.5595","1359.24"
132,0,"673.465","-52.5477","1358.2"
133,0,"672.283","-57.699","1357.1"
134,0,"671.075","-63.0942","1355.88"
135,0,"669.903","-68.7383","1354.56"
136,0,"668.738","-74.6015","1353.08"
137,0,"667.633","-80.734","1351.45"
138,0,"666.52","-87.1462","1349.59"
139,0,"665.46","-93.8546","1347.51"
140,0,"664.421","-100.868","1345.21"
141,0,"663.438","-108.144","1342.66"
142,0,"662.531","-115.651","1339.92"
143,0,"661.71","-123.334","1336.97"
144,0,"660.974","-131.168","1333.76"
145,0,"660.314","-139.151","1330.28"
