Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (727)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"373.043","196.511","972.337"
2,0,"372.843","196.441","972.347"
3,0,"372.663","196.386","972.368"
4,0,"372.467","196.32","972.385"
5,0,"372.263","196.256","972.4"
6,0,"372.08","196.2","972.449"
7,0,"371.867","196.133","972.483"
8,0,"371.623","196.031","972.502"
9,0,"371.375","195.943","972.529"
10,0,"371.156","195.839","972.562"
11,0,"370.891","195.718","972.594"
12,0,"370.609","195.587","972.621"
13,0,"370.349","195.466","972.683"
14,0,"370.058","195.328","972.685"
15,0,"369.792","195.189","972.694"
16,0,"369.47","195.019","972.692"
17,0,"369.129","194.837","972.681"
18,0,"368.77","194.657","972.687"
19,0,"368.447","194.481","972.715"
20,0,"368.129","194.303","972.758"
21,0,"367.776","194.097","972.764"
22,0,"367.426","193.873","972.739"
23,0,"367.141","193.679","972.744"
24,0,"366.838","193.487","972.731"
25,0,"366.506","193.275","972.723"
26,0,"366.191","193.042","972.698"
27,0,"365.867","192.823","972.66"
28,0,"365.586","192.621","972.626"
29,0,"365.258","192.411","972.585"
30,0,"365.004","192.21","972.55"
31,0,"364.734","192.015","972.518"
32,0,"364.488","191.809","972.463"
33,0,"364.252","191.616","972.42"
34,0,"364.006","191.438","972.36"
35,0,"363.794","191.262","972.33"
36,0,"363.596","191.08","972.273"
37,0,"363.419","190.895","972.189"
38,0,"363.286","190.743","972.132"
39,0,"363.154","190.588","972.069"
40,0,"363.046","190.433","971.999"
41,0,"362.988","190.297","971.955"
42,0,"362.92","190.164","971.893"
43,0,"362.881","190.041","971.85"
44,0,"362.837","189.91","971.793"
45,0,"362.807","189.782","971.726"
46,0,"362.786","189.677","971.669"
47,0,"362.814","189.575","971.595"
48,0,"362.887","189.486","971.521"
49,0,"362.936","189.401","971.415"
50,0,"362.971","189.305","971.292"
51,0,"363.015","189.225","971.165"
52,0,"363.097","189.165","971.055"
53,0,"363.171","189.124","970.957"
54,0,"363.252","189.086","970.827"
55,0,"363.332","189.058","970.707"
56,0,"363.468","189.043","970.564"
57,0,"363.574","189.026","970.416"
58,0,"363.68","189.003","970.247"
59,0,"363.831","188.997","970.106"
60,0,"364.005","189.021","969.975"
61,0,"364.185","189.028","969.827"
62,0,"364.332","189.032","969.683"
63,0,"364.484","189.04","969.567"
64,0,"364.607","189.014","969.414"
65,0,"364.703","188.987","969.28"
66,0,"364.757","188.943","969.145"
67,0,"364.808","188.886","968.984"
68,0,"364.809","188.807","968.819"
69,0,"364.77","188.69","968.645"
70,0,"364.71","188.568","968.455"
71,0,"364.679","188.439","968.254"
72,0,"364.616","188.289","967.996"
73,0,"364.523","188.118","967.708"
74,0,"364.384","187.897","967.373"
75,0,"364.168","187.642","966.995"
76,0,"363.875","187.306","966.609"
77,0,"363.478","186.907","966.214"
78,0,"362.963","186.398","965.783"
79,0,"362.341","185.798","965.304"
80,0,"361.63","185.146","964.752"
81,0,"360.779","184.348","964.123"
82,0,"359.806","183.487","963.427"
83,0,"358.721","182.484","962.613"
84,0,"357.529","181.346","961.641"
85,0,"356.193","180.073","960.587"
86,0,"354.765","178.633","959.437"
87,0,"353.184","177.01","958.171"
88,0,"351.538","175.28","956.82"
89,0,"349.79","173.398","955.42"
90,0,"347.969","171.394","953.969"
91,0,"346.032","169.258","952.465"
92,0,"344.073","167.033","950.895"
93,0,"342.054","164.734","949.264"
94,0,"340.029","162.38","947.643"
95,0,"337.937","159.94","946.025"
96,0,"335.761","157.369","944.379"
97,0,"333.543","154.725","942.77"
98,0,"331.31","152.029","941.163"
99,0,"329.09","149.332","939.666"
100,0,"326.888","146.636","938.245"
101,0,"324.727","143.929","936.913"
102,0,"322.598","141.261","935.666"
103,0,"320.505","138.67","934.551"
104,0,"318.421","136.123","933.514"
105,0,"316.363","133.638","932.67"
106,0,"314.366","131.251","931.877"
107,0,"312.378","129.01","931.244"
108,0,"310.547","126.839","930.662"
109,0,"308.842","124.783","930.155"
110,0,"307.25","122.854","929.715"
111,0,"305.74","121.056","929.42"
112,0,"304.307","119.404","929.186"
113,0,"302.981","117.925","929.045"
114,0,"301.656","116.546","929.027"
115,0,"300.424","115.39","929.12"
116,0,"299.24","114.421","929.257"
117,0,"298.162","113.666","929.537"
118,0,"297.166","113.066","929.84"
119,0,"296.28","112.618","930.186"
120,0,"295.481","112.38","930.642"
121,0,"294.788","112.307","931.101"
122,0,"294.221","112.453","931.715"
123,0,"293.771","112.756","932.392"
124,0,"293.448","113.174","933.07"
125,0,"293.244","113.793","933.872"
126,0,"293.104","114.531","934.761"
127,0,"293.038","115.392","935.707"
128,0,"293.118","116.385","936.747"
129,0,"293.287","117.479","937.83"
130,0,"293.643","118.719","939"
131,0,"294.091","120.031","940.224"
132,0,"294.624","121.417","941.514"
133,0,"295.255","122.882","942.899"
134,0,"295.94","124.359","944.319"
135,0,"296.754","125.91","945.775"
136,0,"297.6","127.474","947.249"
137,0,"298.591","129.092","948.763"
138,0,"299.705","130.744","950.281"
139,0,"300.978","132.419","951.862"
140,0,"302.334","134.075","953.482"
141,0,"303.806","135.722","955.179"
142,0,"305.542","137.337","956.938"
143,0,"307.442","138.926","958.751"
144,0,"309.373","140.455","960.588"
145,0,"311.642","141.907","962.478"
146,0,"314.087","143.35","964.428"
147,0,"316.837","144.661","966.383"
148,0,"319.613","145.871","968.395"
149,0,"322.632","146.914","970.499"
150,0,"325.774","147.76","972.651"
151,0,"329.098","148.471","974.924"
152,0,"332.352","148.975","977.287"
153,0,"335.894","149.267","979.746"
154,0,"339.35","149.362","982.322"
155,0,"342.667","149.281","985.037"
156,0,"346.15","149.148","987.798"
157,0,"349.692","148.974","990.565"
158,0,"352.965","148.059","993.342"
159,0,"356.699","147.182","996.388"
160,0,"360.193","146.229","999.564"
161,0,"363.395","145.058","1002.77"
