Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (726)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"435.945","155.041","85.6194"
2,0,"435.925","155.033","85.6087"
3,0,"435.908","155.002","85.5916"
4,0,"435.895","155","85.5786"
5,0,"435.885","155.006","85.5633"
6,0,"435.863","155.007","85.5598"
7,0,"435.849","155.02","85.5487"
8,0,"435.822","155.027","85.5465"
9,0,"435.794","155.034","85.539"
10,0,"435.778","155.033","85.5414"
11,0,"435.756","155.025","85.5345"
12,0,"435.736","155.026","85.5179"
13,0,"435.72","155.029","85.5037"
14,0,"435.699","155.014","85.4953"
15,0,"435.681","155.016","85.4801"
16,0,"435.667","155.021","85.4698"
17,0,"435.653","155.021","85.4534"
18,0,"435.64","155.023","85.4476"
19,0,"435.634","155.039","85.4301"
20,0,"435.613","155.043","85.4226"
21,0,"435.589","155.059","85.4236"
22,0,"435.563","155.067","85.4207"
23,0,"435.529","155.063","85.4116"
24,0,"435.504","155.064","85.4066"
25,0,"435.489","155.089","85.4029"
26,0,"435.467","155.088","85.3785"
27,0,"435.447","155.084","85.3388"
28,0,"435.409","155.091","85.3113"
29,0,"435.385","155.094","85.2872"
30,0,"435.357","155.09","85.2788"
31,0,"435.343","155.077","85.2817"
32,0,"435.345","155.058","85.2979"
33,0,"435.345","155.063","85.3287"
34,0,"435.33","155.052","85.3413"
35,0,"435.313","155.032","85.365"
36,0,"435.292","155.011","85.3658"
37,0,"435.283","154.993","85.3625"
38,0,"435.283","154.966","85.351"
39,0,"435.29","154.945","85.3451"
40,0,"435.298","154.917","85.3482"
41,0,"435.3","154.894","85.3442"
42,0,"435.307","154.885","85.3455"
43,0,"435.314","154.87","85.3586"
44,0,"435.303","154.849","85.3789"
45,0,"435.309","154.836","85.3995"
46,0,"435.306","154.818","85.4234"
47,0,"435.307","154.787","85.4463"
48,0,"435.324","154.756","85.4745"
49,0,"435.336","154.728","85.4991"
50,0,"435.359","154.699","85.5076"
51,0,"435.384","154.662","85.5175"
52,0,"435.409","154.622","85.5451"
53,0,"435.439","154.595","85.5729"
54,0,"435.477","154.58","85.5967"
55,0,"435.504","154.57","85.6249"
56,0,"435.512","154.562","85.6588"
57,0,"435.522","154.557","85.6785"
58,0,"435.528","154.563","85.6999"
59,0,"435.518","154.556","85.7239"
60,0,"435.512","154.541","85.735"
61,0,"435.511","154.541","85.7495"
62,0,"435.503","154.532","85.7669"
63,0,"435.512","154.528","85.7645"
64,0,"435.509","154.517","85.7572"
65,0,"435.515","154.515","85.7369"
66,0,"435.533","154.515","85.7145"
67,0,"435.539","154.531","85.69"
68,0,"435.535","154.557","85.6836"
69,0,"435.541","154.628","85.6724"
70,0,"435.549","154.716","85.6546"
71,0,"435.567","154.833","85.6125"
72,0,"435.604","154.883","85.6055"
73,0,"435.649","154.805","85.6446"
74,0,"435.748","154.707","85.6719"
75,0,"435.839","154.61","85.6778"
76,0,"435.859","154.475","85.7118"
77,0,"435.871","154.308","85.7457"
78,0,"435.853","154.034","85.8888"
79,0,"435.811","153.896","85.9838"
80,0,"435.793","153.9","85.9855"
81,0,"435.721","153.848","85.9818"
82,0,"435.642","153.816","85.9275"
83,0,"435.563","153.735","85.9179"
84,0,"435.47","153.67","85.8983"
85,0,"435.394","153.638","85.8152"
86,0,"435.302","153.495","85.781"
87,0,"435.204","153.425","85.676"
88,0,"435.106","153.336","85.5734"
89,0,"435.006","153.253","85.4659"
90,0,"434.881","153.157","85.367"
91,0,"434.75","153.005","85.2624"
92,0,"434.596","152.835","85.1384"
93,0,"434.391","152.695","84.9715"
94,0,"434.171","152.571","84.7855"
95,0,"433.933","152.398","84.6003"
96,0,"433.713","152.373","84.3746"
97,0,"433.494","152.439","84.165"
98,0,"433.251","152.648","83.8569"
99,0,"432.919","152.663","83.5876"
100,0,"432.677","152.454","83.418"
101,0,"432.413","152.471","83.1984"
102,0,"432.059","152.979","82.8076"
103,0,"431.766","153.109","82.5797"
104,0,"431.57","152.966","82.4449"
105,0,"431.313","153.335","82.1045"
106,0,"430.91","153.652","81.7882"
107,0,"430.578","153.915","81.5259"
108,0,"430.37","154.181","81.233"
109,0,"430.256","154.496","80.9418"
110,0,"430.022","154.673","80.7198"
111,0,"429.856","154.859","80.5373"
112,0,"429.67","154.996","80.3857"
113,0,"429.577","155.143","80.2724"
114,0,"429.516","155.259","80.1978"
115,0,"429.491","155.336","80.1468"
116,0,"429.497","155.369","80.1354"
117,0,"429.49","155.338","80.1118"
118,0,"429.48","155.338","80.0941"
119,0,"429.499","155.398","80.0903"
120,0,"429.503","155.438","80.1014"
121,0,"429.531","155.472","80.0973"
122,0,"429.555","155.494","80.1113"
123,0,"429.567","155.533","80.1022"
124,0,"429.574","155.581","80.0863"
125,0,"429.604","155.68","80.077"
126,0,"429.611","155.774","80.0755"
127,0,"429.625","155.894","80.0944"
128,0,"429.661","156.006","80.1099"
129,0,"429.681","156.103","80.149"
130,0,"429.702","156.22","80.1924"
131,0,"429.751","156.35","80.2158"
132,0,"429.827","156.525","80.2309"
133,0,"429.88","156.642","80.238"
134,0,"429.94","156.75","80.2158"
135,0,"430.006","156.876","80.1825"
136,0,"430.072","157.043","80.1497"
137,0,"430.135","157.149","80.1141"
138,0,"430.203","157.332","80.069"
139,0,"430.293","157.508","80.089"
140,0,"430.332","157.7","80.0622"
141,0,"430.405","157.844","80.0906"
142,0,"430.464","158.036","80.076"
143,0,"430.563","158.181","80.0702"
144,0,"430.714","158.358","80.0782"
145,0,"430.812","158.564","80.062"
146,0,"430.975","158.664","80.0715"
147,0,"431.13","158.757","80.1156"
148,0,"431.26","158.879","80.1441"
149,0,"431.412","158.956","80.2033"
150,0,"431.578","159.131","80.2138"
151,0,"431.723","159.231","80.2536"
152,0,"430.866","160.449","81.2534"
153,0,"431.874","159.792","80.615"
154,0,"431.913","159.875","80.6026"
