Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (736)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"448.083","-67.6547","904.723"
2,0,"447.988","-67.6835","904.716"
3,0,"447.874","-67.7134","904.697"
4,0,"447.746","-67.7509","904.698"
5,0,"447.589","-67.7773","904.698"
6,0,"447.409","-67.8077","904.696"
7,0,"447.225","-67.8492","904.716"
8,0,"447.041","-67.9412","904.712"
9,0,"446.833","-68.0238","904.724"
10,0,"446.617","-68.1233","904.739"
11,0,"446.402","-68.2231","904.757"
12,0,"446.178","-68.3388","904.774"
13,0,"445.948","-68.4536","904.787"
14,0,"445.704","-68.593","904.794"
15,0,"445.434","-68.7241","904.785"
16,0,"445.156","-68.8502","904.777"
17,0,"444.873","-68.9893","904.763"
18,0,"444.599","-69.1069","904.74"
19,0,"444.338","-69.2765","904.718"
20,0,"444.059","-69.4359","904.696"
21,0,"443.78","-69.6236","904.69"
22,0,"443.517","-69.8388","904.67"
23,0,"443.247","-70.0108","904.644"
24,0,"442.981","-70.2122","904.625"
25,0,"442.732","-70.4698","904.565"
26,0,"442.459","-70.6571","904.538"
27,0,"442.199","-70.8841","904.517"
28,0,"441.927","-71.0676","904.492"
29,0,"441.672","-71.2267","904.477"
30,0,"441.407","-71.3968","904.464"
31,0,"441.155","-71.618","904.436"
32,0,"440.896","-71.8236","904.438"
33,0,"440.684","-72.0225","904.433"
34,0,"440.496","-72.2048","904.439"
35,0,"440.332","-72.4385","904.424"
36,0,"440.165","-72.6337","904.423"
37,0,"440.011","-72.8479","904.402"
38,0,"439.881","-73.0534","904.379"
39,0,"439.75","-73.215","904.361"
40,0,"439.649","-73.3966","904.305"
41,0,"439.543","-73.5346","904.268"
42,0,"439.473","-73.6791","904.223"
43,0,"439.416","-73.8291","904.195"
44,0,"439.378","-73.9629","904.148"
45,0,"439.366","-74.0966","904.097"
46,0,"439.382","-74.2217","904.023"
47,0,"439.426","-74.3689","903.93"
48,0,"439.462","-74.4695","903.852"
49,0,"439.504","-74.5718","903.773"
50,0,"439.562","-74.6639","903.691"
51,0,"439.639","-74.7654","903.565"
52,0,"439.702","-74.8118","903.457"
53,0,"439.79","-74.8735","903.354"
54,0,"439.789","-74.7279","903.333"
55,0,"440.09","-75.1524","903.154"
56,0,"440.092","-74.8212","903.09"
57,0,"440.194","-74.8418","903.012"
58,0,"440.318","-74.8411","902.908"
59,0,"440.462","-74.8166","902.78"
60,0,"440.569","-74.7652","902.672"
61,0,"440.704","-74.6943","902.52"
62,0,"441.034","-75.1233","902.295"
63,0,"441.165","-75.1205","902.139"
64,0,"441.303","-75.1274","901.976"
65,0,"441.432","-75.1295","901.811"
66,0,"441.555","-75.1357","901.638"
67,0,"441.659","-75.1497","901.467"
68,0,"441.792","-75.1478","901.292"
69,0,"441.96","-75.1753","901.161"
70,0,"442.089","-75.2269","901.059"
71,0,"442.179","-75.3024","900.992"
72,0,"442.227","-75.43","900.943"
73,0,"442.221","-75.6407","900.908"
74,0,"442.139","-75.879","900.879"
75,0,"442.015","-76.1808","900.867"
76,0,"441.851","-76.5223","900.862"
77,0,"441.675","-76.9117","900.901"
78,0,"441.503","-77.3633","900.984"
79,0,"441.326","-77.8846","901.107"
80,0,"441.119","-78.5017","901.317"
81,0,"440.825","-79.2056","901.627"
82,0,"440.472","-80.0076","902.003"
83,0,"440.036","-81.0048","902.441"
84,0,"439.512","-82.1757","902.965"
85,0,"438.887","-83.4653","903.599"
86,0,"438.214","-84.9322","904.307"
87,0,"437.438","-86.5537","905.064"
88,0,"436.569","-88.2997","905.941"
89,0,"435.599","-90.0885","906.878"
90,0,"434.512","-91.9964","907.882"
91,0,"433.235","-94.0016","908.998"
92,0,"431.845","-96.1528","910.224"
93,0,"430.321","-98.4291","911.674"
94,0,"428.725","-100.886","913.273"
95,0,"427.041","-103.405","915.019"
96,0,"425.303","-106.07","916.822"
97,0,"423.459","-108.814","918.613"
98,0,"421.403","-111.249","920.357"
99,0,"419.327","-113.988","922.03"
100,0,"417.212","-116.907","923.75"
101,0,"415.045","-119.854","925.528"
102,0,"412.775","-122.71","927.307"
103,0,"410.373","-125.534","928.964"
104,0,"407.828","-128.241","930.51"
105,0,"405.239","-130.894","931.886"
106,0,"402.631","-133.514","933.028"
107,0,"400.05","-135.996","934.06"
108,0,"397.544","-138.322","935.065"
109,0,"395.072","-140.584","935.912"
110,0,"392.561","-142.842","936.438"
111,0,"389.938","-145","936.586"
112,0,"387.245","-147.117","936.278"
113,0,"384.516","-149.105","935.559"
114,0,"381.804","-150.915","934.489"
115,0,"379.088","-152.583","932.953"
116,0,"376.274","-154.061","930.953"
117,0,"373.426","-155.365","928.423"
118,0,"370.515","-156.466","925.394"
119,0,"367.592","-157.457","921.657"
120,0,"364.378","-157.814","918.096"
121,0,"361.341","-158.142","913.764"
122,0,"358.28","-158.093","909.139"
123,0,"355.255","-157.799","904.143"
124,0,"352.261","-157.169","898.844"
125,0,"349.228","-156.175","893.267"
126,0,"346.112","-154.78","887.472"
127,0,"343.274","-152.957","881.18"
128,0,"339.73","-150.983","875.103"
129,0,"336.495","-148.536","868.649"
130,0,"333.334","-145.654","862.064"
131,0,"330.202","-142.313","855.527"
132,0,"327.086","-138.627","848.983"
133,0,"323.875","-134.338","842.484"
134,0,"320.904","-129.698","835.85"
135,0,"318.003","-124.673","829.34"
136,0,"315.19","-119.308","822.972"
137,0,"312.329","-113.733","816.712"
138,0,"309.497","-107.848","810.667"
139,0,"306.707","-101.68","804.807"
140,0,"304.052","-95.2587","799.027"
141,0,"301.461","-88.4532","793.497"
142,0,"298.944","-81.3125","788.174"
143,0,"296.523","-73.9728","783.137"
144,0,"294.228","-66.4583","778.388"
145,0,"291.981","-58.8056","773.878"
146,0,"289.812","-51.0187","769.63"
147,0,"287.683","-43.0653","765.671"
148,0,"285.65","-34.9333","762.016"
