Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (732)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"nan","nan","nan"
2,0,"nan","nan","nan"
3,0,"nan","nan","nan"
4,0,"nan","nan","nan"
5,0,"nan","nan","nan"
6,0,"nan","nan","nan"
7,0,"nan","nan","nan"
8,0,"nan","nan","nan"
9,0,"nan","nan","nan"
10,0,"nan","nan","nan"
11,0,"nan","nan","nan"
12,0,"nan","nan","nan"
13,0,"nan","nan","nan"
14,0,"nan","nan","nan"
15,0,"nan","nan","nan"
16,0,"nan","nan","nan"
17,0,"nan","nan","nan"
18,0,"nan","nan","nan"
19,0,"nan","nan","nan"
20,0,"nan","nan","nan"
21,0,"nan","nan","nan"
22,0,"nan","nan","nan"
23,0,"nan","nan","nan"
24,0,"nan","nan","nan"
25,0,"nan","nan","nan"
26,0,"nan","nan","nan"
27,0,"nan","nan","nan"
28,0,"nan","nan","nan"
29,0,"nan","nan","nan"
30,0,"nan","nan","nan"
31,0,"nan","nan","nan"
32,0,"nan","nan","nan"
33,0,"nan","nan","nan"
34,0,"nan","nan","nan"
35,0,"nan","nan","nan"
36,0,"nan","nan","nan"
37,0,"nan","nan","nan"
38,0,"nan","nan","nan"
39,0,"nan","nan","nan"
40,0,"nan","nan","nan"
41,0,"nan","nan","nan"
42,0,"nan","nan","nan"
43,0,"nan","nan","nan"
44,0,"nan","nan","nan"
45,0,"nan","nan","nan"
46,0,"nan","nan","nan"
47,0,"nan","nan","nan"
48,0,"nan","nan","nan"
49,0,"nan","nan","nan"
50,0,"nan","nan","nan"
51,0,"nan","nan","nan"
52,0,"nan","nan","nan"
53,0,"nan","nan","nan"
54,0,"nan","nan","nan"
55,0,"nan","nan","nan"
56,0,"nan","nan","nan"
57,0,"nan","nan","nan"
58,0,"nan","nan","nan"
59,0,"nan","nan","nan"
60,0,"nan","nan","nan"
61,0,"nan","nan","nan"
62,0,"nan","nan","nan"
63,0,"nan","nan","nan"
64,0,"nan","nan","nan"
65,0,"nan","nan","nan"
66,0,"nan","nan","nan"
67,0,"nan","nan","nan"
68,0,"nan","nan","nan"
69,0,"nan","nan","nan"
70,0,"nan","nan","nan"
71,0,"nan","nan","nan"
72,0,"nan","nan","nan"
73,0,"nan","nan","nan"
74,0,"nan","nan","nan"
75,0,"nan","nan","nan"
76,0,"nan","nan","nan"
77,0,"nan","nan","nan"
78,0,"nan","nan","nan"
79,0,"nan","nan","nan"
80,0,"nan","nan","nan"
81,0,"nan","nan","nan"
82,0,"nan","nan","nan"
83,0,"nan","nan","nan"
84,0,"nan","nan","nan"
85,0,"nan","nan","nan"
86,0,"nan","nan","nan"
87,0,"nan","nan","nan"
88,0,"nan","nan","nan"
89,0,"nan","nan","nan"
90,0,"nan","nan","nan"
91,0,"nan","nan","nan"
92,0,"nan","nan","nan"
93,0,"nan","nan","nan"
94,0,"nan","nan","nan"
95,0,"nan","nan","nan"
96,0,"nan","nan","nan"
97,0,"nan","nan","nan"
98,0,"nan","nan","nan"
99,0,"nan","nan","nan"
100,0,"nan","nan","nan"
101,0,"nan","nan","nan"
102,0,"nan","nan","nan"
103,0,"nan","nan","nan"
104,0,"nan","nan","nan"
105,0,"nan","nan","nan"
106,0,"nan","nan","nan"
107,0,"nan","nan","nan"
108,0,"nan","nan","nan"
109,0,"nan","nan","nan"
110,0,"nan","nan","nan"
111,0,"nan","nan","nan"
112,0,"nan","nan","nan"
113,0,"nan","nan","nan"
114,0,"nan","nan","nan"
115,0,"nan","nan","nan"
116,0,"nan","nan","nan"
117,0,"nan","nan","nan"
118,0,"nan","nan","nan"
119,0,"nan","nan","nan"
120,0,"nan","nan","nan"
121,0,"nan","nan","nan"
122,0,"nan","nan","nan"
123,0,"nan","nan","nan"
124,0,"nan","nan","nan"
125,0,"nan","nan","nan"
126,0,"402.499","104.733","950.607"
127,0,"403.122","104.942","951.364"
128,0,"403.451","105.255","951.641"
129,0,"403.802","105.652","951.834"
130,0,"404.199","105.977","951.981"
131,0,"404.512","106.314","952.175"
132,0,"404.988","106.622","952.347"
133,0,"405.507","106.888","952.597"
134,0,"406.097","107.045","952.87"
135,0,"406.672","107.237","953.079"
136,0,"407.389","107.426","953.294"
137,0,"408.118","107.531","953.511"
138,0,"408.916","107.677","953.646"
139,0,"409.81","107.823","953.786"
140,0,"410.713","107.868","953.908"
141,0,"411.754","107.937","954.032"
142,0,"412.852","107.94","954.221"
143,0,"414.053","107.964","954.393"
144,0,"415.318","107.88","954.609"
145,0,"416.732","107.771","954.719"
146,0,"418.175","107.573","954.918"
147,0,"419.808","107.308","955.096"
148,0,"421.507","106.851","955.354"
149,0,"423.322","106.387","955.533"
150,0,"425.219","105.75","955.768"
151,0,"427.231","105.052","956.003"
152,0,"429.34","104.181","956.162"
153,0,"431.52","103.169","956.356"
154,0,"433.77","102.027","956.542"
155,0,"436.05","100.694","956.743"
156,0,"438.468","99.2227","956.893"
157,0,"440.909","97.6152","957.112"
158,0,"443.376","95.8357","957.374"
159,0,"445.799","93.9866","957.759"
160,0,"448.229","92.0758","958.302"
161,0,"450.709","90.167","959"
162,0,"453.232","88.1822","959.837"
163,0,"455.765","86.2658","960.833"
164,0,"458.184","84.2317","962.004"
165,0,"460.465","82.1442","963.166"
166,0,"462.658","80.1464","964.045"
167,0,"464.341","78.1398","965.059"
168,0,"466.096","75.7135","965.898"
169,0,"467.909","73.0273","966.631"
170,0,"469.71","70.2846","967.354"
171,0,"471.569","67.5546","968.076"
172,0,"473.4","64.8338","968.845"
173,0,"475.201","62.1164","969.658"
174,0,"476.979","59.4695","970.492"
175,0,"478.712","56.8465","971.367"
176,0,"480.427","54.3281","972.241"
177,0,"482.005","51.9841","973.042"
178,0,"483.482","49.6626","973.864"
179,0,"484.909","47.4512","974.712"
180,0,"486.272","45.3283","975.481"
181,0,"487.502","43.1532","976.027"
