Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"505.428","32.1923","420.29"
2,0,"505.295","32.1806","420.278"
3,0,"505.137","32.0716","420.328"
4,0,"505.02","32.0508","420.343"
5,0,"504.856","31.9775","420.383"
6,0,"504.755","32.0281","420.379"
7,0,"504.603","32.0322","420.4"
8,0,"504.497","32.0988","420.373"
9,0,"504.349","32.0853","420.39"
10,0,"504.237","32.097","420.375"
11,0,"504.109","32.0956","420.367"
12,0,"503.983","32.0753","420.372"
13,0,"503.858","32.0673","420.378"
14,0,"503.697","32.0165","420.418"
15,0,"503.553","31.9849","420.451"
16,0,"503.437","32.0306","420.441"
17,0,"503.271","32.0264","420.468"
18,0,"503.128","32.0204","420.485"
19,0,"502.987","32.0274","420.488"
20,0,"502.826","32.0539","420.48"
21,0,"502.604","32.0412","420.493"
22,0,"502.399","32.078","420.489"
23,0,"502.207","32.0823","420.522"
24,0,"502.073","32.1806","420.515"
25,0,"501.928","32.2249","420.517"
26,0,"501.763","32.2484","420.517"
27,0,"501.582","32.2698","420.513"
28,0,"501.46","32.3461","420.467"
29,0,"501.335","32.3822","420.427"
30,0,"501.261","32.3835","420.415"
31,0,"501.231","32.3658","420.417"
32,0,"501.224","32.3598","420.418"
33,0,"501.208","32.3169","420.425"
34,0,"501.188","32.2775","420.423"
35,0,"501.158","32.2104","420.416"
36,0,"501.145","32.1322","420.403"
37,0,"501.151","32.0025","420.394"
38,0,"501.164","31.844","420.393"
39,0,"501.221","31.7063","420.353"
40,0,"501.275","31.5328","420.326"
41,0,"501.311","31.2943","420.316"
42,0,"501.343","31.0894","420.312"
43,0,"501.385","30.9463","420.279"
44,0,"501.372","30.7507","420.274"
45,0,"501.396","30.5728","420.268"
46,0,"501.455","30.3994","420.25"
47,0,"501.532","30.1895","420.248"
48,0,"501.669","30.0468","420.214"
49,0,"501.769","29.8427","420.201"
50,0,"501.892","29.6596","420.175"
51,0,"502.028","29.4957","420.131"
52,0,"502.153","29.3078","420.106"
53,0,"502.303","29.1527","420.087"
54,0,"502.425","28.9961","420.075"
55,0,"502.51","28.8838","420.068"
56,0,"502.537","28.7731","420.073"
57,0,"502.53","28.6863","420.088"
58,0,"502.517","28.5955","420.101"
59,0,"502.524","28.5181","420.117"
60,0,"502.554","28.4474","420.121"
61,0,"502.575","28.3713","420.126"
62,0,"502.615","28.2783","420.123"
63,0,"502.655","28.1949","420.13"
64,0,"502.697","28.1096","420.156"
65,0,"502.738","27.9919","420.192"
66,0,"502.784","27.8472","420.294"
67,0,"502.902","27.7144","420.46"
68,0,"503.095","27.4586","420.873"
69,0,"503.277","26.8146","421.576"
70,0,"503.67","26.1838","422.305"
71,0,"503.909","25.0807","423.142"
72,0,"504.038","23.6503","423.885"
73,0,"504.042","22.11","424.488"
74,0,"503.994","20.7157","424.744"
75,0,"503.765","19.0943","424.835"
76,0,"503.473","17.2848","424.989"
77,0,"503.155","15.3285","425.201"
78,0,"502.852","13.4028","425.33"
79,0,"502.463","11.5274","425.402"
80,0,"501.932","9.69874","425.402"
81,0,"501.382","8.02917","425.318"
82,0,"500.695","6.38108","425.249"
83,0,"499.951","4.79965","425.09"
84,0,"499.16","3.2156","424.895"
85,0,"498.388","1.78634","424.638"
86,0,"497.606","0.405354","424.34"
87,0,"496.896","-0.979521","424.085"
88,0,"496.151","-2.37465","423.832"
89,0,"495.469","-3.81771","423.655"
90,0,"494.84","-5.18064","423.598"
91,0,"494.276","-6.70743","423.831"
92,0,"493.633","-8.25007","424.102"
93,0,"493.17","-9.22759","423.993"
94,0,"492.779","-9.99425","423.846"
95,0,"492.466","-10.5968","423.763"
96,0,"492.127","-11.1319","423.788"
97,0,"491.733","-11.1442","423.654"
98,0,"491.131","-10.9664","423.575"
99,0,"490.396","-10.4724","423.478"
100,0,"489.507","-9.87939","423.485"
101,0,"488.53","-8.94106","423.466"
102,0,"487.348","-7.93742","423.489"
103,0,"486.077","-6.80143","423.538"
104,0,"484.596","-5.57126","423.527"
105,0,"483.069","-4.38328","423.606"
106,0,"481.534","-3.2321","423.648"
107,0,"480.033","-2.18016","423.698"
108,0,"478.561","-1.22355","423.706"
109,0,"477.16","-0.503312","423.788"
110,0,"475.707","0.146013","423.751"
111,0,"474.297","0.611754","423.755"
112,0,"472.9","0.852202","423.799"
113,0,"471.645","1.01305","423.78"
114,0,"470.54","1.08335","423.74"
115,0,"469.538","0.882379","423.824"
116,0,"468.698","0.793133","423.84"
117,0,"467.989","0.62383","423.972"
118,0,"467.37","0.416537","424.116"
119,0,"466.817","0.331424","424.221"
120,0,"466.219","0.327385","424.241"
121,0,"465.632","0.412364","424.29"
122,0,"465.033","0.471883","424.447"
123,0,"464.454","0.616148","424.641"
124,0,"463.829","0.846565","424.809"
125,0,"463.131","1.17234","424.919"
126,0,"462.401","1.63913","425.047"
127,0,"461.617","2.06987","425.233"
128,0,"460.898","2.47317","425.444"
129,0,"460.41","3.03213","425.624"
130,0,"459.936","3.48796","425.843"
131,0,"459.584","4.03198","425.958"
132,0,"459.236","4.49842","426.065"
133,0,"458.907","4.95282","426.19"
134,0,"458.562","5.36175","426.295"
135,0,"458.283","5.71937","426.399"
136,0,"458.158","6.13629","426.457"
137,0,"458.039","6.4224","426.564"
138,0,"457.93","6.69563","426.621"
139,0,"457.853","7.06717","426.598"
140,0,"457.765","7.39853","426.585"
141,0,"457.716","7.71","426.554"
142,0,"457.683","7.88948","426.573"
143,0,"457.689","7.96642","426.581"
144,0,"457.581","8.03414","426.503"
145,0,"458.315","7.8643","426.774"
146,0,"458.257","7.76807","426.704"
147,0,"458.831","7.50992","426.994"
148,0,"457.666","7.48852","426.337"
149,0,"457.479","7.12335","426.218"
150,0,"457.35","6.66455","426.05"
151,0,"457.18","6.04654","425.908"
152,0,"457.157","5.51848","425.688"
