Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (723)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"429.444","54.9549","1300.99"
2,0,"429.287","54.8826","1300.99"
3,0,"429.116","54.7926","1301"
4,0,"428.945","54.7065","1301.01"
5,0,"428.773","54.6151","1301.01"
6,0,"428.596","54.528","1301.03"
7,0,"428.416","54.4247","1301.04"
8,0,"428.217","54.2862","1301.06"
9,0,"427.998","54.1314","1301.07"
10,0,"427.805","53.9945","1301.07"
11,0,"427.586","53.8363","1301.09"
12,0,"427.388","53.6859","1301.08"
13,0,"427.162","53.5275","1301.09"
14,0,"426.943","53.368","1301.08"
15,0,"426.734","53.2033","1301.06"
16,0,"426.51","53.0324","1301.02"
17,0,"426.272","52.8551","1301.01"
18,0,"426.033","52.6735","1301"
19,0,"425.797","52.475","1300.98"
20,0,"425.558","52.268","1300.96"
21,0,"425.302","52.0632","1300.95"
22,0,"425.056","51.8635","1300.95"
23,0,"424.815","51.6915","1300.95"
24,0,"424.578","51.4966","1300.92"
25,0,"424.313","51.3028","1300.9"
26,0,"424.053","51.1078","1300.87"
27,0,"423.816","50.9176","1300.85"
28,0,"423.601","50.7558","1300.82"
29,0,"423.378","50.5623","1300.78"
30,0,"423.141","50.3686","1300.75"
31,0,"422.916","50.1762","1300.69"
32,0,"422.703","50.0068","1300.65"
33,0,"422.488","49.8405","1300.62"
34,0,"422.319","49.6698","1300.56"
35,0,"422.149","49.5252","1300.51"
36,0,"421.998","49.391","1300.46"
37,0,"421.877","49.2406","1300.39"
38,0,"421.762","49.0955","1300.32"
39,0,"421.652","48.9648","1300.25"
40,0,"421.551","48.8449","1300.19"
41,0,"421.472","48.7383","1300.14"
42,0,"421.404","48.6427","1300.09"
43,0,"421.331","48.5569","1300.06"
44,0,"421.268","48.4782","1300.02"
45,0,"421.223","48.3982","1299.98"
46,0,"421.173","48.3321","1299.93"
47,0,"421.128","48.27","1299.88"
48,0,"421.088","48.2228","1299.81"
49,0,"421.062","48.1944","1299.73"
50,0,"421.022","48.16","1299.65"
51,0,"420.98","48.1263","1299.55"
52,0,"420.94","48.0936","1299.46"
53,0,"420.912","48.0504","1299.34"
54,0,"420.865","48.0116","1299.23"
55,0,"420.833","47.966","1299.12"
56,0,"420.807","47.9308","1299"
57,0,"420.769","47.8894","1298.88"
58,0,"420.731","47.8489","1298.77"
59,0,"420.673","47.8314","1298.66"
60,0,"420.62","47.8183","1298.52"
61,0,"420.54","47.81","1298.41"
62,0,"420.465","47.7986","1298.27"
63,0,"420.372","47.7725","1298.13"
64,0,"420.275","47.7335","1297.99"
65,0,"420.163","47.7232","1297.86"
66,0,"420.04","47.706","1297.72"
67,0,"419.898","47.6915","1297.6"
68,0,"419.721","47.6776","1297.47"
69,0,"419.539","47.6833","1297.33"
70,0,"419.296","47.6871","1297.19"
71,0,"419.039","47.6755","1297.02"
72,0,"418.76","47.668","1296.8"
73,0,"418.372","47.6681","1296.57"
74,0,"417.977","47.6836","1296.27"
75,0,"417.557","47.7066","1295.94"
76,0,"417.082","47.7928","1295.58"
77,0,"416.546","47.894","1295.23"
78,0,"415.934","48.0152","1294.91"
79,0,"415.195","48.2142","1294.64"
80,0,"414.382","48.4905","1294.38"
81,0,"413.502","48.8475","1294.08"
82,0,"412.564","49.2405","1293.72"
83,0,"411.481","49.6585","1293.36"
84,0,"410.388","50.1478","1292.94"
85,0,"409.186","50.7194","1292.47"
86,0,"407.864","51.3316","1291.97"
87,0,"406.497","52.018","1291.41"
88,0,"404.92","52.7878","1290.89"
89,0,"403.315","53.6314","1290.33"
90,0,"401.491","54.5361","1289.83"
91,0,"399.679","55.5188","1289.29"
92,0,"397.777","56.5546","1288.76"
93,0,"395.758","57.6384","1288.23"
94,0,"393.714","58.7737","1287.66"
95,0,"391.575","59.9895","1287.1"
96,0,"389.39","61.2615","1286.51"
97,0,"387.132","62.5875","1285.93"
98,0,"384.799","64.0221","1285.35"
99,0,"382.374","65.5152","1284.84"
100,0,"379.941","67.012","1284.37"
101,0,"377.489","68.5324","1283.97"
102,0,"375.066","70.0284","1283.63"
103,0,"372.631","71.463","1283.4"
104,0,"370.245","72.8746","1283.22"
105,0,"367.866","74.1675","1283.12"
106,0,"365.519","75.4318","1283.09"
107,0,"363.237","76.6291","1283.09"
108,0,"361.006","77.7071","1283.12"
109,0,"358.836","78.685","1283.15"
110,0,"356.735","79.4562","1283.2"
111,0,"354.776","80.1316","1283.25"
112,0,"352.838","80.6188","1283.34"
113,0,"351.026","80.9418","1283.46"
114,0,"349.361","81.1206","1283.54"
115,0,"347.757","81.1264","1283.63"
116,0,"346.236","80.9482","1283.74"
117,0,"344.824","80.5599","1283.85"
118,0,"343.526","79.999","1283.97"
119,0,"342.352","79.2277","1284.11"
120,0,"341.289","78.2466","1284.29"
121,0,"340.353","77.078","1284.44"
122,0,"339.483","75.7449","1284.62"
123,0,"338.672","74.2877","1284.87"
124,0,"337.966","72.6849","1285.12"
125,0,"337.301","71.0048","1285.42"
126,0,"336.727","69.2466","1285.71"
127,0,"336.214","67.4548","1286.01"
128,0,"335.72","65.5718","1286.31"
129,0,"335.337","63.6176","1286.61"
130,0,"334.969","61.562","1286.96"
131,0,"334.74","59.4308","1287.25"
132,0,"334.523","57.1433","1287.55"
133,0,"334.344","54.6938","1287.74"
134,0,"334.242","52.0808","1287.88"
135,0,"334.336","49.4299","1287.94"
136,0,"334.836","46.9499","1288.02"
137,0,"335.265","44.3231","1288.16"
138,0,"335.572","41.2876","1288.24"
139,0,"335.988","38.1492","1288.27"
140,0,"336.458","34.8552","1288.31"
141,0,"337.079","31.4988","1288.32"
142,0,"337.844","28.0905","1288.29"
143,0,"338.69","24.572","1288.23"
144,0,"339.655","20.9619","1288.1"
145,0,"340.761","17.2509","1287.92"
146,0,"341.975","13.3806","1287.69"
