Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (510)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"635.379","-3.50847","1242.3"
2,0,"635.407","-3.58307","1242.33"
3,0,"635.418","-3.64429","1242.33"
4,0,"635.424","-3.70183","1242.34"
5,0,"635.422","-3.75376","1242.34"
6,0,"635.397","-3.79821","1242.34"
7,0,"635.378","-3.8339","1242.35"
8,0,"635.353","-3.87572","1242.39"
9,0,"635.322","-3.91698","1242.44"
10,0,"635.3","-3.9605","1242.51"
11,0,"635.294","-4.00828","1242.59"
12,0,"635.27","-4.03871","1242.66"
13,0,"635.252","-4.0786","1242.73"
14,0,"635.224","-4.10913","1242.79"
15,0,"635.216","-4.14661","1242.84"
16,0,"635.2","-4.17384","1242.87"
17,0,"635.191","-4.19727","1242.9"
18,0,"635.169","-4.20993","1242.93"
19,0,"635.159","-4.23133","1242.94"
20,0,"635.148","-4.24718","1242.96"
21,0,"635.131","-4.25582","1242.97"
22,0,"635.11","-4.27572","1242.97"
23,0,"635.109","-4.29324","1242.98"
24,0,"635.1","-4.31892","1242.99"
25,0,"635.092","-4.34069","1243.01"
26,0,"635.093","-4.37165","1243.02"
27,0,"635.086","-4.38748","1243.04"
28,0,"635.082","-4.41745","1243.07"
29,0,"635.077","-4.43995","1243.11"
30,0,"635.078","-4.45764","1243.15"
31,0,"635.084","-4.47428","1243.19"
32,0,"635.089","-4.47931","1243.23"
33,0,"635.103","-4.49451","1243.28"
34,0,"635.126","-4.49717","1243.32"
35,0,"635.144","-4.50938","1243.35"
36,0,"635.179","-4.51581","1243.38"
37,0,"635.204","-4.52576","1243.4"
38,0,"635.241","-4.5282","1243.41"
39,0,"635.273","-4.52912","1243.43"
40,0,"635.309","-4.5378","1243.43"
41,0,"635.335","-4.5415","1243.45"
42,0,"635.361","-4.55492","1243.47"
43,0,"635.384","-4.5602","1243.47"
44,0,"635.407","-4.5668","1243.49"
45,0,"635.444","-4.54543","1243.48"
46,0,"635.478","-4.50683","1243.47"
47,0,"635.513","-4.46643","1243.45"
48,0,"635.551","-4.43987","1243.44"
49,0,"635.594","-4.43128","1243.45"
50,0,"635.639","-4.43228","1243.44"
51,0,"635.692","-4.4419","1243.43"
52,0,"635.739","-4.44849","1243.43"
53,0,"635.79","-4.44375","1243.42"
54,0,"635.815","-4.43023","1243.39"
55,0,"635.833","-4.40184","1243.37"
56,0,"635.847","-4.36159","1243.36"
57,0,"635.858","-4.33028","1243.35"
58,0,"635.864","-4.30664","1243.36"
59,0,"635.864","-4.28585","1243.37"
60,0,"635.871","-4.26083","1243.4"
61,0,"635.878","-4.23795","1243.42"
62,0,"635.895","-4.21017","1243.44"
63,0,"635.906","-4.18189","1243.46"
64,0,"635.913","-4.14533","1243.46"
65,0,"635.916","-4.10901","1243.46"
66,0,"635.924","-4.06272","1243.46"
67,0,"635.938","-4.01628","1243.44"
68,0,"635.943","-3.96323","1243.43"
69,0,"635.952","-3.91646","1243.42"
70,0,"635.96","-3.87108","1243.4"
71,0,"635.969","-3.82616","1243.39"
72,0,"635.979","-3.78632","1243.38"
73,0,"635.99","-3.75261","1243.37"
74,0,"636.006","-3.72159","1243.36"
75,0,"636.023","-3.69466","1243.36"
76,0,"636.036","-3.65484","1243.36"
77,0,"636.048","-3.62156","1243.37"
78,0,"636.052","-3.58812","1243.39"
79,0,"636.062","-3.554","1243.39"
80,0,"636.068","-3.51994","1243.4"
81,0,"636.075","-3.49606","1243.41"
82,0,"636.087","-3.47238","1243.41"
83,0,"636.094","-3.45107","1243.41"
84,0,"636.106","-3.42529","1243.42"
85,0,"636.114","-3.40206","1243.42"
86,0,"636.119","-3.37603","1243.42"
87,0,"636.129","-3.34902","1243.42"
88,0,"636.123","-3.32385","1243.41"
89,0,"636.126","-3.30683","1243.42"
90,0,"636.131","-3.29746","1243.43"
91,0,"636.118","-3.29551","1243.42"
92,0,"636.11","-3.29795","1243.42"
93,0,"636.109","-3.28692","1243.4"
94,0,"636.105","-3.25647","1243.36"
95,0,"636.103","-3.22776","1243.32"
96,0,"636.096","-3.2118","1243.28"
97,0,"636.1","-3.20524","1243.25"
98,0,"636.101","-3.2196","1243.21"
99,0,"636.113","-3.23239","1243.18"
100,0,"636.139","-3.24805","1243.14"
101,0,"636.147","-3.26468","1243.1"
102,0,"636.143","-3.2755","1243.06"
103,0,"636.139","-3.27335","1243.03"
104,0,"636.137","-3.27163","1243.02"
105,0,"636.145","-3.2662","1243.01"
106,0,"636.135","-3.26418","1243.02"
107,0,"636.13","-3.27714","1243.04"
108,0,"636.129","-3.28566","1243.06"
109,0,"636.123","-3.28235","1243.08"
110,0,"636.123","-3.28071","1243.09"
111,0,"636.122","-3.27576","1243.1"
112,0,"636.12","-3.27707","1243.1"
113,0,"636.12","-3.25802","1243.09"
114,0,"636.122","-3.24978","1243.08"
115,0,"636.128","-3.2246","1243.06"
116,0,"636.125","-3.19845","1243.03"
117,0,"636.122","-3.17965","1243"
118,0,"636.122","-3.16044","1242.98"
119,0,"636.126","-3.14627","1242.96"
120,0,"636.121","-3.1365","1242.94"
121,0,"636.118","-3.12762","1242.93"
122,0,"636.11","-3.1311","1242.92"
123,0,"636.101","-3.1373","1242.92"
124,0,"636.092","-3.1513","1242.93"
125,0,"636.075","-3.1631","1242.94"
126,0,"636.044","-3.17706","1242.94"
127,0,"636.008","-3.19801","1242.95"
128,0,"635.955","-3.2205","1242.97"
129,0,"635.871","-3.24816","1242.98"
130,0,"635.775","-3.27691","1242.98"
131,0,"635.644","-3.31922","1242.99"
132,0,"635.48","-3.36772","1242.99"
133,0,"635.284","-3.4069","1242.99"
134,0,"635.049","-3.44816","1242.97"
135,0,"634.766","-3.49648","1242.96"
136,0,"634.423","-3.54461","1242.96"
137,0,"634.024","-3.62408","1242.96"
138,0,"633.58","-3.70129","1242.98"
