Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (445)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"619.897","-12.6699","1567.95"
2,0,"619.887","-12.6997","1567.92"
3,0,"619.883","-12.722","1567.89"
4,0,"619.881","-12.7453","1567.88"
5,0,"619.87","-12.767","1567.88"
6,0,"619.976","-12.7417","1567.75"
7,0,"619.866","-12.8084","1567.91"
8,0,"619.868","-12.8254","1567.94"
9,0,"619.871","-12.8327","1567.96"
10,0,"619.888","-12.8419","1567.97"
11,0,"619.904","-12.8407","1567.98"
12,0,"619.924","-12.8442","1567.98"
13,0,"620.086","-12.8058","1567.81"
14,0,"619.956","-12.8364","1567.97"
15,0,"619.962","-12.8251","1567.97"
16,0,"620.116","-12.8296","1567.88"
17,0,"619.984","-12.7917","1567.95"
18,0,"619.993","-12.762","1567.94"
19,0,"620.002","-12.7392","1567.94"
20,0,"620.134","-12.7346","1567.88"
21,0,"620.15","-12.6976","1567.86"
22,0,"620.155","-12.6684","1567.86"
23,0,"620.168","-12.6468","1567.87"
24,0,"620.183","-12.6118","1567.86"
25,0,"620.201","-12.5775","1567.86"
26,0,"620.214","-12.5466","1567.87"
27,0,"620.222","-12.5171","1567.87"
28,0,"620.099","-12.4769","1567.96"
29,0,"620.245","-12.4763","1567.91"
30,0,"620.247","-12.4464","1567.92"
31,0,"620.253","-12.4118","1567.92"
32,0,"620.274","-12.395","1567.94"
33,0,"620.283","-12.3568","1567.92"
34,0,"620.287","-12.3327","1567.93"
35,0,"620.29","-12.3142","1567.95"
36,0,"620.27","-12.1596","1567.8"
37,0,"620.301","-12.238","1567.94"
38,0,"620.319","-12.2216","1567.96"
39,0,"620.333","-12.1898","1567.97"
40,0,"620.309","-12.0427","1567.86"
41,0,"620.346","-12.1064","1568"
42,0,"620.212","-12.0549","1568.09"
43,0,"620.36","-12.0287","1568.01"
44,0,"620.231","-11.9863","1568.11"
45,0,"620.388","-11.9743","1568.03"
46,0,"620.417","-11.9429","1568.01"
47,0,"620.434","-11.8999","1567.99"
48,0,"620.457","-11.8913","1568"
49,0,"620.332","-11.835","1568.04"
50,0,"620.356","-11.8148","1568.04"
51,0,"620.486","-11.7211","1567.87"
52,0,"620.557","-11.7808","1567.98"
53,0,"620.455","-11.9095","1568.29"
54,0,"620.449","-11.7273","1568.1"
55,0,"620.597","-11.7275","1568.04"
56,0,"620.597","-11.7105","1568.07"
57,0,"620.517","-11.853","1568.36"
58,0,"620.507","-11.6746","1568.16"
59,0,"620.63","-11.5843","1567.97"
60,0,"620.671","-11.6765","1568.09"
61,0,"620.689","-11.6674","1568.06"
62,0,"620.546","-11.7663","1568.29"
63,0,"620.564","-11.7699","1568.26"
64,0,"620.554","-11.7739","1568.26"
65,0,"620.549","-11.6225","1568.03"
66,0,"620.579","-11.7894","1568.22"
67,0,"620.689","-11.5557","1567.8"
68,0,"620.669","-11.5735","1567.81"
69,0,"620.649","-11.5212","1567.73"
70,0,"620.626","-11.5158","1567.71"
71,0,"620.62","-11.5191","1567.69"
72,0,"620.4","-11.684","1568.03"
73,0,"620.389","-11.6898","1568.01"
74,0,"620.501","-11.4813","1567.61"
75,0,"620.431","-11.4765","1567.63"
76,0,"620.406","-11.4274","1567.56"
77,0,"620.339","-11.4467","1567.63"
78,0,"620.29","-11.4214","1567.62"
79,0,"620.243","-11.4006","1567.63"
80,0,"620.19","-11.3653","1567.61"
81,0,"620.148","-11.39","1567.66"
82,0,"620.138","-11.3565","1567.6"
83,0,"620.067","-11.3623","1567.65"
84,0,"620.063","-11.3055","1567.56"
85,0,"619.978","-11.3643","1567.7"
86,0,"619.953","-11.3162","1567.66"
87,0,"619.965","-11.2646","1567.59"
88,0,"619.886","-11.296","1567.7"
89,0,"619.93","-11.2268","1567.59"
90,0,"619.832","-11.2506","1567.71"
91,0,"619.796","-11.2209","1567.71"
92,0,"619.904","-11.1576","1567.55"
93,0,"619.778","-11.1881","1567.68"
94,0,"619.747","-11.2168","1567.73"
95,0,"619.794","-11.1879","1567.65"
96,0,"619.811","-11.2116","1567.64"
97,0,"619.867","-11.2168","1567.58"
98,0,"619.894","-11.235","1567.55"
99,0,"619.837","-11.2575","1567.6"
100,0,"619.879","-11.2911","1567.59"
101,0,"619.964","-11.2946","1567.5"
102,0,"620.062","-11.3661","1567.5"
103,0,"619.836","-11.3724","1567.67"
104,0,"619.867","-11.4068","1567.67"
105,0,"619.888","-11.4496","1567.68"
106,0,"619.921","-11.4937","1567.68"
107,0,"619.943","-11.5429","1567.66"
108,0,"619.969","-11.5932","1567.64"
109,0,"620.004","-11.6534","1567.62"
110,0,"620.035","-11.7003","1567.59"
111,0,"620.068","-11.751","1567.55"
112,0,"620.091","-11.8011","1567.5"
113,0,"620.111","-11.8528","1567.46"
114,0,"620.131","-11.8983","1567.42"
115,0,"620.14","-11.9501","1567.37"
116,0,"620.146","-12.0003","1567.34"
117,0,"620.153","-12.0492","1567.3"
118,0,"620.156","-12.1009","1567.27"
119,0,"620.158","-12.1496","1567.23"
120,0,"620.158","-12.1907","1567.2"
121,0,"620.152","-12.2366","1567.18"
122,0,"620.144","-12.276","1567.16"
123,0,"620.123","-12.3103","1567.14"
124,0,"620.208","-12.3571","1567.06"
125,0,"620.038","-12.3918","1567.14"
126,0,"619.985","-12.4237","1567.14"
127,0,"619.917","-12.4628","1567.16"
128,0,"619.833","-12.4974","1567.17"
129,0,"619.726","-12.5338","1567.17"
130,0,"619.591","-12.5689","1567.19"
131,0,"619.426","-12.6064","1567.2"
132,0,"619.225","-12.6381","1567.21"
133,0,"618.975","-12.6715","1567.22"
134,0,"618.682","-12.7097","1567.22"
135,0,"618.359","-12.7448","1567.22"
136,0,"617.973","-12.7917","1567.2"
137,0,"617.503","-12.8396","1567.16"
138,0,"616.994","-12.8897","1567.11"
139,0,"616.377","-12.9271","1567.02"
