Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (496)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"837.951","222.949","1000.23"
2,0,"837.947","222.848","1000.17"
3,0,"837.968","222.725","1000.15"
4,0,"837.982","222.627","1000.13"
5,0,"837.993","222.528","1000.12"
6,0,"837.994","222.444","1000.09"
7,0,"838.009","222.4","1000.05"
8,0,"838.01","222.272","1000.07"
9,0,"838.014","222.196","1000.07"
10,0,"838.013","222.125","1000.04"
11,0,"838.03","222.046","1000.03"
12,0,"838.029","221.981","1000.02"
13,0,"838.024","221.921","999.993"
14,0,"838.028","221.856","999.979"
15,0,"838.03","221.805","999.973"
16,0,"838.056","221.73","999.997"
17,0,"838.058","221.674","999.981"
18,0,"838.073","221.627","999.965"
19,0,"838.092","221.571","999.954"
20,0,"838.113","221.512","999.928"
21,0,"838.139","221.454","999.881"
22,0,"838.142","221.422","999.798"
23,0,"838.184","221.364","999.772"
24,0,"838.196","221.332","999.698"
25,0,"838.217","221.277","999.663"
26,0,"838.242","221.229","999.653"
27,0,"838.251","221.194","999.627"
28,0,"838.298","221.126","999.674"
29,0,"838.312","221.095","999.685"
30,0,"838.302","221.082","999.685"
31,0,"838.288","221.062","999.694"
32,0,"838.278","221.069","999.696"
33,0,"838.263","221.08","999.702"
34,0,"838.257","221.083","999.703"
35,0,"838.249","221.085","999.703"
36,0,"838.26","221.089","999.696"
37,0,"838.282","221.09","999.689"
38,0,"838.303","221.097","999.672"
39,0,"838.336","221.109","999.666"
40,0,"838.324","221.153","999.594"
41,0,"838.353","221.176","999.598"
42,0,"838.371","221.209","999.595"
43,0,"838.416","221.21","999.639"
44,0,"838.438","221.238","999.648"
45,0,"838.474","221.266","999.669"
46,0,"838.466","221.325","999.607"
47,0,"838.512","221.352","999.618"
48,0,"838.538","221.388","999.594"
49,0,"838.568","221.407","999.599"
50,0,"838.572","221.453","999.57"
51,0,"838.601","221.477","999.587"
52,0,"838.604","221.521","999.584"
53,0,"838.63","221.547","999.633"
54,0,"838.633","221.597","999.646"
55,0,"838.651","221.641","999.678"
56,0,"838.652","221.704","999.684"
57,0,"838.62","221.804","999.622"
58,0,"838.637","221.858","999.636"
59,0,"838.668","221.908","999.657"
60,0,"838.672","221.993","999.632"
61,0,"838.734","222.006","999.696"
62,0,"838.768","222.064","999.708"
63,0,"838.792","222.103","999.709"
64,0,"838.824","222.148","999.706"
65,0,"838.888","222.164","999.735"
66,0,"838.936","222.179","999.736"
67,0,"839.001","222.196","999.744"
68,0,"839.051","222.206","999.74"
69,0,"839.103","222.211","999.738"
70,0,"839.141","222.23","999.713"
71,0,"839.184","222.24","999.707"
72,0,"839.21","222.251","999.691"
73,0,"839.232","222.269","999.679"
74,0,"839.254","222.273","999.677"
75,0,"839.266","222.295","999.677"
76,0,"839.281","222.311","999.676"
77,0,"839.259","222.355","999.633"
78,0,"839.256","222.376","999.632"
79,0,"839.284","222.369","999.683"
80,0,"839.281","222.39","999.678"
81,0,"839.277","222.409","999.665"
82,0,"839.275","222.425","999.656"
83,0,"839.275","222.441","999.656"
84,0,"839.288","222.451","999.664"
85,0,"839.294","222.469","999.661"
86,0,"839.279","222.496","999.617"
87,0,"839.319","222.483","999.658"
88,0,"839.34","222.48","999.659"
89,0,"839.368","222.488","999.659"
90,0,"839.414","222.501","999.664"
91,0,"839.466","222.501","999.679"
92,0,"839.501","222.517","999.66"
93,0,"839.558","222.51","999.668"
94,0,"839.6","222.508","999.667"
95,0,"839.642","222.501","999.675"
96,0,"839.679","222.502","999.673"
97,0,"839.726","222.499","999.677"
98,0,"839.744","222.502","999.651"
99,0,"839.768","222.506","999.643"
100,0,"839.766","222.508","999.617"
101,0,"839.771","222.498","999.611"
102,0,"839.78","222.5","999.613"
103,0,"839.8","222.487","999.635"
104,0,"839.791","222.485","999.633"
105,0,"839.786","222.502","999.641"
106,0,"839.77","222.52","999.636"
107,0,"839.755","222.533","999.643"
108,0,"839.731","222.541","999.646"
109,0,"839.721","222.551","999.645"
110,0,"839.71","222.561","999.649"
111,0,"839.701","222.576","999.639"
112,0,"839.691","222.575","999.638"
113,0,"839.692","222.574","999.626"
114,0,"839.686","222.569","999.618"
115,0,"839.691","222.57","999.598"
116,0,"839.709","222.562","999.591"
117,0,"839.72","222.553","999.562"
118,0,"839.754","222.538","999.564"
119,0,"839.762","222.546","999.541"
120,0,"839.773","222.548","999.53"
121,0,"839.789","222.554","999.544"
122,0,"839.805","222.561","999.57"
123,0,"839.828","222.582","999.611"
124,0,"839.827","222.617","999.645"
125,0,"839.823","222.663","999.68"
126,0,"839.836","222.699","999.742"
127,0,"839.859","222.725","999.84"
128,0,"839.859","222.762","999.899"
129,0,"839.87","222.784","999.978"
130,0,"839.882","222.792","1000.06"
131,0,"839.912","222.757","1000.18"
132,0,"839.928","222.716","1000.27"
133,0,"839.967","222.571","1000.43"
134,0,"839.98","222.487","1000.49"
135,0,"840.027","222.296","1000.62"
136,0,"840.084","222.045","1000.78"
137,0,"840.137","221.734","1000.96"
138,0,"840.201","221.307","1001.16"
139,0,"840.252","220.805","1001.38"
140,0,"840.303","220.155","1001.66"
141,0,"840.369","219.419","1001.96"
142,0,"840.391","218.567","1002.2"
143,0,"840.55","217.481","1002.63"
144,0,"840.629","216.313","1002.95"
145,0,"840.788","214.905","1003.38"
146,0,"841.026","213.294","1003.85"
147,0,"841.239","211.494","1004.26"
148,0,"841.547","209.459","1004.69"
149,0,"841.918","207.185","1005.16"
150,0,"842.285","204.742","1005.53"
151,0,"842.66","202.101","1005.83"
152,0,"843.036","199.23","1006.09"
153,0,"843.425","196.138","1006.33"
154,0,"843.816","192.831","1006.57"
155,0,"844.156","189.3","1006.82"
156,0,"844.447","185.587","1007.06"
157,0,"844.68","181.683","1007.32"
158,0,"844.788","177.6","1007.58"
159,0,"845.225","173.019","1008.36"
