Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (552)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"834.49","185.58","80.7642"
2,0,"834.489","185.57","80.7754"
3,0,"834.488","185.57","80.7822"
4,0,"834.491","185.572","80.7865"
5,0,"834.491","185.579","80.7907"
6,0,"834.496","185.565","80.7897"
7,0,"834.496","185.567","80.7946"
8,0,"834.489","185.573","80.7853"
9,0,"834.489","185.579","80.7792"
10,0,"834.486","185.574","80.7843"
11,0,"834.484","185.573","80.7847"
12,0,"834.487","185.557","80.7805"
13,0,"834.485","185.546","80.7942"
14,0,"834.478","185.552","80.7907"
15,0,"834.474","185.549","80.8008"
16,0,"834.477","185.561","80.8032"
17,0,"834.47","185.561","80.8016"
18,0,"834.466","185.561","80.8039"
19,0,"834.456","185.623","80.7574"
20,0,"834.464","185.607","80.7802"
21,0,"834.462","185.573","80.8116"
22,0,"834.457","185.604","80.798"
23,0,"834.45","185.601","80.8022"
24,0,"834.453","185.595","80.8025"
25,0,"834.457","185.594","80.8091"
26,0,"834.457","185.587","80.8128"
27,0,"834.461","185.573","80.811"
28,0,"834.447","185.597","80.7883"
29,0,"834.442","185.6","80.7938"
30,0,"834.444","185.591","80.8062"
31,0,"834.437","185.602","80.8039"
32,0,"834.434","185.603","80.801"
33,0,"834.43","185.599","80.802"
34,0,"834.423","185.59","80.8066"
35,0,"834.426","185.595","80.8056"
36,0,"834.429","185.57","80.8287"
37,0,"834.427","185.571","80.8332"
38,0,"834.422","185.574","80.8321"
39,0,"834.41","185.574","80.8233"
40,0,"834.412","185.603","80.7876"
41,0,"834.417","185.577","80.8163"
42,0,"834.416","185.608","80.7815"
43,0,"834.422","185.583","80.8059"
44,0,"834.41","185.62","80.786"
45,0,"834.403","185.63","80.7755"
46,0,"834.4","185.632","80.7669"
47,0,"834.408","185.63","80.7645"
48,0,"834.407","185.625","80.764"
49,0,"834.409","185.622","80.7576"
50,0,"834.412","185.618","80.7579"
51,0,"834.413","185.628","80.7482"
52,0,"834.413","185.628","80.7477"
53,0,"834.416","185.634","80.7444"
54,0,"834.42","185.625","80.7457"
55,0,"834.427","185.626","80.7351"
56,0,"834.431","185.629","80.7361"
57,0,"834.432","185.631","80.7445"
58,0,"834.447","185.61","80.765"
59,0,"834.46","185.588","80.7809"
60,0,"834.47","185.587","80.7816"
61,0,"834.46","185.628","80.7414"
62,0,"834.481","185.596","80.7605"
63,0,"834.476","185.633","80.7216"
64,0,"834.48","185.634","80.7158"
65,0,"834.493","185.603","80.735"
66,0,"834.487","185.617","80.7357"
67,0,"834.486","185.622","80.7232"
68,0,"834.492","185.626","80.7133"
69,0,"834.508","185.624","80.7003"
70,0,"834.507","185.656","80.6642"
71,0,"834.523","185.628","80.6937"
72,0,"834.527","185.629","80.6859"
73,0,"834.529","185.626","80.6829"
74,0,"834.516","185.658","80.6511"
75,0,"834.519","185.658","80.6527"
76,0,"834.52","185.653","80.6505"
77,0,"834.519","185.648","80.6569"
78,0,"834.531","185.609","80.6841"
79,0,"834.532","185.609","80.6959"
80,0,"834.533","185.614","80.6894"
81,0,"834.544","185.611","80.6844"
82,0,"834.541","185.637","80.6467"
83,0,"834.531","185.643","80.6425"
84,0,"834.555","185.602","80.6614"
85,0,"834.557","185.596","80.6641"
86,0,"834.557","185.597","80.6634"
87,0,"834.54","185.635","80.6299"
88,0,"834.537","185.638","80.6344"
89,0,"834.547","185.604","80.6665"
90,0,"834.548","185.636","80.6357"
91,0,"834.552","185.608","80.6641"
92,0,"834.562","185.608","80.6736"
93,0,"834.563","185.615","80.67"
94,0,"834.566","185.616","80.6605"
95,0,"834.565","185.624","80.6562"
96,0,"834.57","185.618","80.6435"
97,0,"834.565","185.648","80.6133"
98,0,"834.577","185.637","80.6147"
99,0,"834.577","185.641","80.5973"
100,0,"834.579","185.643","80.6011"
101,0,"834.58","185.637","80.6057"
102,0,"834.598","185.606","80.6352"
103,0,"834.589","185.604","80.6347"
104,0,"834.598","185.6","80.631"
105,0,"834.591","185.598","80.6386"
106,0,"834.598","185.599","80.6391"
107,0,"834.59","185.61","80.6527"
108,0,"834.595","185.611","80.6372"
109,0,"834.592","185.616","80.6421"
110,0,"834.583","185.619","80.6328"
111,0,"834.586","185.615","80.6365"
112,0,"834.584","185.618","80.6277"
113,0,"834.586","185.615","80.635"
114,0,"834.587","185.614","80.6335"
115,0,"834.586","185.617","80.6362"
116,0,"834.59","185.624","80.6345"
117,0,"834.593","185.634","80.6306"
118,0,"834.601","185.641","80.6406"
119,0,"834.604","185.636","80.633"
120,0,"834.607","185.635","80.6238"
121,0,"834.6","185.628","80.6151"
122,0,"834.6","185.615","80.6089"
123,0,"834.588","185.609","80.6006"
124,0,"834.593","185.607","80.5861"
125,0,"834.603","185.645","80.5459"
126,0,"834.627","185.619","80.5526"
127,0,"834.636","185.665","80.516"
128,0,"834.652","185.721","80.4625"
129,0,"834.676","185.773","80.4169"
130,0,"834.704","185.806","80.3987"
131,0,"834.74","185.868","80.3551"
132,0,"834.783","185.93","80.313"
133,0,"834.838","186.007","80.2699"
134,0,"834.902","186.082","80.2215"
135,0,"834.962","186.181","80.1492"
136,0,"835.03","186.28","80.0738"
137,0,"835.117","186.379","80.0041"
138,0,"835.19","186.52","79.9273"
139,0,"835.288","186.599","79.8665"
140,0,"835.352","186.691","79.8051"
141,0,"835.378","186.803","79.7309"
142,0,"835.387","186.893","79.6845"
143,0,"835.384","186.971","79.6459"
144,0,"835.371","187.058","79.6147"
145,0,"835.349","187.129","79.5815"
146,0,"835.329","187.237","79.5396"
147,0,"835.324","187.279","79.5346"
148,0,"835.329","187.354","79.5185"
149,0,"835.32","187.428","79.4953"
150,0,"835.312","187.5","79.4756"
151,0,"835.295","187.585","79.4642"
152,0,"835.277","187.668","79.4356"
153,0,"835.254","187.772","79.413"
