Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (577)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"775.17","-28.333","1052.67"
2,0,"775.106","-28.4098","1052.7"
3,0,"775.039","-28.4908","1052.7"
4,0,"774.979","-28.5667","1052.72"
5,0,"774.917","-28.6477","1052.72"
6,0,"774.855","-28.7167","1052.72"
7,0,"774.765","-28.7859","1052.71"
8,0,"774.686","-28.8477","1052.7"
9,0,"774.617","-28.902","1052.7"
10,0,"774.547","-28.9567","1052.67"
11,0,"774.487","-29.0013","1052.66"
12,0,"774.425","-29.0443","1052.67"
13,0,"774.379","-29.082","1052.7"
14,0,"774.345","-29.1205","1052.73"
15,0,"774.316","-29.159","1052.78"
16,0,"774.303","-29.2009","1052.81"
17,0,"774.297","-29.2446","1052.85"
18,0,"774.294","-29.2902","1052.86"
19,0,"774.288","-29.3428","1052.86"
20,0,"774.298","-29.3976","1052.85"
21,0,"774.299","-29.4573","1052.83"
22,0,"774.312","-29.5208","1052.8"
23,0,"774.325","-29.5823","1052.78"
24,0,"774.337","-29.6359","1052.76"
25,0,"774.331","-29.6795","1052.75"
26,0,"774.329","-29.7155","1052.76"
27,0,"774.316","-29.739","1052.78"
28,0,"774.283","-29.7472","1052.81"
29,0,"774.254","-29.752","1052.82"
30,0,"774.226","-29.7617","1052.81"
31,0,"774.212","-29.761","1052.82"
32,0,"774.202","-29.7653","1052.82"
33,0,"774.209","-29.7638","1052.84"
34,0,"774.211","-29.76","1052.84"
35,0,"774.224","-29.7601","1052.86"
36,0,"774.226","-29.7486","1052.88"
37,0,"774.25","-29.7384","1052.92"
38,0,"774.272","-29.7228","1052.95"
39,0,"774.293","-29.7056","1052.98"
40,0,"774.32","-29.6859","1053"
41,0,"774.35","-29.6644","1053.01"
42,0,"774.377","-29.6457","1053.02"
43,0,"774.404","-29.6205","1053.03"
44,0,"774.434","-29.596","1053.03"
45,0,"774.463","-29.5625","1053.05"
46,0,"774.493","-29.5254","1053.06"
47,0,"774.5","-29.489","1053.05"
48,0,"774.525","-29.4488","1053.06"
49,0,"774.551","-29.4125","1053.07"
50,0,"774.58","-29.3767","1053.08"
51,0,"774.607","-29.3388","1053.06"
52,0,"774.631","-29.3074","1053.04"
53,0,"774.676","-29.2708","1053.04"
54,0,"774.704","-29.2329","1053.03"
55,0,"774.741","-29.1858","1053.03"
56,0,"774.753","-29.136","1053.01"
57,0,"774.782","-29.089","1053.01"
58,0,"774.807","-29.0311","1053.02"
59,0,"774.837","-28.9766","1053.03"
60,0,"774.87","-28.9237","1053.03"
61,0,"774.914","-28.8806","1053.04"
62,0,"774.948","-28.8391","1053.03"
63,0,"775.01","-28.7991","1053.05"
64,0,"775.065","-28.7619","1053.08"
65,0,"775.11","-28.7265","1053.11"
66,0,"775.165","-28.6893","1053.15"
67,0,"775.201","-28.6568","1053.17"
68,0,"775.232","-28.6281","1053.2"
69,0,"775.257","-28.6041","1053.22"
70,0,"775.271","-28.5791","1053.23"
71,0,"775.272","-28.558","1053.23"
72,0,"775.279","-28.5403","1053.25"
73,0,"775.285","-28.5155","1053.24"
74,0,"775.277","-28.4953","1053.24"
75,0,"775.27","-28.4732","1053.24"
76,0,"775.256","-28.4466","1053.24"
77,0,"775.22","-28.4123","1053.26"
78,0,"775.2","-28.382","1053.28"
79,0,"775.178","-28.3448","1053.33"
80,0,"775.139","-28.3145","1053.35"
81,0,"775.098","-28.2821","1053.36"
82,0,"775.065","-28.2516","1053.37"
83,0,"775.048","-28.2258","1053.42"
84,0,"775.02","-28.1966","1053.42"
85,0,"nan","nan","nan"
86,0,"nan","nan","nan"
87,0,"774.96","-28.1321","1053.5"
88,0,"nan","nan","nan"
89,0,"774.925","-28.0907","1053.55"
90,0,"774.914","-28.073","1053.58"
91,0,"nan","nan","nan"
92,0,"nan","nan","nan"
93,0,"774.835","-28.01","1053.6"
94,0,"nan","nan","nan"
95,0,"nan","nan","nan"
96,0,"nan","nan","nan"
97,0,"nan","nan","nan"
98,0,"774.716","-27.9701","1053.51"
99,0,"774.697","-27.96","1053.49"
100,0,"nan","nan","nan"
101,0,"nan","nan","nan"
102,0,"nan","nan","nan"
103,0,"774.568","-27.9469","1053.35"
104,0,"774.541","-27.9517","1053.32"
105,0,"nan","nan","nan"
106,0,"nan","nan","nan"
107,0,"nan","nan","nan"
108,0,"nan","nan","nan"
109,0,"774.382","-27.8964","1053.18"
110,0,"774.367","-27.8881","1053.18"
111,0,"nan","nan","nan"
112,0,"nan","nan","nan"
113,0,"nan","nan","nan"
114,0,"nan","nan","nan"
115,0,"nan","nan","nan"
116,0,"nan","nan","nan"
117,0,"774.556","-27.9624","1053.14"
118,0,"nan","nan","nan"
119,0,"nan","nan","nan"
120,0,"nan","nan","nan"
121,0,"nan","nan","nan"
122,0,"774.617","-27.9183","1053.19"
123,0,"nan","nan","nan"
124,0,"nan","nan","nan"
125,0,"774.585","-27.8206","1053.21"
126,0,"774.58","-27.784","1053.22"
127,0,"nan","nan","nan"
128,0,"nan","nan","nan"
129,0,"nan","nan","nan"
130,0,"nan","nan","nan"
131,0,"nan","nan","nan"
132,0,"nan","nan","nan"
133,0,"nan","nan","nan"
134,0,"nan","nan","nan"
135,0,"nan","nan","nan"
136,0,"nan","nan","nan"
137,0,"nan","nan","nan"
138,0,"772.842","-28.2282","1054.32"
139,0,"773.029","-28.3452","1054.55"
140,0,"772.753","-28.714","1054.82"
141,0,"772.326","-29.1936","1055.11"
142,0,"771.707","-29.8121","1055.51"
143,0,"771.019","-30.5574","1056.01"
144,0,"770.185","-31.4386","1056.59"
145,0,"769.231","-32.4719","1057.29"
146,0,"768.173","-33.6572","1058.07"
147,0,"767.039","-35.0067","1058.94"
148,0,"765.835","-36.5329","1059.88"
149,0,"764.635","-38.164","1060.84"
150,0,"763.382","-39.9454","1061.86"
