Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (587)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"777.487","65.5868","950.583"
2,0,"777.503","65.5611","950.526"
3,0,"777.513","65.5383","950.474"
4,0,"777.522","65.512","950.43"
5,0,"777.519","65.4949","950.397"
6,0,"777.514","65.4566","950.387"
7,0,"777.504","65.4143","950.38"
8,0,"777.509","65.379","950.383"
9,0,"777.52","65.3423","950.387"
10,0,"777.505","65.3066","950.379"
11,0,"777.484","65.2608","950.369"
12,0,"777.471","65.2096","950.371"
13,0,"777.463","65.152","950.373"
14,0,"777.455","65.0946","950.378"
15,0,"777.447","65.0417","950.38"
16,0,"777.446","64.9883","950.383"
17,0,"777.448","64.9427","950.385"
18,0,"777.443","64.8948","950.373"
19,0,"777.437","64.861","950.349"
20,0,"777.434","64.8336","950.321"
21,0,"777.434","64.8106","950.281"
22,0,"777.439","64.7943","950.246"
23,0,"777.445","64.791","950.201"
24,0,"777.461","64.7842","950.161"
25,0,"777.474","64.7694","950.125"
26,0,"777.476","64.7615","950.103"
27,0,"777.49","64.7389","950.092"
28,0,"777.501","64.7241","950.101"
29,0,"777.51","64.7102","950.115"
30,0,"777.523","64.7004","950.118"
31,0,"777.54","64.7116","950.125"
32,0,"777.561","64.7244","950.139"
33,0,"777.57","64.7465","950.15"
34,0,"777.573","64.7635","950.161"
35,0,"777.579","64.7748","950.171"
36,0,"777.575","64.7905","950.156"
37,0,"777.589","64.8041","950.151"
38,0,"777.604","64.8179","950.139"
39,0,"777.624","64.8254","950.135"
40,0,"777.641","64.8374","950.119"
41,0,"777.667","64.8455","950.121"
42,0,"777.689","64.8536","950.118"
43,0,"777.694","64.8746","950.116"
44,0,"777.706","64.8903","950.118"
45,0,"777.718","64.9166","950.112"
46,0,"777.724","64.9417","950.105"
47,0,"777.729","64.9719","950.103"
48,0,"777.744","64.9999","950.093"
49,0,"777.762","65.0351","950.077"
50,0,"777.784","65.0706","950.062"
51,0,"777.808","65.1131","950.039"
52,0,"777.819","65.1664","950.024"
53,0,"777.841","65.2061","950.039"
54,0,"777.848","65.2458","950.056"
55,0,"777.855","65.2865","950.082"
56,0,"777.86","65.3226","950.102"
57,0,"777.858","65.3466","950.117"
58,0,"777.872","65.3746","950.127"
59,0,"777.898","65.3938","950.128"
60,0,"777.921","65.4141","950.132"
61,0,"777.95","65.438","950.137"
62,0,"777.971","65.4566","950.143"
63,0,"778.01","65.4728","950.157"
64,0,"778.036","65.4891","950.17"
65,0,"778.07","65.5026","950.177"
66,0,"778.09","65.523","950.161"
67,0,"778.111","65.5436","950.156"
68,0,"778.145","65.5605","950.138"
69,0,"778.167","65.5905","950.115"
70,0,"778.191","65.6267","950.087"
71,0,"778.194","65.678","950.067"
72,0,"778.204","65.7176","950.057"
73,0,"778.23","65.7598","950.047"
74,0,"778.25","65.7977","950.036"
75,0,"778.274","65.8273","950.048"
76,0,"778.293","65.846","950.054"
77,0,"778.303","65.865","950.067"
78,0,"778.303","65.8686","950.078"
79,0,"778.307","65.8783","950.084"
80,0,"778.317","65.8799","950.096"
81,0,"778.325","65.8833","950.101"
82,0,"778.325","65.8796","950.113"
83,0,"778.321","65.8844","950.124"
84,0,"778.312","65.8827","950.133"
85,0,"778.295","65.8944","950.13"
86,0,"778.282","65.9022","950.14"
87,0,"778.283","65.9088","950.145"
88,0,"778.29","65.9131","950.153"
89,0,"778.3","65.9169","950.153"
90,0,"778.317","65.9212","950.155"
91,0,"778.332","65.9276","950.134"
92,0,"778.354","65.9442","950.117"
93,0,"778.347","65.9694","950.083"
94,0,"778.349","65.991","950.059"
95,0,"778.346","66.0036","950.04"
96,0,"778.337","66.03","950.021"
97,0,"778.328","66.0553","949.999"
98,0,"778.334","66.0793","949.983"
99,0,"778.34","66.1038","949.958"
100,0,"778.335","66.1406","949.927"
101,0,"778.322","66.1595","949.893"
102,0,"778.309","66.1659","949.876"
103,0,"778.294","66.1637","949.869"
104,0,"778.288","66.1616","949.869"
105,0,"778.285","66.1597","949.872"
106,0,"778.277","66.1676","949.879"
107,0,"778.272","66.1693","949.894"
108,0,"778.268","66.162","949.905"
109,0,"778.271","66.1465","949.915"
110,0,"778.277","66.1233","949.941"
111,0,"778.284","66.0939","949.969"
112,0,"778.29","66.0677","949.977"
113,0,"778.302","66.0549","949.975"
114,0,"778.306","66.0479","949.963"
115,0,"778.316","66.0548","949.931"
116,0,"778.313","66.0539","949.912"
117,0,"778.312","66.0591","949.885"
118,0,"778.307","66.0581","949.851"
119,0,"778.31","66.0655","949.834"
120,0,"778.308","66.0657","949.825"
121,0,"778.303","66.0672","949.813"
122,0,"778.306","66.0671","949.818"
123,0,"778.311","66.0754","949.825"
124,0,"778.313","66.0797","949.848"
125,0,"778.311","66.0897","949.862"
126,0,"778.287","66.1068","949.879"
127,0,"778.269","66.1195","949.899"
128,0,"778.242","66.1125","949.927"
129,0,"778.229","66.0772","949.949"
130,0,"778.218","66.0237","949.966"
131,0,"778.203","65.9618","949.98"
132,0,"778.18","65.8848","949.98"
133,0,"778.146","65.7966","949.978"
134,0,"778.072","65.7022","949.967"
135,0,"777.97","65.6118","949.948"
136,0,"777.824","65.5117","949.922"
137,0,"777.623","65.4044","949.876"
138,0,"777.383","65.2798","949.818"
139,0,"777.123","65.1456","949.758"
140,0,"776.804","64.9898","949.67"
141,0,"776.446","64.8267","949.565"
142,0,"776.064","64.6381","949.477"
143,0,"775.645","64.4238","949.385"
144,0,"775.167","64.1776","949.303"
145,0,"774.631","63.8965","949.207"
146,0,"774.059","63.5816","949.131"
147,0,"773.436","63.3029","948.978"
148,0,"772.789","63.0522","948.763"
149,0,"772.059","62.8014","948.44"
150,0,"771.297","62.6059","948.027"
151,0,"770.475","62.4277","947.493"
152,0,"769.59","62.2745","946.839"
153,0,"768.714","62.0072","946.178"
