Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (573)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"766.759","73.5215","430.778"
2,0,"766.781","73.4753","430.776"
3,0,"766.812","73.438","430.776"
4,0,"766.832","73.3984","430.783"
5,0,"766.858","73.3431","430.793"
6,0,"766.873","73.305","430.81"
7,0,"766.869","73.2693","430.813"
8,0,"766.864","73.235","430.816"
9,0,"766.852","73.2036","430.812"
10,0,"766.847","73.1742","430.803"
11,0,"766.817","73.1628","430.783"
12,0,"766.827","73.1317","430.765"
13,0,"766.82","73.105","430.77"
14,0,"766.813","73.0944","430.77"
15,0,"766.824","73.082","430.783"
16,0,"766.81","73.0932","430.764"
17,0,"766.818","73.0703","430.782"
18,0,"766.811","73.0713","430.774"
19,0,"766.809","73.0681","430.789"
20,0,"766.785","73.0824","430.773"
21,0,"766.782","73.0826","430.749"
22,0,"766.765","73.0836","430.744"
23,0,"766.775","73.0495","430.76"
24,0,"766.764","73.0551","430.737"
25,0,"766.772","73.019","430.745"
26,0,"766.791","72.994","430.763"
27,0,"766.795","72.9757","430.757"
28,0,"766.803","72.9625","430.779"
29,0,"766.809","72.9576","430.774"
30,0,"766.816","72.9503","430.779"
31,0,"766.818","72.9392","430.8"
32,0,"766.818","72.9259","430.818"
33,0,"766.819","72.931","430.807"
34,0,"766.813","72.9531","430.798"
35,0,"766.811","72.9683","430.801"
36,0,"766.805","72.9864","430.794"
37,0,"766.804","73.012","430.792"
38,0,"766.803","73.0242","430.779"
39,0,"766.805","73.0329","430.774"
40,0,"766.813","73.0536","430.761"
41,0,"766.813","73.0639","430.759"
42,0,"766.811","73.0892","430.757"
43,0,"766.816","73.1035","430.746"
44,0,"766.816","73.1164","430.756"
45,0,"766.835","73.1061","430.773"
46,0,"766.846","73.1047","430.767"
47,0,"766.847","73.104","430.758"
48,0,"766.853","73.1059","430.752"
49,0,"766.858","73.089","430.761"
50,0,"766.862","73.0846","430.741"
51,0,"766.867","73.0709","430.748"
52,0,"766.883","73.0574","430.764"
53,0,"766.885","73.0666","430.755"
54,0,"766.889","73.0868","430.741"
55,0,"766.898","73.0918","430.757"
56,0,"766.917","73.0988","430.772"
57,0,"766.928","73.1202","430.784"
58,0,"766.947","73.126","430.808"
59,0,"766.966","73.1578","430.82"
60,0,"766.98","73.1773","430.812"
61,0,"766.994","73.1903","430.816"
62,0,"766.997","73.209","430.797"
63,0,"766.996","73.2418","430.775"
64,0,"767.013","73.2561","430.782"
65,0,"767.024","73.2744","430.792"
66,0,"767.06","73.2862","430.797"
67,0,"767.065","73.3055","430.799"
68,0,"767.07","73.3123","430.791"
69,0,"767.076","73.3361","430.786"
70,0,"767.086","73.3374","430.791"
71,0,"767.096","73.3389","430.782"
72,0,"767.097","73.3431","430.774"
73,0,"767.102","73.3297","430.772"
74,0,"767.114","73.3068","430.774"
75,0,"767.126","73.2765","430.796"
76,0,"767.159","73.236","430.813"
77,0,"767.171","73.2248","430.815"
78,0,"767.208","73.1909","430.831"
79,0,"767.222","73.1716","430.854"
80,0,"767.235","73.1524","430.865"
81,0,"767.243","73.1438","430.868"
82,0,"767.248","73.1419","430.852"
83,0,"767.242","73.1388","430.861"
84,0,"767.241","73.1596","430.837"
85,0,"767.236","73.1726","430.823"
86,0,"767.228","73.1812","430.833"
87,0,"767.222","73.1986","430.832"
88,0,"767.172","73.2376","430.834"
89,0,"767.2","73.2241","430.833"
90,0,"767.195","73.2334","430.833"
91,0,"767.208","73.239","430.835"
92,0,"767.196","73.2597","430.823"
93,0,"767.214","73.2535","430.835"
94,0,"767.221","73.2546","430.833"
95,0,"767.233","73.2334","430.85"
96,0,"767.234","73.2379","430.817"
97,0,"767.256","73.2215","430.828"
98,0,"767.262","73.2248","430.815"
99,0,"767.267","73.2238","430.809"
100,0,"767.256","73.2397","430.804"
101,0,"767.263","73.2376","430.805"
102,0,"767.258","73.2392","430.815"
103,0,"767.262","73.229","430.836"
104,0,"767.251","73.243","430.847"
105,0,"767.24","73.269","430.839"
106,0,"767.234","73.2872","430.837"
107,0,"767.219","73.3288","430.814"
108,0,"767.222","73.3313","430.833"
109,0,"767.218","73.3424","430.855"
110,0,"767.184","73.3836","430.833"
111,0,"767.18","73.3952","430.832"
112,0,"767.178","73.4149","430.814"
113,0,"767.185","73.4129","430.825"
114,0,"767.172","73.4355","430.809"
115,0,"767.173","73.4535","430.803"
116,0,"767.184","73.4407","430.825"
117,0,"767.204","73.437","430.832"
118,0,"767.21","73.4321","430.824"
119,0,"767.203","73.4269","430.823"
120,0,"767.195","73.4036","430.799"
121,0,"767.187","73.3881","430.783"
122,0,"767.218","73.3368","430.782"
123,0,"767.208","73.3157","430.771"
124,0,"767.207","73.2855","430.768"
125,0,"767.204","73.2674","430.752"
126,0,"767.194","73.272","430.725"
127,0,"767.233","73.2706","430.704"
128,0,"767.283","73.2923","430.676"
129,0,"767.363","73.3306","430.633"
130,0,"767.431","73.3939","430.583"
131,0,"767.531","73.4858","430.521"
132,0,"767.671","73.5596","430.491"
133,0,"767.825","73.6596","430.466"
134,0,"768.021","73.7869","430.418"
135,0,"768.301","73.8692","430.408"
136,0,"768.554","74.0084","430.385"
137,0,"768.833","74.1949","430.335"
138,0,"769.095","74.3888","430.301"
139,0,"769.17","74.6359","430.206"
140,0,"769.172","74.8556","430.136"
141,0,"769.126","75.0608","430.073"
142,0,"769.026","75.2734","430.012"
143,0,"768.895","75.481","429.937"
144,0,"768.725","75.7008","429.867"
145,0,"768.505","75.9347","429.799"
146,0,"768.344","76.1038","429.776"
147,0,"768.117","76.2382","429.732"
148,0,"767.912","76.298","429.703"
149,0,"767.638","76.3339","429.636"
150,0,"767.311","76.2788","429.573"
151,0,"766.938","76.1893","429.479"
152,0,"766.535","76.0343","429.383"
153,0,"766.116","75.7675","429.293"
154,0,"765.643","75.4023","429.193"
