Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"800.087","111.858","1351.72"
2,0,"800.118","111.799","1351.71"
3,0,"800.147","111.736","1351.69"
4,0,"800.192","111.658","1351.68"
5,0,"800.218","111.585","1351.68"
6,0,"800.233","111.5","1351.66"
7,0,"800.24","111.426","1351.65"
8,0,"800.244","111.364","1351.64"
9,0,"800.266","111.322","1351.64"
10,0,"800.276","111.296","1351.65"
11,0,"800.288","111.278","1351.66"
12,0,"800.307","111.28","1351.67"
13,0,"800.328","111.28","1351.69"
14,0,"800.338","111.264","1351.7"
15,0,"800.361","111.236","1351.71"
16,0,"800.376","111.207","1351.7"
17,0,"800.386","111.175","1351.7"
18,0,"800.396","111.143","1351.69"
19,0,"800.405","111.119","1351.68"
20,0,"800.406","111.108","1351.66"
21,0,"800.422","111.088","1351.66"
22,0,"800.422","111.082","1351.63"
23,0,"800.442","111.072","1351.6"
24,0,"800.459","111.062","1351.59"
25,0,"800.482","111.042","1351.57"
26,0,"800.49","111.028","1351.56"
27,0,"800.492","111.015","1351.55"
28,0,"800.491","110.994","1351.54"
29,0,"800.498","110.975","1351.54"
30,0,"800.509","110.968","1351.55"
31,0,"800.532","110.973","1351.58"
32,0,"800.545","110.991","1351.59"
33,0,"800.563","111.003","1351.61"
34,0,"800.583","111.019","1351.63"
35,0,"800.604","111.039","1351.64"
36,0,"800.628","111.063","1351.64"
37,0,"800.657","111.088","1351.64"
38,0,"800.676","111.122","1351.62"
39,0,"800.705","111.15","1351.61"
40,0,"800.74","111.182","1351.6"
41,0,"800.757","111.221","1351.58"
42,0,"800.786","111.255","1351.59"
43,0,"800.803","111.281","1351.58"
44,0,"800.823","111.311","1351.59"
45,0,"800.84","111.339","1351.59"
46,0,"800.862","111.354","1351.58"
47,0,"800.886","111.39","1351.57"
48,0,"800.908","111.428","1351.56"
49,0,"800.929","111.469","1351.55"
50,0,"800.959","111.512","1351.55"
51,0,"800.994","111.548","1351.55"
52,0,"801.032","111.569","1351.55"
53,0,"801.062","111.58","1351.55"
54,0,"801.082","111.583","1351.56"
55,0,"801.096","111.587","1351.56"
56,0,"801.092","111.591","1351.55"
57,0,"801.105","111.592","1351.56"
58,0,"801.117","111.61","1351.55"
59,0,"801.139","111.65","1351.55"
60,0,"801.155","111.697","1351.56"
61,0,"801.172","111.741","1351.56"
62,0,"801.178","111.79","1351.58"
63,0,"801.169","111.834","1351.58"
64,0,"801.182","111.872","1351.58"
65,0,"801.195","111.921","1351.58"
66,0,"801.216","111.944","1351.58"
67,0,"801.226","111.983","1351.57"
68,0,"801.234","112.02","1351.56"
69,0,"801.244","112.06","1351.55"
70,0,"801.255","112.094","1351.53"
71,0,"801.268","112.132","1351.52"
72,0,"801.287","112.154","1351.51"
73,0,"801.301","112.186","1351.5"
74,0,"801.326","112.206","1351.5"
75,0,"801.523","112.061","1351.59"
76,0,"801.54","112.088","1351.59"
77,0,"801.56","112.106","1351.6"
78,0,"801.589","112.115","1351.6"
79,0,"801.623","112.133","1351.61"
80,0,"801.634","112.165","1351.59"
81,0,"801.646","112.197","1351.57"
82,0,"801.687","112.218","1351.59"
83,0,"801.731","112.206","1351.59"
84,0,"801.799","112.203","1351.62"
85,0,"801.775","112.255","1351.6"
86,0,"801.883","112.168","1351.64"
87,0,"801.928","112.158","1351.64"
88,0,"801.971","112.134","1351.65"
89,0,"802.019","112.105","1351.65"
90,0,"802.034","112.1","1351.64"
91,0,"802.054","112.083","1351.63"
92,0,"802.074","112.05","1351.63"
93,0,"802.09","112.026","1351.62"
94,0,"802.135","111.961","1351.62"
95,0,"802.147","111.931","1351.59"
96,0,"802.176","111.874","1351.58"
97,0,"802.177","111.841","1351.56"
98,0,"802.187","111.808","1351.54"
99,0,"802.205","111.766","1351.52"
100,0,"802.226","111.72","1351.51"
101,0,"802.233","111.693","1351.48"
102,0,"802.256","111.651","1351.48"
103,0,"802.253","111.636","1351.46"
104,0,"802.217","111.64","1351.43"
105,0,"802.226","111.601","1351.44"
106,0,"802.228","111.598","1351.44"
107,0,"802.252","111.571","1351.45"
108,0,"802.27","111.56","1351.46"
109,0,"802.197","111.621","1351.42"
110,0,"802.283","111.554","1351.46"
111,0,"802.278","111.558","1351.46"
112,0,"802.262","111.587","1351.43"
113,0,"802.257","111.605","1351.42"
114,0,"802.299","111.572","1351.43"
115,0,"802.321","111.566","1351.44"
116,0,"802.299","111.585","1351.41"
117,0,"802.304","111.591","1351.39"
118,0,"802.318","111.596","1351.39"
119,0,"802.31","111.597","1351.37"
120,0,"802.212","111.672","1351.29"
121,0,"802.291","111.608","1351.35"
122,0,"802.186","111.672","1351.27"
123,0,"802.192","111.645","1351.29"
124,0,"802.293","111.553","1351.39"
125,0,"802.16","111.625","1351.33"
126,0,"802.131","111.605","1351.35"
127,0,"802.085","111.589","1351.36"
128,0,"802.027","111.558","1351.38"
129,0,"801.996","111.479","1351.43"
130,0,"801.887","111.445","1351.43"
131,0,"801.753","111.391","1351.45"
132,0,"801.601","111.31","1351.48"
133,0,"801.467","111.139","1351.55"
134,0,"801.21","111.026","1351.59"
135,0,"800.957","110.896","1351.67"
136,0,"800.552","110.833","1351.69"
137,0,"800.173","110.622","1351.79"
138,0,"799.708","110.42","1351.89"
139,0,"799.208","110.165","1352.05"
140,0,"798.548","109.957","1352.2"
141,0,"797.846","109.616","1352.42"
142,0,"797.022","109.257","1352.65"
143,0,"796.148","108.831","1352.94"
144,0,"795.15","108.347","1353.25"
145,0,"794.084","107.797","1353.59"
146,0,"792.914","107.176","1353.95"
147,0,"791.636","106.492","1354.31"
148,0,"790.265","105.723","1354.68"
149,0,"788.818","104.851","1355.07"
150,0,"787.234","103.905","1355.39"
151,0,"785.54","102.869","1355.7"
152,0,"783.741","101.748","1355.98"
153,0,"781.849","100.59","1356.24"
